Orthogroup	Homo_sapiens	Rattus_norvegicus
OG0000000	sp|Q9NU63|ZFP57_HUMAN	tr|A0A8I6AQM9|A0A8I6AQM9_RAT, sp|A0JPK3|ZFP57_RAT, tr|A0A8I6G8F3|A0A8I6G8F3_RAT, tr|A0A8I6A3S8|A0A8I6A3S8_RAT, tr|A0A8I6A179|A0A8I6A179_RAT, tr|A0A8I5ZY46|A0A8I5ZY46_RAT, tr|Q6P6Q8|Q6P6Q8_RAT, tr|D3ZKK4|D3ZKK4_RAT, tr|F1LPY3|F1LPY3_RAT, tr|F1LY33|F1LY33_RAT, tr|F1LU95|F1LU95_RAT, tr|F1LSH5|F1LSH5_RAT, tr|A0A8I6AJ71|A0A8I6AJ71_RAT, tr|F1LUZ0|F1LUZ0_RAT, tr|A0A8I6ACL5|A0A8I6ACL5_RAT, tr|A0A8I6A0K2|A0A8I6A0K2_RAT, tr|A0A8I6AIQ6|A0A8I6AIQ6_RAT, tr|A0A8I6AMH7|A0A8I6AMH7_RAT, tr|A0A8I5Y4C6|A0A8I5Y4C6_RAT, tr|A0A8I6AP07|A0A8I6AP07_RAT, tr|A0A8I6B2I0|A0A8I6B2I0_RAT, tr|A0A8I5Y5P7|A0A8I5Y5P7_RAT, tr|A0A8I5ZWB5|A0A8I5ZWB5_RAT, tr|A0A8I6A941|A0A8I6A941_RAT, tr|A0A8I5ZZY0|A0A8I5ZZY0_RAT, tr|A0A8I6AU08|A0A8I6AU08_RAT, tr|A0A0G2K7S5|A0A0G2K7S5_RAT, tr|A0A8I6ALG4|A0A8I6ALG4_RAT, tr|A0A8I5ZM63|A0A8I5ZM63_RAT, tr|F1LU63|F1LU63_RAT, tr|A0A8I5ZUC5|A0A8I5ZUC5_RAT, tr|F1LWY5|F1LWY5_RAT, tr|F1LW88|F1LW88_RAT, tr|A0A8I6AEA2|A0A8I6AEA2_RAT, tr|F1LNZ3|F1LNZ3_RAT, tr|A0A0G2K8T1|A0A0G2K8T1_RAT, tr|A0A8I5Y998|A0A8I5Y998_RAT, tr|A0A8I6A7U8|A0A8I6A7U8_RAT, tr|A1A5R0|A1A5R0_RAT, tr|A0A8I6A4K5|A0A8I6A4K5_RAT, tr|A0A8I5ZRQ6|A0A8I5ZRQ6_RAT, tr|A0A0G2K9M2|A0A0G2K9M2_RAT, tr|A0A8I5ZMU9|A0A8I5ZMU9_RAT, tr|A0A8I6AF60|A0A8I6AF60_RAT, tr|A0A8I5ZZC9|A0A8I5ZZC9_RAT, tr|A0A096MJ50|A0A096MJ50_RAT, tr|A0A8I6A0Y8|A0A8I6A0Y8_RAT, tr|A0A8I6ALP4|A0A8I6ALP4_RAT, tr|A0A8I6AQK1|A0A8I6AQK1_RAT, tr|A0A8I5YBS6|A0A8I5YBS6_RAT, tr|A0A8I6ACT4|A0A8I6ACT4_RAT, tr|A0A8I6A7R4|A0A8I6A7R4_RAT, tr|A0A8I5Y7I7|A0A8I5Y7I7_RAT, tr|A0A8I6AKH0|A0A8I6AKH0_RAT, tr|A0A8I6AQN8|A0A8I6AQN8_RAT, tr|A0A8I5ZT67|A0A8I5ZT67_RAT, tr|M0R8Y1|M0R8Y1_RAT, tr|A0A8I6ABV6|A0A8I6ABV6_RAT, tr|A0A8I6AWV7|A0A8I6AWV7_RAT, tr|A0A8I6AKR2|A0A8I6AKR2_RAT, tr|A0A8I6AGI6|A0A8I6AGI6_RAT, tr|A0A8I6AZW3|A0A8I6AZW3_RAT, tr|A0A8I5ZWT4|A0A8I5ZWT4_RAT, tr|A0A8I5ZRK0|A0A8I5ZRK0_RAT, tr|A0A8I5ZZI6|A0A8I5ZZI6_RAT, tr|A0A8I6GIH9|A0A8I6GIH9_RAT, tr|A0A8I6ASC2|A0A8I6ASC2_RAT, tr|A0A8I6A6J6|A0A8I6A6J6_RAT, tr|A0A8I5ZTI4|A0A8I5ZTI4_RAT, tr|A0A8I6AS42|A0A8I6AS42_RAT, tr|A0A8I6ACG2|A0A8I6ACG2_RAT, tr|F1LT76|F1LT76_RAT, tr|A0A8I6ASZ9|A0A8I6ASZ9_RAT, tr|A0A8I6AQ49|A0A8I6AQ49_RAT, tr|A0A8I6ALC6|A0A8I6ALC6_RAT, tr|A0A0G2K4R3|A0A0G2K4R3_RAT, tr|A0A8I5ZLM7|A0A8I5ZLM7_RAT, tr|A0A8I6GKU8|A0A8I6GKU8_RAT, tr|F7FH94|F7FH94_RAT, tr|A0A8I6A7L3|A0A8I6A7L3_RAT, tr|A0A0G2K6B4|A0A0G2K6B4_RAT, tr|A0A8I5ZLH8|A0A8I5ZLH8_RAT, tr|A0A8I6A4R8|A0A8I6A4R8_RAT, tr|A0A8I6ABA2|A0A8I6ABA2_RAT, tr|A0A8J8YSH5|A0A8J8YSH5_RAT, tr|A0A8I6GBS7|A0A8I6GBS7_RAT, tr|A0A8I5ZMG7|A0A8I5ZMG7_RAT, tr|A0A8I6AF81|A0A8I6AF81_RAT, tr|A0A8I6ACN9|A0A8I6ACN9_RAT, tr|M0R7J6|M0R7J6_RAT, tr|A0A8I6AGD4|A0A8I6AGD4_RAT, tr|F1M5V3|F1M5V3_RAT, tr|A0A8I6ASN5|A0A8I6ASN5_RAT, tr|A0A8I6ABC4|A0A8I6ABC4_RAT
OG0000004	sp|Q9NYW8|RBAK_HUMAN	tr|F1M2Y6|F1M2Y6_RAT
OG0000004	sp|Q9HCZ1|ZN334_HUMAN	tr|D3ZDM8|D3ZDM8_RAT
OG0000004	sp|Q8N184|ZN567_HUMAN, sp|Q96SR6|ZN382_HUMAN	sp|A0JPL0|ZN382_RAT
OG0000004	sp|Q3ZCX4|ZN568_HUMAN	tr|M0R9D8|M0R9D8_RAT
OG0000004	sp|Q5MCW4|ZN569_HUMAN	tr|M0RDY1|M0RDY1_RAT
OG0000004	sp|Q5JUW0|KRBX4_HUMAN, sp|Q2M3X9|ZN674_HUMAN, sp|Q96RE9|ZN300_HUMAN, sp|Q2M218|ZN630_HUMAN, sp|Q5JVG2|ZN484_HUMAN, sp|P51814|ZNF41_HUMAN, sp|P51508|ZNF81_HUMAN	tr|A0A8I6AKM7|A0A8I6AKM7_RAT
OG0000004	sp|Q9Y2H8|ZN510_HUMAN, sp|Q6ZMW2|ZN782_HUMAN, sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN, sp|Q9BY31|ZN717_HUMAN, sp|Q8NDW4|ZN248_HUMAN	tr|F1LTY6|F1LTY6_RAT
OG0000006	sp|Q9UN81|LORF1_HUMAN	tr|Q6QI38|Q6QI38_RAT, tr|A0A8I5ZPP6|A0A8I5ZPP6_RAT, tr|Q6QI82|Q6QI82_RAT, tr|F7FCR7|F7FCR7_RAT, tr|Q6TXH9|Q6TXH9_RAT, tr|F1M834|F1M834_RAT, tr|A0A8I5ZXT0|A0A8I5ZXT0_RAT, tr|A0A8I6ACV9|A0A8I6ACV9_RAT, tr|A0A8I6A1C7|A0A8I6A1C7_RAT, tr|A0A8I6GBN6|A0A8I6GBN6_RAT, tr|Q6TXG1|Q6TXG1_RAT, tr|A0A8I6AKB4|A0A8I6AKB4_RAT, tr|A0A8I5ZR50|A0A8I5ZR50_RAT, tr|A0A0G2K1P6|A0A0G2K1P6_RAT, tr|Q4JFV4|Q4JFV4_RAT, tr|A0A8I5ZLT0|A0A8I5ZLT0_RAT, tr|A0A8I5ZVF4|A0A8I5ZVF4_RAT, tr|A0A8I5Y9T1|A0A8I5Y9T1_RAT, tr|A0A0G2K1W6|A0A0G2K1W6_RAT, tr|A0A8I6AJ21|A0A8I6AJ21_RAT, tr|A0A8I5YBW1|A0A8I5YBW1_RAT, tr|A0A0G2JVX1|A0A0G2JVX1_RAT, tr|A0A8I6ACP3|A0A8I6ACP3_RAT, tr|M0R606|M0R606_RAT, tr|A0A0G2K002|A0A0G2K002_RAT, tr|A0A0G2K433|A0A0G2K433_RAT, tr|A0A8I5ZSC4|A0A8I5ZSC4_RAT, tr|F7F9J5|F7F9J5_RAT, tr|A0A8I6AUZ5|A0A8I6AUZ5_RAT, tr|A0A0G2K9M1|A0A0G2K9M1_RAT, tr|M0RAH1|M0RAH1_RAT, tr|A0A8I5YC17|A0A8I5YC17_RAT, tr|M0RD43|M0RD43_RAT, tr|M0R6H0|M0R6H0_RAT, tr|A0A8I6A1P3|A0A8I6A1P3_RAT, tr|A0A8I6ASW1|A0A8I6ASW1_RAT, tr|A0A8I6GDK9|A0A8I6GDK9_RAT, tr|M0R6A8|M0R6A8_RAT
OG0000008	sp|Q8N141|ZFP82_HUMAN	tr|A0A0G2JT46|A0A0G2JT46_RAT
