Orthogroup	Mus_musculus	Prolemur_simus
OG0000001	tr|E9Q1L8|E9Q1L8_MOUSE	tr|A0A8C8ZNR5|A0A8C8ZNR5_PROSS, tr|A0A8C8Z561|A0A8C8Z561_PROSS, tr|A0A8C8ZK24|A0A8C8ZK24_PROSS, tr|A0A8C8ZBA9|A0A8C8ZBA9_PROSS, tr|A0A8C9ATF6|A0A8C9ATF6_PROSS, tr|A0A8C8ZVP5|A0A8C8ZVP5_PROSS, tr|A0A8C8ZGW3|A0A8C8ZGW3_PROSS, tr|A0A8C9AJ68|A0A8C9AJ68_PROSS, tr|A0A8C9ALJ7|A0A8C9ALJ7_PROSS, tr|A0A8C9DM29|A0A8C9DM29_PROSS, tr|A0A8C9A533|A0A8C9A533_PROSS, tr|A0A8C9AQN1|A0A8C9AQN1_PROSS, tr|A0A8C9ANZ6|A0A8C9ANZ6_PROSS, tr|A0A8C9AM62|A0A8C9AM62_PROSS, tr|A0A8C9ATH7|A0A8C9ATH7_PROSS, tr|A0A8C9AER0|A0A8C9AER0_PROSS, tr|A0A8C8YW55|A0A8C8YW55_PROSS, tr|A0A8C9DUE7|A0A8C9DUE7_PROSS, tr|A0A8C9B2U3|A0A8C9B2U3_PROSS, tr|A0A8C9ACP1|A0A8C9ACP1_PROSS, tr|A0A8C9A7I2|A0A8C9A7I2_PROSS, tr|A0A8C9AFE9|A0A8C9AFE9_PROSS, tr|A0A8C9A937|A0A8C9A937_PROSS, tr|A0A8C9DRI6|A0A8C9DRI6_PROSS, tr|A0A8C9A461|A0A8C9A461_PROSS, tr|A0A8C9A6Z9|A0A8C9A6Z9_PROSS, tr|A0A8C9DHW7|A0A8C9DHW7_PROSS, tr|A0A8C8YZ84|A0A8C8YZ84_PROSS, tr|A0A8C8YUH6|A0A8C8YUH6_PROSS, tr|A0A8C9A2D5|A0A8C9A2D5_PROSS, tr|A0A8C9AUK2|A0A8C9AUK2_PROSS, tr|A0A8C8Z9A6|A0A8C8Z9A6_PROSS, tr|A0A8C9DPI6|A0A8C9DPI6_PROSS, tr|A0A8C8Z8E2|A0A8C8Z8E2_PROSS, tr|A0A8C8ZGL9|A0A8C8ZGL9_PROSS, tr|A0A8C9A3J1|A0A8C9A3J1_PROSS, tr|A0A8C8ZU61|A0A8C8ZU61_PROSS, tr|A0A8C8ZJY2|A0A8C8ZJY2_PROSS, tr|A0A8C9DNT4|A0A8C9DNT4_PROSS, tr|A0A8C8YPA7|A0A8C8YPA7_PROSS, tr|A0A8C8ZYA3|A0A8C8ZYA3_PROSS, tr|A0A8C9A430|A0A8C9A430_PROSS, tr|A0A8C9A3E8|A0A8C9A3E8_PROSS, tr|A0A8C8YJG4|A0A8C8YJG4_PROSS, tr|A0A8C9A992|A0A8C9A992_PROSS, tr|A0A8C9AP74|A0A8C9AP74_PROSS, tr|A0A8C8ZSZ0|A0A8C8ZSZ0_PROSS, tr|A0A8C8Z943|A0A8C8Z943_PROSS, tr|A0A8C8Z2N0|A0A8C8Z2N0_PROSS, tr|A0A8C9DPH5|A0A8C9DPH5_PROSS, tr|A0A8C9DKF3|A0A8C9DKF3_PROSS, tr|A0A8C9AAF7|A0A8C9AAF7_PROSS, tr|A0A8C8YIG5|A0A8C8YIG5_PROSS, tr|A0A8C8ZM26|A0A8C8ZM26_PROSS, tr|A0A8C8YJK0|A0A8C8YJK0_PROSS, tr|A0A8C9DEC8|A0A8C9DEC8_PROSS, tr|A0A8C9AHK8|A0A8C9AHK8_PROSS, tr|A0A8C8ZAZ3|A0A8C8ZAZ3_PROSS, tr|A0A8C9DIN5|A0A8C9DIN5_PROSS, tr|A0A8C9DFI1|A0A8C9DFI1_PROSS, tr|A0A8C8ZYR3|A0A8C8ZYR3_PROSS, tr|A0A8C8YX62|A0A8C8YX62_PROSS, tr|A0A8C8ZEZ3|A0A8C8ZEZ3_PROSS, tr|A0A8C9DGL0|A0A8C9DGL0_PROSS, tr|A0A8C8YQC9|A0A8C8YQC9_PROSS, tr|A0A8C8ZAS2|A0A8C8ZAS2_PROSS, tr|A0A8C8YQR9|A0A8C8YQR9_PROSS, tr|A0A8C8ZNM4|A0A8C8ZNM4_PROSS, tr|A0A8C9DQN7|A0A8C9DQN7_PROSS, tr|A0A8C8ZID8|A0A8C8ZID8_PROSS, tr|A0A8C8ZLZ7|A0A8C8ZLZ7_PROSS, tr|A0A8C8YSB4|A0A8C8YSB4_PROSS
OG0000003	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8C8YHL2|A0A8C8YHL2_PROSS
OG0000003	sp|Q6P560|ZN182_MOUSE	tr|A0A8C9AHX6|A0A8C9AHX6_PROSS, tr|A0A8C9DE31|A0A8C9DE31_PROSS, tr|A0A8C8YHL7|A0A8C8YHL7_PROSS, tr|A0A8C8YDY6|A0A8C8YDY6_PROSS, tr|A0A8C8YSH2|A0A8C8YSH2_PROSS
OG0000003	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A8C9ASS7|A0A8C9ASS7_PROSS, tr|A0A8C8ZF43|A0A8C8ZF43_PROSS, tr|A0A8C9B2V4|A0A8C9B2V4_PROSS, tr|A0A8C9B890|A0A8C9B890_PROSS, tr|A0A8C9ASR7|A0A8C9ASR7_PROSS, tr|A0A8C9ARN5|A0A8C9ARN5_PROSS, tr|A0A8C9DVM5|A0A8C9DVM5_PROSS, tr|A0A8C9B346|A0A8C9B346_PROSS, tr|A0A8C8ZUV0|A0A8C8ZUV0_PROSS, tr|A0A8C9DNK0|A0A8C9DNK0_PROSS, tr|A0A8C8ZS32|A0A8C8ZS32_PROSS, tr|A0A8C8ZRZ1|A0A8C8ZRZ1_PROSS
OG0000003	sp|Q62396|ZFP92_MOUSE	tr|A0A8C8ZEW1|A0A8C8ZEW1_PROSS
OG0000003	tr|E9Q3R6|E9Q3R6_MOUSE	tr|A0A8C8YI00|A0A8C8YI00_PROSS, tr|A0A8C8Z2K6|A0A8C8Z2K6_PROSS
OG0000003	tr|E9PWP1|E9PWP1_MOUSE	tr|A0A8C8Z8T3|A0A8C8Z8T3_PROSS, tr|A0A8C9DK02|A0A8C9DK02_PROSS, tr|A0A8C8Z0E6|A0A8C8Z0E6_PROSS
OG0000003	sp|P17141|ZFP37_MOUSE	tr|A0A8C8ZZC3|A0A8C8ZZC3_PROSS, tr|A0A8C9AXQ7|A0A8C9AXQ7_PROSS
OG0000003	tr|Q640N4|Q640N4_MOUSE	tr|A0A8C8YT25|A0A8C8YT25_PROSS, tr|A0A8C8ZKB4|A0A8C8ZKB4_PROSS
OG0000003	sp|B2RXC5|ZN382_MOUSE	tr|A0A8C8YDY5|A0A8C8YDY5_PROSS, tr|A0A8C8YH41|A0A8C8YH41_PROSS
