Orthogroup	Homo_sapiens	Rousettus_aegyptiacus
OG0000000	sp|Q96R08|OR5BC_HUMAN	tr|A0A7J8H3F1|A0A7J8H3F1_ROUAE
OG0000000	sp|Q96R09|OR5B2_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8WZ92|OR5P2_HUMAN, sp|Q8WZ94|OR5P3_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|Q8NHB8|OR5K2_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|P47883|OR3A4_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|A6ND48|O14I1_HUMAN, sp|Q8NGZ2|O14K1_HUMAN, sp|Q8NHC5|O14AG_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q8NGI8|O5AN1_HUMAN, sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A7J8H3H0|A0A7J8H3H0_ROUAE
OG0000002	sp|Q96RA2|OR7D2_HUMAN	tr|A0A7J8BUH9|A0A7J8BUH9_ROUAE
OG0000002	sp|Q8WZA6|OR1E3_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN	tr|A0A7J8IR26|A0A7J8IR26_ROUAE
OG0000002	sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|O60431|OR1I1_HUMAN, sp|Q8NGR9|OR1N2_HUMAN	tr|A0A7J8IP31|A0A7J8IP31_ROUAE
OG0000002	sp|P58170|OR1D5_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P34982|OR1D2_HUMAN	tr|A0A7J8BRL2|A0A7J8BRL2_ROUAE
OG0000004	sp|Q9UN66|PCDB8_HUMAN, sp|Q9Y5F0|PCDBD_HUMAN, sp|Q9Y5E5|PCDB4_HUMAN, sp|Q9Y5E4|PCDB5_HUMAN, sp|Q9Y5E3|PCDB6_HUMAN, sp|Q9Y5E9|PCDBE_HUMAN, sp|Q96TA0|PCDBI_HUMAN, sp|Q9Y5F1|PCDBC_HUMAN, sp|Q9Y5F2|PCDBB_HUMAN, sp|Q9Y5E2|PCDB7_HUMAN, sp|Q9Y5E1|PCDB9_HUMAN, sp|Q9UN67|PCDBA_HUMAN, sp|Q9Y5E6|PCDB3_HUMAN, sp|Q9Y5E7|PCDB2_HUMAN, sp|Q9NRJ7|PCDBG_HUMAN, sp|Q9Y5F3|PCDB1_HUMAN, sp|Q9Y5E8|PCDBF_HUMAN	tr|A0A7J8FL56|A0A7J8FL56_ROUAE
OG0000004	sp|Q9Y5H4|PCDG1_HUMAN, sp|Q9Y5G6|PCDG7_HUMAN, sp|Q9Y5G7|PCDG6_HUMAN, sp|Q9Y5G9|PCDG4_HUMAN, sp|Q9Y5H1|PCDG2_HUMAN, sp|Q9Y5H0|PCDG3_HUMAN, sp|Q9Y5G8|PCDG5_HUMAN, sp|Q9Y5H3|PCDGA_HUMAN, sp|Q9Y5G4|PCDG9_HUMAN, sp|Q9Y5G5|PCDG8_HUMAN, sp|O60330|PCDGC_HUMAN, sp|Q9Y5H2|PCDGB_HUMAN, sp|Q9UN71|PCDGG_HUMAN, sp|Q9Y5G0|PCDGH_HUMAN, sp|Q9Y5F9|PCDGI_HUMAN, sp|Q9Y5F8|PCDGJ_HUMAN, sp|Q9Y5G2|PCDGE_HUMAN, sp|Q9Y5G3|PCDGD_HUMAN, sp|Q9Y5G1|PCDGF_HUMAN, sp|Q9UN70|PCDGK_HUMAN, sp|Q9Y5F7|PCDGL_HUMAN, sp|Q9Y5F6|PCDGM_HUMAN	tr|A0A7J8FKQ0|A0A7J8FKQ0_ROUAE
OG0000007	sp|Q96R30|OR2V2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG84|O2AK2_HUMAN	tr|A0A7J8FJS9|A0A7J8FJS9_ROUAE
OG0000008	sp|Q8NGX5|O10K1_HUMAN, sp|Q6IF99|O10K2_HUMAN	tr|A0A7J8BFH9|A0A7J8BFH9_ROUAE
