Orthogroup	Homo_sapiens	Erinaceus_europaeus
OG0000000	sp|P59922|OR2B8_HUMAN	tr|A0A1S3APC7|A0A1S3APC7_ERIEU, tr|A0A1S3AGI2|A0A1S3AGI2_ERIEU
OG0000000	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A1S3AHL6|A0A1S3AHL6_ERIEU, tr|A0A1S3AGR1|A0A1S3AGR1_ERIEU
OG0000000	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A1S3AGJ2|A0A1S3AGJ2_ERIEU, tr|A0A1S3AHV8|A0A1S3AHV8_ERIEU, tr|A0A1S3AG89|A0A1S3AG89_ERIEU, tr|A0A1S3AER0|A0A1S3AER0_ERIEU, tr|A0A1S3WPJ0|A0A1S3WPJ0_ERIEU, tr|A0A1S3AEQ2|A0A1S3AEQ2_ERIEU, tr|A0A1S3AEL5|A0A1S3AEL5_ERIEU
OG0000000	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A1S3AQ96|A0A1S3AQ96_ERIEU, tr|A0A1S3APQ8|A0A1S3APQ8_ERIEU, tr|A0A1S3APS8|A0A1S3APS8_ERIEU, tr|A0A1S3AQ76|A0A1S3AQ76_ERIEU, tr|A0A1S3APX1|A0A1S3APX1_ERIEU, tr|A0A1S3AP47|A0A1S3AP47_ERIEU, tr|A0A1S3APJ6|A0A1S3APJ6_ERIEU, tr|A0A1S3APF5|A0A1S3APF5_ERIEU
OG0000000	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A1S3APX4|A0A1S3APX4_ERIEU, tr|A0A1S3APK1|A0A1S3APK1_ERIEU
OG0000000	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A1S2ZAT9|A0A1S2ZAT9_ERIEU
OG0000000	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A1S3AHJ3|A0A1S3AHJ3_ERIEU, tr|A0A1S3AHI2|A0A1S3AHI2_ERIEU
OG0000000	sp|Q8N628|OR2C3_HUMAN	tr|A0A1S3AHS7|A0A1S3AHS7_ERIEU
OG0000000	sp|Q8NGV0|OR2Y1_HUMAN	tr|A0A1S3AQK8|A0A1S3AQK8_ERIEU, tr|A0A1S2ZZZ0|A0A1S2ZZZ0_ERIEU, tr|A0A1S2ZZY6|A0A1S2ZZY6_ERIEU, tr|A0A1S2ZZY7|A0A1S2ZZY7_ERIEU, tr|A0A1S2ZZZ3|A0A1S2ZZZ3_ERIEU, tr|A0A1S3A017|A0A1S3A017_ERIEU, tr|A0A1S3A015|A0A1S3A015_ERIEU
OG0000001	sp|Q3ZCT1|ZN260_HUMAN	tr|A0A1S3WNS6|A0A1S3WNS6_ERIEU, tr|A0A1S3WG14|A0A1S3WG14_ERIEU, tr|A0A1S3WPB4|A0A1S3WPB4_ERIEU, tr|A0A1S3WVU6|A0A1S3WVU6_ERIEU, tr|A0A1S3WW17|A0A1S3WW17_ERIEU, tr|A0A1S3WPJ1|A0A1S3WPJ1_ERIEU, tr|A0A1S3WW81|A0A1S3WW81_ERIEU, tr|A0A1S3WVF4|A0A1S3WVF4_ERIEU, tr|A0A1S3WSL2|A0A1S3WSL2_ERIEU, tr|A0A1S3WQB6|A0A1S3WQB6_ERIEU, tr|A0A1S3WPC2|A0A1S3WPC2_ERIEU, tr|A0A1S3WV56|A0A1S3WV56_ERIEU, tr|A0A1S3WW08|A0A1S3WW08_ERIEU, tr|A0A1S3WSK0|A0A1S3WSK0_ERIEU, tr|A0A1S3WWB6|A0A1S3WWB6_ERIEU, tr|A0A1S3WWN0|A0A1S3WWN0_ERIEU, tr|A0A1S3WWK3|A0A1S3WWK3_ERIEU, tr|A0A1S3WSC4|A0A1S3WSC4_ERIEU, tr|A0A1S3WWY7|A0A1S3WWY7_ERIEU, tr|A0A1S3WW98|A0A1S3WW98_ERIEU, tr|A0A1S3WVF9|A0A1S3WVF9_ERIEU, tr|A0A1S3WW51|A0A1S3WW51_ERIEU
OG0000001	sp|Q15973|ZN124_HUMAN	tr|A0A1S3WNQ9|A0A1S3WNQ9_ERIEU
