Orthogroup	Mus_musculus	Acinonyx_jubatus
OG0000002	sp|P01668|KV3AG_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01673|KV3AL_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01674|KV3AM_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01647|KV5AE_MOUSE, sp|P01645|KV5AC_MOUSE, sp|P01646|KV5AD_MOUSE, sp|P01643|KV5AA_MOUSE, tr|A0A075B5L1|A0A075B5L1_MOUSE, tr|A0A140T8M1|A0A140T8M1_MOUSE, tr|A0A075B5L0|A0A075B5L0_MOUSE, sp|P01644|KV5AB_MOUSE, sp|P01648|KV5AF_MOUSE, sp|P01649|KV5AG_MOUSE, sp|P04946|KV5AM_MOUSE, sp|P01650|KV5AH_MOUSE, sp|P01652|KV5AK_MOUSE, sp|P01653|KV5AL_MOUSE, tr|A0A075B5M9|A0A075B5M9_MOUSE, tr|A0A075B5M7|A0A075B5M7_MOUSE, tr|A0A075B5J9|A0A075B5J9_MOUSE, tr|A0A075B5K3|A0A075B5K3_MOUSE, tr|A0A075B5Y8|A0A075B5Y8_MOUSE, tr|A0A0G2JDU3|A0A0G2JDU3_MOUSE, tr|A0A140T8P6|A0A140T8P6_MOUSE, tr|A0A140T8M2|A0A140T8M2_MOUSE, sp|P01636|KV5A4_MOUSE, sp|P01635|KV5A3_MOUSE, tr|A0A075B5M8|A0A075B5M8_MOUSE, tr|A0A075B5L4|A0A075B5L4_MOUSE, tr|A0A075B5K9|A0A075B5K9_MOUSE, tr|A0A140T8N3|A0A140T8N3_MOUSE, tr|A0A075B666|A0A075B666_MOUSE, tr|A0A140T8P3|A0A140T8P3_MOUSE, tr|A0A075B6D5|A0A075B6D5_MOUSE, tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE, tr|A0A0G2JET4|A0A0G2JET4_MOUSE, sp|P01638|KV5A6_MOUSE, sp|P01637|KV5A5_MOUSE, tr|A0A140T8P9|A0A140T8P9_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE, tr|A0A075B5K7|A0A075B5K7_MOUSE, tr|A0A075B683|A0A075B683_MOUSE, tr|A0A075B5J7|A0A075B5J7_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE, sp|P01641|KV5A8_MOUSE, tr|A0A075B5K2|A0A075B5K2_MOUSE, sp|P01639|KV5A7_MOUSE	tr|A0A6J1YTD9|A0A6J1YTD9_ACIJB
OG0000005	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A6J1YRS1|A0A6J1YRS1_ACIJB
OG0000005	tr|Q8C0Q5|Q8C0Q5_MOUSE	tr|A0A6J1YP84|A0A6J1YP84_ACIJB
OG0000005	sp|Q8BGV5|ZNF8_MOUSE	tr|A0A6J1YWE5|A0A6J1YWE5_ACIJB, tr|A0A6J0A918|A0A6J0A918_ACIJB, tr|A0A6I9ZWB8|A0A6I9ZWB8_ACIJB, tr|A0A6J2ASG6|A0A6J2ASG6_ACIJB
OG0000005	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A6I9ZLF6|A0A6I9ZLF6_ACIJB, tr|A0A6J1YMD4|A0A6J1YMD4_ACIJB
OG0000005	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A6J0A7V5|A0A6J0A7V5_ACIJB
OG0000005	sp|B2RXC5|ZN382_MOUSE	tr|A0A6J1Y6G0|A0A6J1Y6G0_ACIJB
OG0000005	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A6I9ZS34|A0A6I9ZS34_ACIJB
OG0000005	sp|Q8BQC8|RBAK_MOUSE	tr|A0A6J1Y0R3|A0A6J1Y0R3_ACIJB
OG0000005	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A6J1Y080|A0A6J1Y080_ACIJB
OG0000005	tr|Q640N4|Q640N4_MOUSE	tr|A0A6J0A6M9|A0A6J0A6M9_ACIJB, tr|A0A6I9ZPU9|A0A6I9ZPU9_ACIJB, tr|A0A6J1YGS0|A0A6J1YGS0_ACIJB, tr|A0A6I9ZPU4|A0A6I9ZPU4_ACIJB, tr|A0A6J1YU96|A0A6J1YU96_ACIJB, tr|A0A6J0A2C2|A0A6J0A2C2_ACIJB, tr|A0A6J1YKR9|A0A6J1YKR9_ACIJB
OG0000005	sp|P17141|ZFP37_MOUSE	tr|A0A6J0ABS6|A0A6J0ABS6_ACIJB, tr|A0A6J2ATF9|A0A6J2ATF9_ACIJB, tr|A0A6J0A427|A0A6J0A427_ACIJB, tr|A0A6I9ZP58|A0A6I9ZP58_ACIJB, tr|A0A6J1XXB2|A0A6J1XXB2_ACIJB, tr|A0A6J1XWY5|A0A6J1XWY5_ACIJB, tr|A0A6J1XDT8|A0A6J1XDT8_ACIJB, tr|A0A6J2ATG9|A0A6J2ATG9_ACIJB, tr|A0A6J1YZ75|A0A6J1YZ75_ACIJB, tr|A0A6J1Y7Y7|A0A6J1Y7Y7_ACIJB, tr|A0A6J0A762|A0A6J0A762_ACIJB, tr|A0A6J1XDW1|A0A6J1XDW1_ACIJB
OG0000011	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A6J1YUF2|A0A6J1YUF2_ACIJB, tr|A0A6J1YSQ3|A0A6J1YSQ3_ACIJB, tr|A0A6J1YR99|A0A6J1YR99_ACIJB
