Orthogroup	Mus_musculus	Panthera_leo
OG0000003	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A8C8XS53|A0A8C8XS53_PANLE
OG0000003	sp|Q80W31|ZN569_MOUSE	tr|A0A8C8XBN5|A0A8C8XBN5_PANLE, tr|A0A8C8XBC1|A0A8C8XBC1_PANLE, tr|A0A8C9D4M5|A0A8C9D4M5_PANLE
OG0000003	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A8C9D1T2|A0A8C9D1T2_PANLE, tr|A0A8C8WUZ7|A0A8C8WUZ7_PANLE, tr|A0A8C8WR91|A0A8C8WR91_PANLE, tr|A0A8C8WRQ7|A0A8C8WRQ7_PANLE, tr|A0A8C8WRY4|A0A8C8WRY4_PANLE, tr|A0A8C8WRT2|A0A8C8WRT2_PANLE, tr|A0A8C8YCJ0|A0A8C8YCJ0_PANLE, tr|A0A8C8YE94|A0A8C8YE94_PANLE, tr|A0A8C8YAC5|A0A8C8YAC5_PANLE, tr|A0A8C8XLY6|A0A8C8XLY6_PANLE, tr|A0A8C8YAN9|A0A8C8YAN9_PANLE
OG0000003	sp|P17141|ZFP37_MOUSE	tr|A0A8C8YH67|A0A8C8YH67_PANLE, tr|A0A8C8XNL5|A0A8C8XNL5_PANLE
OG0000003	tr|Q640N4|Q640N4_MOUSE	tr|A0A8C9D9K0|A0A8C9D9K0_PANLE, tr|A0A8C8XZF5|A0A8C8XZF5_PANLE, tr|A0A8C8WEF4|A0A8C8WEF4_PANLE, tr|A0A8C8XSD8|A0A8C8XSD8_PANLE
OG0000003	sp|B2RXC5|ZN382_MOUSE	tr|A0A8C8XE39|A0A8C8XE39_PANLE, tr|A0A8C8XDH6|A0A8C8XDH6_PANLE
OG0000003	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8C8XLN3|A0A8C8XLN3_PANLE
OG0000003	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8C8XMU9|A0A8C8XMU9_PANLE
OG0000003	sp|G3X9G7|ZN809_MOUSE	tr|A0A8C8XR09|A0A8C8XR09_PANLE, tr|A0A8C8XM48|A0A8C8XM48_PANLE, tr|A0A8C8XQC5|A0A8C8XQC5_PANLE, tr|A0A8C8XID5|A0A8C8XID5_PANLE, tr|A0A8C8YCI4|A0A8C8YCI4_PANLE
OG0000010	tr|Q5U406|Q5U406_MOUSE	tr|A0A8C8XJK7|A0A8C8XJK7_PANLE
OG0000010	sp|Q3V080|ZN583_MOUSE	tr|A0A8C8XNL4|A0A8C8XNL4_PANLE
OG0000010	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8C8X4B2|A0A8C8X4B2_PANLE
OG0000010	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8C8XAB3|A0A8C8XAB3_PANLE, tr|A0A8C8X7F0|A0A8C8X7F0_PANLE
OG0000010	sp|Q60585|ZFP30_MOUSE	tr|A0A8C8XAR2|A0A8C8XAR2_PANLE
OG0000010	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8C8XA03|A0A8C8XA03_PANLE
