Orthogroup	Homo_sapiens	Rhinopithecus_roxellana
OG0000000	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A2K6QCI5|A0A2K6QCI5_RHIRO
OG0000000	sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NGQ5|OR9Q1_HUMAN, sp|Q8NGE9|OR9Q2_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|Q8NGC0|O5AU1_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NGI8|O5AN1_HUMAN, sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A2K6NQE9|A0A2K6NQE9_RHIRO
OG0000001	sp|Q9H2C8|O51V1_HUMAN	tr|A0A2K6QTY1|A0A2K6QTY1_RHIRO
OG0000001	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A2K6NZU3|A0A2K6NZU3_RHIRO
OG0000001	sp|Q8NGH9|O52E4_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NH55|O52E5_HUMAN	tr|A0A2K6NBJ9|A0A2K6NBJ9_RHIRO
OG0000001	sp|Q8NH60|O52J3_HUMAN	tr|A0A2K6NEA1|A0A2K6NEA1_RHIRO
OG0000001	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A2K6NMB3|A0A2K6NMB3_RHIRO
OG0000001	sp|Q96RD2|O52B2_HUMAN	tr|A0A2K6QND1|A0A2K6QND1_RHIRO
OG0000001	sp|Q9H346|O52D1_HUMAN	tr|A0A2K6PL40|A0A2K6PL40_RHIRO
OG0000001	sp|Q8NGF1|O52R1_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI2|O52N4_HUMAN	tr|A0A2K6P4G2|A0A2K6P4G2_RHIRO
