Orthogroup	Mus_musculus	Chinchilla_lanigera
OG0000001	tr|A0A075B5U1|A0A075B5U1_MOUSE, tr|A0A075B5U9|A0A075B5U9_MOUSE, tr|A0A075B5V4|A0A075B5V4_MOUSE, tr|A0A075B5U6|A0A075B5U6_MOUSE, tr|A0A075B5V0|A0A075B5V0_MOUSE, tr|A0A075B5U7|A0A075B5U7_MOUSE, sp|P01758|HVM14_MOUSE, tr|A0A0A6YVW3|A0A0A6YVW3_MOUSE, tr|A0A0A6YXA5|A0A0A6YXA5_MOUSE, tr|A0A075B5V2|A0A075B5V2_MOUSE, tr|A0A075B5V5|A0A075B5V5_MOUSE, tr|A0A075B5U4|A0A075B5U4_MOUSE, tr|A0A075B5U5|A0A075B5U5_MOUSE, tr|A0A075B5V3|A0A075B5V3_MOUSE, sp|P06330|HVM51_MOUSE, sp|P01745|HVM01_MOUSE, sp|P01747|HVM03_MOUSE, sp|P01741|HVM00_MOUSE, sp|P06329|HVM50_MOUSE, sp|P01757|HVM13_MOUSE, sp|P01756|HVM12_MOUSE, tr|A0A075B5V7|A0A075B5V7_MOUSE, tr|A0A075B5V6|A0A075B5V6_MOUSE, tr|A0A075B5V1|A0A075B5V1_MOUSE, sp|P01759|HVM15_MOUSE, tr|A0A075B5X6|A0A075B5X6_MOUSE, tr|A0A075B5V8|A0A075B5V8_MOUSE, tr|A0A075B5V9|A0A075B5V9_MOUSE, tr|A0A075B5U0|A0A075B5U0_MOUSE, tr|A0A075B5T5|A0A075B5T5_MOUSE, tr|A0A0B4J1J7|A0A0B4J1J7_MOUSE, tr|A0A075B680|A0A075B680_MOUSE, tr|A0A075B674|A0A075B674_MOUSE, tr|A0A0B4J1N0|A0A0B4J1N0_MOUSE, tr|A0A0B4J1M0|A0A0B4J1M0_MOUSE, tr|A0A075B5W7|A0A075B5W7_MOUSE, tr|A0A075B5R9|A0A075B5R9_MOUSE, tr|A0A075B5R4|A0A075B5R4_MOUSE, tr|A0A075B5R7|A0A075B5R7_MOUSE, tr|A0A075B5S3|A0A075B5S3_MOUSE, sp|P01748|HVM04_MOUSE, sp|P01754|HVM10_MOUSE, sp|P06328|HVM49_MOUSE, sp|P01753|HVM09_MOUSE, tr|A0A075B5X7|A0A075B5X7_MOUSE, tr|A0A075B5X0|A0A075B5X0_MOUSE, tr|A0A075B5W1|A0A075B5W1_MOUSE, tr|A0A075B5Y1|A0A075B5Y1_MOUSE, sp|P01750|HVM06_MOUSE, tr|A0A075B5W2|A0A075B5W2_MOUSE, sp|P01749|HVM05_MOUSE, tr|A0A0A6YWI9|A0A0A6YWI9_MOUSE, sp|P03980|HVM48_MOUSE, tr|A0A075B5W6|A0A075B5W6_MOUSE, tr|A0A075B5W3|A0A075B5W3_MOUSE, tr|A0A075B5X3|A0A075B5X3_MOUSE, tr|A0A075B5T4|A0A075B5T4_MOUSE, tr|A0A075B5T7|A0A075B5T7_MOUSE, tr|A0A075B5W5|A0A075B5W5_MOUSE, sp|P01746|HVM02_MOUSE, tr|A0A075B5W9|A0A075B5W9_MOUSE, tr|A0A075B5Y2|A0A075B5Y2_MOUSE, sp|P06327|HVM52_MOUSE, tr|A0A075B5Y6|A0A075B5Y6_MOUSE, tr|A0A075B5X5|A0A075B5X5_MOUSE, tr|A0A075B5Y3|A0A075B5Y3_MOUSE, tr|A0A075B5Y4|A0A075B5Y4_MOUSE, tr|A0A075B5X2|A0A075B5X2_MOUSE, tr|A0A075B5T9|A0A075B5T9_MOUSE, tr|A0A075B5T8|A0A075B5T8_MOUSE	tr|A0A8C2UL04|A0A8C2UL04_CHILA
OG0000009	sp|P10078|ZFP28_MOUSE	tr|A0A8C2UGX7|A0A8C2UGX7_CHILA
OG0000009	sp|Q7TSH9|ZN184_MOUSE	tr|A0A8C2V8M9|A0A8C2V8M9_CHILA, tr|A0A8C2UPR8|A0A8C2UPR8_CHILA
OG0000009	sp|Q62396|ZFP92_MOUSE	tr|A0A8C2YJ25|A0A8C2YJ25_CHILA, tr|A0A8C2YTG3|A0A8C2YTG3_CHILA, tr|A0A8C2V8L5|A0A8C2V8L5_CHILA, tr|A0A8C2VG83|A0A8C2VG83_CHILA, tr|A0A8C2VFJ3|A0A8C2VFJ3_CHILA, tr|A0A8C2VYR6|A0A8C2VYR6_CHILA, tr|A0A8C2YUV5|A0A8C2YUV5_CHILA, tr|A0A8C2UK83|A0A8C2UK83_CHILA, tr|A0A8C2YUL4|A0A8C2YUL4_CHILA, tr|A0A8C2V2L6|A0A8C2V2L6_CHILA, tr|A0A8C2UP90|A0A8C2UP90_CHILA, tr|A0A8C2USC7|A0A8C2USC7_CHILA, tr|A0A8C2VA89|A0A8C2VA89_CHILA, tr|A0A8C2UTL6|A0A8C2UTL6_CHILA, tr|A0A8C2VD22|A0A8C2VD22_CHILA, tr|A0A8C2UQD3|A0A8C2UQD3_CHILA, tr|A0A8C2UP13|A0A8C2UP13_CHILA, tr|A0A8C2YJQ5|A0A8C2YJQ5_CHILA
OG0000009	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8C2VJC8|A0A8C2VJC8_CHILA, tr|A0A8C2VFZ7|A0A8C2VFZ7_CHILA, tr|A0A8C2YMX4|A0A8C2YMX4_CHILA, tr|A0A8C2US00|A0A8C2US00_CHILA, tr|A0A8C2YS15|A0A8C2YS15_CHILA
OG0000015	tr|Q8VGD7|Q8VGD7_MOUSE	tr|A0A8C2WCJ5|A0A8C2WCJ5_CHILA
OG0000015	tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE	tr|A0A8C2W589|A0A8C2W589_CHILA, tr|A0A8C2YLT6|A0A8C2YLT6_CHILA
OG0000015	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A8C2V330|A0A8C2V330_CHILA
OG0000015	tr|Q8VF37|Q8VF37_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE	tr|A0A8C2WAN5|A0A8C2WAN5_CHILA
OG0000015	tr|Q8VGD8|Q8VGD8_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VF05|Q8VF05_MOUSE	tr|A0A8C2WDK7|A0A8C2WDK7_CHILA
OG0000017	tr|A2ATA0|A2ATA0_MOUSE, tr|K7N727|K7N727_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q920G5|Q920G5_MOUSE, tr|Q7TRN0|Q7TRN0_MOUSE, tr|Q7TRM9|Q7TRM9_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|Q7TQW4|Q7TQW4_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q8VFE3|Q8VFE3_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q7TR35|Q7TR35_MOUSE	tr|A0A8C2UVV8|A0A8C2UVV8_CHILA
