Orthogroup	Mus_musculus	Monodelphis_domestica
OG0000004	tr|Q0P5U5|Q0P5U5_MOUSE	tr|A0A5F8GF48|A0A5F8GF48_MONDO
OG0000004	sp|Q571J5|Z354C_MOUSE	tr|A0A5F8G547|A0A5F8G547_MONDO
OG0000004	sp|Q8BIQ3|ZNF2_MOUSE	tr|A0A5F8G6P5|A0A5F8G6P5_MONDO, tr|A0A5F8H6X1|A0A5F8H6X1_MONDO, tr|A0A5F8HAY0|A0A5F8HAY0_MONDO, tr|A0A5F8GYV2|A0A5F8GYV2_MONDO, tr|A0A5F8HFU2|A0A5F8HFU2_MONDO, tr|F7G1E0|F7G1E0_MONDO, tr|F6YDJ5|F6YDJ5_MONDO, tr|A0A5F8HLH1|A0A5F8HLH1_MONDO, tr|A0A5F8HD64|A0A5F8HD64_MONDO, tr|F7C8F2|F7C8F2_MONDO, tr|F7G123|F7G123_MONDO, tr|A0A5F8G4X7|A0A5F8G4X7_MONDO, tr|F7DW41|F7DW41_MONDO, tr|F7GID9|F7GID9_MONDO, tr|A0A5F8HH64|A0A5F8HH64_MONDO, tr|A0A5F8H6Q9|A0A5F8H6Q9_MONDO, tr|A0A5F8H936|A0A5F8H936_MONDO, tr|A0A5F8GWN3|A0A5F8GWN3_MONDO, tr|A0A5F8GMH7|A0A5F8GMH7_MONDO, tr|A0A5F8GKQ7|A0A5F8GKQ7_MONDO, tr|A0A5F8HG07|A0A5F8HG07_MONDO, tr|F6YVT7|F6YVT7_MONDO
OG0000019	sp|Q80V23|ZNF32_MOUSE	tr|A0A5F8H6G2|A0A5F8H6G2_MONDO, tr|F7BNC9|F7BNC9_MONDO, tr|A0A5F8G554|A0A5F8G554_MONDO, tr|H9H674|H9H674_MONDO, tr|F7FB44|F7FB44_MONDO, tr|A0A5F8GZP9|A0A5F8GZP9_MONDO, tr|A0A5F8GM12|A0A5F8GM12_MONDO, tr|F7FPN5|F7FPN5_MONDO, tr|A0A5F8HFE8|A0A5F8HFE8_MONDO, tr|A0A5F8GY68|A0A5F8GY68_MONDO, tr|A0A5F8H724|A0A5F8H724_MONDO, tr|A0A5F8HBQ5|A0A5F8HBQ5_MONDO, tr|K7E499|K7E499_MONDO, tr|A0A5F8H754|A0A5F8H754_MONDO, tr|A0A5F8G4M7|A0A5F8G4M7_MONDO, tr|A0A5F8GZW8|A0A5F8GZW8_MONDO, tr|A0A5F8GPU7|A0A5F8GPU7_MONDO, tr|A0A5F8HB06|A0A5F8HB06_MONDO, tr|A0A5F8H0Y8|A0A5F8H0Y8_MONDO, tr|K7E009|K7E009_MONDO, tr|A0A5F8GV79|A0A5F8GV79_MONDO, tr|A0A5F8HBY3|A0A5F8HBY3_MONDO, tr|F6XW75|F6XW75_MONDO, tr|A0A5F8G351|A0A5F8G351_MONDO, tr|A0A5F8GEA5|A0A5F8GEA5_MONDO, tr|F6XEA7|F6XEA7_MONDO, tr|F6T194|F6T194_MONDO, tr|A0A5F8H1W2|A0A5F8H1W2_MONDO, tr|A0A5F8G985|A0A5F8G985_MONDO, tr|A0A5F8GLN3|A0A5F8GLN3_MONDO, tr|F6W4W7|F6W4W7_MONDO, tr|F6YZX4|F6YZX4_MONDO, tr|F6QRG5|F6QRG5_MONDO, tr|K7E5Z3|K7E5Z3_MONDO, tr|A0A5F8H3I2|A0A5F8H3I2_MONDO, tr|A0A5F8GGC7|A0A5F8GGC7_MONDO, tr|F6PKQ1|F6PKQ1_MONDO, tr|F6QQY1|F6QQY1_MONDO, tr|A0A5F8GUN3|A0A5F8GUN3_MONDO, tr|F6WUS7|F6WUS7_MONDO, tr|A0A5F8GP04|A0A5F8GP04_MONDO, tr|F7EEI2|F7EEI2_MONDO
OG0000033	tr|Q99PB1|Q99PB1_MOUSE, sp|Q9CPR8|NSE3_MOUSE, sp|Q9QZ04|MAGL2_MOUSE, sp|Q9NWG9|MAGH1_MOUSE, tr|Q52KG3|Q52KG3_MOUSE, sp|Q6PCZ4|MAGE1_MOUSE, tr|A2A9Q9|A2A9Q9_MOUSE, tr|Q14AN0|Q14AN0_MOUSE, tr|G3UW88|G3UW88_MOUSE, tr|A2AHM0|A2AHM0_MOUSE, tr|Q9D2H4|Q9D2H4_MOUSE, tr|A2AHM1|A2AHM1_MOUSE, sp|A2A9R3|MAGB4_MOUSE, sp|Q8BQR7|MAGBI_MOUSE, sp|Q9CWV4|MAGBG_MOUSE, tr|Q99PA7|Q99PA7_MOUSE, tr|Q9D4D2|Q9D4D2_MOUSE, tr|A2AMW4|A2AMW4_MOUSE, tr|Q8BQJ2|Q8BQJ2_MOUSE, tr|Q9D9G4|Q9D9G4_MOUSE, tr|O89010|O89010_MOUSE, tr|Q6T340|Q6T340_MOUSE, tr|O89006|O89006_MOUSE, tr|Q9R2A2|Q9R2A2_MOUSE, tr|O89012|O89012_MOUSE, tr|O89009|O89009_MOUSE, tr|F2Z493|F2Z493_MOUSE	tr|A0A5F8HEA8|A0A5F8HEA8_MONDO, tr|F7BYS0|F7BYS0_MONDO
OG0000040	sp|Q8BGZ7|K2C75_MOUSE	tr|A0A5F8HJ56|A0A5F8HJ56_MONDO
OG0000040	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|H9H900|H9H900_MONDO
OG0000040	sp|P11679|K2C8_MOUSE, sp|Q0VBK2|K2C80_MOUSE, sp|Q9DCV7|K2C7_MOUSE	tr|A0A5F8G3I9|A0A5F8G3I9_MONDO
OG0000040	tr|E9Q0F0|E9Q0F0_MOUSE, sp|Q9R0H5|K2C71_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|P07744|K2C4_MOUSE	tr|F6PSM3|F6PSM3_MONDO
OG0000040	sp|Q922U2|K2C5_MOUSE	tr|H9H8Z6|H9H8Z6_MONDO
