Orthogroup	Mus_musculus	Carlito_syrichta
OG0000000	sp|P17141|ZFP37_MOUSE	tr|A0A1U7UBZ9|A0A1U7UBZ9_CARSF
OG0000000	sp|Q8BQC8|RBAK_MOUSE	tr|A0A1U7SQ19|A0A1U7SQ19_CARSF
OG0000000	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A3Q0DZA0|A0A3Q0DZA0_CARSF
OG0000000	sp|B2RXC5|ZN382_MOUSE	tr|A0A1U7UNR2|A0A1U7UNR2_CARSF, tr|A0A1U7V0X4|A0A1U7V0X4_CARSF
OG0000000	tr|Q640N4|Q640N4_MOUSE	tr|A0A1U7UEY7|A0A1U7UEY7_CARSF
OG0000000	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A1U7V178|A0A1U7V178_CARSF, tr|A0A1U7T8U7|A0A1U7T8U7_CARSF, tr|A0A3Q0DV44|A0A3Q0DV44_CARSF, tr|A0A1U7T8U2|A0A1U7T8U2_CARSF, tr|A0A3Q0DZ59|A0A3Q0DZ59_CARSF, tr|A0A1U7T2A9|A0A1U7T2A9_CARSF, tr|A0A1U7U6M7|A0A1U7U6M7_CARSF, tr|A0A1U7TKE8|A0A1U7TKE8_CARSF, tr|A0A3Q0E8R6|A0A3Q0E8R6_CARSF, tr|A0A1U7TXS5|A0A1U7TXS5_CARSF, tr|A0A1U7TTQ3|A0A1U7TTQ3_CARSF, tr|A0A3Q0E558|A0A3Q0E558_CARSF
OG0000000	sp|Q80W31|ZN569_MOUSE	tr|A0A1U7TPK9|A0A1U7TPK9_CARSF, tr|A0A1U7U9K4|A0A1U7U9K4_CARSF, tr|A0A1U7SNL6|A0A1U7SNL6_CARSF, tr|A0A1U7SXN2|A0A1U7SXN2_CARSF, tr|A0A1U7TM78|A0A1U7TM78_CARSF, tr|A0A1U7U0S6|A0A1U7U0S6_CARSF, tr|A0A1U7U8V1|A0A1U7U8V1_CARSF, tr|A0A3Q0DWS5|A0A3Q0DWS5_CARSF, tr|A0A3Q0DUN2|A0A3Q0DUN2_CARSF, tr|A0A3Q0DW92|A0A3Q0DW92_CARSF, tr|A0A1U7TFU2|A0A1U7TFU2_CARSF, tr|A0A3Q0DSM8|A0A3Q0DSM8_CARSF, tr|A0A3Q0DUQ2|A0A3Q0DUQ2_CARSF, tr|A0A1U7UNF6|A0A1U7UNF6_CARSF
OG0000007	sp|Q7TSH9|ZN184_MOUSE	tr|A0A1U7TCK5|A0A1U7TCK5_CARSF
OG0000007	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A1U7UQX2|A0A1U7UQX2_CARSF
OG0000007	sp|Q60585|ZFP30_MOUSE	tr|A0A1U7T371|A0A1U7T371_CARSF
OG0000007	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A1U7UHX4|A0A1U7UHX4_CARSF, tr|A0A1U7V2B6|A0A1U7V2B6_CARSF, tr|A0A3Q0DZL2|A0A3Q0DZL2_CARSF
OG0000007	sp|P10755|ZFP14_MOUSE	tr|A0A1U7TDP2|A0A1U7TDP2_CARSF, tr|A0A1U7U0X7|A0A1U7U0X7_CARSF, tr|A0A1U7UHW8|A0A1U7UHW8_CARSF, tr|A0A3Q0DU59|A0A3Q0DU59_CARSF, tr|A0A3Q0EJH9|A0A3Q0EJH9_CARSF
OG0000007	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A1U7UQW7|A0A1U7UQW7_CARSF
OG0000007	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A3Q0EFA6|A0A3Q0EFA6_CARSF, tr|A0A1U7TR79|A0A1U7TR79_CARSF
OG0000007	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A1U7TWL7|A0A1U7TWL7_CARSF
OG0000007	sp|Q3V080|ZN583_MOUSE	tr|A0A1U7U2T1|A0A1U7U2T1_CARSF
OG0000007	tr|Q5U406|Q5U406_MOUSE	tr|A0A1U7T8G3|A0A1U7T8G3_CARSF, tr|A0A1U7U6P2|A0A1U7U6P2_CARSF, tr|A0A3Q0E9T7|A0A3Q0E9T7_CARSF
OG0000014	sp|P17742|PPIA_MOUSE	tr|A0A1U7UA82|A0A1U7UA82_CARSF, tr|A0A3Q0DYW8|A0A3Q0DYW8_CARSF, tr|A0A3Q0DV84|A0A3Q0DV84_CARSF, tr|A0A3Q0DKQ3|A0A3Q0DKQ3_CARSF, tr|A0A3Q0DU34|A0A3Q0DU34_CARSF, tr|A0A1U7UCW3|A0A1U7UCW3_CARSF, tr|A0A1U7T5L0|A0A1U7T5L0_CARSF, tr|A0A1U7TC83|A0A1U7TC83_CARSF, tr|A0A3Q0EAL5|A0A3Q0EAL5_CARSF, tr|A0A3Q0E5W3|A0A3Q0E5W3_CARSF, tr|A0A3Q0DTN5|A0A3Q0DTN5_CARSF, tr|A0A1U7U8Y5|A0A1U7U8Y5_CARSF, tr|A0A3Q0E7W4|A0A3Q0E7W4_CARSF, tr|A0A3Q0DV17|A0A3Q0DV17_CARSF, tr|A0A3Q0DP62|A0A3Q0DP62_CARSF, tr|A0A3Q0DZZ5|A0A3Q0DZZ5_CARSF, tr|A0A3Q0DW66|A0A3Q0DW66_CARSF, tr|A0A3Q0DQG4|A0A3Q0DQG4_CARSF, tr|A0A1U7ST12|A0A1U7ST12_CARSF, tr|A0A3Q0E5R1|A0A3Q0E5R1_CARSF, tr|A0A1U7TEF5|A0A1U7TEF5_CARSF, tr|A0A3Q0DDH0|A0A3Q0DDH0_CARSF, tr|A0A1U7U4Q5|A0A1U7U4Q5_CARSF, tr|A0A1U7U9H4|A0A1U7U9H4_CARSF, tr|A0A1U7SWF7|A0A1U7SWF7_CARSF, tr|A0A3Q0DI91|A0A3Q0DI91_CARSF, tr|A0A1U7U7Z1|A0A1U7U7Z1_CARSF, tr|A0A1U7U901|A0A1U7U901_CARSF, tr|A0A3Q0DNK8|A0A3Q0DNK8_CARSF, tr|A0A3Q0DKH8|A0A3Q0DKH8_CARSF, tr|A0A1U7UFP7|A0A1U7UFP7_CARSF, tr|A0A1U7U626|A0A1U7U626_CARSF, tr|A0A1U7TCX6|A0A1U7TCX6_CARSF, tr|A0A3Q0EBE9|A0A3Q0EBE9_CARSF, tr|A0A3Q0EA71|A0A3Q0EA71_CARSF, tr|A0A1U7TSL3|A0A1U7TSL3_CARSF, tr|A0A3Q0DY68|A0A3Q0DY68_CARSF, tr|A0A1U7US91|A0A1U7US91_CARSF, tr|A0A3Q0EGP1|A0A3Q0EGP1_CARSF, tr|A0A3Q0E1A5|A0A3Q0E1A5_CARSF, tr|A0A3Q0E1A7|A0A3Q0E1A7_CARSF, tr|A0A3Q0EGQ1|A0A3Q0EGQ1_CARSF, tr|A0A3Q0DUJ9|A0A3Q0DUJ9_CARSF
OG0000015	tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE	tr|A0A1U7U9D3|A0A1U7U9D3_CARSF
OG0000015	tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VES2|O1102_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VF76|OL998_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK1|O1009_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|G3X9L8|G3X9L8_MOUSE	tr|A0A1U7U5I7|A0A1U7U5I7_CARSF
