Orthogroup	Homo_sapiens	Myotis_lucifugus
OG0000000	sp|Q6IFN5|O7E24_HUMAN	tr|G1QCA6|G1QCA6_MYOLU, tr|G1PYK7|G1PYK7_MYOLU, tr|G1Q8N1|G1Q8N1_MYOLU, tr|G1Q3C4|G1Q3C4_MYOLU, tr|G1PY94|G1PY94_MYOLU, tr|G1Q1Z9|G1Q1Z9_MYOLU, tr|G1Q0H0|G1Q0H0_MYOLU, tr|G1PZR0|G1PZR0_MYOLU, tr|G1QDC6|G1QDC6_MYOLU, tr|G1Q1P9|G1Q1P9_MYOLU, tr|G1QE39|G1QE39_MYOLU, tr|G1PYF8|G1PYF8_MYOLU, tr|G1Q4E8|G1Q4E8_MYOLU, tr|G1Q7B7|G1Q7B7_MYOLU, tr|G1QD41|G1QD41_MYOLU, tr|G1QF15|G1QF15_MYOLU, tr|G1Q3Q0|G1Q3Q0_MYOLU, tr|G1QAD5|G1QAD5_MYOLU, tr|G1PY22|G1PY22_MYOLU, tr|G1Q607|G1Q607_MYOLU, tr|L7N1G6|L7N1G6_MYOLU, tr|G1Q3A9|G1Q3A9_MYOLU, tr|G1Q562|G1Q562_MYOLU, tr|G1PZ36|G1PZ36_MYOLU, tr|G1QBG4|G1QBG4_MYOLU, tr|G1Q0F2|G1Q0F2_MYOLU, tr|G1Q9X7|G1Q9X7_MYOLU, tr|G1QDN0|G1QDN0_MYOLU, tr|G1PZG1|G1PZG1_MYOLU, tr|L7N174|L7N174_MYOLU, tr|G1QAX7|G1QAX7_MYOLU, tr|G1Q5Z7|G1Q5Z7_MYOLU, tr|G1Q5Z8|G1Q5Z8_MYOLU, tr|G1Q6C1|G1Q6C1_MYOLU, tr|G1Q466|G1Q466_MYOLU, tr|G1Q7P1|G1Q7P1_MYOLU, tr|G1Q252|G1Q252_MYOLU, tr|G1Q231|G1Q231_MYOLU, tr|G1QEG1|G1QEG1_MYOLU, tr|G1Q8C0|G1Q8C0_MYOLU, tr|G1Q7E6|G1Q7E6_MYOLU, tr|G1Q491|G1Q491_MYOLU, tr|G1Q6P1|G1Q6P1_MYOLU, tr|G1QG27|G1QG27_MYOLU, tr|G1Q502|G1Q502_MYOLU, tr|G1QFD7|G1QFD7_MYOLU, tr|G1QCX3|G1QCX3_MYOLU, tr|G1Q2H5|G1Q2H5_MYOLU, tr|G1QEH0|G1QEH0_MYOLU, tr|G1Q1E7|G1Q1E7_MYOLU, tr|G1QFJ1|G1QFJ1_MYOLU, tr|G1Q7R7|G1Q7R7_MYOLU, tr|G1Q753|G1Q753_MYOLU, tr|G1Q2P8|G1Q2P8_MYOLU, tr|G1QE36|G1QE36_MYOLU, tr|G1Q7H8|G1Q7H8_MYOLU, tr|G1PCQ5|G1PCQ5_MYOLU, tr|G1Q6A2|G1Q6A2_MYOLU, tr|G1Q5T4|G1Q5T4_MYOLU, tr|G1QCJ6|G1QCJ6_MYOLU, tr|G1QF31|G1QF31_MYOLU, tr|G1Q1G3|G1Q1G3_MYOLU, tr|G1QC49|G1QC49_MYOLU, tr|G1QBB1|G1QBB1_MYOLU, tr|G1QB07|G1QB07_MYOLU, tr|G1QFJ5|G1QFJ5_MYOLU, tr|G1QF06|G1QF06_MYOLU, tr|G1PXX9|G1PXX9_MYOLU, tr|G1QEA1|G1QEA1_MYOLU
OG0000001	sp|Q6P9A1|ZN530_HUMAN	tr|G1PK08|G1PK08_MYOLU, tr|G1PNI7|G1PNI7_MYOLU, tr|G1PSH8|G1PSH8_MYOLU, tr|G1QDY3|G1QDY3_MYOLU, tr|G1NY44|G1NY44_MYOLU, tr|G1P142|G1P142_MYOLU, tr|G1PVY6|G1PVY6_MYOLU
OG0000001	sp|Q7Z340|ZN551_HUMAN	tr|L7N0X7|L7N0X7_MYOLU, tr|G1QF03|G1QF03_MYOLU, tr|G1QDR4|G1QDR4_MYOLU, tr|G1PYU7|G1PYU7_MYOLU, tr|G1Q628|G1Q628_MYOLU, tr|G1Q9N9|G1Q9N9_MYOLU, tr|G1PZ34|G1PZ34_MYOLU, tr|G1Q668|G1Q668_MYOLU, tr|G1Q479|G1Q479_MYOLU, tr|G1P478|G1P478_MYOLU, tr|G1Q0K2|G1Q0K2_MYOLU, tr|G1Q5Q2|G1Q5Q2_MYOLU, tr|G1PYM0|G1PYM0_MYOLU, tr|G1QE29|G1QE29_MYOLU, tr|G1PZA4|G1PZA4_MYOLU, tr|L7N1F0|L7N1F0_MYOLU, tr|L7N1E9|L7N1E9_MYOLU, tr|G1Q3V5|G1Q3V5_MYOLU, tr|L7N1I5|L7N1I5_MYOLU, tr|G1Q0T1|G1Q0T1_MYOLU, tr|G1PVW6|G1PVW6_MYOLU, tr|G1QDZ2|G1QDZ2_MYOLU, tr|G1Q4U7|G1Q4U7_MYOLU, tr|G1QDV9|G1QDV9_MYOLU, tr|G1Q5Y3|G1Q5Y3_MYOLU, tr|G1Q3N3|G1Q3N3_MYOLU, tr|G1Q2S6|G1Q2S6_MYOLU, tr|G1QEE9|G1QEE9_MYOLU, tr|G1PA52|G1PA52_MYOLU, tr|G1QCF0|G1QCF0_MYOLU, tr|G1Q686|G1Q686_MYOLU, tr|G1P541|G1P541_MYOLU, tr|G1Q9L0|G1Q9L0_MYOLU, tr|G1QFB1|G1QFB1_MYOLU, tr|G1QEX0|G1QEX0_MYOLU, tr|G1PZG3|G1PZG3_MYOLU, tr|G1PFH0|G1PFH0_MYOLU, tr|G1NSI9|G1NSI9_MYOLU, tr|G1QFZ4|G1QFZ4_MYOLU, tr|G1QDU1|G1QDU1_MYOLU, tr|G1PZL9|G1PZL9_MYOLU, tr|G1Q9Z6|G1Q9Z6_MYOLU, tr|G1PMZ5|G1PMZ5_MYOLU, tr|G1Q990|G1Q990_MYOLU, tr|G1PYN6|G1PYN6_MYOLU, tr|G1Q6Y0|G1Q6Y0_MYOLU, tr|G1PQV0|G1PQV0_MYOLU, tr|G1Q2A2|G1Q2A2_MYOLU, tr|G1Q350|G1Q350_MYOLU, tr|G1QBM9|G1QBM9_MYOLU, tr|L7N1V4|L7N1V4_MYOLU, tr|G1PZW9|G1PZW9_MYOLU, tr|G1QFH2|G1QFH2_MYOLU, tr|G1P9S5|G1P9S5_MYOLU, tr|G1PDU1|G1PDU1_MYOLU, tr|G1Q2K4|G1Q2K4_MYOLU, tr|G1Q8L1|G1Q8L1_MYOLU, tr|G1Q269|G1Q269_MYOLU
OG0000008	sp|Q3KPI0|CEA21_HUMAN	tr|L7N154|L7N154_MYOLU, tr|G1PVC1|G1PVC1_MYOLU, tr|G1PVC6|G1PVC6_MYOLU, tr|G1QFC3|G1QFC3_MYOLU, tr|G1P7V6|G1P7V6_MYOLU, tr|G1Q0P7|G1Q0P7_MYOLU, tr|L7N131|L7N131_MYOLU, tr|G1QFY3|G1QFY3_MYOLU, tr|G1Q0I5|G1Q0I5_MYOLU, tr|G1Q318|G1Q318_MYOLU, tr|L7N1N4|L7N1N4_MYOLU, tr|L7N1W1|L7N1W1_MYOLU, tr|L7N1L6|L7N1L6_MYOLU, tr|G1QCH9|G1QCH9_MYOLU, tr|L7N1Q7|L7N1Q7_MYOLU, tr|G1Q8U7|G1Q8U7_MYOLU, tr|G1NZP5|G1NZP5_MYOLU, tr|G1QAB8|G1QAB8_MYOLU, tr|L7N139|L7N139_MYOLU, tr|L7N191|L7N191_MYOLU, tr|G1PZW1|G1PZW1_MYOLU, tr|L7N160|L7N160_MYOLU, tr|L7N138|L7N138_MYOLU, tr|G1Q7Y6|G1Q7Y6_MYOLU, tr|L7N1C5|L7N1C5_MYOLU, tr|G1PYF3|G1PYF3_MYOLU, tr|L7N1E4|L7N1E4_MYOLU, tr|G1P6L8|G1P6L8_MYOLU, tr|G1QE51|G1QE51_MYOLU, tr|G1PLE0|G1PLE0_MYOLU, tr|G1QE27|G1QE27_MYOLU, tr|L7N1H2|L7N1H2_MYOLU, tr|G1Q2W9|G1Q2W9_MYOLU, tr|G1PZ32|G1PZ32_MYOLU, tr|G1NTW0|G1NTW0_MYOLU, tr|G1QDY7|G1QDY7_MYOLU, tr|G1P695|G1P695_MYOLU
OG0000010	sp|Q8TBZ8|ZN564_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q15973|ZN124_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|P52737|ZN136_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q9UC07|ZNF69_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|P15621|ZNF44_HUMAN, sp|Q8TA94|ZN563_HUMAN	tr|G1P0R6|G1P0R6_MYOLU
OG0000011	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|I6L899|GOG8R_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN	tr|G1Q9K7|G1Q9K7_MYOLU
OG0000012	sp|A6NI73|LIRA5_HUMAN	tr|G1Q8B8|G1Q8B8_MYOLU, tr|L7N1N5|L7N1N5_MYOLU, tr|G1QB67|G1QB67_MYOLU, tr|G1PCZ5|G1PCZ5_MYOLU, tr|L7N187|L7N187_MYOLU, tr|G1P0T2|G1P0T2_MYOLU, tr|G1PY92|G1PY92_MYOLU, tr|G1PH41|G1PH41_MYOLU, tr|G1Q6G7|G1Q6G7_MYOLU, tr|G1PZU9|G1PZU9_MYOLU, tr|G1PD20|G1PD20_MYOLU, tr|L7N110|L7N110_MYOLU, tr|G1Q3U7|G1Q3U7_MYOLU, tr|G1NV15|G1NV15_MYOLU, tr|L7N0Z2|L7N0Z2_MYOLU, tr|G1Q4C5|G1Q4C5_MYOLU, tr|L7N1G4|L7N1G4_MYOLU, tr|G1QE49|G1QE49_MYOLU, tr|G1NYL8|G1NYL8_MYOLU, tr|G1P4A7|G1P4A7_MYOLU, tr|G1PMH2|G1PMH2_MYOLU, tr|G1NVL4|G1NVL4_MYOLU, tr|L7N1M2|L7N1M2_MYOLU, tr|G1PF29|G1PF29_MYOLU, tr|L7N1F8|L7N1F8_MYOLU, tr|G1QDA6|G1QDA6_MYOLU, tr|G1P066|G1P066_MYOLU, tr|L7N198|L7N198_MYOLU, tr|G1P9P2|G1P9P2_MYOLU, tr|G1P4D0|G1P4D0_MYOLU
OG0000015	sp|Q92527|ANKR7_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q8TDG2|ACTT1_HUMAN, sp|Q8TDY3|ACTT2_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN, sp|P62736|ACTA_HUMAN, sp|P63267|ACTH_HUMAN	tr|G1PTX8|G1PTX8_MYOLU
OG0000016	sp|P47890|OR1G1_HUMAN	tr|G1QAU0|G1QAU0_MYOLU
OG0000016	sp|Q8NHA8|OR1FC_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN	tr|G1Q2U4|G1Q2U4_MYOLU
