Orthogroup	Homo_sapiens	Capra_hircus
OG0000000	sp|Q13595|TRA2A_HUMAN	tr|A0A452EJM4|A0A452EJM4_CAPHI
OG0000000	sp|P62995|TRA2B_HUMAN	tr|A0A452F7I4|A0A452F7I4_CAPHI, tr|A0A452E2J3|A0A452E2J3_CAPHI, tr|A0A452DVZ2|A0A452DVZ2_CAPHI, tr|A0A452DN08|A0A452DN08_CAPHI, tr|A0A452DJN2|A0A452DJN2_CAPHI, tr|A0A452FM25|A0A452FM25_CAPHI, tr|A0A452DKC8|A0A452DKC8_CAPHI, tr|A0A452DM32|A0A452DM32_CAPHI, tr|A0A452DKK4|A0A452DKK4_CAPHI, tr|A0A452ENX8|A0A452ENX8_CAPHI, tr|A0A452FUL9|A0A452FUL9_CAPHI, tr|A0A452ELB4|A0A452ELB4_CAPHI, tr|A0A452F6P0|A0A452F6P0_CAPHI, tr|A0A452E029|A0A452E029_CAPHI, tr|A0A452F5B8|A0A452F5B8_CAPHI, tr|A0A452F811|A0A452F811_CAPHI, tr|A0A452F6N0|A0A452F6N0_CAPHI, tr|A0A452F9F2|A0A452F9F2_CAPHI, tr|A0A452DRJ6|A0A452DRJ6_CAPHI, tr|A0A452F802|A0A452F802_CAPHI, tr|A0A452F8Q5|A0A452F8Q5_CAPHI, tr|A0A452DU74|A0A452DU74_CAPHI, tr|A0A452FCF7|A0A452FCF7_CAPHI, tr|A0A452F7A3|A0A452F7A3_CAPHI, tr|A0A452DQ01|A0A452DQ01_CAPHI, tr|A0A452E009|A0A452E009_CAPHI, tr|A0A452F6D7|A0A452F6D7_CAPHI, tr|A0A452DT21|A0A452DT21_CAPHI, tr|A0A452DSA6|A0A452DSA6_CAPHI, tr|A0A452F8W0|A0A452F8W0_CAPHI, tr|A0A452DR19|A0A452DR19_CAPHI, tr|A0A452DWQ8|A0A452DWQ8_CAPHI, tr|A0A452F7G4|A0A452F7G4_CAPHI, tr|A0A452DZI3|A0A452DZI3_CAPHI, tr|A0A452FAP4|A0A452FAP4_CAPHI, tr|A0A452E7X7|A0A452E7X7_CAPHI, tr|A0A452DRZ1|A0A452DRZ1_CAPHI, tr|A0A452EAZ7|A0A452EAZ7_CAPHI, tr|A0A452DLF6|A0A452DLF6_CAPHI, tr|A0A452F758|A0A452F758_CAPHI, tr|A0A452EAK7|A0A452EAK7_CAPHI, tr|A0A452DLZ8|A0A452DLZ8_CAPHI, tr|A0A452FB87|A0A452FB87_CAPHI, tr|A0A452DZP9|A0A452DZP9_CAPHI, tr|A0A452FCI5|A0A452FCI5_CAPHI, tr|A0A452F7G8|A0A452F7G8_CAPHI, tr|A0A452DRV2|A0A452DRV2_CAPHI, tr|A0A452EML2|A0A452EML2_CAPHI, tr|A0A452DTV4|A0A452DTV4_CAPHI, tr|A0A452DRL7|A0A452DRL7_CAPHI, tr|A0A452F726|A0A452F726_CAPHI, tr|A0A452DV10|A0A452DV10_CAPHI, tr|A0A452FA50|A0A452FA50_CAPHI, tr|A0A452DJM8|A0A452DJM8_CAPHI, tr|A0A452DM70|A0A452DM70_CAPHI, tr|A0A452FBT7|A0A452FBT7_CAPHI, tr|A0A452DWK8|A0A452DWK8_CAPHI, tr|A0A452F8X1|A0A452F8X1_CAPHI, tr|A0A452EEZ1|A0A452EEZ1_CAPHI, tr|A0A452E1F4|A0A452E1F4_CAPHI, tr|A0A452DPB9|A0A452DPB9_CAPHI, tr|A0A452F7T7|A0A452F7T7_CAPHI, tr|A0A452E1W8|A0A452E1W8_CAPHI, tr|A0A452F2D7|A0A452F2D7_CAPHI, tr|A0A452EYS5|A0A452EYS5_CAPHI, tr|A0A452DKF2|A0A452DKF2_CAPHI, tr|A0A452ERB0|A0A452ERB0_CAPHI, tr|A0A452F7U4|A0A452F7U4_CAPHI, tr|A0A452FDK0|A0A452FDK0_CAPHI, tr|A0A452F782|A0A452F782_CAPHI, tr|A0A452DQ64|A0A452DQ64_CAPHI, tr|A0A452DSA8|A0A452DSA8_CAPHI, tr|A0A452F9I9|A0A452F9I9_CAPHI, tr|A0A452DWH7|A0A452DWH7_CAPHI, tr|A0A452DNY2|A0A452DNY2_CAPHI, tr|A0A452F7H1|A0A452F7H1_CAPHI, tr|A0A452EBD4|A0A452EBD4_CAPHI, tr|A0A452DRE1|A0A452DRE1_CAPHI, tr|A0A452EMG3|A0A452EMG3_CAPHI, tr|A0A452FZC9|A0A452FZC9_CAPHI, tr|A0A452DUL7|A0A452DUL7_CAPHI, tr|A0A452FA33|A0A452FA33_CAPHI, tr|A0A452DPK8|A0A452DPK8_CAPHI, tr|A0A452DS69|A0A452DS69_CAPHI, tr|A0A452F696|A0A452F696_CAPHI, tr|A0A452E4R3|A0A452E4R3_CAPHI, tr|A0A452DRE9|A0A452DRE9_CAPHI, tr|A0A452F9W0|A0A452F9W0_CAPHI, tr|A0A452E4D5|A0A452E4D5_CAPHI, tr|A0A452DT64|A0A452DT64_CAPHI, tr|A0A452DYB8|A0A452DYB8_CAPHI, tr|A0A452E646|A0A452E646_CAPHI, tr|A0A452FC77|A0A452FC77_CAPHI, tr|A0A452F610|A0A452F610_CAPHI, tr|A0A452DS81|A0A452DS81_CAPHI, tr|A0A452FA16|A0A452FA16_CAPHI, tr|A0A452F6D8|A0A452F6D8_CAPHI, tr|A0A452F3E1|A0A452F3E1_CAPHI, tr|A0A452F7X4|A0A452F7X4_CAPHI, tr|A0A452F7B6|A0A452F7B6_CAPHI
OG0000002	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A452E9P3|A0A452E9P3_CAPHI
OG0000002	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A452DPC2|A0A452DPC2_CAPHI, tr|A0A452DWN8|A0A452DWN8_CAPHI
OG0000002	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A452DN28|A0A452DN28_CAPHI
OG0000002	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A452E685|A0A452E685_CAPHI
OG0000002	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A452E4F0|A0A452E4F0_CAPHI
OG0000002	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A452E2P0|A0A452E2P0_CAPHI, tr|A0A452DYV2|A0A452DYV2_CAPHI
OG0000002	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A452DYZ5|A0A452DYZ5_CAPHI, tr|A0A452EV70|A0A452EV70_CAPHI, tr|A0A452DZY9|A0A452DZY9_CAPHI, tr|A0A452DML6|A0A452DML6_CAPHI
OG0000003	sp|A0A0A0MRZ8|KVD11_HUMAN	tr|A0A452DS42|A0A452DS42_CAPHI
