Orthogroup	Homo_sapiens	Pongo_abelii
OG0000000	sp|Q96R09|OR5B2_HUMAN	tr|A0A2J8SNI4|A0A2J8SNI4_PONAB
OG0000000	sp|Q8NGM9|OR8D4_HUMAN	tr|A0A2J8X056|A0A2J8X056_PONAB
OG0000000	sp|Q9GZM6|OR8D2_HUMAN	tr|H2NFP6|H2NFP6_PONAB
OG0000000	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A6D2VWB1|A0A6D2VWB1_PONAB
OG0000000	sp|Q8NGG7|OR8A1_HUMAN	tr|H2NFQ3|H2NFQ3_PONAB
OG0000000	sp|Q6IF36|O8G2P_HUMAN	tr|H2NFP2|H2NFP2_PONAB
OG0000000	sp|P0DMU2|OR83P_HUMAN	tr|H2NFP3|H2NFP3_PONAB
OG0000000	sp|Q8NGG6|OR8BC_HUMAN	tr|H2NFQ2|H2NFQ2_PONAB
OG0000000	sp|Q15620|OR8B8_HUMAN	tr|A0A6D2W6W1|A0A6D2W6W1_PONAB
OG0000001	sp|Q8N976|YG039_HUMAN	tr|A0A8I5UBM6|A0A8I5UBM6_PONAB, tr|A0A8I5YKT4|A0A8I5YKT4_PONAB, tr|A0A8I5YJ87|A0A8I5YJ87_PONAB, tr|A0A8I5UF25|A0A8I5UF25_PONAB
OG0000001	sp|A0A096LPI5|GVQW2_HUMAN	tr|A0A8I5T7Y4|A0A8I5T7Y4_PONAB, tr|A0A8I5YK35|A0A8I5YK35_PONAB, tr|A0A8I5T4C1|A0A8I5T4C1_PONAB, tr|A0A8I5UCZ6|A0A8I5UCZ6_PONAB, tr|A0A8I5UYF1|A0A8I5UYF1_PONAB, tr|A0A8I5TXZ9|A0A8I5TXZ9_PONAB, tr|A0A8I5U2L8|A0A8I5U2L8_PONAB, tr|A0A8I5THW0|A0A8I5THW0_PONAB, tr|A0A8I5U5G0|A0A8I5U5G0_PONAB, tr|A0A8I5TW89|A0A8I5TW89_PONAB, tr|A0A8I5T8V2|A0A8I5T8V2_PONAB, tr|A0A8I5YPK6|A0A8I5YPK6_PONAB, tr|A0A8I5UAZ7|A0A8I5UAZ7_PONAB, tr|A0A8I5UXR3|A0A8I5UXR3_PONAB, tr|A0A8I5SY79|A0A8I5SY79_PONAB, tr|A0A8I5TV08|A0A8I5TV08_PONAB
OG0000001	sp|Q96MD7|CI085_HUMAN	tr|A0A8I5YN04|A0A8I5YN04_PONAB, tr|A0A8I5YNG4|A0A8I5YNG4_PONAB, tr|A0A8I5T2Q6|A0A8I5T2Q6_PONAB, tr|A0A8I5U0A1|A0A8I5U0A1_PONAB, tr|A0A8I5TZJ7|A0A8I5TZJ7_PONAB, tr|A0A8I5YPN5|A0A8I5YPN5_PONAB, tr|A0A8I5YPW5|A0A8I5YPW5_PONAB, tr|A0A8I5TTP3|A0A8I5TTP3_PONAB, tr|A0A8I5TYV2|A0A8I5TYV2_PONAB, tr|A0A8I5T9Y1|A0A8I5T9Y1_PONAB, tr|A0A8I5TIJ7|A0A8I5TIJ7_PONAB, tr|H2NHY6|H2NHY6_PONAB
OG0000001	sp|C9J442|CV046_HUMAN	tr|A0A8I5U5N6|A0A8I5U5N6_PONAB, tr|A0A8I5YNU9|A0A8I5YNU9_PONAB, tr|H2N865|H2N865_PONAB, tr|A0A8I5UM80|A0A8I5UM80_PONAB, tr|A0A8I5TWF8|A0A8I5TWF8_PONAB, tr|A0A8I5TXD9|A0A8I5TXD9_PONAB, tr|A0A8I5TN69|A0A8I5TN69_PONAB, tr|A0A8I5TLG2|A0A8I5TLG2_PONAB, tr|H2P305|H2P305_PONAB
OG0000002	sp|Q9Y547|IFT25_HUMAN	tr|A0A8I5U3U7|A0A8I5U3U7_PONAB
