Orthogroup	Homo_sapiens	Cricetulus_griseus
OG0000002	sp|Q8NHY6|ZFP28_HUMAN	tr|G3IDG3|G3IDG3_CRIGR
OG0000002	sp|Q6ZN57|ZFP2_HUMAN, sp|Q9UJN7|ZN391_HUMAN, tr|A0A087WUV0|A0A087WUV0_HUMAN	tr|G3HKT5|G3HKT5_CRIGR
OG0000002	sp|Q8WXB4|ZN606_HUMAN, sp|P17098|ZNF8_HUMAN, sp|Q16587|ZNF74_HUMAN, sp|Q8N9F8|ZN454_HUMAN, sp|Q8N859|ZN713_HUMAN, sp|P52742|ZN135_HUMAN, sp|Q9P2J8|ZN624_HUMAN, sp|B4DU55|ZN879_HUMAN, sp|Q86Y25|Z354C_HUMAN, sp|O60765|Z354A_HUMAN, sp|Q96LW1|Z354B_HUMAN, sp|Q9HBT8|Z286A_HUMAN, sp|P0CG31|Z286B_HUMAN, sp|Q96K75|ZN514_HUMAN, sp|Q99676|ZN184_HUMAN	tr|G3IB85|G3IB85_CRIGR
OG0000002	sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN	tr|G3IF10|G3IF10_CRIGR
OG0000003	sp|A6NMZ5|O4C45_HUMAN	tr|G3IC68|G3IC68_CRIGR, tr|G3HPB2|G3HPB2_CRIGR, tr|G3IC71|G3IC71_CRIGR, tr|G3HPA7|G3HPA7_CRIGR, tr|G3IC67|G3IC67_CRIGR
OG0000003	sp|Q8NH49|OR4X1_HUMAN	tr|G3IC65|G3IC65_CRIGR
OG0000003	sp|Q8NGF9|OR4X2_HUMAN	tr|G3IC64|G3IC64_CRIGR, tr|G3IC58|G3IC58_CRIGR
OG0000003	sp|Q8NH73|OR4S2_HUMAN	tr|G3HNK5|G3HNK5_CRIGR, tr|G3HNK6|G3HNK6_CRIGR
OG0000003	sp|Q8NGF8|OR4B1_HUMAN	tr|G3IC62|G3IC62_CRIGR, tr|G3IC59|G3IC59_CRIGR, tr|G3IC60|G3IC60_CRIGR, tr|G3IC61|G3IC61_CRIGR
OG0000003	sp|Q8NGL7|OR4P4_HUMAN	tr|G3IF34|G3IF34_CRIGR, tr|G3HNL3|G3HNL3_CRIGR, tr|G3HNL2|G3HNL2_CRIGR, tr|G3HNL0|G3HNL0_CRIGR, tr|G3HNL1|G3HNL1_CRIGR, tr|G3HNL4|G3HNL4_CRIGR
OG0000003	sp|Q8NGM1|OR4CF_HUMAN	tr|G3HPC0|G3HPC0_CRIGR, tr|G3HPC1|G3HPC1_CRIGR, tr|G3HPC2|G3HPC2_CRIGR, tr|G3HPC3|G3HPC3_CRIGR, tr|G3HPC4|G3HPC4_CRIGR
OG0000003	sp|Q8NH37|OR4C3_HUMAN	tr|G3IC66|G3IC66_CRIGR, tr|G3IC70|G3IC70_CRIGR
