Orthogroup	Mus_musculus	Bos_taurus
OG0000007	sp|G3X9G7|ZN809_MOUSE	tr|F1MV59|F1MV59_BOVIN
OG0000007	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A3Q1NEG3|A0A3Q1NEG3_BOVIN, tr|A0A3Q1MPK1|A0A3Q1MPK1_BOVIN, tr|E1BCD4|E1BCD4_BOVIN, tr|A0A3Q1LW49|A0A3Q1LW49_BOVIN, tr|G3N0T2|G3N0T2_BOVIN, tr|F1N7K0|F1N7K0_BOVIN, sp|Q2KI58|ZN181_BOVIN, tr|A6QNV5|A6QNV5_BOVIN, tr|A0A3Q1N3P1|A0A3Q1N3P1_BOVIN, tr|G3N009|G3N009_BOVIN, sp|Q3SYV7|ZN345_BOVIN, tr|Q2KJ67|Q2KJ67_BOVIN
OG0000007	tr|E9Q3R6|E9Q3R6_MOUSE	tr|F1MKQ4|F1MKQ4_BOVIN, tr|F1ML18|F1ML18_BOVIN, tr|A0A3Q1NBX2|A0A3Q1NBX2_BOVIN
OG0000009	tr|L7N2D8|L7N2D8_MOUSE, tr|G3XA45|G3XA45_MOUSE, tr|K7N702|K7N702_MOUSE, tr|E9PW21|E9PW21_MOUSE, tr|D3Z7M3|D3Z7M3_MOUSE, tr|D3Z4N8|D3Z4N8_MOUSE, tr|K7N6T2|K7N6T2_MOUSE, tr|L7N2B3|L7N2B3_MOUSE, tr|G5E8Z7|G5E8Z7_MOUSE, tr|A0A3B2W842|A0A3B2W842_MOUSE, tr|K7N6U5|K7N6U5_MOUSE, tr|E9Q067|E9Q067_MOUSE, tr|L7N2B7|L7N2B7_MOUSE, tr|E9Q3F5|E9Q3F5_MOUSE, tr|G3X931|G3X931_MOUSE, tr|E9Q281|E9Q281_MOUSE, tr|K7N6V1|K7N6V1_MOUSE, tr|E9Q0E7|E9Q0E7_MOUSE, sp|E9Q6I0|V2116_MOUSE, tr|L7N221|L7N221_MOUSE, tr|K7N674|K7N674_MOUSE, tr|A0A140T8U3|A0A140T8U3_MOUSE, tr|E9PZA6|E9PZA6_MOUSE, tr|L7N2B2|L7N2B2_MOUSE, tr|L7N203|L7N203_MOUSE, tr|L7N2D4|L7N2D4_MOUSE, tr|L7N2B5|L7N2B5_MOUSE, tr|E9PVI0|E9PVI0_MOUSE, tr|F8VQD3|F8VQD3_MOUSE, tr|K7N709|K7N709_MOUSE, tr|K7N5W1|K7N5W1_MOUSE, tr|E9Q5D8|E9Q5D8_MOUSE, tr|F6W043|F6W043_MOUSE, tr|E9Q5C7|E9Q5C7_MOUSE, tr|K7N741|K7N741_MOUSE, tr|L7N215|L7N215_MOUSE, tr|D3Z6L3|D3Z6L3_MOUSE, tr|K7N686|K7N686_MOUSE, tr|O35192|O35192_MOUSE, tr|K7N705|K7N705_MOUSE, tr|G3UYA8|G3UYA8_MOUSE, tr|L7N2E1|L7N2E1_MOUSE, tr|L7N1Z4|L7N1Z4_MOUSE, tr|E9PW61|E9PW61_MOUSE, tr|L7N2E5|L7N2E5_MOUSE, tr|Q80Z08|Q80Z08_MOUSE, tr|E9Q7U8|E9Q7U8_MOUSE	tr|A0A3Q1LTC0|A0A3Q1LTC0_BOVIN
OG0000022	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|E1B7L5|E1B7L5_BOVIN
OG0000022	tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q8VG45|Q8VG45_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE	tr|F1N6X0|F1N6X0_BOVIN
OG0000024	tr|Q8CF20|Q8CF20_MOUSE	tr|A0A3Q1LV86|A0A3Q1LV86_BOVIN, tr|A0A3Q1LUE6|A0A3Q1LUE6_BOVIN, tr|A0A3Q1MER6|A0A3Q1MER6_BOVIN, tr|A0A3Q1M748|A0A3Q1M748_BOVIN, tr|G3MY53|G3MY53_BOVIN, tr|G3X713|G3X713_BOVIN, tr|A0A3Q1N0S8|A0A3Q1N0S8_BOVIN, tr|E1BEJ5|E1BEJ5_BOVIN, tr|F1MBW2|F1MBW2_BOVIN, tr|A0A3Q1M6C7|A0A3Q1M6C7_BOVIN, tr|F1N134|F1N134_BOVIN, tr|A0A3Q1LZI0|A0A3Q1LZI0_BOVIN, tr|A0A3Q1LWU7|A0A3Q1LWU7_BOVIN, tr|F1MK14|F1MK14_BOVIN, tr|F1MVZ3|F1MVZ3_BOVIN, tr|E1BKR7|E1BKR7_BOVIN, tr|A0A3Q1LU78|A0A3Q1LU78_BOVIN, tr|F1MY83|F1MY83_BOVIN, tr|A0A3Q1MSR9|A0A3Q1MSR9_BOVIN, tr|E1B8F8|E1B8F8_BOVIN, tr|A0A3Q1LX57|A0A3Q1LX57_BOVIN, tr|F1MB05|F1MB05_BOVIN, tr|A0A3Q1LK70|A0A3Q1LK70_BOVIN, tr|A0A3Q1MB53|A0A3Q1MB53_BOVIN, tr|A0A3Q1LLA9|A0A3Q1LLA9_BOVIN, tr|Q0II56|Q0II56_BOVIN, tr|A0A3Q1N1E2|A0A3Q1N1E2_BOVIN, tr|F1MLH2|F1MLH2_BOVIN, tr|A0A3Q1MU21|A0A3Q1MU21_BOVIN, tr|A0A3Q1M3I8|A0A3Q1M3I8_BOVIN, tr|A0A3Q1MPT5|A0A3Q1MPT5_BOVIN
OG0000025	tr|A2AV11|A2AV11_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE	tr|G5E5J4|G5E5J4_BOVIN, tr|G3N0V4|G3N0V4_BOVIN
OG0000029	sp|P11260|LORF1_MOUSE	tr|A0A3Q1NFE8|A0A3Q1NFE8_BOVIN, tr|A0A3Q1N5B9|A0A3Q1N5B9_BOVIN, tr|A0A3Q1ME35|A0A3Q1ME35_BOVIN, tr|A0A3Q1MMG7|A0A3Q1MMG7_BOVIN, tr|A0A3Q1MA71|A0A3Q1MA71_BOVIN, tr|A0A3Q1LU73|A0A3Q1LU73_BOVIN, tr|A0A3Q1LX82|A0A3Q1LX82_BOVIN, tr|A0A3Q1LIS9|A0A3Q1LIS9_BOVIN, tr|A0A3Q1NBJ3|A0A3Q1NBJ3_BOVIN, tr|A0A3Q1M0N3|A0A3Q1M0N3_BOVIN, tr|A0A3Q1MF76|A0A3Q1MF76_BOVIN, tr|A0A3Q1M0E3|A0A3Q1M0E3_BOVIN, tr|A0A3Q1M1M0|A0A3Q1M1M0_BOVIN, tr|A0A3Q1LWU6|A0A3Q1LWU6_BOVIN, tr|A0A3Q1M2T1|A0A3Q1M2T1_BOVIN, tr|A0A3Q1M7Y7|A0A3Q1M7Y7_BOVIN, tr|A0A3Q1MSE1|A0A3Q1MSE1_BOVIN, tr|A0A3Q1LHV7|A0A3Q1LHV7_BOVIN, tr|A0A3Q1LGL8|A0A3Q1LGL8_BOVIN, tr|A0A3Q1ME29|A0A3Q1ME29_BOVIN, tr|A0A3Q1MCZ9|A0A3Q1MCZ9_BOVIN, tr|A0A3Q1LIS2|A0A3Q1LIS2_BOVIN, tr|A0A3Q1MHT4|A0A3Q1MHT4_BOVIN, tr|A0A3Q1MZV6|A0A3Q1MZV6_BOVIN, tr|A0A3Q1LSZ8|A0A3Q1LSZ8_BOVIN, tr|A0A3Q1MMS9|A0A3Q1MMS9_BOVIN
OG0000031	tr|Q78T27|Q78T27_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, sp|Q61400|CEAMA_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q62056|Q62056_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q497W1|Q497W1_MOUSE	tr|A0A3Q1N5Z4|A0A3Q1N5Z4_BOVIN
