Orthogroup	Homo_sapiens	Fukomys_damarensis
OG0000003	sp|Q6IFN5|O7E24_HUMAN	tr|A0A091D961|A0A091D961_FUKDA, tr|A0A091D9F1|A0A091D9F1_FUKDA, tr|A0A091E0P5|A0A091E0P5_FUKDA, tr|A0A091E2X4|A0A091E2X4_FUKDA, tr|A0A091E2H7|A0A091E2H7_FUKDA, tr|A0A091EMQ5|A0A091EMQ5_FUKDA, tr|A0A091DI52|A0A091DI52_FUKDA, tr|A0A091E1D3|A0A091E1D3_FUKDA, tr|A0A091E0N9|A0A091E0N9_FUKDA, tr|A0A091E502|A0A091E502_FUKDA, tr|A0A091EFZ3|A0A091EFZ3_FUKDA, tr|A0A091DQB7|A0A091DQB7_FUKDA, tr|A0A091CRG2|A0A091CRG2_FUKDA, tr|A0A091CQM4|A0A091CQM4_FUKDA, tr|A0A091DCF1|A0A091DCF1_FUKDA, tr|A0A091E107|A0A091E107_FUKDA, tr|A0A091DE44|A0A091DE44_FUKDA, tr|A0A091CP02|A0A091CP02_FUKDA, tr|A0A091EGK2|A0A091EGK2_FUKDA, tr|A0A091E2G1|A0A091E2G1_FUKDA, tr|A0A091DCV1|A0A091DCV1_FUKDA, tr|A0A091DFW7|A0A091DFW7_FUKDA, tr|A0A091DE49|A0A091DE49_FUKDA, tr|A0A091D9F5|A0A091D9F5_FUKDA, tr|A0A091DFW2|A0A091DFW2_FUKDA, tr|A0A091E2W5|A0A091E2W5_FUKDA, tr|A0A091E102|A0A091E102_FUKDA, tr|A0A091E111|A0A091E111_FUKDA, tr|A0A091CQL8|A0A091CQL8_FUKDA, tr|A0A091CQL4|A0A091CQL4_FUKDA, tr|A0A091CLE2|A0A091CLE2_FUKDA, tr|A0A091D9U0|A0A091D9U0_FUKDA, tr|A0A091DJN1|A0A091DJN1_FUKDA, tr|A0A091E0U1|A0A091E0U1_FUKDA, tr|A0A091DCU6|A0A091DCU6_FUKDA, tr|A0A091D9T0|A0A091D9T0_FUKDA, tr|A0A091DW56|A0A091DW56_FUKDA, tr|A0A091DE40|A0A091DE40_FUKDA, tr|A0A091DCG1|A0A091DCG1_FUKDA, tr|A0A091E2H2|A0A091E2H2_FUKDA, tr|A0A091DVL7|A0A091DVL7_FUKDA, tr|A0A091EMP9|A0A091EMP9_FUKDA, tr|A0A091E0X9|A0A091E0X9_FUKDA, tr|A0A091E4J6|A0A091E4J6_FUKDA, tr|A0A091DW49|A0A091DW49_FUKDA, tr|A0A091DHH6|A0A091DHH6_FUKDA, tr|A0A091E4D8|A0A091E4D8_FUKDA, tr|A0A091DCF7|A0A091DCF7_FUKDA, tr|A0A091DLL6|A0A091DLL6_FUKDA, tr|A0A091E4E8|A0A091E4E8_FUKDA, tr|A0A091E2U9|A0A091E2U9_FUKDA, tr|A0A091DGB1|A0A091DGB1_FUKDA, tr|A0A091DER2|A0A091DER2_FUKDA, tr|A0A091E0X6|A0A091E0X6_FUKDA, tr|A0A091DI46|A0A091DI46_FUKDA, tr|A0A091DXQ5|A0A091DXQ5_FUKDA, tr|A0A091E4E4|A0A091E4E4_FUKDA
OG0000006	sp|P43628|KI2L3_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43627|KI2L2_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q9H7L2|KI3X1_HUMAN, sp|Q8IYS5|OSCAR_HUMAN, sp|Q8N6C5|IGSF1_HUMAN, sp|Q6UX27|VSTM1_HUMAN, sp|B6A8C7|TARM1_HUMAN, sp|Q6ISS4|LAIR2_HUMAN, sp|Q6GTX8|LAIR1_HUMAN, sp|P24071|FCAR_HUMAN, sp|A6NI73|LIRA5_HUMAN, sp|O75023|LIRB5_HUMAN, sp|Q8NHL6|LIRB1_HUMAN, sp|Q8N423|LIRB2_HUMAN, sp|O75022|LIRB3_HUMAN, sp|O75019|LIRA1_HUMAN, sp|Q8N6C8|LIRA3_HUMAN, sp|Q8N149|LIRA2_HUMAN, sp|P59901|LIRA4_HUMAN, sp|Q6PI73|LIRA6_HUMAN, sp|Q8NHJ6|LIRB4_HUMAN, sp|O76036|NCTR1_HUMAN, sp|Q9HCN6|GPVI_HUMAN	tr|A0A091DWH9|A0A091DWH9_FUKDA
OG0000008	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A091D9A0|A0A091D9A0_FUKDA
OG0000008	sp|Q8NGS1|OR1J4_HUMAN	tr|A0A091CN77|A0A091CN77_FUKDA
OG0000008	sp|Q8NGS3|OR1J1_HUMAN	tr|A0A091DZW8|A0A091DZW8_FUKDA, tr|A0A091DUP8|A0A091DUP8_FUKDA, tr|A0A091DZG2|A0A091DZG2_FUKDA, tr|A0A091DZX0|A0A091DZX0_FUKDA, tr|A0A091DMX6|A0A091DMX6_FUKDA, tr|A0A091CPA9|A0A091CPA9_FUKDA, tr|A0A091DXN5|A0A091DXN5_FUKDA, tr|A0A091D1V3|A0A091D1V3_FUKDA, tr|A0A091DZF8|A0A091DZF8_FUKDA, tr|A0A091EJY6|A0A091EJY6_FUKDA, tr|A0A091DXN1|A0A091DXN1_FUKDA, tr|A0A091CL15|A0A091CL15_FUKDA, tr|A0A091D0W0|A0A091D0W0_FUKDA, tr|A0A091DUP4|A0A091DUP4_FUKDA, tr|A0A091D3I2|A0A091D3I2_FUKDA, tr|A0A091D833|A0A091D833_FUKDA, tr|A0A091D8S1|A0A091D8S1_FUKDA, tr|A0A091D3H9|A0A091D3H9_FUKDA, tr|A0A091DV42|A0A091DV42_FUKDA, tr|A0A091D6G1|A0A091D6G1_FUKDA, tr|A0A091CPB8|A0A091CPB8_FUKDA, tr|A0A091CL22|A0A091CL22_FUKDA, tr|A0A091DPP5|A0A091DPP5_FUKDA, tr|A0A091D3K7|A0A091D3K7_FUKDA, tr|A0A091D2P5|A0A091D2P5_FUKDA, tr|A0A091D1D3|A0A091D1D3_FUKDA, tr|A0A091CY93|A0A091CY93_FUKDA, tr|A0A091CXZ9|A0A091CXZ9_FUKDA, tr|A0A091CN81|A0A091CN81_FUKDA, tr|A0A091CL27|A0A091CL27_FUKDA, tr|A0A091DRQ1|A0A091DRQ1_FUKDA, tr|A0A091D073|A0A091D073_FUKDA, tr|A0A091D387|A0A091D387_FUKDA, tr|A0A091DRR2|A0A091DRR2_FUKDA, tr|A0A091DC33|A0A091DC33_FUKDA, tr|A0A091CQH6|A0A091CQH6_FUKDA, tr|A0A091CRF9|A0A091CRF9_FUKDA, tr|A0A091CQ59|A0A091CQ59_FUKDA
OG0000009	sp|Q9Y5A6|ZSC21_HUMAN	tr|A0A091E2B5|A0A091E2B5_FUKDA
OG0000009	sp|Q9UNY5|ZN232_HUMAN	tr|A0A091CWC0|A0A091CWC0_FUKDA
OG0000009	sp|P28698|MZF1_HUMAN, sp|Q15697|ZN174_HUMAN, sp|P57086|SCND1_HUMAN, tr|A0A8I5KTY6|A0A8I5KTY6_HUMAN, sp|Q8NAM6|ZSCA4_HUMAN, sp|Q9UL58|ZN215_HUMAN, sp|P10073|ZSC22_HUMAN, sp|Q8NBB4|ZSCA1_HUMAN, sp|P52743|ZN137_HUMAN, sp|Q9GZU2|PEG3_HUMAN, sp|Q6ZRF7|ZN818_HUMAN, sp|Q499Z4|ZN672_HUMAN, sp|Q8N0Y2|ZN444_HUMAN, sp|Q86W11|ZSC30_HUMAN	tr|A0A091DX59|A0A091DX59_FUKDA
OG0000009	sp|Q969J2|ZKSC4_HUMAN, sp|Q9BRR0|ZKSC3_HUMAN, sp|Q15776|ZKSC8_HUMAN, sp|O14771|ZN213_HUMAN, sp|O60304|ZN500_HUMAN, sp|Q9GZW5|SCND2_HUMAN, sp|Q9Y2L8|ZKSC5_HUMAN, sp|P17029|ZKSC1_HUMAN	tr|A0A091E0H9|A0A091E0H9_FUKDA
OG0000009	sp|Q3MJ62|ZSC23_HUMAN	tr|A0A091DCI3|A0A091DCI3_FUKDA
