Orthogroup	Mus_musculus	Macaca_nemestrina
OG0000002	sp|Q60879|OLF3_MOUSE	tr|A0A2K6B429|A0A2K6B429_MACNE
OG0000002	tr|Q7TRY4|Q7TRY4_MOUSE, tr|Q8VFE6|Q8VFE6_MOUSE, tr|Q8VFP4|Q8VFP4_MOUSE, tr|A0A140T8Q2|A0A140T8Q2_MOUSE, tr|Q8VFT2|Q8VFT2_MOUSE, tr|Q8VFP6|Q8VFP6_MOUSE	tr|A0A2K6BCC1|A0A2K6BCC1_MACNE
OG0000002	tr|Q8VFD9|Q8VFD9_MOUSE, tr|Q8VFE1|Q8VFE1_MOUSE, tr|Q8VFE4|Q8VFE4_MOUSE, tr|Q8VFA1|Q8VFA1_MOUSE, tr|Q7TRK4|Q7TRK4_MOUSE, tr|A0A1W2P740|A0A1W2P740_MOUSE, sp|Q8VFM9|OLF24_MOUSE, tr|Q8VGB9|Q8VGB9_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q8VEU7|Q8VEU7_MOUSE, tr|Q8VFP5|Q8VFP5_MOUSE, tr|B9EHG2|B9EHG2_MOUSE, tr|Q8VGJ8|Q8VGJ8_MOUSE, tr|Q7TQU7|Q7TQU7_MOUSE, tr|Q8VGK0|Q8VGK0_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE, tr|Q7TRX0|Q7TRX0_MOUSE, tr|B1ARL3|B1ARL3_MOUSE	tr|A0A2K6E8S6|A0A2K6E8S6_MACNE
OG0000003	tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|Q7TR16|Q7TR16_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE	tr|A0A2K6BX90|A0A2K6BX90_MACNE
OG0000004	tr|E9Q554|E9Q554_MOUSE	tr|A0A2K6CCA9|A0A2K6CCA9_MACNE
OG0000004	tr|Q8VH13|Q8VH13_MOUSE	tr|A0A2K6D9X1|A0A2K6D9X1_MACNE
OG0000004	tr|Q8VH16|Q8VH16_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE	tr|A0A2K6EB46|A0A2K6EB46_MACNE
OG0000004	tr|Q8VGY4|Q8VGY4_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE	tr|A0A2K6C8S2|A0A2K6C8S2_MACNE
OG0000004	tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE	tr|A0A2K6EB25|A0A2K6EB25_MACNE
OG0000004	tr|Q924X8|Q924X8_MOUSE	tr|A0A2K6BTI9|A0A2K6BTI9_MACNE
