Orthogroup	Homo_sapiens	Nyctereutes_procyonoides
OG0000001	sp|P04406|G3P_HUMAN	tr|A0A811YTA9|A0A811YTA9_NYCPR, tr|A0A811ZI86|A0A811ZI86_NYCPR, tr|A0A811ZQD9|A0A811ZQD9_NYCPR, tr|A0A811Z1G7|A0A811Z1G7_NYCPR, tr|A0A811Z126|A0A811Z126_NYCPR, tr|A0A811YFA3|A0A811YFA3_NYCPR, tr|A0A811YDK5|A0A811YDK5_NYCPR, tr|A0A811ZKL4|A0A811ZKL4_NYCPR, tr|A0A811YXD3|A0A811YXD3_NYCPR, tr|A0A811YEI4|A0A811YEI4_NYCPR, tr|A0A811ZTD5|A0A811ZTD5_NYCPR, tr|A0A811XY62|A0A811XY62_NYCPR, tr|A0A811Y5Z5|A0A811Y5Z5_NYCPR, tr|A0A811YKR7|A0A811YKR7_NYCPR, tr|A0A811Z285|A0A811Z285_NYCPR, tr|A0A811YES7|A0A811YES7_NYCPR, tr|A0A811Z901|A0A811Z901_NYCPR, tr|A0A811ZPU6|A0A811ZPU6_NYCPR, tr|A0A811ZHC5|A0A811ZHC5_NYCPR, tr|A0A811ZXM2|A0A811ZXM2_NYCPR, tr|A0A811YVI5|A0A811YVI5_NYCPR, tr|A0A811XRQ6|A0A811XRQ6_NYCPR, tr|A0A811Z6H8|A0A811Z6H8_NYCPR, tr|A0A811YQI7|A0A811YQI7_NYCPR, tr|A0A811YHH3|A0A811YHH3_NYCPR, tr|A0A811YI65|A0A811YI65_NYCPR, tr|A0A811Y7U4|A0A811Y7U4_NYCPR, tr|A0A811YAH4|A0A811YAH4_NYCPR, tr|A0A811Z1H4|A0A811Z1H4_NYCPR, tr|A0A811ZGL2|A0A811ZGL2_NYCPR, tr|A0A811YTD4|A0A811YTD4_NYCPR, tr|A0A811ZW80|A0A811ZW80_NYCPR, tr|A0A811XTV4|A0A811XTV4_NYCPR, tr|A0A811YRD1|A0A811YRD1_NYCPR, tr|A0A811XSU6|A0A811XSU6_NYCPR, tr|A0A811YKV6|A0A811YKV6_NYCPR, tr|A0A811YRY2|A0A811YRY2_NYCPR, tr|A0A811YAH7|A0A811YAH7_NYCPR, tr|A0A811XTA4|A0A811XTA4_NYCPR, tr|A0A811Z6Z9|A0A811Z6Z9_NYCPR, tr|A0A811Y3Y9|A0A811Y3Y9_NYCPR, tr|A0A811ZGU8|A0A811ZGU8_NYCPR, tr|A0A811YJT0|A0A811YJT0_NYCPR, tr|A0A811ZEU4|A0A811ZEU4_NYCPR, tr|A0A811Y1T9|A0A811Y1T9_NYCPR, tr|A0A811Z955|A0A811Z955_NYCPR, tr|A0A811YUB5|A0A811YUB5_NYCPR, tr|A0A811Z1D3|A0A811Z1D3_NYCPR, tr|A0A811Z4X9|A0A811Z4X9_NYCPR, tr|A0A811Z5E2|A0A811Z5E2_NYCPR, tr|A0A811ZBD7|A0A811ZBD7_NYCPR, tr|A0A811Y2Y3|A0A811Y2Y3_NYCPR, tr|A0A811ZXT7|A0A811ZXT7_NYCPR, tr|A0A811YAI5|A0A811YAI5_NYCPR, tr|A0A811ZW46|A0A811ZW46_NYCPR, tr|A0A811Y8T8|A0A811Y8T8_NYCPR, tr|A0A811Y4U2|A0A811Y4U2_NYCPR, tr|A0A811YK84|A0A811YK84_NYCPR, tr|A0A811Y601|A0A811Y601_NYCPR, tr|A0A811Y434|A0A811Y434_NYCPR, tr|A0A811YT54|A0A811YT54_NYCPR, tr|A0A811ZSD6|A0A811ZSD6_NYCPR, tr|A0A811Z8N8|A0A811Z8N8_NYCPR
OG0000007	sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN	tr|A0A811XPR5|A0A811XPR5_NYCPR, tr|A0A811YS70|A0A811YS70_NYCPR
OG0000007	tr|A0A075B7B8|A0A075B7B8_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, sp|P01762|HV311_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01763|HV348_HUMAN, sp|P01780|HV307_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN	tr|A0A811XS64|A0A811XS64_NYCPR
OG0000009	sp|Q7RTS7|K2C74_HUMAN	tr|A0A811YYR3|A0A811YYR3_NYCPR
OG0000009	sp|Q86Y46|K2C73_HUMAN	tr|A0A811YZN8|A0A811YZN8_NYCPR
OG0000009	sp|Q3SY84|K2C71_HUMAN	tr|A0A811Z470|A0A811Z470_NYCPR
OG0000009	sp|Q14CN4|K2C72_HUMAN	tr|A0A811YYD0|A0A811YYD0_NYCPR
OG0000009	sp|P19013|K2C4_HUMAN	tr|A0A811YZP8|A0A811YZP8_NYCPR
OG0000009	sp|Q7Z794|K2C1B_HUMAN	tr|A0A811YYR2|A0A811YYR2_NYCPR
OG0000009	sp|P04264|K2C1_HUMAN	tr|A0A811YY24|A0A811YY24_NYCPR
