Orthogroup	Mus_musculus	Bos_mutus
OG0000002	sp|G3X9G7|ZN809_MOUSE	tr|L8HR24|L8HR24_9CETA
OG0000002	sp|P17141|ZFP37_MOUSE	tr|L8IG21|L8IG21_9CETA, tr|L8HYC3|L8HYC3_9CETA, tr|L8HLJ5|L8HLJ5_9CETA, tr|L8HWV0|L8HWV0_9CETA, tr|L8HK42|L8HK42_9CETA, tr|L8HMI6|L8HMI6_9CETA
OG0000002	tr|E9Q3R6|E9Q3R6_MOUSE	tr|L8IZ90|L8IZ90_9CETA, tr|L8I9V8|L8I9V8_9CETA
OG0000002	sp|Q61967|ZFP90_MOUSE	tr|L8II35|L8II35_9CETA
OG0000002	sp|A2A761|ZFP69_MOUSE	tr|L8J3J6|L8J3J6_9CETA, tr|L8IGS5|L8IGS5_9CETA, tr|L8I0E3|L8I0E3_9CETA
OG0000002	sp|Q8BGV5|ZNF8_MOUSE	tr|L8I606|L8I606_9CETA, tr|L8I7P2|L8I7P2_9CETA
OG0000002	tr|Q80Y34|Q80Y34_MOUSE	tr|L8IHR4|L8IHR4_9CETA, tr|L8IRB1|L8IRB1_9CETA, tr|L8IYV9|L8IYV9_9CETA, tr|L8HUI2|L8HUI2_9CETA
OG0000002	tr|Q9CXH3|Q9CXH3_MOUSE	tr|L8IZF2|L8IZF2_9CETA, tr|L8J330|L8J330_9CETA, tr|L8IIV3|L8IIV3_9CETA, tr|L8HP03|L8HP03_9CETA, tr|L8I4P4|L8I4P4_9CETA, tr|L8J3N4|L8J3N4_9CETA
OG0000002	sp|Q6P560|ZN182_MOUSE	tr|L8J1G5|L8J1G5_9CETA, tr|L8I0E0|L8I0E0_9CETA, tr|L8I0C8|L8I0C8_9CETA, tr|L8I223|L8I223_9CETA, tr|L8HLC3|L8HLC3_9CETA, tr|L8INT6|L8INT6_9CETA, tr|L8I3M7|L8I3M7_9CETA, tr|L8I657|L8I657_9CETA, tr|L8IXN0|L8IXN0_9CETA, tr|L8HQ87|L8HQ87_9CETA
OG0000009	sp|Q8BQR7|MAGBI_MOUSE	tr|L8IYW7|L8IYW7_9CETA
OG0000009	tr|G3UW88|G3UW88_MOUSE	tr|L8ISX4|L8ISX4_9CETA, tr|L8ISC5|L8ISC5_9CETA, tr|L8I4S3|L8I4S3_9CETA, tr|L8J457|L8J457_9CETA, tr|L8HTT5|L8HTT5_9CETA, tr|L8I258|L8I258_9CETA, tr|L8HN93|L8HN93_9CETA, tr|L8HMI3|L8HMI3_9CETA, tr|L8ILA0|L8ILA0_9CETA, tr|L8IP09|L8IP09_9CETA, tr|L8HRC6|L8HRC6_9CETA, tr|L8IAQ4|L8IAQ4_9CETA, tr|L8I0X7|L8I0X7_9CETA, tr|L8IXP5|L8IXP5_9CETA, tr|L8IXP1|L8IXP1_9CETA, tr|L8J1X0|L8J1X0_9CETA, tr|L8HYK9|L8HYK9_9CETA, tr|L8IH17|L8IH17_9CETA, tr|L8I931|L8I931_9CETA, tr|L8IRD3|L8IRD3_9CETA, tr|L8IT10|L8IT10_9CETA, tr|L8ITX4|L8ITX4_9CETA, tr|L8I4E6|L8I4E6_9CETA, tr|L8HN73|L8HN73_9CETA, tr|L8HMI8|L8HMI8_9CETA, tr|L8HQ52|L8HQ52_9CETA, tr|L8I2R8|L8I2R8_9CETA, tr|L8J3G4|L8J3G4_9CETA, tr|L8HRK2|L8HRK2_9CETA, tr|L8J580|L8J580_9CETA, tr|L8HSF1|L8HSF1_9CETA, tr|L8HPR9|L8HPR9_9CETA, tr|L8HJQ0|L8HJQ0_9CETA, tr|L8IWK3|L8IWK3_9CETA, tr|L8HSJ0|L8HSJ0_9CETA, tr|L8ISX8|L8ISX8_9CETA, tr|L8J4E7|L8J4E7_9CETA, tr|L8I1P0|L8I1P0_9CETA, tr|L8HJP3|L8HJP3_9CETA, tr|L8HQ09|L8HQ09_9CETA, tr|L8IVL2|L8IVL2_9CETA, tr|L8HNL9|L8HNL9_9CETA, tr|L8HKU5|L8HKU5_9CETA, tr|L8I6Q0|L8I6Q0_9CETA, tr|L8HTJ1|L8HTJ1_9CETA, tr|L8ID75|L8ID75_9CETA, tr|L8HQP7|L8HQP7_9CETA, tr|L8HP25|L8HP25_9CETA
OG0000014	tr|E9PWF9|E9PWF9_MOUSE	tr|L8IT73|L8IT73_9CETA
OG0000014	tr|Q8VFC2|Q8VFC2_MOUSE	tr|L8HKK8|L8HKK8_9CETA, tr|L8I601|L8I601_9CETA, tr|L8IKC0|L8IKC0_9CETA, tr|L8IX66|L8IX66_9CETA, tr|L8I6T3|L8I6T3_9CETA, tr|L8HTV7|L8HTV7_9CETA, tr|L8HM17|L8HM17_9CETA, tr|L8HRJ1|L8HRJ1_9CETA, tr|L8I609|L8I609_9CETA
OG0000014	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|L8HQX9|L8HQX9_9CETA, tr|L8HS61|L8HS61_9CETA
OG0000014	tr|Q7TQU0|Q7TQU0_MOUSE	tr|L8IUU6|L8IUU6_9CETA, tr|L8IWI9|L8IWI9_9CETA, tr|L8III6|L8III6_9CETA, tr|L8HJJ3|L8HJJ3_9CETA, tr|L8IT78|L8IT78_9CETA, tr|L8HKN4|L8HKN4_9CETA, tr|L8ITR7|L8ITR7_9CETA, tr|L8HY75|L8HY75_9CETA, tr|L8I0H7|L8I0H7_9CETA
OG0000014	sp|Q60890|OLF11_MOUSE	tr|L8I0I1|L8I0I1_9CETA, tr|L8HY72|L8HY72_9CETA, tr|L8HZQ0|L8HZQ0_9CETA, tr|L8HX20|L8HX20_9CETA, tr|L8HXX8|L8HXX8_9CETA, tr|L8I9M8|L8I9M8_9CETA, tr|L8HY79|L8HY79_9CETA, tr|L8I605|L8I605_9CETA, tr|L8HZQ6|L8HZQ6_9CETA, tr|L8HX25|L8HX25_9CETA, tr|L8HM85|L8HM85_9CETA
OG0000020	tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q8VF26|Q8VF26_MOUSE, tr|Q8VEU0|Q8VEU0_MOUSE, tr|Q8VGJ0|Q8VGJ0_MOUSE, tr|Q8VGC4|Q8VGC4_MOUSE, tr|Q8K501|Q8K501_MOUSE, tr|Q8VG45|Q8VG45_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE	tr|L8IN61|L8IN61_9CETA
