Orthogroup	Homo_sapiens	Microtus_ochrogaster
OG0000000	sp|P04406|G3P_HUMAN	tr|A0A8J6H1E4|A0A8J6H1E4_MICOH, tr|A0A8J6GV00|A0A8J6GV00_MICOH, tr|A0A8J6GUD4|A0A8J6GUD4_MICOH, tr|A0A8J6GSW7|A0A8J6GSW7_MICOH, tr|A0A8J6GJY6|A0A8J6GJY6_MICOH, tr|A0A8J6L5M9|A0A8J6L5M9_MICOH, tr|A0A8J6H1J8|A0A8J6H1J8_MICOH
OG0000000	sp|O14556|G3PT_HUMAN	tr|A0A8J6KSW2|A0A8J6KSW2_MICOH, tr|A0A8J6KP49|A0A8J6KP49_MICOH, tr|A0A8J6GIB8|A0A8J6GIB8_MICOH, tr|A0A8J6KZ60|A0A8J6KZ60_MICOH, tr|A0A8J6G228|A0A8J6G228_MICOH, tr|A0A8J6GXW4|A0A8J6GXW4_MICOH, tr|A0A8J6G9D0|A0A8J6G9D0_MICOH, tr|A0A8J6FW62|A0A8J6FW62_MICOH, tr|A0A8J6L384|A0A8J6L384_MICOH, tr|A0A8J6GE39|A0A8J6GE39_MICOH, tr|A0A8J6L2C7|A0A8J6L2C7_MICOH, tr|A0A8J6GE10|A0A8J6GE10_MICOH, tr|A0A8J6KZZ6|A0A8J6KZZ6_MICOH, tr|A0A8J6GGQ8|A0A8J6GGQ8_MICOH, tr|A0A8J6G342|A0A8J6G342_MICOH, tr|A0A8J6G319|A0A8J6G319_MICOH, tr|A0A8J6GSQ2|A0A8J6GSQ2_MICOH, tr|A0A8J6G7L1|A0A8J6G7L1_MICOH, tr|A0A8J6GL73|A0A8J6GL73_MICOH, tr|A0A8J6GNF3|A0A8J6GNF3_MICOH, tr|A0A8J6G0E3|A0A8J6G0E3_MICOH, tr|A0A8J6H1W1|A0A8J6H1W1_MICOH, tr|A0A8J6GFC8|A0A8J6GFC8_MICOH, tr|A0A8J6KU21|A0A8J6KU21_MICOH, tr|A0A8J6KZC8|A0A8J6KZC8_MICOH, tr|A0A8J6KPC8|A0A8J6KPC8_MICOH, tr|A0A8J6GHD5|A0A8J6GHD5_MICOH, tr|A0A8J6L745|A0A8J6L745_MICOH, tr|A0A8J6G620|A0A8J6G620_MICOH, tr|A0A8J6L4Y0|A0A8J6L4Y0_MICOH, tr|A0A8J6G262|A0A8J6G262_MICOH, tr|A0A8J6GYE1|A0A8J6GYE1_MICOH, tr|A0A8J6GBW0|A0A8J6GBW0_MICOH, tr|A0A8J6G0Q3|A0A8J6G0Q3_MICOH, tr|A0A8J6L651|A0A8J6L651_MICOH, tr|A0A8J6GTN5|A0A8J6GTN5_MICOH, tr|A0A8J6G7T5|A0A8J6G7T5_MICOH, tr|A0A8J6FXB6|A0A8J6FXB6_MICOH, tr|A0A8J6KIS9|A0A8J6KIS9_MICOH, tr|A0A8J6KTY9|A0A8J6KTY9_MICOH, tr|A0A8J6KW18|A0A8J6KW18_MICOH, tr|A0A8J6KR29|A0A8J6KR29_MICOH, tr|A0A8J6GH16|A0A8J6GH16_MICOH, tr|A0A8J6G0M2|A0A8J6G0M2_MICOH, tr|A0A8J6KUQ7|A0A8J6KUQ7_MICOH, tr|A0A8J6KMZ6|A0A8J6KMZ6_MICOH, tr|A0A8J6G875|A0A8J6G875_MICOH, tr|A0A8J6GC54|A0A8J6GC54_MICOH, tr|A0A8J6GJL0|A0A8J6GJL0_MICOH, tr|A0A8J6GTI0|A0A8J6GTI0_MICOH, tr|A0A8J6KTR7|A0A8J6KTR7_MICOH, tr|A0A8J6KX52|A0A8J6KX52_MICOH, tr|A0A8J6L1Y5|A0A8J6L1Y5_MICOH, tr|A0A8J6FY73|A0A8J6FY73_MICOH, tr|A0A8J6GS08|A0A8J6GS08_MICOH, tr|A0A8J6GSH6|A0A8J6GSH6_MICOH, tr|A0A8J6KL87|A0A8J6KL87_MICOH, tr|A0A8J6KYB5|A0A8J6KYB5_MICOH, tr|A0A8J6GLP0|A0A8J6GLP0_MICOH, tr|A0A8J6GLI3|A0A8J6GLI3_MICOH, tr|A0A8J6G4E7|A0A8J6G4E7_MICOH, tr|A0A8J6GYX5|A0A8J6GYX5_MICOH, tr|A0A8J6GJX8|A0A8J6GJX8_MICOH, tr|A0A8J6GKQ6|A0A8J6GKQ6_MICOH, tr|A0A8J6GX65|A0A8J6GX65_MICOH, tr|A0A8J6GR30|A0A8J6GR30_MICOH, tr|A0A8J6GDD3|A0A8J6GDD3_MICOH
OG0000002	sp|Q96ND8|ZN583_HUMAN	tr|A0A8J6GEQ4|A0A8J6GEQ4_MICOH
OG0000002	sp|Q9BX82|ZN471_HUMAN, sp|Q6ECI4|ZN470_HUMAN, sp|Q96NI8|ZN570_HUMAN, sp|Q8NB42|ZN527_HUMAN, sp|Q8NHY6|ZFP28_HUMAN, sp|P52738|ZN140_HUMAN, sp|Q5EBM4|ZN542_HUMAN, tr|A0A087WUV0|A0A087WUV0_HUMAN, sp|Q9UJN7|ZN391_HUMAN, sp|Q6ZN57|ZFP2_HUMAN, sp|Q8N859|ZN713_HUMAN, sp|Q9UJL9|ZF69B_HUMAN, sp|Q49AA0|ZFP69_HUMAN, sp|P52742|ZN135_HUMAN, sp|Q99676|ZN184_HUMAN, sp|Q96K75|ZN514_HUMAN, sp|Q9HBT8|Z286A_HUMAN, sp|Q9P2J8|ZN624_HUMAN, sp|Q86Y25|Z354C_HUMAN, sp|Q96LW1|Z354B_HUMAN, sp|O60765|Z354A_HUMAN, sp|Q8WXB4|ZN606_HUMAN, sp|Q16587|ZNF74_HUMAN, sp|Q8NCK3|ZN485_HUMAN, sp|Q9BSG1|ZNF2_HUMAN, sp|Q5JNZ3|ZN311_HUMAN, sp|Q5FWF6|ZN789_HUMAN, sp|Q8WTR7|ZN473_HUMAN, sp|Q14585|ZN345_HUMAN, sp|A6NDX5|ZN840_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q9NQX6|ZN331_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q5HYK9|ZN667_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|Q2M3W8|ZN181_HUMAN, sp|Q9NR11|ZN302_HUMAN, sp|Q8NA42|ZN383_HUMAN, sp|Q3KNS6|ZN829_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q8N141|ZFP82_HUMAN, sp|Q9HCL3|ZFP14_HUMAN, sp|Q9Y2G7|ZFP30_HUMAN, sp|Q96NG8|ZN582_HUMAN, sp|Q969W8|ZN566_HUMAN, sp|Q8TAF7|ZN461_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A8J6GF84|A0A8J6GF84_MICOH
OG0000004	sp|P15880|RS2_HUMAN	tr|A0A8J6KRX8|A0A8J6KRX8_MICOH, tr|A0A8J6GXF3|A0A8J6GXF3_MICOH, tr|A0A8J6GUF6|A0A8J6GUF6_MICOH, tr|A0A8J6KKL3|A0A8J6KKL3_MICOH, tr|A0A8J6L4U3|A0A8J6L4U3_MICOH, tr|A0A8J6GY35|A0A8J6GY35_MICOH, tr|A0A8J6FU71|A0A8J6FU71_MICOH, tr|A0A8J6GKK6|A0A8J6GKK6_MICOH, tr|A0A8J6G1Z0|A0A8J6G1Z0_MICOH, tr|A0A8J6GHI2|A0A8J6GHI2_MICOH, tr|A0A8J6GLA6|A0A8J6GLA6_MICOH, tr|A0A8J6L1T0|A0A8J6L1T0_MICOH, tr|A0A8J6KZT5|A0A8J6KZT5_MICOH, tr|A0A8J6G105|A0A8J6G105_MICOH, tr|A0A8J6L3M8|A0A8J6L3M8_MICOH, tr|A0A8J6GP99|A0A8J6GP99_MICOH, tr|A0A8J6GPP4|A0A8J6GPP4_MICOH, tr|A0A8J6KPJ7|A0A8J6KPJ7_MICOH, tr|A0A8J6G023|A0A8J6G023_MICOH, tr|A0A8J6GQM0|A0A8J6GQM0_MICOH, tr|A0A8J6GZF8|A0A8J6GZF8_MICOH, tr|A0A8J6G1L8|A0A8J6G1L8_MICOH, tr|A0A8J6H117|A0A8J6H117_MICOH, tr|A0A8J6L7L1|A0A8J6L7L1_MICOH, tr|A0A8J6KX34|A0A8J6KX34_MICOH, tr|A0A8J6L3W6|A0A8J6L3W6_MICOH, tr|A0A8J6KVT7|A0A8J6KVT7_MICOH, tr|A0A8J6FXN7|A0A8J6FXN7_MICOH, tr|A0A8J6KQP0|A0A8J6KQP0_MICOH, tr|A0A8J6KPL9|A0A8J6KPL9_MICOH, tr|A0A8J6FYL0|A0A8J6FYL0_MICOH, tr|A0A8J6GDZ8|A0A8J6GDZ8_MICOH, tr|A0A8J6GAP9|A0A8J6GAP9_MICOH, tr|A0A8J6FY01|A0A8J6FY01_MICOH, tr|A0A8J6KYN9|A0A8J6KYN9_MICOH, tr|A0A8J6KZV6|A0A8J6KZV6_MICOH, tr|A0A8J6GEI6|A0A8J6GEI6_MICOH, tr|A0A8J6L7S9|A0A8J6L7S9_MICOH, tr|A0A8J6G416|A0A8J6G416_MICOH, tr|A0A8J6GG60|A0A8J6GG60_MICOH, tr|A0A8J6FZI9|A0A8J6FZI9_MICOH, tr|A0A8J6FZQ9|A0A8J6FZQ9_MICOH, tr|A0A8J6KXU8|A0A8J6KXU8_MICOH, tr|A0A8J6GDU6|A0A8J6GDU6_MICOH, tr|A0A8J6GYL7|A0A8J6GYL7_MICOH, tr|A0A8J6KZM0|A0A8J6KZM0_MICOH, tr|A0A8J6KKW8|A0A8J6KKW8_MICOH, tr|A0A8J6L359|A0A8J6L359_MICOH, tr|A0A8J6KPI3|A0A8J6KPI3_MICOH, tr|A0A8J6H0I7|A0A8J6H0I7_MICOH, tr|A0A8J6GUZ9|A0A8J6GUZ9_MICOH, tr|A0A8J6GI00|A0A8J6GI00_MICOH
OG0000005	sp|Q9NYW8|RBAK_HUMAN, sp|P17014|ZNF12_HUMAN, sp|Q6P2D0|ZFP1_HUMAN, sp|Q96SR6|ZN382_HUMAN, sp|Q8N184|ZN567_HUMAN, sp|B1APH4|ZN487_HUMAN, sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN, sp|Q9BY31|ZN717_HUMAN, sp|Q8NDW4|ZN248_HUMAN, sp|Q6ZMW2|ZN782_HUMAN, sp|Q9Y2H8|ZN510_HUMAN, sp|Q9HCZ1|ZN334_HUMAN, sp|Q4V348|Z658B_HUMAN, sp|Q5TYW1|ZN658_HUMAN, sp|P17032|ZN37A_HUMAN, sp|Q5T5D7|ZN684_HUMAN, sp|P17030|ZNF25_HUMAN, sp|Q9GZX5|ZN350_HUMAN, sp|O94892|ZN432_HUMAN, sp|Q8N8J6|ZN615_HUMAN, sp|Q6PF04|ZN613_HUMAN, sp|Q8N883|ZN614_HUMAN, sp|Q9BS31|ZN649_HUMAN, sp|Q14587|ZN268_HUMAN, sp|P17031|ZNF26_HUMAN, sp|Q9BSK1|ZN577_HUMAN, sp|Q86T29|ZN605_HUMAN, sp|P51523|ZNF84_HUMAN, sp|Q96RE9|ZN300_HUMAN, sp|Q2M218|ZN630_HUMAN, sp|Q5JVG2|ZN484_HUMAN, sp|P51814|ZNF41_HUMAN, sp|P51508|ZNF81_HUMAN, sp|Q9Y473|ZN175_HUMAN, sp|Q86TJ5|ZN554_HUMAN, sp|Q9UJW8|ZN180_HUMAN, sp|P21506|ZNF10_HUMAN, sp|Q6NX49|ZN544_HUMAN, sp|Q8TF47|ZFP90_HUMAN, sp|P51786|ZN157_HUMAN, sp|Q6P3V2|Z585A_HUMAN, sp|Q52M93|Z585B_HUMAN, sp|Q5MCW4|ZN569_HUMAN, sp|Q3ZCX4|ZN568_HUMAN, sp|Q6ZN11|ZN793_HUMAN, sp|Q96PE6|ZIM3_HUMAN, sp|P17025|ZN182_HUMAN, sp|Q9Y6Q3|ZFP37_HUMAN, sp|Q2M3X9|ZN674_HUMAN, sp|Q5JUW0|KRBX4_HUMAN	tr|A0A8J6L1T8|A0A8J6L1T8_MICOH
OG0000006	sp|A6NCV1|O6C74_HUMAN	tr|A0A8J6G0A9|A0A8J6G0A9_MICOH
OG0000006	sp|A6NM76|O6C76_HUMAN	tr|A0A8J6FX92|A0A8J6FX92_MICOH
OG0000006	sp|A6NJZ3|O6C65_HUMAN	tr|A0A8J6FVZ6|A0A8J6FVZ6_MICOH, tr|A0A8J6KKZ0|A0A8J6KKZ0_MICOH
OG0000006	sp|A6NF89|OR6C6_HUMAN	tr|A0A8J6FY86|A0A8J6FY86_MICOH
