Orthogroup	Mus_musculus	Lynx_canadensis
OG0000000	sp|A2A761|ZFP69_MOUSE	tr|A0A667GXN4|A0A667GXN4_LYNCA, tr|A0A667GCP6|A0A667GCP6_LYNCA
OG0000000	sp|Q61967|ZFP90_MOUSE	tr|A0A667I420|A0A667I420_LYNCA
OG0000000	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A667HXI8|A0A667HXI8_LYNCA
OG0000000	sp|Q8BQC8|RBAK_MOUSE	tr|A0A667HXU2|A0A667HXU2_LYNCA
OG0000000	sp|B2RXC5|ZN382_MOUSE	tr|A0A667HE57|A0A667HE57_LYNCA
OG0000000	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A667IJP3|A0A667IJP3_LYNCA
OG0000000	tr|Q640N4|Q640N4_MOUSE	tr|A0A667J1F8|A0A667J1F8_LYNCA, tr|A0A667IJX6|A0A667IJX6_LYNCA, tr|A0A667IFG1|A0A667IFG1_LYNCA, tr|A0A667HE91|A0A667HE91_LYNCA, tr|A0A667HBC9|A0A667HBC9_LYNCA, tr|A0A667HX73|A0A667HX73_LYNCA, tr|A0A667IK69|A0A667IK69_LYNCA, tr|A0A667IZ12|A0A667IZ12_LYNCA, tr|A0A667HBF6|A0A667HBF6_LYNCA, tr|A0A667I102|A0A667I102_LYNCA
OG0000000	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A667IUX8|A0A667IUX8_LYNCA, tr|A0A667IZF8|A0A667IZF8_LYNCA, tr|A0A667HF88|A0A667HF88_LYNCA, tr|A0A667IFP7|A0A667IFP7_LYNCA
OG0000000	sp|Q80W31|ZN569_MOUSE	tr|A0A667I0L5|A0A667I0L5_LYNCA, tr|A0A667HII2|A0A667HII2_LYNCA
OG0000000	sp|Q6P560|ZN182_MOUSE	tr|A0A667HZU6|A0A667HZU6_LYNCA, tr|A0A667GL16|A0A667GL16_LYNCA, tr|A0A667I991|A0A667I991_LYNCA
OG0000000	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A667HXR0|A0A667HXR0_LYNCA, tr|A0A667IZC6|A0A667IZC6_LYNCA, tr|A0A667HY90|A0A667HY90_LYNCA, tr|A0A667HV99|A0A667HV99_LYNCA, tr|A0A667HAX9|A0A667HAX9_LYNCA, tr|A0A667II93|A0A667II93_LYNCA, tr|A0A667IGA5|A0A667IGA5_LYNCA, tr|A0A667II16|A0A667II16_LYNCA, tr|A0A667HAT0|A0A667HAT0_LYNCA, tr|A0A667IHW3|A0A667IHW3_LYNCA
OG0000000	sp|P17141|ZFP37_MOUSE	tr|A0A667HSU7|A0A667HSU7_LYNCA, tr|A0A667I7T2|A0A667I7T2_LYNCA, tr|A0A667IIK4|A0A667IIK4_LYNCA, tr|A0A667IC07|A0A667IC07_LYNCA, tr|A0A667HCB9|A0A667HCB9_LYNCA, tr|A0A667GMQ6|A0A667GMQ6_LYNCA, tr|A0A667I9G0|A0A667I9G0_LYNCA, tr|A0A667IQ88|A0A667IQ88_LYNCA, tr|A0A667GUI1|A0A667GUI1_LYNCA
