Orthogroup	Homo_sapiens	Cercocebus_atys
OG0000000	sp|Q8NGP2|OR8J1_HUMAN	tr|A0A2K5KT83|A0A2K5KT83_CERAT
OG0000000	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A2K5LB56|A0A2K5LB56_CERAT
OG0000000	sp|Q8N127|O5AS1_HUMAN, sp|Q13606|OR5I1_HUMAN	tr|A0A2K5KW69|A0A2K5KW69_CERAT
OG0000000	sp|Q8NGP9|O5AR1_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN	tr|A0A2K5KWF5|A0A2K5KWF5_CERAT
OG0000000	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A2K5KWB4|A0A2K5KWB4_CERAT
OG0000000	sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN	tr|A0A2K5L572|A0A2K5L572_CERAT
OG0000000	sp|O95221|OR5F1_HUMAN	tr|A0A2K5KYV2|A0A2K5KYV2_CERAT
OG0000000	sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN	tr|A0A2K5LBZ7|A0A2K5LBZ7_CERAT
OG0000000	sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN	tr|A0A2K5KYI5|A0A2K5KYI5_CERAT
OG0000001	sp|Q8NH64|O51A7_HUMAN	tr|A0A2K5L7C5|A0A2K5L7C5_CERAT
OG0000001	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A2K5KSN0|A0A2K5KSN0_CERAT
OG0000001	sp|Q96RD2|O52B2_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q8NGF0|O52B6_HUMAN, sp|Q8NGK2|O52B4_HUMAN	tr|A0A2K5LW62|A0A2K5LW62_CERAT
OG0000001	sp|Q9H346|O52D1_HUMAN	tr|A0A2K5M3F0|A0A2K5M3F0_CERAT
OG0000001	sp|Q8NH60|O52J3_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NH55|O52E5_HUMAN	tr|A0A2K5LNM7|A0A2K5LNM7_CERAT
OG0000001	sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI2|O52N4_HUMAN	tr|A0A2K5KQ23|A0A2K5KQ23_CERAT
OG0000001	sp|Q8NH57|O52P1_HUMAN	tr|A0A2K5MW29|A0A2K5MW29_CERAT
OG0000001	sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN	tr|A0A2K5KTY3|A0A2K5KTY3_CERAT
