Orthogroup	Mus_musculus	Colobus_angolensis_palliatus
OG0000000	tr|Q8VG58|Q8VG58_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|Q7TR16|Q7TR16_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE	tr|A0A2K5J5X5|A0A2K5J5X5_COLAP
OG0000003	tr|Q8VGW5|Q8VGW5_MOUSE	tr|A0A2K5J460|A0A2K5J460_COLAP
OG0000003	tr|Q8VG78|Q8VG78_MOUSE	tr|A0A2K5JU82|A0A2K5JU82_COLAP
OG0000003	tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|A0A2K5IL09|A0A2K5IL09_COLAP
OG0000003	tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VG26|Q8VG26_MOUSE	tr|A0A2K5HM76|A0A2K5HM76_COLAP
OG0000003	tr|E9PUN7|E9PUN7_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|E9Q549|E9Q549_MOUSE, tr|Q8VGU9|Q8VGU9_MOUSE, tr|Q7TRP5|Q7TRP5_MOUSE, tr|Q8VGV6|Q8VGV6_MOUSE, tr|Q7TRU8|Q7TRU8_MOUSE, tr|Q8VGV5|Q8VGV5_MOUSE, tr|Q7TRP4|Q7TRP4_MOUSE, tr|Q8VH00|Q8VH00_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q8VG79|Q8VG79_MOUSE, tr|Q8VGX3|Q8VGX3_MOUSE, tr|Q8VF03|Q8VF03_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|E9PV96|E9PV96_MOUSE, tr|K7N6B2|K7N6B2_MOUSE, tr|E9PYY2|E9PYY2_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE, tr|Q8VG01|Q8VG01_MOUSE, tr|L7N224|L7N224_MOUSE, tr|Q7TRR2|Q7TRR2_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|E9Q545|E9Q545_MOUSE, tr|E9Q546|E9Q546_MOUSE, tr|Q7TRS6|Q7TRS6_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A2K5K8V1|A0A2K5K8V1_COLAP
OG0000004	tr|A0A0U1RNF5|A0A0U1RNF5_MOUSE, tr|Q7TRX4|Q7TRX4_MOUSE, tr|Q8VEZ7|Q8VEZ7_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE, tr|Q8VF79|Q8VF79_MOUSE, tr|Q5SSP0|Q5SSP0_MOUSE, tr|Q8VGT3|Q8VGT3_MOUSE, tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q8VGR5|Q8VGR5_MOUSE, tr|Q8VGR6|Q8VGR6_MOUSE, tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE, tr|Q7TRX7|Q7TRX7_MOUSE, tr|Q8VGR3|Q8VGR3_MOUSE, tr|Q7TRX6|Q7TRX6_MOUSE, sp|Q8VGI1|OLF1_MOUSE, tr|Q8VGT2|Q8VGT2_MOUSE, tr|E9Q4M1|E9Q4M1_MOUSE, tr|Q7TRX9|Q7TRX9_MOUSE, tr|Q8VEZ6|Q8VEZ6_MOUSE	tr|A0A2K5IW53|A0A2K5IW53_COLAP
OG0000004	tr|Q8VGV7|Q8VGV7_MOUSE, tr|Q8VGB9|Q8VGB9_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE, tr|B9EHG2|B9EHG2_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, tr|Q8VFE1|Q8VFE1_MOUSE, tr|Q8VFD9|Q8VFD9_MOUSE, tr|Q8VFA1|Q8VFA1_MOUSE, tr|Q7TRK4|Q7TRK4_MOUSE, tr|Q8VFE4|Q8VFE4_MOUSE, tr|Q8VGJ8|Q8VGJ8_MOUSE, tr|Q7TQU7|Q7TQU7_MOUSE, tr|Q8VGK0|Q8VGK0_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE, tr|A0A1W2P740|A0A1W2P740_MOUSE, sp|Q8VFM9|OLF24_MOUSE, tr|Q8VFP5|Q8VFP5_MOUSE, tr|Q8VEU7|Q8VEU7_MOUSE, tr|Q8VFP6|Q8VFP6_MOUSE, tr|Q8VFT2|Q8VFT2_MOUSE, tr|A0A140T8Q2|A0A140T8Q2_MOUSE, tr|Q8VFP4|Q8VFP4_MOUSE, tr|Q8VFE6|Q8VFE6_MOUSE, tr|Q7TRY4|Q7TRY4_MOUSE, tr|Q7TRY5|Q7TRY5_MOUSE, tr|Q8VF16|Q8VF16_MOUSE, tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q8VG96|Q8VG96_MOUSE, tr|Q920Z0|Q920Z0_MOUSE, tr|B2RT33|B2RT33_MOUSE, tr|Q920Y8|Q920Y8_MOUSE, tr|A0A2I3BRW3|A0A2I3BRW3_MOUSE, tr|A0A2I3BRX0|A0A2I3BRX0_MOUSE, tr|A0A2I3BQG5|A0A2I3BQG5_MOUSE, tr|Q8VFP8|Q8VFP8_MOUSE, sp|Q60879|OLF3_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, tr|Q8VGK4|Q8VGK4_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A2K5INK0|A0A2K5INK0_COLAP
OG0000005	sp|Q8VGS3|O1019_MOUSE, tr|Q8VF35|Q8VF35_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, sp|Q8VFK1|O1009_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, tr|Q8VF34|Q8VF34_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE, tr|A2RT31|A2RT31_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, tr|A0A1L1SUP2|A0A1L1SUP2_MOUSE, tr|Q8VFM1|Q8VFM1_MOUSE, tr|Q8VG37|Q8VG37_MOUSE, tr|A2AVA9|A2AVA9_MOUSE, tr|A2AVB0|A2AVB0_MOUSE, tr|A2AVB5|A2AVB5_MOUSE, tr|Q7TRA2|Q7TRA2_MOUSE, tr|Q7TRA1|Q7TRA1_MOUSE, tr|Q8VGC6|Q8VGC6_MOUSE, sp|Q8VES2|O1102_MOUSE, sp|Q8VF13|O1094_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE	tr|A0A2K5K5E5|A0A2K5K5E5_COLAP
OG0000006	tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE	tr|A0A2K5HBT7|A0A2K5HBT7_COLAP
