Orthogroup	Mus_musculus	Homo_sapiens
OG0000004	sp|Q80W31|ZN569_MOUSE	sp|Q5MCW4|ZN569_HUMAN
OG0000004	sp|Q7TSI0|ZNF12_MOUSE	sp|P17014|ZNF12_HUMAN
OG0000004	sp|Q8BQC8|RBAK_MOUSE	sp|Q9NYW8|RBAK_HUMAN
OG0000004	tr|A2A4U6|A2A4U6_MOUSE	sp|Q9HCZ1|ZN334_HUMAN
OG0000004	sp|B2RXC5|ZN382_MOUSE	sp|Q8N184|ZN567_HUMAN, sp|Q96SR6|ZN382_HUMAN
OG0000004	tr|Q640N4|Q640N4_MOUSE	sp|Q9Y2H8|ZN510_HUMAN, sp|Q6ZMW2|ZN782_HUMAN, sp|Q06732|ZN33B_HUMAN, sp|Q06730|ZN33A_HUMAN, sp|Q9BY31|ZN717_HUMAN, sp|B1APH4|ZN487_HUMAN, sp|Q8NDW4|ZN248_HUMAN
OG0000004	tr|Q8BIS1|Q8BIS1_MOUSE	sp|Q5T5D7|ZN684_HUMAN, sp|P17030|ZNF25_HUMAN
OG0000004	sp|E9PYI1|ZN568_MOUSE	sp|Q96PE6|ZIM3_HUMAN
OG0000007	tr|A0A1D5RMC2|A0A1D5RMC2_MOUSE	sp|Q5EBM4|ZN542_HUMAN, sp|Q8NCK3|ZN485_HUMAN
OG0000007	tr|Q8VCI1|Q8VCI1_MOUSE	sp|Q969W8|ZN566_HUMAN
OG0000007	tr|A0A087WRR7|A0A087WRR7_MOUSE	sp|Q3KNS6|ZN829_HUMAN, sp|Q8NA42|ZN383_HUMAN
OG0000007	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|Q96NG8|ZN582_HUMAN
OG0000007	sp|Q60585|ZFP30_MOUSE	sp|Q9Y2G7|ZFP30_HUMAN
OG0000007	sp|Q6P9Y7|ZFP82_MOUSE	sp|Q8N141|ZFP82_HUMAN
OG0000007	sp|P10755|ZFP14_MOUSE	sp|Q9NQX6|ZN331_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q9HCL3|ZFP14_HUMAN
OG0000007	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	sp|Q6PG37|ZN790_HUMAN
OG0000007	tr|Q5U406|Q5U406_MOUSE	sp|P52738|ZN140_HUMAN, sp|Q2M3W8|ZN181_HUMAN, sp|Q9NR11|ZN302_HUMAN, sp|Q9P2J8|ZN624_HUMAN, sp|Q8NB42|ZN527_HUMAN, sp|Q96NI8|ZN570_HUMAN, sp|Q6ECI4|ZN470_HUMAN, sp|Q9BX82|ZN471_HUMAN
OG0000017	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE	sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN
