Orthogroup	Mus_musculus	Ursus_americanus
OG0000000	sp|Q3V080|ZN583_MOUSE	tr|A0A452R3Y8|A0A452R3Y8_URSAM
OG0000000	sp|P10078|ZFP28_MOUSE	tr|A0A452SKG6|A0A452SKG6_URSAM
OG0000000	sp|P10755|ZFP14_MOUSE	tr|A0A452RX85|A0A452RX85_URSAM
OG0000000	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A452Q7U1|A0A452Q7U1_URSAM, tr|A0A452STZ7|A0A452STZ7_URSAM
OG0000000	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A452S3H1|A0A452S3H1_URSAM, tr|A0A452R8Z6|A0A452R8Z6_URSAM, tr|A0A452QHN6|A0A452QHN6_URSAM, tr|A0A452QHJ8|A0A452QHJ8_URSAM, tr|A0A452R8Z2|A0A452R8Z2_URSAM, tr|A0A452R3L7|A0A452R3L7_URSAM, tr|A0A452QY86|A0A452QY86_URSAM
OG0000000	tr|E9Q1J0|E9Q1J0_MOUSE	tr|A0A452R6L4|A0A452R6L4_URSAM, tr|A0A452RW82|A0A452RW82_URSAM, tr|A0A452RMV4|A0A452RMV4_URSAM, tr|A0A452QGS4|A0A452QGS4_URSAM, tr|A0A452R767|A0A452R767_URSAM, tr|A0A452R8G3|A0A452R8G3_URSAM, tr|A0A452RNV5|A0A452RNV5_URSAM, tr|A0A452RYJ5|A0A452RYJ5_URSAM
OG0000000	sp|Q571J5|Z354C_MOUSE	tr|A0A452RBS2|A0A452RBS2_URSAM, tr|A0A452R672|A0A452R672_URSAM, tr|A0A452SU21|A0A452SU21_URSAM, tr|A0A452S738|A0A452S738_URSAM, tr|A0A452QHH1|A0A452QHH1_URSAM, tr|A0A452R8X9|A0A452R8X9_URSAM, tr|A0A452QK99|A0A452QK99_URSAM, tr|A0A452QK98|A0A452QK98_URSAM, tr|A0A452QD96|A0A452QD96_URSAM, tr|A0A452QD46|A0A452QD46_URSAM, tr|A0A452QED8|A0A452QED8_URSAM, tr|A0A452QAF3|A0A452QAF3_URSAM, tr|A0A452QD59|A0A452QD59_URSAM, tr|A0A452QA48|A0A452QA48_URSAM, tr|A0A452QH23|A0A452QH23_URSAM, tr|A0A452QVF3|A0A452QVF3_URSAM, tr|A0A452QKJ4|A0A452QKJ4_URSAM, tr|A0A452QE47|A0A452QE47_URSAM, tr|A0A452QJS5|A0A452QJS5_URSAM, tr|A0A452QVK6|A0A452QVK6_URSAM, tr|A0A452QKK3|A0A452QKK3_URSAM, tr|A0A452Q941|A0A452Q941_URSAM, tr|A0A452S999|A0A452S999_URSAM, tr|A0A452QTJ5|A0A452QTJ5_URSAM, tr|A0A452RZQ9|A0A452RZQ9_URSAM, tr|A0A452QHA5|A0A452QHA5_URSAM, tr|A0A452S167|A0A452S167_URSAM
OG0000000	tr|E9Q6Y4|E9Q6Y4_MOUSE	tr|A0A452SPA0|A0A452SPA0_URSAM, tr|A0A452STV6|A0A452STV6_URSAM, tr|A0A452QUY7|A0A452QUY7_URSAM, tr|A0A452SDV7|A0A452SDV7_URSAM, tr|A0A452QZF4|A0A452QZF4_URSAM, tr|A0A452QGL6|A0A452QGL6_URSAM, tr|A0A452QBJ8|A0A452QBJ8_URSAM, tr|A0A452SX37|A0A452SX37_URSAM, tr|A0A452SIS4|A0A452SIS4_URSAM, tr|A0A452QYY2|A0A452QYY2_URSAM, tr|A0A452R5M6|A0A452R5M6_URSAM, tr|A0A452QMW9|A0A452QMW9_URSAM, tr|A0A452SIZ7|A0A452SIZ7_URSAM, tr|A0A452QD26|A0A452QD26_URSAM, tr|A0A452SG83|A0A452SG83_URSAM, tr|A0A452SIX2|A0A452SIX2_URSAM, tr|A0A452Q983|A0A452Q983_URSAM, tr|A0A452REJ8|A0A452REJ8_URSAM, tr|A0A452QBG2|A0A452QBG2_URSAM, tr|A0A452REW9|A0A452REW9_URSAM
OG0000000	tr|Q7TMN8|Q7TMN8_MOUSE	tr|A0A452QG36|A0A452QG36_URSAM, tr|A0A452QGL9|A0A452QGL9_URSAM, tr|A0A452QHN3|A0A452QHN3_URSAM
OG0000006	sp|E9PYI1|ZN568_MOUSE	tr|A0A452S691|A0A452S691_URSAM
OG0000006	tr|Q640N4|Q640N4_MOUSE	tr|A0A452RK56|A0A452RK56_URSAM, tr|A0A452R972|A0A452R972_URSAM, tr|A0A452SMN4|A0A452SMN4_URSAM, tr|A0A452S7A1|A0A452S7A1_URSAM, tr|A0A452QAG8|A0A452QAG8_URSAM, tr|A0A452SC07|A0A452SC07_URSAM, tr|A0A452SC32|A0A452SC32_URSAM, tr|A0A452SC27|A0A452SC27_URSAM
OG0000006	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A452SEA0|A0A452SEA0_URSAM, tr|A0A452SE50|A0A452SE50_URSAM
OG0000006	sp|Q61967|ZFP90_MOUSE	tr|A0A452QEQ3|A0A452QEQ3_URSAM, tr|A0A452S561|A0A452S561_URSAM
OG0000012	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A452S3T8|A0A452S3T8_URSAM, tr|A0A452S3Q4|A0A452S3Q4_URSAM
OG0000012	tr|Q8VGC8|Q8VGC8_MOUSE	tr|A0A452SJK0|A0A452SJK0_URSAM, tr|A0A452QE44|A0A452QE44_URSAM, tr|A0A452QEH1|A0A452QEH1_URSAM, tr|A0A452QLJ4|A0A452QLJ4_URSAM, tr|A0A452RNL7|A0A452RNL7_URSAM, tr|A0A452RNM5|A0A452RNM5_URSAM, tr|A0A452QE45|A0A452QE45_URSAM, tr|A0A452QBQ2|A0A452QBQ2_URSAM, tr|A0A452RJY9|A0A452RJY9_URSAM, tr|A0A452QA12|A0A452QA12_URSAM, tr|A0A452R2T6|A0A452R2T6_URSAM
OG0000012	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A452RFT2|A0A452RFT2_URSAM, tr|A0A452QE05|A0A452QE05_URSAM
OG0000012	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A452QK01|A0A452QK01_URSAM, tr|A0A452QK09|A0A452QK09_URSAM, tr|A0A452Q9I5|A0A452Q9I5_URSAM, tr|A0A452SG94|A0A452SG94_URSAM
OG0000012	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A452RA45|A0A452RA45_URSAM, tr|A0A452SG62|A0A452SG62_URSAM
OG0000021	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A452RA58|A0A452RA58_URSAM
OG0000021	sp|Q91VN1|ZNF24_MOUSE	tr|A0A452RA84|A0A452RA84_URSAM, tr|A0A452RAA4|A0A452RAA4_URSAM, tr|A0A452SMD5|A0A452SMD5_URSAM
OG0000021	sp|Q07231|ZSC21_MOUSE	tr|A0A452S6B6|A0A452S6B6_URSAM, tr|A0A452QYR5|A0A452QYR5_URSAM
