Orthogroup	Mus_musculus	Pipistrellus_kuhlii
OG0000001	tr|A0A0A6YWJ8|A0A0A6YWJ8_MOUSE, tr|A0A0A6YVW3|A0A0A6YVW3_MOUSE, tr|A0A075B5R4|A0A075B5R4_MOUSE, tr|A0A075B5R7|A0A075B5R7_MOUSE, tr|A0A075B5R9|A0A075B5R9_MOUSE, tr|A0A075B5S3|A0A075B5S3_MOUSE, tr|A0A075B684|A0A075B684_MOUSE, tr|A0A075B5S1|A0A075B5S1_MOUSE, tr|A0A0B4J1J4|A0A0B4J1J4_MOUSE, tr|A0A0B4J1J5|A0A0B4J1J5_MOUSE, tr|A0A075B5S9|A0A075B5S9_MOUSE, tr|A0A075B5Y3|A0A075B5Y3_MOUSE, tr|A0A075B5T9|A0A075B5T9_MOUSE, tr|A0A075B5W5|A0A075B5W5_MOUSE, tr|A0A075B5Y4|A0A075B5Y4_MOUSE, tr|A0A0A6YXA5|A0A0A6YXA5_MOUSE, tr|A0A075B5T4|A0A075B5T4_MOUSE, tr|A0A075B5T7|A0A075B5T7_MOUSE, tr|A0A075B5Y2|A0A075B5Y2_MOUSE, sp|P01746|HVM02_MOUSE, sp|P01747|HVM03_MOUSE, tr|A0A075B5W9|A0A075B5W9_MOUSE, tr|A0A075B5Y6|A0A075B5Y6_MOUSE, sp|P06327|HVM52_MOUSE, tr|A0A075B5X5|A0A075B5X5_MOUSE, tr|A0A075B5W6|A0A075B5W6_MOUSE, sp|P01753|HVM09_MOUSE, sp|P06328|HVM49_MOUSE, sp|P01754|HVM10_MOUSE, sp|P03980|HVM48_MOUSE, sp|P01748|HVM04_MOUSE, tr|A0A075B5W3|A0A075B5W3_MOUSE, tr|A0A075B5Y1|A0A075B5Y1_MOUSE, sp|P01750|HVM06_MOUSE, tr|A0A075B5W2|A0A075B5W2_MOUSE, sp|P01749|HVM05_MOUSE, tr|A0A075B5X0|A0A075B5X0_MOUSE, tr|A0A075B5X7|A0A075B5X7_MOUSE, tr|A0A075B5W1|A0A075B5W1_MOUSE, tr|A0A075B5X3|A0A075B5X3_MOUSE, tr|A0A075B5V9|A0A075B5V9_MOUSE, tr|A0A075B5X2|A0A075B5X2_MOUSE, tr|A0A075B5T5|A0A075B5T5_MOUSE, tr|A0A0B4J1J7|A0A0B4J1J7_MOUSE, tr|A0A0B4J1M0|A0A0B4J1M0_MOUSE, tr|A0A075B5U0|A0A075B5U0_MOUSE, tr|A0A075B680|A0A075B680_MOUSE, tr|A0A075B674|A0A075B674_MOUSE, tr|A0A0B4J1N0|A0A0B4J1N0_MOUSE, tr|A0A075B5W7|A0A075B5W7_MOUSE, sp|P01741|HVM00_MOUSE, sp|P01745|HVM01_MOUSE, sp|P06329|HVM50_MOUSE, tr|A0A075B5U5|A0A075B5U5_MOUSE, tr|A0A0A6YWI9|A0A0A6YWI9_MOUSE, tr|A0A075B5V0|A0A075B5V0_MOUSE, tr|A0A075B5T8|A0A075B5T8_MOUSE, tr|A0A075B5U4|A0A075B5U4_MOUSE, tr|A0A075B5V3|A0A075B5V3_MOUSE, sp|P01758|HVM14_MOUSE, tr|A0A075B5V2|A0A075B5V2_MOUSE, tr|A0A075B5U6|A0A075B5U6_MOUSE, tr|A0A075B5V4|A0A075B5V4_MOUSE, sp|P01759|HVM15_MOUSE, tr|A0A075B5X6|A0A075B5X6_MOUSE, tr|A0A075B5V5|A0A075B5V5_MOUSE, tr|A0A075B5U7|A0A075B5U7_MOUSE, sp|P01756|HVM12_MOUSE, sp|P01757|HVM13_MOUSE, tr|A0A075B5V8|A0A075B5V8_MOUSE, sp|P06330|HVM51_MOUSE, tr|A0A075B5V1|A0A075B5V1_MOUSE, tr|A0A075B5U1|A0A075B5U1_MOUSE, tr|A0A075B5U9|A0A075B5U9_MOUSE, tr|A0A075B5V6|A0A075B5V6_MOUSE, tr|A0A075B5V7|A0A075B5V7_MOUSE	tr|A0A7J8B6K7|A0A7J8B6K7_PIPKU
OG0000004	sp|Q60879|OLF3_MOUSE, tr|Q7TRY6|Q7TRY6_MOUSE, tr|Q8VFP8|Q8VFP8_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VGK4|Q8VGK4_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, tr|Q8VEZ7|Q8VEZ7_MOUSE, tr|Q7TRX4|Q7TRX4_MOUSE, tr|Q8VEZ6|Q8VEZ6_MOUSE, tr|Q8VGR6|Q8VGR6_MOUSE, tr|Q8VGR5|Q8VGR5_MOUSE, tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE, tr|Q8VGR3|Q8VGR3_MOUSE, tr|Q7TRX6|Q7TRX6_MOUSE, tr|Q7TRX7|Q7TRX7_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE, tr|Q8VF79|Q8VF79_MOUSE, tr|Q8VGT3|Q8VGT3_MOUSE, tr|Q5SSP0|Q5SSP0_MOUSE, tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q7TRX9|Q7TRX9_MOUSE, tr|E9Q4M1|E9Q4M1_MOUSE, tr|Q8VGT2|Q8VGT2_MOUSE, sp|Q8VGI1|OLF1_MOUSE, tr|A0A0U1RNF5|A0A0U1RNF5_MOUSE, tr|Q8VGV7|Q8VGV7_MOUSE, tr|Q7TRY5|Q7TRY5_MOUSE, tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q8VF16|Q8VF16_MOUSE, tr|Q7TRX1|Q7TRX1_MOUSE, tr|Q7TRX2|Q7TRX2_MOUSE, tr|Q8VFY0|Q8VFY0_MOUSE, tr|Q7TRY4|Q7TRY4_MOUSE, tr|A0A140T8Q2|A0A140T8Q2_MOUSE, tr|Q8VFT2|Q8VFT2_MOUSE, tr|Q8VFP6|Q8VFP6_MOUSE, tr|Q8VFP4|Q8VFP4_MOUSE, tr|Q8VFE6|Q8VFE6_MOUSE, tr|A0A0N4SUP0|A0A0N4SUP0_MOUSE, tr|Q7TRW7|Q7TRW7_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE, tr|Q8VGB9|Q8VGB9_MOUSE, sp|Q8VFM9|OLF24_MOUSE, tr|A0A1W2P740|A0A1W2P740_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, tr|B9EHG2|B9EHG2_MOUSE, tr|Q7TRX0|Q7TRX0_MOUSE, tr|B1ARL3|B1ARL3_MOUSE, tr|Q8VGK0|Q8VGK0_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE, tr|Q8VGJ8|Q8VGJ8_MOUSE, tr|Q8VFP5|Q8VFP5_MOUSE, tr|Q8VEU7|Q8VEU7_MOUSE	tr|A0A7J7W3E7|A0A7J7W3E7_PIPKU
OG0000008	sp|P11260|LORF1_MOUSE	tr|A0A7J7RMC9|A0A7J7RMC9_PIPKU, tr|A0A7J7T191|A0A7J7T191_PIPKU, tr|A0A7J7SNH2|A0A7J7SNH2_PIPKU, tr|A0A7J8B1T1|A0A7J8B1T1_PIPKU, tr|A0A7J8A9B2|A0A7J8A9B2_PIPKU, tr|A0A7J7ZKP5|A0A7J7ZKP5_PIPKU, tr|A0A7J7T2G1|A0A7J7T2G1_PIPKU, tr|A0A7J8A9A1|A0A7J8A9A1_PIPKU, tr|A0A7J8B2C6|A0A7J8B2C6_PIPKU, tr|A0A7J7ULY1|A0A7J7ULY1_PIPKU, tr|A0A7J8A7Y6|A0A7J8A7Y6_PIPKU, tr|A0A7J7T1J1|A0A7J7T1J1_PIPKU, tr|A0A7J8A7Q9|A0A7J8A7Q9_PIPKU, tr|A0A7J7V650|A0A7J7V650_PIPKU, tr|A0A7J8B1Y0|A0A7J8B1Y0_PIPKU, tr|A0A7J7RDW2|A0A7J7RDW2_PIPKU, tr|A0A7J7RRI9|A0A7J7RRI9_PIPKU, tr|A0A7J7ZKX7|A0A7J7ZKX7_PIPKU, tr|A0A7J7ZJP7|A0A7J7ZJP7_PIPKU, tr|A0A7J7ZJU6|A0A7J7ZJU6_PIPKU, tr|A0A7J8B2C8|A0A7J8B2C8_PIPKU, tr|A0A7J7SNS7|A0A7J7SNS7_PIPKU, tr|A0A7J7SNT6|A0A7J7SNT6_PIPKU, tr|A0A7J7SFY3|A0A7J7SFY3_PIPKU, tr|A0A7J8A7L5|A0A7J8A7L5_PIPKU, tr|A0A7J7ZL36|A0A7J7ZL36_PIPKU, tr|A0A7J7ZJ85|A0A7J7ZJ85_PIPKU, tr|A0A7J7ZIS2|A0A7J7ZIS2_PIPKU, tr|A0A7J8A7G2|A0A7J8A7G2_PIPKU, tr|A0A7J7WLZ1|A0A7J7WLZ1_PIPKU, tr|A0A7J7ZJI7|A0A7J7ZJI7_PIPKU, tr|A0A7J7TXL3|A0A7J7TXL3_PIPKU, tr|A0A7J8B238|A0A7J8B238_PIPKU, tr|A0A7J7V0K0|A0A7J7V0K0_PIPKU, tr|A0A7J7T0X6|A0A7J7T0X6_PIPKU, tr|A0A7J7YMK1|A0A7J7YMK1_PIPKU, tr|A0A7J7X037|A0A7J7X037_PIPKU, tr|A0A7J7ZJU0|A0A7J7ZJU0_PIPKU, tr|A0A7J7Y9A4|A0A7J7Y9A4_PIPKU, tr|A0A7J7YWW6|A0A7J7YWW6_PIPKU, tr|A0A7J8A981|A0A7J8A981_PIPKU, tr|A0A7J7SVD3|A0A7J7SVD3_PIPKU, tr|A0A7J7YMX0|A0A7J7YMX0_PIPKU, tr|A0A7J7YM51|A0A7J7YM51_PIPKU, tr|A0A7J8A8J5|A0A7J8A8J5_PIPKU, tr|A0A7J8B1X1|A0A7J8B1X1_PIPKU, tr|A0A7J7ZJC0|A0A7J7ZJC0_PIPKU, tr|A0A7J7ZKI6|A0A7J7ZKI6_PIPKU, tr|A0A7J8A8G1|A0A7J8A8G1_PIPKU, tr|A0A7J7ZJ14|A0A7J7ZJ14_PIPKU, tr|A0A7J8A7Y9|A0A7J8A7Y9_PIPKU, tr|A0A7J7XB01|A0A7J7XB01_PIPKU, tr|A0A7J7YN92|A0A7J7YN92_PIPKU, tr|A0A7J8B2A4|A0A7J8B2A4_PIPKU, tr|A0A7J7U875|A0A7J7U875_PIPKU, tr|A0A7J7V5U1|A0A7J7V5U1_PIPKU, tr|A0A7J7VVL0|A0A7J7VVL0_PIPKU
OG0000009	tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|L7N475|L7N475_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE	tr|A0A7J7TW93|A0A7J7TW93_PIPKU
OG0000017	tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, sp|Q60882|OL145_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, sp|Q60886|OL147_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE, tr|K7N678|K7N678_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|L7N210|L7N210_MOUSE, sp|P34985|OL143_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE	tr|A0A7J7UG32|A0A7J7UG32_PIPKU
OG0000021	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A7J7QYH1|A0A7J7QYH1_PIPKU
OG0000021	sp|E9PYI1|ZN568_MOUSE	tr|A0A7J7V256|A0A7J7V256_PIPKU
OG0000021	sp|P10755|ZFP14_MOUSE	tr|A0A7J7SNT5|A0A7J7SNT5_PIPKU, tr|A0A7J7V1U7|A0A7J7V1U7_PIPKU, tr|A0A7J7V0T6|A0A7J7V0T6_PIPKU
OG0000021	sp|P10078|ZFP28_MOUSE	tr|A0A7J7QWW9|A0A7J7QWW9_PIPKU
OG0000021	tr|Q5U406|Q5U406_MOUSE	tr|A0A7J7SP82|A0A7J7SP82_PIPKU
OG0000021	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A7J7VCX7|A0A7J7VCX7_PIPKU, tr|A0A7J7VD44|A0A7J7VD44_PIPKU, tr|A0A7J7YC00|A0A7J7YC00_PIPKU
OG0000021	sp|B2RXC5|ZN382_MOUSE	tr|A0A7J7V1V9|A0A7J7V1V9_PIPKU, tr|A0A7J7V1X1|A0A7J7V1X1_PIPKU
OG0000021	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A7J7RTN3|A0A7J7RTN3_PIPKU, tr|A0A7J7VDE2|A0A7J7VDE2_PIPKU
OG0000038	tr|A0A075B626|A0A075B626_MOUSE, tr|A0N8N6|A0N8N6_MOUSE, sp|P06323|TVA3_MOUSE, tr|A0A075B648|A0A075B648_MOUSE, tr|A0A075B6A4|A0A075B6A4_MOUSE, tr|A0A075B643|A0A075B643_MOUSE, tr|A0A075B605|A0A075B605_MOUSE, tr|A0A075B601|A0A075B601_MOUSE, tr|A0A075B699|A0A075B699_MOUSE, sp|P01738|TVA1_MOUSE, tr|A0A0B4J1K2|A0A0B4J1K2_MOUSE, tr|A0A075B695|A0A075B695_MOUSE, tr|A0A075B647|A0A075B647_MOUSE, tr|A0A075B631|A0A075B631_MOUSE, tr|A0A075B685|A0A075B685_MOUSE, tr|A0A075B6A9|A0A075B6A9_MOUSE, tr|A0A087WQ87|A0A087WQ87_MOUSE, tr|A0A0G2JDX5|A0A0G2JDX5_MOUSE, tr|A0A075B6D4|A0A075B6D4_MOUSE, tr|A0A075B621|A0A075B621_MOUSE, tr|A0A075B6B9|A0A075B6B9_MOUSE, tr|A0A075B603|A0A075B603_MOUSE, tr|A0A075B623|A0A075B623_MOUSE, tr|A0A075B6A6|A0A075B6A6_MOUSE, tr|A0A075B6B0|A0A075B6B0_MOUSE, tr|A0A075B639|A0A075B639_MOUSE, tr|A0A075B5Z8|A0A075B5Z8_MOUSE, tr|A0A075B6D6|A0A075B6D6_MOUSE, tr|A0A075B6D2|A0A075B6D2_MOUSE, tr|A0A075B5Z9|A0A075B5Z9_MOUSE, tr|A0A075B6D3|A0A075B6D3_MOUSE, tr|A0A075B6D0|A0A075B6D0_MOUSE	tr|A0A7J8B1E4|A0A7J8B1E4_PIPKU
OG0000053	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A7J7ZIG5|A0A7J7ZIG5_PIPKU
OG0000053	sp|Q9R0H5|K2C71_MOUSE	tr|A0A7J7ZIG4|A0A7J7ZIG4_PIPKU
OG0000053	sp|Q6NXH9|K2C73_MOUSE	tr|A0A7J7ZJ41|A0A7J7ZJ41_PIPKU
OG0000053	sp|Q6IME9|K2C72_MOUSE	tr|A0A7J7ZIS0|A0A7J7ZIS0_PIPKU
OG0000053	sp|Q8VED5|K2C79_MOUSE	tr|A0A7J7ZJ01|A0A7J7ZJ01_PIPKU, tr|A0A7J7ZIF7|A0A7J7ZIF7_PIPKU, tr|A0A7J7ZIH5|A0A7J7ZIH5_PIPKU
OG0000053	sp|P11679|K2C8_MOUSE	tr|A0A7J7ZIG8|A0A7J7ZIG8_PIPKU, tr|A0A7J8A8L0|A0A7J8A8L0_PIPKU, tr|A0A7J7ZJY6|A0A7J7ZJY6_PIPKU, tr|A0A7J7ZIY3|A0A7J7ZIY3_PIPKU
OG0000053	sp|Q3UV17|K22O_MOUSE	tr|A0A7J7ZIR9|A0A7J7ZIR9_PIPKU, tr|A0A7J7ZK12|A0A7J7ZK12_PIPKU, tr|A0A7J7ZIX2|A0A7J7ZIX2_PIPKU
