Orthogroup	Homo_sapiens	Mesocricetus_auratus
OG0000000	sp|A6NMZ5|O4C45_HUMAN	tr|A0A1U7Q7C3|A0A1U7Q7C3_MESAU
OG0000000	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A1U8CHR1|A0A1U8CHR1_MESAU
OG0000000	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A1U8C9K9|A0A1U8C9K9_MESAU, tr|A0A1U8CK53|A0A1U8CK53_MESAU, tr|A0A1U8C8D9|A0A1U8C8D9_MESAU, tr|A0A1U7QCZ3|A0A1U7QCZ3_MESAU
OG0000000	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A1U7QCZ7|A0A1U7QCZ7_MESAU, tr|A0A1U7QFI0|A0A1U7QFI0_MESAU
OG0000000	sp|Q8NH72|OR4C6_HUMAN	tr|A0A1U7Q7D2|A0A1U7Q7D2_MESAU, tr|A0A1U8CCM7|A0A1U8CCM7_MESAU, tr|A0A1U7QES0|A0A1U7QES0_MESAU
OG0000000	sp|Q96R67|OR4CC_HUMAN	tr|A0A1U8CKF2|A0A1U8CKF2_MESAU, tr|A0A1U7Q5Q5|A0A1U7Q5Q5_MESAU, tr|A0A1U7Q7D8|A0A1U7Q7D8_MESAU, tr|A0A1U7Q378|A0A1U7Q378_MESAU, tr|A0A1U8C791|A0A1U8C791_MESAU, tr|A0A1U8C6Z9|A0A1U8C6Z9_MESAU, tr|A0A1U7Q5N9|A0A1U7Q5N9_MESAU, tr|A0A1U7Q320|A0A1U7Q320_MESAU, tr|A0A1U7Q373|A0A1U7Q373_MESAU
OG0000000	sp|Q8NH37|OR4C3_HUMAN	tr|A0A1U7Q7C9|A0A1U7Q7C9_MESAU, tr|A0A1U7Q375|A0A1U7Q375_MESAU, tr|A0A1U7Q5Q2|A0A1U7Q5Q2_MESAU, tr|A0A1U7Q377|A0A1U7Q377_MESAU, tr|A0A1U7Q7D5|A0A1U7Q7D5_MESAU, tr|A0A1U7QC89|A0A1U7QC89_MESAU, tr|A0A1U8CAY6|A0A1U8CAY6_MESAU, tr|A0A1U8CAZ5|A0A1U8CAZ5_MESAU, tr|A0A1U8CJ05|A0A1U8CJ05_MESAU, tr|A0A1U8C7U7|A0A1U8C7U7_MESAU, tr|A0A1U7QFH4|A0A1U7QFH4_MESAU, tr|A0A1U7Q5P8|A0A1U7Q5P8_MESAU, tr|A0A1U7QCY7|A0A1U7QCY7_MESAU, tr|A0A1U7Q376|A0A1U7Q376_MESAU, tr|A0A1U7Q5P5|A0A1U7Q5P5_MESAU, tr|A0A1U7Q6Y1|A0A1U7Q6Y1_MESAU, tr|A0A1U7QCW7|A0A1U7QCW7_MESAU, tr|A0A1U7QFF2|A0A1U7QFF2_MESAU
OG0000001	sp|Q96RC9|OR8B4_HUMAN	tr|A0A1U7QKB0|A0A1U7QKB0_MESAU, tr|A0A1U8BXL2|A0A1U8BXL2_MESAU, tr|A0A1U7QA37|A0A1U7QA37_MESAU, tr|A0A1U7QMQ6|A0A1U7QMQ6_MESAU, tr|A0A1U8BLS6|A0A1U8BLS6_MESAU, tr|A0A1U7QMR1|A0A1U7QMR1_MESAU, tr|A0A1U7QKB5|A0A1U7QKB5_MESAU, tr|A0A1U7Q551|A0A1U7Q551_MESAU, tr|A0A1U7QCB5|A0A1U7QCB5_MESAU, tr|A0A1U7QA74|A0A1U7QA74_MESAU, tr|A0A1U8BQI1|A0A1U8BQI1_MESAU, tr|A0A1U8BLK5|A0A1U8BLK5_MESAU, tr|A0A1U8BQC1|A0A1U8BQC1_MESAU, tr|A0A1U7QC68|A0A1U7QC68_MESAU, tr|A0A1U7QA70|A0A1U7QA70_MESAU, tr|A0A1U7QYY4|A0A1U7QYY4_MESAU, tr|A0A1U7QKD3|A0A1U7QKD3_MESAU, tr|A0A1U7QCD1|A0A1U7QCD1_MESAU, tr|A0A1U8BQC6|A0A1U8BQC6_MESAU, tr|A0A1U7Q555|A0A1U7Q555_MESAU, tr|A0A1U8BLQ7|A0A1U8BLQ7_MESAU, tr|A0A1U8BMA8|A0A1U8BMA8_MESAU, tr|A0A1U7QC72|A0A1U7QC72_MESAU, tr|A0A1U7Q557|A0A1U7Q557_MESAU, tr|A0A1U7QMR6|A0A1U7QMR6_MESAU, tr|A0A3Q0CQQ7|A0A3Q0CQQ7_MESAU, tr|A0A1U7QA82|A0A1U7QA82_MESAU, tr|A0A1U7QCC5|A0A1U7QCC5_MESAU, tr|A0A1U7QCC0|A0A1U7QCC0_MESAU, tr|A0A3Q0CP84|A0A3Q0CP84_MESAU, tr|A0A1U7RK28|A0A1U7RK28_MESAU, tr|A0A1U7Q553|A0A1U7Q553_MESAU, tr|A0A1U7QA76|A0A1U7QA76_MESAU, tr|A0A1U7QA79|A0A1U7QA79_MESAU, tr|A0A1U7QKC2|A0A1U7QKC2_MESAU, tr|A0A3Q0CP72|A0A3Q0CP72_MESAU, tr|A0A1U7QMS1|A0A1U7QMS1_MESAU, tr|A0A3Q0CNV3|A0A3Q0CNV3_MESAU, tr|A0A1U7QMS7|A0A1U7QMS7_MESAU, tr|A0A1U8BXQ7|A0A1U8BXQ7_MESAU, tr|A0A3Q0CNT9|A0A3Q0CNT9_MESAU, tr|A0A1U7Q530|A0A1U7Q530_MESAU, tr|A0A1U7QCF5|A0A1U7QCF5_MESAU, tr|A0A1U7QA85|A0A1U7QA85_MESAU, tr|A0A1U7QK54|A0A1U7QK54_MESAU, tr|A0A1U7QMK9|A0A1U7QMK9_MESAU, tr|A0A1U8BMD7|A0A1U8BMD7_MESAU, tr|A0A1U7Q559|A0A1U7Q559_MESAU, tr|A0A1U7QC76|A0A1U7QC76_MESAU, tr|A0A1U8BYF3|A0A1U8BYF3_MESAU, tr|A0A1U8BQH6|A0A1U8BQH6_MESAU, tr|A0A1U8BYE7|A0A1U8BYE7_MESAU, tr|A0A1U7QKD8|A0A1U7QKD8_MESAU, tr|A0A1U7QK59|A0A1U7QK59_MESAU, tr|A0A1U7QKF0|A0A1U7QKF0_MESAU, tr|A0A1U8BLK9|A0A1U8BLK9_MESAU, tr|A0A1U7QA93|A0A1U7QA93_MESAU, tr|A0A1U7Q563|A0A1U7Q563_MESAU, tr|A0A1U7QMT2|A0A1U7QMT2_MESAU
OG0000002	sp|Q15973|ZN124_HUMAN	tr|A0A1U8CMU0|A0A1U8CMU0_MESAU, tr|A0A1U7RFL7|A0A1U7RFL7_MESAU, tr|A0A1U8CSG4|A0A1U8CSG4_MESAU, tr|A0A3Q0CSI1|A0A3Q0CSI1_MESAU, tr|A0A1U8CKG6|A0A1U8CKG6_MESAU, tr|A0A1U8CY79|A0A1U8CY79_MESAU, tr|A0A3Q0CZ06|A0A3Q0CZ06_MESAU, tr|A0A3Q0CAV9|A0A3Q0CAV9_MESAU, tr|A0A3Q0DFF3|A0A3Q0DFF3_MESAU, tr|A0A1U8CSM7|A0A1U8CSM7_MESAU, tr|A0A3Q0DCD1|A0A3Q0DCD1_MESAU, tr|A0A3Q0D8W3|A0A3Q0D8W3_MESAU, tr|A0A1U8CIW4|A0A1U8CIW4_MESAU, tr|A0A1U7QYG5|A0A1U7QYG5_MESAU, tr|A0A3Q0CB36|A0A3Q0CB36_MESAU, tr|A0A3Q0CFN0|A0A3Q0CFN0_MESAU, tr|A0A3Q0CYJ2|A0A3Q0CYJ2_MESAU, tr|A0A1U8C159|A0A1U8C159_MESAU, tr|A0A3Q0CBD1|A0A3Q0CBD1_MESAU, tr|A0A3Q0CG63|A0A3Q0CG63_MESAU, tr|A0A1U8CR52|A0A1U8CR52_MESAU, tr|A0A3Q0CAJ9|A0A3Q0CAJ9_MESAU, tr|A0A3Q0CRE8|A0A3Q0CRE8_MESAU, tr|A0A3Q0D266|A0A3Q0D266_MESAU, tr|A0A1U8C2K8|A0A1U8C2K8_MESAU, tr|A0A3Q0CAH2|A0A3Q0CAH2_MESAU, tr|A0A1U8C333|A0A1U8C333_MESAU, tr|A0A1U8CXM4|A0A1U8CXM4_MESAU, tr|A0A1U7QKV6|A0A1U7QKV6_MESAU, tr|A0A3Q0D837|A0A3Q0D837_MESAU, tr|A0A3Q0D3J1|A0A3Q0D3J1_MESAU, tr|A0A3Q0CFZ6|A0A3Q0CFZ6_MESAU, tr|A0A3Q0CFK3|A0A3Q0CFK3_MESAU, tr|A0A3Q0CUJ4|A0A3Q0CUJ4_MESAU, tr|A0A1U8CKU9|A0A1U8CKU9_MESAU, tr|A0A3Q0CBA6|A0A3Q0CBA6_MESAU, tr|A0A3Q0CRH8|A0A3Q0CRH8_MESAU, tr|A0A1U8CQ18|A0A1U8CQ18_MESAU, tr|A0A1U8CRY9|A0A1U8CRY9_MESAU, tr|A0A3Q0CG83|A0A3Q0CG83_MESAU, tr|A0A3Q0CI40|A0A3Q0CI40_MESAU, tr|A0A1U8D1G2|A0A1U8D1G2_MESAU, tr|A0A3Q0CE06|A0A3Q0CE06_MESAU, tr|A0A3Q0CF44|A0A3Q0CF44_MESAU, tr|A0A1U7REE8|A0A1U7REE8_MESAU, tr|A0A3Q0CH69|A0A3Q0CH69_MESAU, tr|A0A1U7QKJ1|A0A1U7QKJ1_MESAU, tr|A0A3Q0DBX6|A0A3Q0DBX6_MESAU, tr|A0A3Q0CVA5|A0A3Q0CVA5_MESAU, tr|A0A3Q0CWN3|A0A3Q0CWN3_MESAU, tr|A0A3Q0DAL6|A0A3Q0DAL6_MESAU, tr|A0A3Q0D322|A0A3Q0D322_MESAU, tr|A0A1U8CKU7|A0A1U8CKU7_MESAU, tr|A0A3Q0CAR0|A0A3Q0CAR0_MESAU, tr|A0A3Q0CUW5|A0A3Q0CUW5_MESAU, tr|A0A3Q0CXT8|A0A3Q0CXT8_MESAU, tr|A0A3Q0D9R0|A0A3Q0D9R0_MESAU, tr|A0A1U8CLG7|A0A1U8CLG7_MESAU, tr|A0A1U8D1B2|A0A1U8D1B2_MESAU
OG0000004	sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|P01602|KV105_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|P06315|KV502_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P06312|KV401_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN	tr|A0A1U7QWF3|A0A1U7QWF3_MESAU
