Orthogroup	Homo_sapiens	Pan_paniscus
OG0000000	sp|O95780|ZN682_HUMAN	tr|A0A2R9BB79|A0A2R9BB79_PANPA, tr|A0A2R9A1F7|A0A2R9A1F7_PANPA, tr|A0A2R9C5J9|A0A2R9C5J9_PANPA, tr|A0A2R9B7F1|A0A2R9B7F1_PANPA, tr|A0A2R9AKI5|A0A2R9AKI5_PANPA, tr|A0A2R9B9W7|A0A2R9B9W7_PANPA, tr|A0A2R9C9W0|A0A2R9C9W0_PANPA, tr|A0A2R8ZE12|A0A2R8ZE12_PANPA, tr|A0A2R9AL82|A0A2R9AL82_PANPA, tr|A0A2R8ZM32|A0A2R8ZM32_PANPA, tr|A0A2R9BEH9|A0A2R9BEH9_PANPA, tr|A0A2R9CCN5|A0A2R9CCN5_PANPA, tr|A0A2R9BEL3|A0A2R9BEL3_PANPA, tr|A0A2R9BDN2|A0A2R9BDN2_PANPA, tr|A0A2R9A328|A0A2R9A328_PANPA, tr|A0A2R9B744|A0A2R9B744_PANPA, tr|A0A2R9CDT8|A0A2R9CDT8_PANPA, tr|A0A2R9B3B4|A0A2R9B3B4_PANPA, tr|A0A2R8ZU78|A0A2R8ZU78_PANPA, tr|A0A2R9C4G6|A0A2R9C4G6_PANPA, tr|A0A2R9A9H9|A0A2R9A9H9_PANPA, tr|A0A2R9B8U4|A0A2R9B8U4_PANPA, tr|A0A2R9CHQ7|A0A2R9CHQ7_PANPA, tr|A0A2R9C568|A0A2R9C568_PANPA, tr|A0A2R9CGU9|A0A2R9CGU9_PANPA, tr|A0A2R9BDE4|A0A2R9BDE4_PANPA, tr|A0A2R9AS46|A0A2R9AS46_PANPA, tr|A0A2R9BDN1|A0A2R9BDN1_PANPA, tr|A0A2R8ZNR9|A0A2R8ZNR9_PANPA, tr|A0A2R9BE60|A0A2R9BE60_PANPA, tr|A0A2R9BWJ9|A0A2R9BWJ9_PANPA, tr|A0A2R9ABY5|A0A2R9ABY5_PANPA, tr|A0A2R9BGP7|A0A2R9BGP7_PANPA, tr|A0A2R9BN52|A0A2R9BN52_PANPA, tr|A0A2R9B3E6|A0A2R9B3E6_PANPA, tr|A0A2R9BWQ6|A0A2R9BWQ6_PANPA, tr|A0A2R9AU26|A0A2R9AU26_PANPA, tr|A0A2R9AB47|A0A2R9AB47_PANPA, tr|A0A2R8ZL62|A0A2R8ZL62_PANPA, tr|A0A2R9C4G1|A0A2R9C4G1_PANPA, tr|A0A2R9A0M4|A0A2R9A0M4_PANPA, tr|A0A2R9AY52|A0A2R9AY52_PANPA, tr|A0A2R9CHK7|A0A2R9CHK7_PANPA, tr|A0A2R9BAC9|A0A2R9BAC9_PANPA, tr|A0A2R8ZB38|A0A2R8ZB38_PANPA, tr|A0A2R9BJH9|A0A2R9BJH9_PANPA, tr|A0A2R9BS20|A0A2R9BS20_PANPA, tr|A0A2R9A1Y9|A0A2R9A1Y9_PANPA, tr|A0A2R9BSC2|A0A2R9BSC2_PANPA
OG0000002	sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01762|HV311_HUMAN, sp|P0DTE2|HV511_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01764|HV323_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01780|HV307_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|P01782|HV309_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN	tr|A0A2R9BVN8|A0A2R9BVN8_PANPA
OG0000003	sp|Q96R09|OR5B2_HUMAN	tr|A0A2R8ZSL5|A0A2R8ZSL5_PANPA
OG0000003	sp|Q96R08|OR5BC_HUMAN	tr|A0A2R9B418|A0A2R9B418_PANPA
OG0000003	sp|A6NL26|OR5BL_HUMAN	tr|A0A2R9BDN6|A0A2R9BDN6_PANPA
OG0000003	sp|Q96RB7|OR5MB_HUMAN	tr|A0A2R9AWP7|A0A2R9AWP7_PANPA
OG0000003	sp|Q8NGP8|OR5M1_HUMAN, sp|Q6IEU7|OR5MA_HUMAN	tr|A0A2R9ASJ4|A0A2R9ASJ4_PANPA
OG0000003	sp|Q8NGP2|OR8J1_HUMAN	tr|A0A2R9ARN4|A0A2R9ARN4_PANPA
OG0000003	sp|Q8NGG0|OR8J3_HUMAN	tr|A0A2R9AQE0|A0A2R9AQE0_PANPA
OG0000003	sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN	tr|A0A2R9AMX8|A0A2R9AMX8_PANPA
OG0000003	sp|Q8N127|O5AS1_HUMAN, sp|Q8NGP9|O5AR1_HUMAN	tr|A0A2R9APF7|A0A2R9APF7_PANPA
OG0000004	sp|Q8NH42|OR4KD_HUMAN	tr|A0A2R9AQM7|A0A2R9AQM7_PANPA
OG0000004	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A2R9AUL5|A0A2R9AUL5_PANPA
OG0000004	sp|Q8NGD3|OR4K5_HUMAN, sp|Q8NH41|OR4KF_HUMAN	tr|A0A2R9AQT2|A0A2R9AQT2_PANPA
OG0000004	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A2R9ASN6|A0A2R9ASN6_PANPA
OG0000004	sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN, sp|Q8NGB8|O4F15_HUMAN	tr|A0A2R9AM66|A0A2R9AM66_PANPA
OG0000004	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2R9AU24|A0A2R9AU24_PANPA
OG0000004	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A2R9AR78|A0A2R9AR78_PANPA
OG0000004	sp|Q8NH05|OR4Q3_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|P0C623|OR4Q2_HUMAN, sp|Q15615|OR4D1_HUMAN, sp|P58180|OR4D2_HUMAN, sp|Q8NGN0|OR4D5_HUMAN	tr|A0A2R8ZP77|A0A2R8ZP77_PANPA
OG0000005	sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN	tr|A0A2R9AGV1|A0A2R9AGV1_PANPA
OG0000005	tr|A0A191URJ7|A0A191URJ7_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN	tr|A0A2R9A5N4|A0A2R9A5N4_PANPA
