Orthogroup	Mus_musculus	Felis_catus
OG0000002	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2I2U162|A0A2I2U162_FELCA
OG0000002	sp|Q8BQC8|RBAK_MOUSE	tr|A0A5F5XW07|A0A5F5XW07_FELCA
OG0000002	sp|B2RXC5|ZN382_MOUSE	tr|A0A337SR32|A0A337SR32_FELCA
OG0000002	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A2I2UYX3|A0A2I2UYX3_FELCA
OG0000002	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2I2UIP8|A0A2I2UIP8_FELCA, tr|A0A337SJ36|A0A337SJ36_FELCA, tr|A0A5F5XPY8|A0A5F5XPY8_FELCA, tr|A0A5F5XHZ4|A0A5F5XHZ4_FELCA, tr|M3VYM7|M3VYM7_FELCA, tr|M3WWC9|M3WWC9_FELCA, tr|A0A5F5Y6A1|A0A5F5Y6A1_FELCA, tr|A0A337RXV1|A0A337RXV1_FELCA, tr|A0A337SEI6|A0A337SEI6_FELCA
OG0000002	sp|Q80W31|ZN569_MOUSE	tr|A0A337SGS0|A0A337SGS0_FELCA, tr|A0A2I2UPQ7|A0A2I2UPQ7_FELCA, tr|A0A337SB47|A0A337SB47_FELCA
OG0000002	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A2I2U498|A0A2I2U498_FELCA
OG0000002	sp|P17141|ZFP37_MOUSE	tr|A0A337STE7|A0A337STE7_FELCA, tr|A0A2I2V3Z5|A0A2I2V3Z5_FELCA
OG0000002	sp|A2A761|ZFP69_MOUSE	tr|A0A2I2V0R2|A0A2I2V0R2_FELCA, tr|A0A337S7G6|A0A337S7G6_FELCA, tr|A0A2I2UR07|A0A2I2UR07_FELCA, tr|M3X4T2|M3X4T2_FELCA, tr|A0A2I2U1T7|A0A2I2U1T7_FELCA, tr|A0A5F5XW81|A0A5F5XW81_FELCA, tr|A0A5F5XSH2|A0A5F5XSH2_FELCA, tr|A0A337S6D5|A0A337S6D5_FELCA, tr|A0A337S6S1|A0A337S6S1_FELCA, tr|A0A5F5Y7Z3|A0A5F5Y7Z3_FELCA, tr|A0A337S7J9|A0A337S7J9_FELCA, tr|M3WDQ8|M3WDQ8_FELCA, tr|A0A337SN53|A0A337SN53_FELCA, tr|M3X9W6|M3X9W6_FELCA, tr|A0A337SNX8|A0A337SNX8_FELCA, tr|A0A337S3Z7|A0A337S3Z7_FELCA, tr|A0A5F5XNS2|A0A5F5XNS2_FELCA, tr|A0A5F5XTH8|A0A5F5XTH8_FELCA, tr|A0A5F5XHY3|A0A5F5XHY3_FELCA, tr|A0A5F5XRK4|A0A5F5XRK4_FELCA, tr|A0A2I2USM7|A0A2I2USM7_FELCA, tr|A0A337SM30|A0A337SM30_FELCA, tr|M3WQ64|M3WQ64_FELCA, tr|A0A337SDC3|A0A337SDC3_FELCA, tr|A0A337SBT8|A0A337SBT8_FELCA, tr|A0A5F5Y1X4|A0A5F5Y1X4_FELCA, tr|A0A2I2V292|A0A2I2V292_FELCA, tr|A0A5F5Y3M2|A0A5F5Y3M2_FELCA, tr|M3X9H9|M3X9H9_FELCA, tr|A0A337S0N4|A0A337S0N4_FELCA, tr|A0A337SQ61|A0A337SQ61_FELCA, tr|A0A2I2UU83|A0A2I2UU83_FELCA, tr|A0A2I2UVI9|A0A2I2UVI9_FELCA, tr|A0A2I2V2F3|A0A2I2V2F3_FELCA
OG0000002	tr|Q640N4|Q640N4_MOUSE	tr|A0A5F5XL03|A0A5F5XL03_FELCA, tr|A0A2I2URJ2|A0A2I2URJ2_FELCA, tr|A0A5F5XGR0|A0A5F5XGR0_FELCA, tr|M3WAQ5|M3WAQ5_FELCA
OG0000008	tr|Q7TQU8|Q7TQU8_MOUSE	tr|M3WAR5|M3WAR5_FELCA, tr|A0A5F5XUX9|A0A5F5XUX9_FELCA
