Orthogroup	Homo_sapiens	Mustela_putorius_furo
OG0000003	sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01766|HV313_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01780|HV307_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|P01764|HV323_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN	tr|A0A8U0V1R9|A0A8U0V1R9_MUSPF
OG0000005	sp|Q8NGM1|OR4CF_HUMAN	tr|M3Z6T1|M3Z6T1_MUSPF
OG0000005	sp|Q96R67|OR4CC_HUMAN	tr|A0A8U0NG41|A0A8U0NG41_MUSPF, tr|A0A8U0NHI0|A0A8U0NHI0_MUSPF, tr|A0A8U0NGI3|A0A8U0NGI3_MUSPF, tr|M3Z6T4|M3Z6T4_MUSPF, tr|A0A8U0NG39|A0A8U0NG39_MUSPF, tr|A0A8U0NHH6|A0A8U0NHH6_MUSPF, tr|A0A8U0RFS3|A0A8U0RFS3_MUSPF, tr|A0A8U0RII9|A0A8U0RII9_MUSPF, tr|A0A8U0T8M3|A0A8U0T8M3_MUSPF, tr|A0A8U0NH78|A0A8U0NH78_MUSPF, tr|A0A8U0URJ4|A0A8U0URJ4_MUSPF, tr|A0A8U0NHL5|A0A8U0NHL5_MUSPF, tr|A0A8U0NI60|A0A8U0NI60_MUSPF, tr|A0A8U0NIB6|A0A8U0NIB6_MUSPF, tr|A0A8U0T8C1|A0A8U0T8C1_MUSPF, tr|A0A8U0T860|A0A8U0T860_MUSPF, tr|A0A8U0NHX5|A0A8U0NHX5_MUSPF, tr|A0A8U0T8C5|A0A8U0T8C5_MUSPF, tr|A0A8U0NH29|A0A8U0NH29_MUSPF, tr|A0A8U0NGH9|A0A8U0NGH9_MUSPF, tr|M3Z616|M3Z616_MUSPF, tr|M3Z641|M3Z641_MUSPF, tr|M3Z635|M3Z635_MUSPF, tr|A0A8U0T8E9|A0A8U0T8E9_MUSPF, tr|M3Z625|M3Z625_MUSPF, tr|M3Z5L4|M3Z5L4_MUSPF, tr|A0A8U0RHA6|A0A8U0RHA6_MUSPF, tr|A0A8U0NGY9|A0A8U0NGY9_MUSPF, tr|A0A8U0NH82|A0A8U0NH82_MUSPF, tr|M3Z7B4|M3Z7B4_MUSPF, tr|A0A8U0T8V0|A0A8U0T8V0_MUSPF, tr|M3Z6T7|M3Z6T7_MUSPF, tr|A0A8U0NHL9|A0A8U0NHL9_MUSPF
OG0000006	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A8U0T8S7|A0A8U0T8S7_MUSPF
OG0000006	sp|Q96R72|OR4K3_HUMAN	tr|A0A8U0NHB8|A0A8U0NHB8_MUSPF
OG0000006	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A8U0NI36|A0A8U0NI36_MUSPF, tr|A0A8U0NHC7|A0A8U0NHC7_MUSPF
OG0000006	sp|Q8NH43|OR4L1_HUMAN	tr|A0A8U0UUH8|A0A8U0UUH8_MUSPF, tr|M3Z4Q3|M3Z4Q3_MUSPF, tr|A0A8U0RTL2|A0A8U0RTL2_MUSPF, tr|A0A8U0NGD9|A0A8U0NGD9_MUSPF, tr|A0A8U0T8G6|A0A8U0T8G6_MUSPF, tr|A0A8U0NHT3|A0A8U0NHT3_MUSPF, tr|A0A8U0NIA3|A0A8U0NIA3_MUSPF
OG0000006	sp|Q8NH42|OR4KD_HUMAN	tr|M3Z6S2|M3Z6S2_MUSPF, tr|A0A8U0NHE0|A0A8U0NHE0_MUSPF
OG0000006	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A8U0NG81|A0A8U0NG81_MUSPF, tr|A0A8U0T8G2|A0A8U0T8G2_MUSPF
OG0000006	sp|Q8NH41|OR4KF_HUMAN	tr|M3Z427|M3Z427_MUSPF, tr|A0A8U0NHH9|A0A8U0NHH9_MUSPF
OG0000006	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A8U0NMD1|A0A8U0NMD1_MUSPF, tr|A0A8U0UP30|A0A8U0UP30_MUSPF
OG0000011	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A8U0RHQ2|A0A8U0RHQ2_MUSPF, tr|A0A8U0UR71|A0A8U0UR71_MUSPF, tr|A0A8U0NHJ8|A0A8U0NHJ8_MUSPF, tr|A0A8U0RG83|A0A8U0RG83_MUSPF
OG0000011	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A8U0N1D5|A0A8U0N1D5_MUSPF, tr|M3Z408|M3Z408_MUSPF, tr|M3Z409|M3Z409_MUSPF
OG0000011	sp|Q8NH73|OR4S2_HUMAN	tr|A0A8U0NGS5|A0A8U0NGS5_MUSPF
OG0000012	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN	tr|A0A8U0S8L3|A0A8U0S8L3_MUSPF
OG0000013	sp|P47890|OR1G1_HUMAN	tr|A0A8U0TD40|A0A8U0TD40_MUSPF
OG0000013	sp|Q8NGS1|OR1J4_HUMAN	tr|A0A8U0NPW2|A0A8U0NPW2_MUSPF
OG0000013	sp|Q8NGS2|OR1J2_HUMAN	tr|A0A8U0NNB0|A0A8U0NNB0_MUSPF
OG0000013	sp|Q8NGS3|OR1J1_HUMAN	tr|A0A8U0NNX2|A0A8U0NNX2_MUSPF
OG0000015	sp|A0A075B6I4|LVX54_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|P01717|LV325_HUMAN, sp|P01718|LV327_HUMAN	tr|A0A8U0TBI4|A0A8U0TBI4_MUSPF
OG0000016	sp|Q9H7L2|KI3X1_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, sp|Q8N743|KI3L3_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q99706|KI2L4_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, sp|P43631|KI2S2_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14954|KI2S1_HUMAN, sp|P43632|KI2S4_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN	tr|A0A8U0RY48|A0A8U0RY48_MUSPF
OG0000017	sp|A2A368|MAGBG_HUMAN	tr|A0A8U0NGQ3|A0A8U0NGQ3_MUSPF
OG0000017	sp|O15480|MAGB3_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15481|MAGB4_HUMAN, sp|O15479|MAGB2_HUMAN, sp|A8MXT2|MAGBH_HUMAN, sp|Q96M61|MAGBI_HUMAN, sp|Q96LZ2|MAGBA_HUMAN, sp|Q8N7X4|MAGB6_HUMAN, tr|A0A0J9YX57|A0A0J9YX57_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q8TD91|MAGC3_HUMAN, sp|P43363|MAGAA_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43358|MAGA4_HUMAN, sp|A6NCF6|MA13P_HUMAN	tr|M3Z4W2|M3Z4W2_MUSPF
OG0000018	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8U0P0L1|A0A8U0P0L1_MUSPF
OG0000018	sp|A6NGY5|O51F1_HUMAN	tr|A0A8U0N613|A0A8U0N613_MUSPF
OG0000018	sp|Q8NH61|O51F2_HUMAN	tr|A0A8U0NI32|A0A8U0NI32_MUSPF, tr|A0A8U0NHN8|A0A8U0NHN8_MUSPF
OG0000018	sp|Q9H344|O51I2_HUMAN	tr|A0A8U0NNY3|A0A8U0NNY3_MUSPF, tr|A0A8U0T2B7|A0A8U0T2B7_MUSPF, tr|A0A8U0N5S7|A0A8U0N5S7_MUSPF, tr|A0A8U0P063|A0A8U0P063_MUSPF, tr|A0A8U0SD80|A0A8U0SD80_MUSPF, tr|A0A8U0T299|A0A8U0T299_MUSPF, tr|A0A8U0T2Q6|A0A8U0T2Q6_MUSPF, tr|A0A8U0N4P5|A0A8U0N4P5_MUSPF, tr|A0A8U0N5J2|A0A8U0N5J2_MUSPF, tr|A0A8U0T8R6|A0A8U0T8R6_MUSPF, tr|A0A8U0RLY7|A0A8U0RLY7_MUSPF, tr|M3Z3R5|M3Z3R5_MUSPF, tr|M3Z3R0|M3Z3R0_MUSPF, tr|M3Z3R2|M3Z3R2_MUSPF, tr|A0A8U0T741|A0A8U0T741_MUSPF
OG0000019	sp|Q8NGC7|O11H6_HUMAN	tr|A0A8U0TBM4|A0A8U0TBM4_MUSPF
OG0000019	sp|Q8NGC9|O11H4_HUMAN	tr|A0A8U0NHB6|A0A8U0NHB6_MUSPF
OG0000019	sp|Q8NGC8|O11H7_HUMAN	tr|A0A8U0NH93|A0A8U0NH93_MUSPF
OG0000019	sp|Q8NGC1|O11G2_HUMAN	tr|A0A8U0SD13|A0A8U0SD13_MUSPF, tr|A0A8U0REV6|A0A8U0REV6_MUSPF, tr|A0A8U0NHS0|A0A8U0NHS0_MUSPF, tr|A0A8U0T8P3|A0A8U0T8P3_MUSPF, tr|A0A8U0T8K7|A0A8U0T8K7_MUSPF, tr|A0A8U0NHU9|A0A8U0NHU9_MUSPF, tr|A0A8U0NPU5|A0A8U0NPU5_MUSPF, tr|A0A8U0NH72|A0A8U0NH72_MUSPF, tr|A0A8U0NG82|A0A8U0NG82_MUSPF, tr|A0A8U0NH11|A0A8U0NH11_MUSPF, tr|A0A8U0NGU1|A0A8U0NGU1_MUSPF, tr|A0A8U0NNH0|A0A8U0NNH0_MUSPF, tr|A0A8U0T8X6|A0A8U0T8X6_MUSPF, tr|A0A8U0NGN1|A0A8U0NGN1_MUSPF, tr|A0A8U0RE95|A0A8U0RE95_MUSPF, tr|A0A8U0NHM5|A0A8U0NHM5_MUSPF, tr|A0A8U0NPX8|A0A8U0NPX8_MUSPF, tr|A0A8U0RF98|A0A8U0RF98_MUSPF, tr|A0A8U0NGN0|A0A8U0NGN0_MUSPF
OG0000020	sp|Q8NGB8|O4F15_HUMAN	tr|A0A8U0NIM3|A0A8U0NIM3_MUSPF, tr|M3Z7Z1|M3Z7Z1_MUSPF, tr|A0A8U0SV09|A0A8U0SV09_MUSPF, tr|A0A8U0MQM0|A0A8U0MQM0_MUSPF, tr|A0A8U0RIJ2|A0A8U0RIJ2_MUSPF, tr|A0A8U0MQA0|A0A8U0MQA0_MUSPF, tr|M3Z6L0|M3Z6L0_MUSPF, tr|A0A8U0SUZ1|A0A8U0SUZ1_MUSPF, tr|A0A8U0TDJ0|A0A8U0TDJ0_MUSPF, tr|A0A8U0MPS7|A0A8U0MPS7_MUSPF, tr|A0A8U0SV43|A0A8U0SV43_MUSPF, tr|A0A8U0MR86|A0A8U0MR86_MUSPF, tr|A0A8U0NHN5|A0A8U0NHN5_MUSPF, tr|A0A8U0RH04|A0A8U0RH04_MUSPF, tr|A0A8U0NIZ1|A0A8U0NIZ1_MUSPF, tr|A0A8U0UXT1|A0A8U0UXT1_MUSPF, tr|A0A8U0NIS3|A0A8U0NIS3_MUSPF, tr|A0A8U0NHV8|A0A8U0NHV8_MUSPF, tr|A0A8U0NIM9|A0A8U0NIM9_MUSPF, tr|A0A8U0NH54|A0A8U0NH54_MUSPF, tr|A0A8U0T8J7|A0A8U0T8J7_MUSPF, tr|A0A8U0T8D5|A0A8U0T8D5_MUSPF, tr|A0A8U0NGJ2|A0A8U0NGJ2_MUSPF, tr|A0A8U0UVB0|A0A8U0UVB0_MUSPF, tr|A0A8U0UQ68|A0A8U0UQ68_MUSPF
