Orthogroup	Homo_sapiens	Enhydra_lutris_kenyoni
OG0000001	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A2Y9IFE3|A0A2Y9IFE3_ENHLU, tr|A0A2Y9IFE5|A0A2Y9IFE5_ENHLU, tr|A0A2Y9ID23|A0A2Y9ID23_ENHLU, tr|A0A2Y9IKW8|A0A2Y9IKW8_ENHLU, tr|A0A2Y9LGW9|A0A2Y9LGW9_ENHLU, tr|A0A2Y9IH45|A0A2Y9IH45_ENHLU, tr|A0A2Y9ICH0|A0A2Y9ICH0_ENHLU, tr|A0A2Y9IJU3|A0A2Y9IJU3_ENHLU, tr|A0A2Y9IGP0|A0A2Y9IGP0_ENHLU, tr|A0A2Y9ID64|A0A2Y9ID64_ENHLU, tr|A0A2Y9IC98|A0A2Y9IC98_ENHLU, tr|A0A2Y9IJZ5|A0A2Y9IJZ5_ENHLU, tr|A0A2Y9IC84|A0A2Y9IC84_ENHLU, tr|A0A2Y9IJS2|A0A2Y9IJS2_ENHLU, tr|A0A2Y9IJT7|A0A2Y9IJT7_ENHLU, tr|A0A2Y9IKX4|A0A2Y9IKX4_ENHLU, tr|A0A2Y9KGA8|A0A2Y9KGA8_ENHLU, tr|A0A2Y9IF88|A0A2Y9IF88_ENHLU, tr|A0A2Y9IG86|A0A2Y9IG86_ENHLU, tr|A0A2Y9JM42|A0A2Y9JM42_ENHLU, tr|A0A2Y9IWW2|A0A2Y9IWW2_ENHLU, tr|A0A2Y9IX02|A0A2Y9IX02_ENHLU, tr|A0A2Y9J4V2|A0A2Y9J4V2_ENHLU, tr|A0A2Y9IWZ8|A0A2Y9IWZ8_ENHLU, tr|A0A2Y9IX39|A0A2Y9IX39_ENHLU, tr|A0A2Y9J084|A0A2Y9J084_ENHLU, tr|A0A2Y9IH37|A0A2Y9IH37_ENHLU, tr|A0A2Y9KZX1|A0A2Y9KZX1_ENHLU, tr|A0A2Y9IC93|A0A2Y9IC93_ENHLU, tr|A0A2Y9IGN7|A0A2Y9IGN7_ENHLU, tr|A0A2Y9IH49|A0A2Y9IH49_ENHLU, tr|A0A2Y9ICF3|A0A2Y9ICF3_ENHLU, tr|A0A2Y9LGW3|A0A2Y9LGW3_ENHLU, tr|A0A2Y9L9R8|A0A2Y9L9R8_ENHLU, tr|A0A2Y9ID48|A0A2Y9ID48_ENHLU, tr|A0A2Y9IK70|A0A2Y9IK70_ENHLU, tr|A0A2Y9INP9|A0A2Y9INP9_ENHLU, tr|A0A2Y9ICM4|A0A2Y9ICM4_ENHLU, tr|A0A2Y9IG94|A0A2Y9IG94_ENHLU, tr|A0A2Y9IPH4|A0A2Y9IPH4_ENHLU, tr|A0A2Y9IH43|A0A2Y9IH43_ENHLU, tr|A0A2Y9IPI1|A0A2Y9IPI1_ENHLU, tr|A0A2Y9II55|A0A2Y9II55_ENHLU, tr|A0A2Y9ID54|A0A2Y9ID54_ENHLU, tr|A0A2Y9IM68|A0A2Y9IM68_ENHLU, tr|A0A2Y9IM40|A0A2Y9IM40_ENHLU, tr|A0A2Y9IID6|A0A2Y9IID6_ENHLU, tr|A0A2Y9LM66|A0A2Y9LM66_ENHLU, tr|A0A2Y9LC79|A0A2Y9LC79_ENHLU, tr|A0A2Y9LC74|A0A2Y9LC74_ENHLU, tr|A0A2Y9L9S1|A0A2Y9L9S1_ENHLU, tr|A0A2Y9L9L8|A0A2Y9L9L8_ENHLU
OG0000002	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A2Y9L535|A0A2Y9L535_ENHLU
OG0000002	sp|Q8NH41|OR4KF_HUMAN	tr|A0A2Y9LIG0|A0A2Y9LIG0_ENHLU
OG0000002	sp|Q8NH42|OR4KD_HUMAN	tr|A0A2Y9KTV9|A0A2Y9KTV9_ENHLU, tr|A0A2Y9L1F6|A0A2Y9L1F6_ENHLU
OG0000002	sp|Q8NH43|OR4L1_HUMAN	tr|A0A2Y9KUP2|A0A2Y9KUP2_ENHLU, tr|A0A2Y9KWB3|A0A2Y9KWB3_ENHLU, tr|A0A2Y9LC28|A0A2Y9LC28_ENHLU, tr|A0A2Y9L7P0|A0A2Y9L7P0_ENHLU, tr|A0A2Y9LDN8|A0A2Y9LDN8_ENHLU, tr|A0A2Y9IK98|A0A2Y9IK98_ENHLU
OG0000002	sp|Q8NGB8|O4F15_HUMAN	tr|A0A2Y9LL64|A0A2Y9LL64_ENHLU
OG0000002	sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN	tr|A0A2Y9L7T3|A0A2Y9L7T3_ENHLU, tr|A0A2Y9LK93|A0A2Y9LK93_ENHLU, tr|A0A2Y9LLJ3|A0A2Y9LLJ3_ENHLU, tr|A0A2Y9ICW0|A0A2Y9ICW0_ENHLU, tr|A0A2Y9IJR8|A0A2Y9IJR8_ENHLU
OG0000002	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A2Y9L6A3|A0A2Y9L6A3_ENHLU
OG0000002	sp|Q96R72|OR4K3_HUMAN	tr|A0A2Y9LC72|A0A2Y9LC72_ENHLU
OG0000002	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2Y9L7G4|A0A2Y9L7G4_ENHLU, tr|A0A2Y9KUH4|A0A2Y9KUH4_ENHLU
