Orthogroup	Homo_sapiens	Phascolarctos_cinereus
OG0000000	sp|Q8NC26|ZN114_HUMAN	tr|A0A6P5JM24|A0A6P5JM24_PHACI, tr|A0A6P5L9T1|A0A6P5L9T1_PHACI, tr|A0A6P5JQN8|A0A6P5JQN8_PHACI, tr|A0A6P5JQH7|A0A6P5JQH7_PHACI, tr|A0A6P5IZI6|A0A6P5IZI6_PHACI, tr|A0A6P5KP93|A0A6P5KP93_PHACI, tr|A0A6P5JGX8|A0A6P5JGX8_PHACI, tr|A0A6P5JFT3|A0A6P5JFT3_PHACI, tr|A0A6P5LGF7|A0A6P5LGF7_PHACI, tr|A0A6P5JG93|A0A6P5JG93_PHACI, tr|A0A6P5LSZ5|A0A6P5LSZ5_PHACI, tr|A0A6P5LLE8|A0A6P5LLE8_PHACI, tr|A0A6P5LKX6|A0A6P5LKX6_PHACI, tr|A0A6P5JQ29|A0A6P5JQ29_PHACI, tr|A0A6P5JG75|A0A6P5JG75_PHACI, tr|A0A6P5JJ27|A0A6P5JJ27_PHACI, tr|A0A6P5JQP1|A0A6P5JQP1_PHACI, tr|A0A6P5JIP9|A0A6P5JIP9_PHACI, tr|A0A6P5JJW6|A0A6P5JJW6_PHACI, tr|A0A6P5L2I1|A0A6P5L2I1_PHACI, tr|A0A6P5L5W0|A0A6P5L5W0_PHACI, tr|A0A6P5JGA1|A0A6P5JGA1_PHACI, tr|A0A6P5JPX8|A0A6P5JPX8_PHACI, tr|A0A6P5JQP6|A0A6P5JQP6_PHACI, tr|A0A6P5JG71|A0A6P5JG71_PHACI, tr|A0A6P5LLQ7|A0A6P5LLQ7_PHACI, tr|A0A6P5IET4|A0A6P5IET4_PHACI, tr|A0A6P5INP8|A0A6P5INP8_PHACI, tr|A0A6P5LPN9|A0A6P5LPN9_PHACI, tr|A0A6P5LSD6|A0A6P5LSD6_PHACI, tr|A0A6P5JRW3|A0A6P5JRW3_PHACI, tr|A0A6P5JWJ7|A0A6P5JWJ7_PHACI, tr|A0A6P5L1G8|A0A6P5L1G8_PHACI, tr|A0A6P5JPX1|A0A6P5JPX1_PHACI, tr|A0A6P5JQI7|A0A6P5JQI7_PHACI, tr|A0A6P5IES9|A0A6P5IES9_PHACI, tr|A0A6P5IPF8|A0A6P5IPF8_PHACI, tr|A0A6P5IHA8|A0A6P5IHA8_PHACI, tr|A0A6P5JIS8|A0A6P5JIS8_PHACI, tr|A0A6P5JJH9|A0A6P5JJH9_PHACI, tr|A0A6P5IU88|A0A6P5IU88_PHACI, tr|A0A6P5JG62|A0A6P5JG62_PHACI, tr|A0A6P5JTX1|A0A6P5JTX1_PHACI, tr|A0A6P5JJM8|A0A6P5JJM8_PHACI, tr|A0A6P5JJJ6|A0A6P5JJJ6_PHACI, tr|A0A6P5L1S6|A0A6P5L1S6_PHACI, tr|A0A6P5JJI2|A0A6P5JJI2_PHACI, tr|A0A6P5JTT2|A0A6P5JTT2_PHACI, tr|A0A6P5L8W7|A0A6P5L8W7_PHACI, tr|A0A6P5JSS3|A0A6P5JSS3_PHACI, tr|A0A6P5JU19|A0A6P5JU19_PHACI, tr|A0A6P5JJP0|A0A6P5JJP0_PHACI, tr|A0A6P5JJV6|A0A6P5JJV6_PHACI, tr|A0A6P5JM38|A0A6P5JM38_PHACI, tr|A0A6P5JU11|A0A6P5JU11_PHACI, tr|A0A6P5JJJ8|A0A6P5JJJ8_PHACI, tr|A0A6P5JM53|A0A6P5JM53_PHACI, tr|A0A6P5JSZ2|A0A6P5JSZ2_PHACI, tr|A0A6P5JM15|A0A6P5JM15_PHACI, tr|A0A6P5JTS6|A0A6P5JTS6_PHACI, tr|A0A6P5JJF6|A0A6P5JJF6_PHACI, tr|A0A6P5JG55|A0A6P5JG55_PHACI, tr|A0A6P5JJ32|A0A6P5JJ32_PHACI, tr|A0A6P5JPV1|A0A6P5JPV1_PHACI, tr|A0A6P5JQE2|A0A6P5JQE2_PHACI, tr|A0A6P5JQX9|A0A6P5JQX9_PHACI, tr|A0A6P5JMY4|A0A6P5JMY4_PHACI, tr|A0A6P5INK7|A0A6P5INK7_PHACI, tr|A0A6P5JVR8|A0A6P5JVR8_PHACI, tr|A0A6P5JGB6|A0A6P5JGB6_PHACI, tr|A0A6P5IP52|A0A6P5IP52_PHACI, tr|A0A6P5L3H9|A0A6P5L3H9_PHACI, tr|A0A6P5L135|A0A6P5L135_PHACI, tr|A0A6P5L2N4|A0A6P5L2N4_PHACI, tr|A0A6P5JQD1|A0A6P5JQD1_PHACI, tr|A0A6P5JPV3|A0A6P5JPV3_PHACI, tr|A0A6P5JIP0|A0A6P5JIP0_PHACI, tr|A0A6P5JG95|A0A6P5JG95_PHACI, tr|A0A6P5JG41|A0A6P5JG41_PHACI, tr|A0A6P5JNK2|A0A6P5JNK2_PHACI, tr|A0A6P5JPR6|A0A6P5JPR6_PHACI, tr|A0A6P5JQ37|A0A6P5JQ37_PHACI, tr|A0A6P5JGG3|A0A6P5JGG3_PHACI
OG0000002	sp|Q9H2C8|O51V1_HUMAN	tr|A0A6P5IYD3|A0A6P5IYD3_PHACI, tr|A0A6P5IR79|A0A6P5IR79_PHACI, tr|A0A6P5IMN1|A0A6P5IMN1_PHACI
OG0000002	sp|Q9H341|O51M1_HUMAN	tr|A0A6P5IMU5|A0A6P5IMU5_PHACI
OG0000002	sp|Q8NH61|O51F2_HUMAN	tr|A0A6P5IWT2|A0A6P5IWT2_PHACI, tr|A0A6P5IQX9|A0A6P5IQX9_PHACI
OG0000002	sp|A6NGY5|O51F1_HUMAN	tr|A0A6P5IMT4|A0A6P5IMT4_PHACI, tr|A0A6P5IY73|A0A6P5IY73_PHACI, tr|A0A6P5IN12|A0A6P5IN12_PHACI
OG0000002	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6P5IQR0|A0A6P5IQR0_PHACI, tr|A0A6P5IY50|A0A6P5IY50_PHACI, tr|A0A6P5IN41|A0A6P5IN41_PHACI, tr|A0A6P5IN46|A0A6P5IN46_PHACI
OG0000002	sp|Q8NGJ9|O51T1_HUMAN	tr|A0A6P5IXX4|A0A6P5IXX4_PHACI
OG0000002	sp|Q8NH59|O51Q1_HUMAN	tr|A0A6P5IN68|A0A6P5IN68_PHACI, tr|A0A6P5IXY1|A0A6P5IXY1_PHACI, tr|A0A6P5IX50|A0A6P5IX50_PHACI, tr|A0A6P5IX76|A0A6P5IX76_PHACI
OG0000002	sp|Q9H344|O51I2_HUMAN	tr|A0A6P5IWZ9|A0A6P5IWZ9_PHACI, tr|A0A6P5IMZ4|A0A6P5IMZ4_PHACI
OG0000002	sp|Q9H343|O51I1_HUMAN	tr|A0A6P5IQK3|A0A6P5IQK3_PHACI, tr|A0A6P5IQK8|A0A6P5IQK8_PHACI, tr|A0A6P5IMU2|A0A6P5IMU2_PHACI, tr|A0A6P5IMM4|A0A6P5IMM4_PHACI, tr|A0A6P5IN16|A0A6P5IN16_PHACI, tr|A0A6P5IR15|A0A6P5IR15_PHACI
