Orthogroup	Homo_sapiens	Lipotes_vexillifer
OG0000000	sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGC0|O5AU1_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8WZ94|OR5P3_HUMAN, sp|Q8WZ92|OR5P2_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NH18|OR5J2_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NGE7|OR9K2_HUMAN, sp|Q8NGW6|OR6K6_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|Q8NGZ2|O14K1_HUMAN, sp|Q8NHC5|O14AG_HUMAN, sp|Q9UGF5|O14J1_HUMAN, sp|A6ND48|O14I1_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|P47888|OR3A3_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47881|OR3A1_HUMAN, sp|P47883|OR3A4_HUMAN, sp|Q8NGX8|OR6Y1_HUMAN, sp|Q6IFH4|OR6B2_HUMAN, sp|Q8NGW1|OR6B3_HUMAN, sp|O95007|OR6B1_HUMAN, sp|Q8NH09|OR8S1_HUMAN, tr|A0A2R8YED5|A0A2R8YED5_HUMAN, sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGI8|O5AN1_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8N146|OR8H3_HUMAN	tr|A0A340XRP4|A0A340XRP4_LIPVE
OG0000001	sp|Q9H255|O51E2_HUMAN	tr|A0A340X4U0|A0A340X4U0_LIPVE
OG0000001	sp|Q8NGF3|O51D1_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|Q8NH61|O51F2_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8NGK5|O52M1_HUMAN, sp|Q8NGK4|O52K1_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NH76|O56B4_HUMAN, sp|Q8NGI3|O56B1_HUMAN, sp|Q8NGI1|O56B2_HUMAN, sp|Q8NGH8|O56A4_HUMAN, sp|P0C7T3|O56A5_HUMAN, sp|Q8NGH5|O56A1_HUMAN, sp|Q8NH54|O56A3_HUMAN, sp|Q8NH57|O52P1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q6IF63|O52W1_HUMAN, sp|Q8NGH7|O52L1_HUMAN, sp|Q8NH67|O52I2_HUMAN, sp|Q8NGK6|O52I1_HUMAN, sp|Q8NH60|O52J3_HUMAN, sp|Q8NGK2|O52B4_HUMAN, sp|Q8NGF0|O52B6_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q96RD2|O52B2_HUMAN, sp|Q8NGJ2|O52H1_HUMAN, sp|Q9H346|O52D1_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8TCB6|O51E1_HUMAN	tr|A0A340X960|A0A340X960_LIPVE
OG0000006	sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN	tr|A0A340WU44|A0A340WU44_LIPVE
OG0000006	sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|A0A075B6I0|LV861_HUMAN	tr|A0A340X2B4|A0A340X2B4_LIPVE
OG0000006	sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|P12018|VPREB_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN	tr|A0A340WW60|A0A340WW60_LIPVE
OG0000006	sp|A0A075B6I4|LVX54_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN	tr|A0A340WNM5|A0A340WNM5_LIPVE
OG0000011	sp|P0C0S8|H2A1_HUMAN	tr|A0A340YGV2|A0A340YGV2_LIPVE
OG0000011	sp|Q96KK5|H2A1H_HUMAN	tr|A0A340WKR7|A0A340WKR7_LIPVE
OG0000011	sp|Q99878|H2A1J_HUMAN	tr|A0A340YGY1|A0A340YGY1_LIPVE
