Orthogroup	Mus_musculus	Panthera_tigris_altaica
OG0000002	sp|P17141|ZFP37_MOUSE	tr|A0A8C9IXS9|A0A8C9IXS9_PANTA
OG0000002	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8C9KH24|A0A8C9KH24_PANTA
OG0000002	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8C9KNN4|A0A8C9KNN4_PANTA
OG0000002	tr|Q640N4|Q640N4_MOUSE	tr|A0A8C9K0X3|A0A8C9K0X3_PANTA, tr|A0A8C9JRI2|A0A8C9JRI2_PANTA, tr|A0A8C9JSR5|A0A8C9JSR5_PANTA, tr|A0A8C9JXE1|A0A8C9JXE1_PANTA
OG0000002	sp|B2RXC5|ZN382_MOUSE	tr|A0A8C9JHS6|A0A8C9JHS6_PANTA
OG0000002	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A8C9J3U9|A0A8C9J3U9_PANTA
OG0000002	sp|Q80W31|ZN569_MOUSE	tr|A0A8C9JAF4|A0A8C9JAF4_PANTA, tr|A0A8C9JE87|A0A8C9JE87_PANTA, tr|A0A8C9JKV9|A0A8C9JKV9_PANTA
OG0000002	sp|A2A761|ZFP69_MOUSE	tr|A0A8C9JV41|A0A8C9JV41_PANTA, tr|A0A8C9KFS6|A0A8C9KFS6_PANTA, tr|A0A8C9KJZ9|A0A8C9KJZ9_PANTA, tr|A0A8C9KJW3|A0A8C9KJW3_PANTA, tr|A0A8C9K836|A0A8C9K836_PANTA, tr|A0A8C9JSG9|A0A8C9JSG9_PANTA, tr|A0A8C9K819|A0A8C9K819_PANTA, tr|A0A8C9KJ86|A0A8C9KJ86_PANTA, tr|A0A8C9KLT2|A0A8C9KLT2_PANTA, tr|A0A8C9KI07|A0A8C9KI07_PANTA, tr|A0A8C9KLK1|A0A8C9KLK1_PANTA, tr|A0A8C9K3C7|A0A8C9K3C7_PANTA, tr|A0A8C9J5Y3|A0A8C9J5Y3_PANTA, tr|A0A8C9MAV5|A0A8C9MAV5_PANTA, tr|A0A8C9KLL1|A0A8C9KLL1_PANTA, tr|A0A8C9JKJ5|A0A8C9JKJ5_PANTA, tr|A0A8C9KCS0|A0A8C9KCS0_PANTA, tr|A0A8C9K1I2|A0A8C9K1I2_PANTA, tr|A0A8C9KJM5|A0A8C9KJM5_PANTA, tr|A0A8C9M9Y5|A0A8C9M9Y5_PANTA, tr|A0A8C9KD34|A0A8C9KD34_PANTA, tr|A0A8C9KHP6|A0A8C9KHP6_PANTA
OG0000002	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A8C9K378|A0A8C9K378_PANTA, tr|A0A8C9KJ05|A0A8C9KJ05_PANTA, tr|A0A8C9JYX2|A0A8C9JYX2_PANTA, tr|A0A8C9K5I2|A0A8C9K5I2_PANTA, tr|A0A8C9K1K6|A0A8C9K1K6_PANTA, tr|A0A8C9KAB4|A0A8C9KAB4_PANTA, tr|A0A8C9KEI2|A0A8C9KEI2_PANTA, tr|A0A8C9JML9|A0A8C9JML9_PANTA
OG0000008	tr|Q8C393|Q8C393_MOUSE	tr|A0A8C9JP33|A0A8C9JP33_PANTA
OG0000008	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8C9JX86|A0A8C9JX86_PANTA
OG0000008	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8C9J8N3|A0A8C9J8N3_PANTA
OG0000008	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A8C9JU21|A0A8C9JU21_PANTA
OG0000008	tr|Q9D654|Q9D654_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A8C9JHG2|A0A8C9JHG2_PANTA
OG0000008	sp|Q60585|ZFP30_MOUSE	tr|A0A8C9JMS4|A0A8C9JMS4_PANTA
OG0000008	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8C9M2E5|A0A8C9M2E5_PANTA
OG0000008	sp|Q3V080|ZN583_MOUSE	tr|A0A8C9M8B9|A0A8C9M8B9_PANTA
OG0000008	tr|Q5U406|Q5U406_MOUSE	tr|A0A8C9JP29|A0A8C9JP29_PANTA, tr|A0A8C9JHD8|A0A8C9JHD8_PANTA, tr|A0A8C9K322|A0A8C9K322_PANTA
OG0000008	sp|P10078|ZFP28_MOUSE	tr|A0A8C9JT71|A0A8C9JT71_PANTA
