Orthogroup	Mus_musculus	Heterocephalus_glaber
OG0000000	tr|E9Q8I6|E9Q8I6_MOUSE, tr|G3X9U3|G3X9U3_MOUSE, tr|Q9EPT1|Q9EPT1_MOUSE, tr|Q8R2C0|Q8R2C0_MOUSE, tr|A0A494BA35|A0A494BA35_MOUSE, tr|W4VSP5|W4VSP5_MOUSE, tr|K7N731|K7N731_MOUSE, tr|Q8R2B9|Q8R2B9_MOUSE, tr|Q9EPS9|Q9EPS9_MOUSE, tr|Q8R2B8|Q8R2B8_MOUSE, tr|Q9EPS7|Q9EPS7_MOUSE, tr|Q9EPS6|Q9EPS6_MOUSE, tr|K7N6T9|K7N6T9_MOUSE, tr|K7N6W9|K7N6W9_MOUSE, tr|G3UW71|G3UW71_MOUSE, tr|L7N275|L7N275_MOUSE, tr|G3UW31|G3UW31_MOUSE, tr|K7N6B6|K7N6B6_MOUSE, tr|E9PXM3|E9PXM3_MOUSE, tr|A0A087WR36|A0A087WR36_MOUSE, tr|E9Q8V7|E9Q8V7_MOUSE, tr|Q9EPS4|Q9EPS4_MOUSE, tr|E9PYW5|E9PYW5_MOUSE, tr|Q8K3N5|Q8K3N5_MOUSE, tr|L7N226|L7N226_MOUSE, tr|L7N2C8|L7N2C8_MOUSE, tr|D3YTW8|D3YTW8_MOUSE, tr|K7N6B7|K7N6B7_MOUSE, tr|K7N6B8|K7N6B8_MOUSE, tr|K7N6J4|K7N6J4_MOUSE, tr|Q3KNP5|Q3KNP5_MOUSE, tr|Q0P547|Q0P547_MOUSE, tr|B9EK86|B9EK86_MOUSE, tr|Q8R2B6|Q8R2B6_MOUSE, tr|Q8R2B4|Q8R2B4_MOUSE, tr|K7N6J6|K7N6J6_MOUSE, tr|K7N6J2|K7N6J2_MOUSE, tr|L7N288|L7N288_MOUSE, tr|K7N6X7|K7N6X7_MOUSE, tr|K7N6Y3|K7N6Y3_MOUSE, tr|K7N6X3|K7N6X3_MOUSE, tr|D3YTX5|D3YTX5_MOUSE, tr|K7N6J5|K7N6J5_MOUSE, tr|G3UY92|G3UY92_MOUSE, tr|E9PWL6|E9PWL6_MOUSE, tr|E9Q365|E9Q365_MOUSE, tr|L7N2C9|L7N2C9_MOUSE, tr|K9J7G2|K9J7G2_MOUSE, tr|K9J7G9|K9J7G9_MOUSE, tr|K9J7F4|K9J7F4_MOUSE, tr|E9QA94|E9QA94_MOUSE, tr|G3UWI8|G3UWI8_MOUSE, tr|D3YZG3|D3YZG3_MOUSE, tr|E9Q4H3|E9Q4H3_MOUSE, tr|K9J7G6|K9J7G6_MOUSE, tr|K7N701|K7N701_MOUSE, tr|K7N726|K7N726_MOUSE, tr|K7N6U0|K7N6U0_MOUSE, tr|E9Q346|E9Q346_MOUSE, tr|L7N270|L7N270_MOUSE, tr|L7N227|L7N227_MOUSE, tr|G3UY48|G3UY48_MOUSE, tr|E9Q069|E9Q069_MOUSE, tr|E9Q8L6|E9Q8L6_MOUSE, tr|L7N2B4|L7N2B4_MOUSE, tr|K9J7G0|K9J7G0_MOUSE, tr|E9Q9N3|E9Q9N3_MOUSE, tr|L7N293|L7N293_MOUSE, tr|L7N2A6|L7N2A6_MOUSE, tr|E9PUW9|E9PUW9_MOUSE, tr|D3YTY1|D3YTY1_MOUSE, tr|Q9EPS5|Q9EPS5_MOUSE, tr|E9PZR7|E9PZR7_MOUSE, tr|E9PW18|E9PW18_MOUSE, tr|D3YTY2|D3YTY2_MOUSE, tr|K9J7G4|K9J7G4_MOUSE, tr|L7N273|L7N273_MOUSE, tr|K9J7H2|K9J7H2_MOUSE, tr|D3YTX4|D3YTX4_MOUSE	tr|G5CAV4|G5CAV4_HETGA
OG0000001	tr|A0A0G2JDU3|A0A0G2JDU3_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01674|KV3AM_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, tr|A0A075B5Y8|A0A075B5Y8_MOUSE, tr|A0A075B5K3|A0A075B5K3_MOUSE, tr|A0A075B5J9|A0A075B5J9_MOUSE, tr|A0A075B5M7|A0A075B5M7_MOUSE, tr|A0A075B5M9|A0A075B5M9_MOUSE, sp|P01636|KV5A4_MOUSE, tr|A0A075B5L4|A0A075B5L4_MOUSE, tr|A0A140T8P6|A0A140T8P6_MOUSE, sp|P01635|KV5A3_MOUSE, tr|A0A140T8M2|A0A140T8M2_MOUSE, tr|A0A075B5M8|A0A075B5M8_MOUSE, tr|A0A075B5K9|A0A075B5K9_MOUSE, tr|A0A075B666|A0A075B666_MOUSE, tr|A0A140T8N3|A0A140T8N3_MOUSE, tr|A0A140T8P3|A0A140T8P3_MOUSE, tr|A0A140T8P9|A0A140T8P9_MOUSE, sp|P01637|KV5A5_MOUSE, sp|P01638|KV5A6_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE, tr|A0A075B683|A0A075B683_MOUSE, tr|A0A075B5K7|A0A075B5K7_MOUSE, tr|A0A075B5J7|A0A075B5J7_MOUSE, tr|A0A075B5K2|A0A075B5K2_MOUSE, sp|P01639|KV5A7_MOUSE, sp|P01641|KV5A8_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE, tr|A0A075B5L1|A0A075B5L1_MOUSE, sp|P01647|KV5AE_MOUSE, sp|P01646|KV5AD_MOUSE, sp|P01649|KV5AG_MOUSE, sp|P01645|KV5AC_MOUSE, sp|P01650|KV5AH_MOUSE, sp|P01653|KV5AL_MOUSE, sp|P01652|KV5AK_MOUSE, sp|P01648|KV5AF_MOUSE, sp|P01644|KV5AB_MOUSE, sp|P04946|KV5AM_MOUSE, sp|P01643|KV5AA_MOUSE, tr|A0A075B5L0|A0A075B5L0_MOUSE, tr|A0A140T8M1|A0A140T8M1_MOUSE, tr|A0A075B6D5|A0A075B6D5_MOUSE, tr|A0A0G2JET4|A0A0G2JET4_MOUSE, tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE	tr|G5CAV9|G5CAV9_HETGA
OG0000008	tr|E9QAG4|E9QAG4_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|K7N769|K7N769_MOUSE, tr|L7N208|L7N208_MOUSE, tr|Q9D308|Q9D308_MOUSE, tr|J3QPX0|J3QPX0_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|L7N248|L7N248_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|Q9CXH3|Q9CXH3_MOUSE, tr|D3Z288|D3Z288_MOUSE, tr|J3KMP8|J3KMP8_MOUSE, tr|F7D043|F7D043_MOUSE, tr|E9Q4R5|E9Q4R5_MOUSE, tr|A0A087WNP5|A0A087WNP5_MOUSE, tr|A0A0J9YVH3|A0A0J9YVH3_MOUSE, tr|A0A1W2P6H7|A0A1W2P6H7_MOUSE, tr|A0A0J9YUD4|A0A0J9YUD4_MOUSE, tr|A0A1B0GT64|A0A1B0GT64_MOUSE, tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE, tr|Q0P5U5|Q0P5U5_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|L7N267|L7N267_MOUSE	tr|G5C1J0|G5C1J0_HETGA
OG0000009	sp|A2A9R3|MAGB4_MOUSE	tr|G5BQK2|G5BQK2_HETGA, tr|G5C620|G5C620_HETGA, tr|G5B3H8|G5B3H8_HETGA, tr|G5B0V8|G5B0V8_HETGA, tr|G5BLP7|G5BLP7_HETGA, tr|G5BTP5|G5BTP5_HETGA, tr|G5BTP6|G5BTP6_HETGA, tr|G5BTP7|G5BTP7_HETGA, tr|G5BG34|G5BG34_HETGA, tr|G5AS25|G5AS25_HETGA, tr|G5B971|G5B971_HETGA, tr|G5BTX1|G5BTX1_HETGA, tr|G5AXM3|G5AXM3_HETGA, tr|G5B237|G5B237_HETGA, tr|G5ANX7|G5ANX7_HETGA, tr|G5B3J8|G5B3J8_HETGA, tr|G5C2P8|G5C2P8_HETGA, tr|G5B1F8|G5B1F8_HETGA, tr|G5B760|G5B760_HETGA, tr|G5ATG5|G5ATG5_HETGA, tr|G5BAU3|G5BAU3_HETGA, tr|G5BDL5|G5BDL5_HETGA, tr|G5B1C1|G5B1C1_HETGA, tr|G5BJ50|G5BJ50_HETGA, tr|G5BRT6|G5BRT6_HETGA, tr|G5B582|G5B582_HETGA, tr|G5BIY1|G5BIY1_HETGA, tr|G5BX73|G5BX73_HETGA, tr|G5C6Q7|G5C6Q7_HETGA, tr|G5B4J4|G5B4J4_HETGA, tr|G5B6D8|G5B6D8_HETGA, tr|G5B3D7|G5B3D7_HETGA, tr|G5C7S5|G5C7S5_HETGA, tr|G5B3E1|G5B3E1_HETGA, tr|G5BCY2|G5BCY2_HETGA, tr|G5B3E0|G5B3E0_HETGA, tr|G5C258|G5C258_HETGA, tr|G5B955|G5B955_HETGA, tr|G5B3D8|G5B3D8_HETGA, tr|G5B8M5|G5B8M5_HETGA, tr|G5AUB5|G5AUB5_HETGA, tr|G5CAW6|G5CAW6_HETGA, tr|G5C7S7|G5C7S7_HETGA, tr|G5C716|G5C716_HETGA, tr|G5AM01|G5AM01_HETGA, tr|G5C3L9|G5C3L9_HETGA, tr|G5C7S6|G5C7S6_HETGA
OG0000012	sp|Q9JHB2|OLF19_MOUSE	tr|G5AST0|G5AST0_HETGA, tr|G5AP71|G5AP71_HETGA, tr|G5APQ6|G5APQ6_HETGA, tr|G5B6E6|G5B6E6_HETGA, tr|G5B6E5|G5B6E5_HETGA, tr|G5AZW0|G5AZW0_HETGA, tr|G5C704|G5C704_HETGA, tr|G5BDV9|G5BDV9_HETGA, tr|G5C869|G5C869_HETGA, tr|G5B8N1|G5B8N1_HETGA, tr|G5BVV2|G5BVV2_HETGA, tr|G5BB55|G5BB55_HETGA, tr|G5B461|G5B461_HETGA, tr|G5BJX4|G5BJX4_HETGA, tr|G5B1Q8|G5B1Q8_HETGA, tr|G5C9N6|G5C9N6_HETGA, tr|G5BNT1|G5BNT1_HETGA, tr|G5AJX6|G5AJX6_HETGA, tr|G5AVD4|G5AVD4_HETGA, tr|G5C9N5|G5C9N5_HETGA, tr|G5BYR5|G5BYR5_HETGA, tr|G5C127|G5C127_HETGA, tr|G5B858|G5B858_HETGA, tr|G5B3K2|G5B3K2_HETGA, tr|G5BYR1|G5BYR1_HETGA, tr|G5BDN1|G5BDN1_HETGA, tr|G5ANH3|G5ANH3_HETGA, tr|G5BDN2|G5BDN2_HETGA, tr|G5AYK4|G5AYK4_HETGA, tr|G5BJX2|G5BJX2_HETGA, tr|G5ASZ6|G5ASZ6_HETGA, tr|G5AZT4|G5AZT4_HETGA, tr|G5BM86|G5BM86_HETGA, tr|G5ANH4|G5ANH4_HETGA, tr|G5ASZ7|G5ASZ7_HETGA, tr|G5AM79|G5AM79_HETGA, tr|G5B4G9|G5B4G9_HETGA, tr|G5C1R2|G5C1R2_HETGA, tr|G5BU78|G5BU78_HETGA, tr|G5BGD7|G5BGD7_HETGA, tr|G5BYR6|G5BYR6_HETGA, tr|G5BC03|G5BC03_HETGA, tr|G5AM81|G5AM81_HETGA, tr|G5AZC1|G5AZC1_HETGA, tr|G5BWD9|G5BWD9_HETGA
OG0000016	tr|Q8VF69|Q8VF69_MOUSE	tr|G5ALM6|G5ALM6_HETGA, tr|G5C9B6|G5C9B6_HETGA, tr|G5C858|G5C858_HETGA, tr|G5BZ55|G5BZ55_HETGA, tr|G5BZ54|G5BZ54_HETGA, tr|G5B080|G5B080_HETGA, tr|G5BZ53|G5BZ53_HETGA, tr|G5B079|G5B079_HETGA, tr|G5C7Q8|G5C7Q8_HETGA, tr|G5AT66|G5AT66_HETGA, tr|G5C855|G5C855_HETGA, tr|G5B3R4|G5B3R4_HETGA, tr|G5BRI3|G5BRI3_HETGA, tr|G5B424|G5B424_HETGA, tr|G5AT67|G5AT67_HETGA, tr|G5BLX9|G5BLX9_HETGA, tr|G5C2J5|G5C2J5_HETGA, tr|G5C859|G5C859_HETGA, tr|G5C3T0|G5C3T0_HETGA, tr|G5B1V0|G5B1V0_HETGA, tr|G5C9B3|G5C9B3_HETGA, tr|G5C7Q7|G5C7Q7_HETGA, tr|G5C9B5|G5C9B5_HETGA, tr|G5C9B7|G5C9B7_HETGA, tr|G5B0G5|G5B0G5_HETGA, tr|G5AL10|G5AL10_HETGA, tr|G5C2P5|G5C2P5_HETGA, tr|G5ARG3|G5ARG3_HETGA, tr|G5C2J6|G5C2J6_HETGA, tr|G5BRI2|G5BRI2_HETGA, tr|G5B1U9|G5B1U9_HETGA, tr|G5BIJ5|G5BIJ5_HETGA, tr|G5C9A9|G5C9A9_HETGA, tr|G5C9B0|G5C9B0_HETGA, tr|G5C9B4|G5C9B4_HETGA, tr|G5C9B2|G5C9B2_HETGA, tr|G5B1V1|G5B1V1_HETGA, tr|G5C7Q5|G5C7Q5_HETGA, tr|G5B3R3|G5B3R3_HETGA, tr|G5C9B8|G5C9B8_HETGA, tr|G5C7Q6|G5C7Q6_HETGA, tr|G5B087|G5B087_HETGA, tr|G5AT68|G5AT68_HETGA
OG0000018	sp|P62631|EF1A2_MOUSE	tr|G5C8D3|G5C8D3_HETGA
OG0000018	sp|P10126|EF1A1_MOUSE	tr|G5BWT2|G5BWT2_HETGA, tr|G5BT15|G5BT15_HETGA, tr|G5B2D0|G5B2D0_HETGA, tr|G5BT63|G5BT63_HETGA, tr|G5BVT4|G5BVT4_HETGA, tr|G5BNQ5|G5BNQ5_HETGA, tr|G5C4G7|G5C4G7_HETGA, tr|G5B9S6|G5B9S6_HETGA, tr|G5ALH4|G5ALH4_HETGA, tr|G5AM85|G5AM85_HETGA, tr|G5C6S1|G5C6S1_HETGA, tr|G5C782|G5C782_HETGA, tr|G5BLC1|G5BLC1_HETGA, tr|G5B7T3|G5B7T3_HETGA, tr|G5AL91|G5AL91_HETGA, tr|G5C1H1|G5C1H1_HETGA, tr|G5BJ49|G5BJ49_HETGA, tr|G5AUT1|G5AUT1_HETGA, tr|G5ARN2|G5ARN2_HETGA, tr|G5C4Q9|G5C4Q9_HETGA, tr|G5AW82|G5AW82_HETGA, tr|G5C1Y0|G5C1Y0_HETGA, tr|G5BN70|G5BN70_HETGA, tr|G5AZM6|G5AZM6_HETGA, tr|G5BUY0|G5BUY0_HETGA, tr|G5AY80|G5AY80_HETGA, tr|G5BR61|G5BR61_HETGA, tr|G5B4X8|G5B4X8_HETGA, tr|G5BZ35|G5BZ35_HETGA, tr|G5BX14|G5BX14_HETGA, tr|G5B9C7|G5B9C7_HETGA, tr|G5BGL7|G5BGL7_HETGA, tr|G5B2X3|G5B2X3_HETGA, tr|G5CBH5|G5CBH5_HETGA, tr|G5C6A3|G5C6A3_HETGA, tr|G5BQ35|G5BQ35_HETGA, tr|G5B2V8|G5B2V8_HETGA, tr|G5B0H1|G5B0H1_HETGA, tr|G5B257|G5B257_HETGA, tr|G5BW20|G5BW20_HETGA, tr|G5ALK7|G5ALK7_HETGA
OG0000019	tr|Q5ERI8|Q5ERI8_MOUSE, sp|P50715|DFA31_MOUSE, sp|P17534|DFAR2_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50716|DAR12_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q9D848|Q9D848_MOUSE, tr|D3YX03|D3YX03_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|K9J724|K9J724_MOUSE, sp|P28312|DEFA5_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|P28311|DEFA4_MOUSE, sp|Q45VN2|DFA20_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P50711|DFA13_MOUSE, sp|P28310|DEFA3_MOUSE, tr|L7N231|L7N231_MOUSE, sp|Q3L180|DFA26_MOUSE, sp|Q5G866|DFA23_MOUSE, tr|F2Z403|F2Z403_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, sp|Q5G864|DFA25_MOUSE, sp|P28309|DEFA2_MOUSE, sp|P50706|DEFA8_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50712|DFA14_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P50708|DFA10_MOUSE, sp|P50714|DFA16_MOUSE, sp|P50709|DFA11_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50704|DEFA6_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE, sp|Q5G865|DFA24_MOUSE	tr|G5BU52|G5BU52_HETGA
OG0000024	tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE, tr|A0A2I3BQ22|A0A2I3BQ22_MOUSE, tr|A0A2I3BQH9|A0A2I3BQH9_MOUSE, tr|Q7TRI6|Q7TRI6_MOUSE, tr|Q8VG33|Q8VG33_MOUSE, tr|Q8VFU5|Q8VFU5_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VG64|Q8VG64_MOUSE	tr|G5BFC7|G5BFC7_HETGA
