Orthogroup	Homo_sapiens	Vulpes_vulpes
OG0000000	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A3Q7RH58|A0A3Q7RH58_VULVU, tr|A0A3Q7RHC0|A0A3Q7RHC0_VULVU, tr|A0A3Q7SS13|A0A3Q7SS13_VULVU, tr|A0A3Q7SQT8|A0A3Q7SQT8_VULVU
OG0000000	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A3Q7RIC3|A0A3Q7RIC3_VULVU, tr|A0A3Q7RGZ7|A0A3Q7RGZ7_VULVU
OG0000000	sp|Q8NH37|OR4C3_HUMAN	tr|A0A3Q7SRA0|A0A3Q7SRA0_VULVU, tr|A0A3Q7RHG6|A0A3Q7RHG6_VULVU, tr|A0A3Q7SR90|A0A3Q7SR90_VULVU
OG0000000	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A3Q7RRA3|A0A3Q7RRA3_VULVU
OG0000000	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A3Q7RFZ1|A0A3Q7RFZ1_VULVU
OG0000000	sp|Q96R67|OR4CC_HUMAN	tr|A0A3Q7RHF6|A0A3Q7RHF6_VULVU, tr|A0A3Q7RG84|A0A3Q7RG84_VULVU, tr|A0A3Q7RFV6|A0A3Q7RFV6_VULVU, tr|A0A3Q7RH39|A0A3Q7RH39_VULVU, tr|A0A3Q7RHG9|A0A3Q7RHG9_VULVU, tr|A0A3Q7RR87|A0A3Q7RR87_VULVU, tr|A0A3Q7RFZ6|A0A3Q7RFZ6_VULVU, tr|A0A3Q7RG88|A0A3Q7RG88_VULVU
OG0000000	sp|Q8NH72|OR4C6_HUMAN	tr|A0A3Q7RHE3|A0A3Q7RHE3_VULVU, tr|A0A3Q7RIB8|A0A3Q7RIB8_VULVU, tr|A0A3Q7RGY1|A0A3Q7RGY1_VULVU
OG0000000	sp|Q8NGL6|O4A15_HUMAN	tr|A0A3Q7RRA9|A0A3Q7RRA9_VULVU, tr|A0A3Q7RR92|A0A3Q7RR92_VULVU, tr|A0A3Q7SRA5|A0A3Q7SRA5_VULVU, tr|A0A3Q7RG19|A0A3Q7RG19_VULVU, tr|A0A3Q7RHI0|A0A3Q7RHI0_VULVU, tr|A0A3Q7RG02|A0A3Q7RG02_VULVU, tr|A0A3Q7SR95|A0A3Q7SR95_VULVU, tr|A0A3Q7RHH4|A0A3Q7RHH4_VULVU, tr|A0A3Q7RG13|A0A3Q7RG13_VULVU, tr|A0A3Q7RFX8|A0A3Q7RFX8_VULVU
OG0000000	sp|A6NMZ5|O4C45_HUMAN	tr|A0A3Q7RGA0|A0A3Q7RGA0_VULVU, tr|A0A3Q7RG96|A0A3Q7RG96_VULVU, tr|A0A3Q7RG90|A0A3Q7RG90_VULVU
OG0000002	sp|Q6IFN5|O7E24_HUMAN	tr|A0A3Q7R5R7|A0A3Q7R5R7_VULVU, tr|A0A3Q7R5M9|A0A3Q7R5M9_VULVU, tr|A0A3Q7RHA6|A0A3Q7RHA6_VULVU, tr|A0A3Q7R7Q9|A0A3Q7R7Q9_VULVU, tr|A0A3Q7R7W8|A0A3Q7R7W8_VULVU, tr|A0A3Q7SID9|A0A3Q7SID9_VULVU, tr|A0A3Q7R5Z9|A0A3Q7R5Z9_VULVU, tr|A0A3Q7R820|A0A3Q7R820_VULVU, tr|A0A3Q7R7Q4|A0A3Q7R7Q4_VULVU, tr|A0A3Q7RHB1|A0A3Q7RHB1_VULVU, tr|A0A3Q7R7Y9|A0A3Q7R7Y9_VULVU, tr|A0A3Q7R7U7|A0A3Q7R7U7_VULVU, tr|A0A3Q7RH30|A0A3Q7RH30_VULVU, tr|A0A3Q7SI83|A0A3Q7SI83_VULVU, tr|A0A3Q7R5Y3|A0A3Q7R5Y3_VULVU, tr|A0A3Q7SIC7|A0A3Q7SIC7_VULVU, tr|A0A3Q7R7V2|A0A3Q7R7V2_VULVU, tr|A0A3Q7STI4|A0A3Q7STI4_VULVU, tr|A0A3Q7RIL7|A0A3Q7RIL7_VULVU, tr|A0A3Q7RIT8|A0A3Q7RIT8_VULVU, tr|A0A3Q7RU46|A0A3Q7RU46_VULVU, tr|A0A3Q7RJ63|A0A3Q7RJ63_VULVU, tr|A0A3Q7RK65|A0A3Q7RK65_VULVU, tr|A0A3Q7R1F6|A0A3Q7R1F6_VULVU, tr|A0A3Q7RIT3|A0A3Q7RIT3_VULVU, tr|A0A3Q7STJ5|A0A3Q7STJ5_VULVU, tr|A0A3Q7QYS9|A0A3Q7QYS9_VULVU, tr|A0A3Q7RIR8|A0A3Q7RIR8_VULVU, tr|A0A3Q7STJ2|A0A3Q7STJ2_VULVU, tr|A0A3Q7R1W7|A0A3Q7R1W7_VULVU, tr|A0A3Q7RUB8|A0A3Q7RUB8_VULVU, tr|A0A3Q7RIK8|A0A3Q7RIK8_VULVU, tr|A0A3Q7RIH4|A0A3Q7RIH4_VULVU, tr|A0A3Q7RBB1|A0A3Q7RBB1_VULVU, tr|A0A3Q7RJ03|A0A3Q7RJ03_VULVU, tr|A0A3Q7STI8|A0A3Q7STI8_VULVU, tr|A0A3Q7RIL3|A0A3Q7RIL3_VULVU, tr|A0A3Q7RK60|A0A3Q7RK60_VULVU, tr|A0A3Q7STM8|A0A3Q7STM8_VULVU, tr|A0A3Q7RTV0|A0A3Q7RTV0_VULVU, tr|A0A3Q7RIH3|A0A3Q7RIH3_VULVU, tr|A0A3Q7RRJ1|A0A3Q7RRJ1_VULVU, tr|A0A3Q7RB20|A0A3Q7RB20_VULVU, tr|A0A3Q7QYS5|A0A3Q7QYS5_VULVU, tr|A0A3Q7RK70|A0A3Q7RK70_VULVU, tr|A0A3Q7R1F1|A0A3Q7R1F1_VULVU, tr|A0A3Q7SCU0|A0A3Q7SCU0_VULVU, tr|A0A3Q7RU65|A0A3Q7RU65_VULVU, tr|A0A3Q7R1X2|A0A3Q7R1X2_VULVU, tr|A0A3Q7RIU4|A0A3Q7RIU4_VULVU, tr|A0A3Q7RB23|A0A3Q7RB23_VULVU
