Orthogroup	Homo_sapiens	Orycteropus_afer_afer
OG0000002	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A8B7BBY3|A0A8B7BBY3_ORYAF, tr|A0A8B7BC24|A0A8B7BC24_ORYAF, tr|A0A8B7BBM4|A0A8B7BBM4_ORYAF, tr|A0A8B7B3H1|A0A8B7B3H1_ORYAF, tr|A0A8B7B481|A0A8B7B481_ORYAF, tr|A0A8B7B7K0|A0A8B7B7K0_ORYAF, tr|A0A8B7B4Y8|A0A8B7B4Y8_ORYAF, tr|A0A8B7B5Q3|A0A8B7B5Q3_ORYAF, tr|A0A8B7ANP9|A0A8B7ANP9_ORYAF, tr|A0A8B7B4Z1|A0A8B7B4Z1_ORYAF, tr|A0A8B7B497|A0A8B7B497_ORYAF, tr|A0A8B7B2V2|A0A8B7B2V2_ORYAF, tr|A0A8B7AYJ1|A0A8B7AYJ1_ORYAF, tr|A0A8B7AZG4|A0A8B7AZG4_ORYAF, tr|A0A8B7B2E6|A0A8B7B2E6_ORYAF, tr|A0A8B7B3F2|A0A8B7B3F2_ORYAF, tr|A0A8B7B501|A0A8B7B501_ORYAF, tr|A0A8B7B905|A0A8B7B905_ORYAF, tr|A0A8B7B5Q1|A0A8B7B5Q1_ORYAF, tr|A0A8B7B6L4|A0A8B7B6L4_ORYAF, tr|A0A8B7AQ83|A0A8B7AQ83_ORYAF, tr|A0A8B7B6L8|A0A8B7B6L8_ORYAF, tr|A0A8B7BBA2|A0A8B7BBA2_ORYAF, tr|A0A8B7BB49|A0A8B7BB49_ORYAF, tr|A0A8B7B462|A0A8B7B462_ORYAF, tr|A0A8B7B3E3|A0A8B7B3E3_ORYAF, tr|A0A8B7B4Y0|A0A8B7B4Y0_ORYAF, tr|A0A8B7BCK5|A0A8B7BCK5_ORYAF, tr|A0A8B7B8K1|A0A8B7B8K1_ORYAF, tr|A0A8B7AYI6|A0A8B7AYI6_ORYAF, tr|A0A8B7B490|A0A8B7B490_ORYAF, tr|A0A8B7APL8|A0A8B7APL8_ORYAF, tr|A0A8B7ATL4|A0A8B7ATL4_ORYAF, tr|A0A8B7AQ38|A0A8B7AQ38_ORYAF, tr|A0A8B7B3J0|A0A8B7B3J0_ORYAF, tr|A0A8B7BAM7|A0A8B7BAM7_ORYAF, tr|A0A8B7BE01|A0A8B7BE01_ORYAF, tr|A0A8B7AVN7|A0A8B7AVN7_ORYAF, tr|A0A8B7AZ28|A0A8B7AZ28_ORYAF, tr|A0A8B7AMB2|A0A8B7AMB2_ORYAF, tr|A0A8B7ALR4|A0A8B7ALR4_ORYAF, tr|A0A8B7B2X6|A0A8B7B2X6_ORYAF, tr|A0A8B7BAW1|A0A8B7BAW1_ORYAF, tr|A0A8B7B6I5|A0A8B7B6I5_ORYAF, tr|A0A8B7B8Y0|A0A8B7B8Y0_ORYAF, tr|A0A8B7AYJ0|A0A8B7AYJ0_ORYAF, tr|A0A8B7B649|A0A8B7B649_ORYAF, tr|A0A8B7B4J0|A0A8B7B4J0_ORYAF, tr|A0A8B7B8L1|A0A8B7B8L1_ORYAF, tr|A0A8B7B4J6|A0A8B7B4J6_ORYAF, tr|A0A8B7B5A2|A0A8B7B5A2_ORYAF, tr|A0A8B7B453|A0A8B7B453_ORYAF, tr|A0A8B7B7H2|A0A8B7B7H2_ORYAF, tr|A0A8B7B7I1|A0A8B7B7I1_ORYAF, tr|A0A8B7B639|A0A8B7B639_ORYAF, tr|A0A8B7B4W8|A0A8B7B4W8_ORYAF, tr|A0A8B7B4J8|A0A8B7B4J8_ORYAF, tr|A0A8B7B4J4|A0A8B7B4J4_ORYAF
OG0000004	sp|Q96R67|OR4CC_HUMAN	tr|A0A8B7B819|A0A8B7B819_ORYAF, tr|A0A8B7B9U3|A0A8B7B9U3_ORYAF
OG0000004	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A8B7BBZ2|A0A8B7BBZ2_ORYAF, tr|A0A8B7B839|A0A8B7B839_ORYAF
OG0000004	sp|A6NMZ5|O4C45_HUMAN	tr|A0A8B7B8N6|A0A8B7B8N6_ORYAF, tr|A0A8B7BBX7|A0A8B7BBX7_ORYAF, tr|A0A8B7B9V3|A0A8B7B9V3_ORYAF
OG0000004	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A8B7B4A1|A0A8B7B4A1_ORYAF, tr|A0A8B7B470|A0A8B7B470_ORYAF, tr|A0A8B7B5T8|A0A8B7B5T8_ORYAF, tr|A0A8B7B4Y9|A0A8B7B4Y9_ORYAF, tr|A0A8B7B494|A0A8B7B494_ORYAF, tr|A0A8B7B829|A0A8B7B829_ORYAF, tr|A0A8B7BE30|A0A8B7BE30_ORYAF, tr|A0A8B7B468|A0A8B7B468_ORYAF, tr|A0A8B7B5T3|A0A8B7B5T3_ORYAF, tr|A0A8B7B473|A0A8B7B473_ORYAF, tr|A0A8B7B5U3|A0A8B7B5U3_ORYAF, tr|A0A8B7B4A6|A0A8B7B4A6_ORYAF, tr|A0A8B7B507|A0A8B7B507_ORYAF, tr|A0A8B7B4A4|A0A8B7B4A4_ORYAF, tr|A0A8B7BBX3|A0A8B7BBX3_ORYAF, tr|A0A8B7B4B0|A0A8B7B4B0_ORYAF, tr|A0A8B7B4B5|A0A8B7B4B5_ORYAF, tr|A0A8B7B8C7|A0A8B7B8C7_ORYAF, tr|A0A8B7BB07|A0A8B7BB07_ORYAF, tr|A0A8B7B735|A0A8B7B735_ORYAF, tr|A0A8B7B517|A0A8B7B517_ORYAF, tr|A0A8B7B7Q4|A0A8B7B7Q4_ORYAF, tr|A0A8B7B475|A0A8B7B475_ORYAF, tr|A0A8B7B5U8|A0A8B7B5U8_ORYAF
OG0000006	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A8B7B800|A0A8B7B800_ORYAF
OG0000006	sp|Q8NH73|OR4S2_HUMAN	tr|A0A8B7B3V2|A0A8B7B3V2_ORYAF, tr|A0A8B7B3Y1|A0A8B7B3Y1_ORYAF, tr|A0A8B7B4N6|A0A8B7B4N6_ORYAF, tr|A0A8B7B804|A0A8B7B804_ORYAF, tr|A0A8B7B5G9|A0A8B7B5G9_ORYAF, tr|A0A8B7B5F7|A0A8B7B5F7_ORYAF, tr|A0A8B7B4N0|A0A8B7B4N0_ORYAF, tr|A0A8B7B3X7|A0A8B7B3X7_ORYAF, tr|A0A8B7B3Y0|A0A8B7B3Y0_ORYAF, tr|A0A8B7B5C8|A0A8B7B5C8_ORYAF, tr|A0A8B7B3X5|A0A8B7B3X5_ORYAF, tr|A0A8B7B5G4|A0A8B7B5G4_ORYAF, tr|A0A8B7B5C4|A0A8B7B5C4_ORYAF, tr|A0A8B7B831|A0A8B7B831_ORYAF, tr|A0A8B7B7W4|A0A8B7B7W4_ORYAF, tr|A0A8B7B5E0|A0A8B7B5E0_ORYAF, tr|A0A8B7B7Y0|A0A8B7B7Y0_ORYAF, tr|A0A8B7B4L4|A0A8B7B4L4_ORYAF, tr|A0A8B7B3W0|A0A8B7B3W0_ORYAF, tr|A0A8B7B745|A0A8B7B745_ORYAF, tr|A0A8B7B8U0|A0A8B7B8U0_ORYAF, tr|A0A8B7BB23|A0A8B7BB23_ORYAF, tr|A0A8B7B7W6|A0A8B7B7W6_ORYAF, tr|A0A8B7B4J5|A0A8B7B4J5_ORYAF, tr|A0A8B7B3U3|A0A8B7B3U3_ORYAF, tr|A0A8B7B724|A0A8B7B724_ORYAF, tr|A0A8B7B725|A0A8B7B725_ORYAF, tr|A0A8B7B707|A0A8B7B707_ORYAF, tr|A0A8B7B8T5|A0A8B7B8T5_ORYAF, tr|A0A8B7B718|A0A8B7B718_ORYAF, tr|A0A8B7BB12|A0A8B7BB12_ORYAF, tr|A0A8B7B7P4|A0A8B7B7P4_ORYAF, tr|A0A8B7B740|A0A8B7B740_ORYAF, tr|A0A8B7B7R9|A0A8B7B7R9_ORYAF, tr|A0A8B7B751|A0A8B7B751_ORYAF, tr|A0A8B7B7R4|A0A8B7B7R4_ORYAF, tr|A0A8B7B8R4|A0A8B7B8R4_ORYAF, tr|A0A8B7B3W7|A0A8B7B3W7_ORYAF, tr|A0A8B7BB18|A0A8B7BB18_ORYAF, tr|A0A8B7B8S9|A0A8B7B8S9_ORYAF, tr|A0A8B7B7Y5|A0A8B7B7Y5_ORYAF, tr|A0A8B7B4K9|A0A8B7B4K9_ORYAF, tr|A0A8B7B3V7|A0A8B7B3V7_ORYAF, tr|A0A8B7B3W2|A0A8B7B3W2_ORYAF
OG0000007	sp|Q9H342|O51J1_HUMAN	tr|A0A8B7B0N0|A0A8B7B0N0_ORYAF
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|A0A8B7AWA9|A0A8B7AWA9_ORYAF
OG0000007	sp|Q9H343|O51I1_HUMAN	tr|A0A8B7AWA5|A0A8B7AWA5_ORYAF, tr|A0A8B7B6H3|A0A8B7B6H3_ORYAF, tr|A0A8B7B0Q0|A0A8B7B0Q0_ORYAF
