Orthogroup	Homo_sapiens	Puma_concolor
OG0000000	sp|Q8NH73|OR4S2_HUMAN	tr|A0A6P6IAI2|A0A6P6IAI2_PUMCO
OG0000000	sp|Q8NGB4|OR4S1_HUMAN	tr|A0A6P6I761|A0A6P6I761_PUMCO
OG0000000	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A6P6I7G4|A0A6P6I7G4_PUMCO, tr|A0A6P6HMF4|A0A6P6HMF4_PUMCO, tr|A0A6P6I8H0|A0A6P6I8H0_PUMCO, tr|A0A6P6I7L0|A0A6P6I7L0_PUMCO, tr|A0A6P6HTZ4|A0A6P6HTZ4_PUMCO, tr|A0A6P6I8I0|A0A6P6I8I0_PUMCO, tr|A0A6P6I8H5|A0A6P6I8H5_PUMCO, tr|A0A6P6I7C4|A0A6P6I7C4_PUMCO, tr|A0A6P6I7L5|A0A6P6I7L5_PUMCO
OG0000000	sp|Q8NH49|OR4X1_HUMAN	tr|A0A6P6I9W1|A0A6P6I9W1_PUMCO
OG0000000	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A6P6I9R8|A0A6P6I9R8_PUMCO
OG0000000	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A6P6I7C0|A0A6P6I7C0_PUMCO
OG0000000	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A6P6IAI9|A0A6P6IAI9_PUMCO, tr|A0A6P6I7M0|A0A6P6I7M0_PUMCO, tr|A0A6P6I742|A0A6P6I742_PUMCO, tr|A0A6P6I874|A0A6P6I874_PUMCO, tr|A0A6P6I7F9|A0A6P6I7F9_PUMCO
OG0000000	sp|Q8NGM1|OR4CF_HUMAN	tr|A0A6P6I839|A0A6P6I839_PUMCO
OG0000000	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A6P6I989|A0A6P6I989_PUMCO
OG0000000	sp|A6NMZ5|O4C45_HUMAN	tr|A0A6P6I7E4|A0A6P6I7E4_PUMCO
OG0000000	sp|Q96R67|OR4CC_HUMAN	tr|A0A6P6I1S2|A0A6P6I1S2_PUMCO, tr|A0A6P6I429|A0A6P6I429_PUMCO, tr|A0A6P6I9R5|A0A6P6I9R5_PUMCO, tr|A0A6P6IAI4|A0A6P6IAI4_PUMCO, tr|A0A6P6IAC3|A0A6P6IAC3_PUMCO, tr|A0A6P6I7N3|A0A6P6I7N3_PUMCO
OG0000000	sp|Q8NH37|OR4C3_HUMAN	tr|A0A6P6IDB3|A0A6P6IDB3_PUMCO, tr|A0A6P6I6G9|A0A6P6I6G9_PUMCO, tr|A0A6P6IBB5|A0A6P6IBB5_PUMCO, tr|A0A6P6I866|A0A6P6I866_PUMCO, tr|A0A6P6I755|A0A6P6I755_PUMCO, tr|A0A6P6I9C5|A0A6P6I9C5_PUMCO, tr|A0A6P6I786|A0A6P6I786_PUMCO, tr|A0A6P6I9B4|A0A6P6I9B4_PUMCO, tr|A0A6P6IAB9|A0A6P6IAB9_PUMCO, tr|A0A6P6I6C0|A0A6P6I6C0_PUMCO, tr|A0A6P6IA07|A0A6P6IA07_PUMCO, tr|A0A6P6IAH5|A0A6P6IAH5_PUMCO
OG0000000	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A6P6I9E7|A0A6P6I9E7_PUMCO, tr|A0A6P6I7G7|A0A6P6I7G7_PUMCO, tr|A0A6P6I6C1|A0A6P6I6C1_PUMCO
