Orthogroup	Mus_musculus	Sciurus_vulgaris
OG0000003	sp|P17141|ZFP37_MOUSE	tr|A0A8D2DIM1|A0A8D2DIM1_SCIVU
OG0000003	sp|Q7TSH9|ZN184_MOUSE	tr|A0A8D2JN68|A0A8D2JN68_SCIVU
OG0000003	sp|Q61967|ZFP90_MOUSE	tr|A0A8D2DCB3|A0A8D2DCB3_SCIVU
OG0000003	sp|A2A761|ZFP69_MOUSE	tr|A0A8D2CVV9|A0A8D2CVV9_SCIVU, tr|A0A8D2AQH8|A0A8D2AQH8_SCIVU, tr|A0A8D2CSA9|A0A8D2CSA9_SCIVU, tr|A0A8D2CM16|A0A8D2CM16_SCIVU, tr|A0A8D2JDE5|A0A8D2JDE5_SCIVU, tr|A0A8D2CPX1|A0A8D2CPX1_SCIVU, tr|A0A8D2B4L8|A0A8D2B4L8_SCIVU
OG0000003	tr|Q640N4|Q640N4_MOUSE	tr|A0A8D2CT42|A0A8D2CT42_SCIVU
OG0000003	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8D2DTK5|A0A8D2DTK5_SCIVU, tr|A0A8D2D8T4|A0A8D2D8T4_SCIVU, tr|A0A8D2E046|A0A8D2E046_SCIVU
OG0000003	sp|B2RXC5|ZN382_MOUSE	tr|A0A8D2AN01|A0A8D2AN01_SCIVU, tr|A0A8D2JMQ3|A0A8D2JMQ3_SCIVU, tr|A0A8D2D738|A0A8D2D738_SCIVU
OG0000003	sp|Q80W31|ZN569_MOUSE	tr|A0A8D2BE07|A0A8D2BE07_SCIVU, tr|A0A8D2B515|A0A8D2B515_SCIVU, tr|A0A8D2D5P8|A0A8D2D5P8_SCIVU, tr|A0A8D2D3M9|A0A8D2D3M9_SCIVU, tr|A0A8D2JLN3|A0A8D2JLN3_SCIVU
OG0000003	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A8D2DP41|A0A8D2DP41_SCIVU, tr|A0A8D2JIT9|A0A8D2JIT9_SCIVU, tr|A0A8D2CUJ5|A0A8D2CUJ5_SCIVU, tr|A0A8D2DJV2|A0A8D2DJV2_SCIVU, tr|A0A8D2DKJ9|A0A8D2DKJ9_SCIVU, tr|A0A8D2DI77|A0A8D2DI77_SCIVU, tr|A0A8D2DJ89|A0A8D2DJ89_SCIVU, tr|A0A8D2DJB0|A0A8D2DJB0_SCIVU, tr|A0A8D2AQL0|A0A8D2AQL0_SCIVU, tr|A0A8D2JFZ7|A0A8D2JFZ7_SCIVU, tr|A0A8D2JFC2|A0A8D2JFC2_SCIVU
OG0000010	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8D2D769|A0A8D2D769_SCIVU
OG0000010	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8D2D3S9|A0A8D2D3S9_SCIVU
OG0000010	sp|Q60585|ZFP30_MOUSE	tr|A0A8D2DD60|A0A8D2DD60_SCIVU
OG0000010	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8D2D357|A0A8D2D357_SCIVU
OG0000010	sp|Q3V080|ZN583_MOUSE	tr|A0A8D2D5M5|A0A8D2D5M5_SCIVU, tr|A0A8D2JI54|A0A8D2JI54_SCIVU, tr|A0A8D2BDV6|A0A8D2BDV6_SCIVU, tr|A0A8D2DYM5|A0A8D2DYM5_SCIVU, tr|A0A8D2AIG1|A0A8D2AIG1_SCIVU
OG0000010	tr|Q5U406|Q5U406_MOUSE	tr|A0A8D2JM91|A0A8D2JM91_SCIVU
