Orthogroup	Mus_musculus	Erinaceus_europaeus
OG0000002	tr|A0A140T8P9|A0A140T8P9_MOUSE, sp|P01637|KV5A5_MOUSE, sp|P01638|KV5A6_MOUSE, sp|P01641|KV5A8_MOUSE, sp|P01639|KV5A7_MOUSE, tr|A0A075B5K2|A0A075B5K2_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE, tr|A0A075B683|A0A075B683_MOUSE, tr|A0A075B5K7|A0A075B5K7_MOUSE, tr|A0A075B5J7|A0A075B5J7_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE, tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE, tr|A0A0G2JET4|A0A0G2JET4_MOUSE, tr|A0A075B6D5|A0A075B6D5_MOUSE, tr|A0A140T8N3|A0A140T8N3_MOUSE, tr|A0A075B666|A0A075B666_MOUSE, tr|A0A140T8P3|A0A140T8P3_MOUSE, tr|A0A075B5M8|A0A075B5M8_MOUSE, tr|A0A140T8P6|A0A140T8P6_MOUSE, tr|A0A140T8M2|A0A140T8M2_MOUSE, sp|P01636|KV5A4_MOUSE, sp|P01635|KV5A3_MOUSE, tr|A0A075B5L4|A0A075B5L4_MOUSE, tr|A0A075B5K9|A0A075B5K9_MOUSE	tr|A0A1S3WUM9|A0A1S3WUM9_ERIEU
OG0000002	tr|A0A075B5M7|A0A075B5M7_MOUSE, tr|A0A075B5M9|A0A075B5M9_MOUSE, tr|A0A0G2JDU3|A0A0G2JDU3_MOUSE, tr|A0A075B5K3|A0A075B5K3_MOUSE, tr|A0A075B5J9|A0A075B5J9_MOUSE, sp|P01645|KV5AC_MOUSE, tr|A0A140T8M1|A0A140T8M1_MOUSE, tr|A0A075B5L1|A0A075B5L1_MOUSE, tr|A0A075B5L0|A0A075B5L0_MOUSE, sp|P01643|KV5AA_MOUSE, sp|P04946|KV5AM_MOUSE, sp|P01647|KV5AE_MOUSE, sp|P01644|KV5AB_MOUSE, sp|P01646|KV5AD_MOUSE, sp|P01648|KV5AF_MOUSE, sp|P01649|KV5AG_MOUSE, sp|P01650|KV5AH_MOUSE, sp|P01653|KV5AL_MOUSE, sp|P01652|KV5AK_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P01674|KV3AM_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE	tr|A0A1S3AMG9|A0A1S3AMG9_ERIEU
OG0000009	tr|Q8VGI9|Q8VGI9_MOUSE	tr|A0A1S2ZEJ4|A0A1S2ZEJ4_ERIEU, tr|A0A1S2ZEZ5|A0A1S2ZEZ5_ERIEU, tr|A0A1S2ZEZ7|A0A1S2ZEZ7_ERIEU, tr|A0A1S2ZEZ4|A0A1S2ZEZ4_ERIEU
OG0000009	tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE	tr|A0A1S2ZEK1|A0A1S2ZEK1_ERIEU
OG0000009	tr|A0A1L1SV77|A0A1L1SV77_MOUSE	tr|A0A1S3W543|A0A1S3W543_ERIEU, tr|A0A1S2ZEJ9|A0A1S2ZEJ9_ERIEU, tr|A0A1S2ZEJ2|A0A1S2ZEJ2_ERIEU, tr|A0A1S2ZEK0|A0A1S2ZEK0_ERIEU
OG0000009	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A1S2ZEJ1|A0A1S2ZEJ1_ERIEU
OG0000009	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A1S2ZEV9|A0A1S2ZEV9_ERIEU, tr|A0A1S2ZEW4|A0A1S2ZEW4_ERIEU, tr|A0A1S2ZEW0|A0A1S2ZEW0_ERIEU, tr|A0A1S2ZEG4|A0A1S2ZEG4_ERIEU, tr|A0A1S2ZEG6|A0A1S2ZEG6_ERIEU, tr|A0A1S2ZEX3|A0A1S2ZEX3_ERIEU, tr|A0A1S2ZEG5|A0A1S2ZEG5_ERIEU, tr|A0A1S2ZEX0|A0A1S2ZEX0_ERIEU, tr|A0A1S2ZEW7|A0A1S2ZEW7_ERIEU, tr|A0A1S2ZEG7|A0A1S2ZEG7_ERIEU, tr|A0A1S2ZEW3|A0A1S2ZEW3_ERIEU, tr|A0A1S2ZEX4|A0A1S2ZEX4_ERIEU, tr|A0A1S2ZEW9|A0A1S2ZEW9_ERIEU, tr|A0A1S2ZEK2|A0A1S2ZEK2_ERIEU
OG0000009	tr|Q8VG45|Q8VG45_MOUSE	tr|A0A1S2ZF00|A0A1S2ZF00_ERIEU, tr|A0A1S2ZEK5|A0A1S2ZEK5_ERIEU, tr|A0A1S2ZEJ8|A0A1S2ZEJ8_ERIEU
OG0000014	tr|Q5NC45|Q5NC45_MOUSE	tr|A0A1S2ZAU2|A0A1S2ZAU2_ERIEU
OG0000014	tr|Q8VF37|Q8VF37_MOUSE	tr|A0A1S2ZAT1|A0A1S2ZAT1_ERIEU
OG0000014	tr|E9Q3K2|E9Q3K2_MOUSE	tr|A0A1S2ZAT0|A0A1S2ZAT0_ERIEU
OG0000014	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A1S2ZAT6|A0A1S2ZAT6_ERIEU, tr|A0A1S2ZAP9|A0A1S2ZAP9_ERIEU, tr|A0A1S2ZAQ3|A0A1S2ZAQ3_ERIEU, tr|A0A1S2ZAT3|A0A1S2ZAT3_ERIEU
OG0000017	sp|Q60890|OLF11_MOUSE	tr|A0A1S3AGK1|A0A1S3AGK1_ERIEU
OG0000017	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A1S3AGI2|A0A1S3AGI2_ERIEU, tr|A0A1S3APC7|A0A1S3APC7_ERIEU, tr|A0A1S3APQ5|A0A1S3APQ5_ERIEU, tr|A0A1S3APS6|A0A1S3APS6_ERIEU, tr|A0A1S3AGG2|A0A1S3AGG2_ERIEU, tr|A0A1S3ANY0|A0A1S3ANY0_ERIEU
