Orthogroup	Mus_musculus	Gorilla_gorilla_gorilla
OG0000004	sp|Q80W31|ZN569_MOUSE	tr|G3SHB2|G3SHB2_GORGO
OG0000004	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A2I2YJC2|A0A2I2YJC2_GORGO, tr|G3SI32|G3SI32_GORGO
OG0000004	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2I2YKC9|A0A2I2YKC9_GORGO, tr|A0A2I2YV84|A0A2I2YV84_GORGO, tr|G3QZM2|G3QZM2_GORGO, tr|G3QNN6|G3QNN6_GORGO, tr|A0A2I2ZWU8|A0A2I2ZWU8_GORGO, tr|G3SG79|G3SG79_GORGO, tr|G3QZM8|G3QZM8_GORGO, tr|G3QEF4|G3QEF4_GORGO, tr|G3QYW2|G3QYW2_GORGO, tr|A0A2I2Y8W0|A0A2I2Y8W0_GORGO, tr|G3QNG3|G3QNG3_GORGO, tr|A0A2I2Z3R8|A0A2I2Z3R8_GORGO, tr|G3RQS9|G3RQS9_GORGO
OG0000004	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2I2Z8B7|A0A2I2Z8B7_GORGO
OG0000004	sp|Q8BQC8|RBAK_MOUSE	tr|G3RY75|G3RY75_GORGO
OG0000004	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A2I2YK32|A0A2I2YK32_GORGO
OG0000004	sp|B2RXC5|ZN382_MOUSE	tr|G3RVM0|G3RVM0_GORGO, tr|G3R1K0|G3R1K0_GORGO
OG0000004	tr|Q640N4|Q640N4_MOUSE	tr|G3R984|G3R984_GORGO, tr|G3REN3|G3REN3_GORGO, tr|G3R962|G3R962_GORGO, tr|G3QIA1|G3QIA1_GORGO, tr|G3RD14|G3RD14_GORGO, tr|G3RL37|G3RL37_GORGO
OG0000004	tr|Q8BIS1|Q8BIS1_MOUSE	tr|G3QTI6|G3QTI6_GORGO, tr|G3RBJ1|G3RBJ1_GORGO, tr|A0A2I2Y422|A0A2I2Y422_GORGO
OG0000009	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A2I2YCJ7|A0A2I2YCJ7_GORGO
OG0000009	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|G3QLV8|G3QLV8_GORGO
OG0000009	tr|Q8VCI1|Q8VCI1_MOUSE	tr|G3QKR2|G3QKR2_GORGO
OG0000009	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|G3RBF6|G3RBF6_GORGO, tr|A0A2I2YDK3|A0A2I2YDK3_GORGO
OG0000009	sp|Q3V080|ZN583_MOUSE	tr|A0A2I2YVV5|A0A2I2YVV5_GORGO, tr|A0A2I2YMB8|A0A2I2YMB8_GORGO, tr|A0A2I2ZQL8|A0A2I2ZQL8_GORGO, tr|G3RFV8|G3RFV8_GORGO
OG0000009	sp|Q7TSH9|ZN184_MOUSE	tr|A0A2I2ZTB4|A0A2I2ZTB4_GORGO, tr|A0A2I2YYU4|A0A2I2YYU4_GORGO, tr|G3RU37|G3RU37_GORGO, tr|A0A2I2ZAV3|A0A2I2ZAV3_GORGO, tr|G3S6A0|G3S6A0_GORGO, tr|A0A2I2ZNI4|A0A2I2ZNI4_GORGO, tr|G3RQL8|G3RQL8_GORGO, tr|G3S228|G3S228_GORGO
OG0000009	tr|Q9D654|Q9D654_MOUSE	tr|G3QMD5|G3QMD5_GORGO, tr|A0A2I2Z414|A0A2I2Z414_GORGO, tr|G3SHS0|G3SHS0_GORGO
OG0000009	sp|Q60585|ZFP30_MOUSE	tr|A0A2I2YQQ8|A0A2I2YQQ8_GORGO
OG0000009	sp|Q6P9Y7|ZFP82_MOUSE	tr|G3QCS3|G3QCS3_GORGO, tr|G3R8T9|G3R8T9_GORGO, tr|G3QXG1|G3QXG1_GORGO, tr|A0A2I2YRQ8|A0A2I2YRQ8_GORGO
OG0000009	sp|P10755|ZFP14_MOUSE	tr|A0A2I2YAG9|A0A2I2YAG9_GORGO, tr|A0A2I2ZUH9|A0A2I2ZUH9_GORGO, tr|A0A2I2YYI0|A0A2I2YYI0_GORGO, tr|A0A2I2Z3N2|A0A2I2Z3N2_GORGO, tr|A0A2I2YKS8|A0A2I2YKS8_GORGO, tr|G3R635|G3R635_GORGO, tr|G3RS96|G3RS96_GORGO, tr|G3RCT7|G3RCT7_GORGO
OG0000016	tr|Q8R2C2|Q8R2C2_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|K7N778|K7N778_MOUSE, tr|K7N688|K7N688_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|K7N775|K7N775_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|G3XA52|G3XA52_MOUSE	sp|Q7YRP1|VN1R5_GORGO
OG0000018	tr|Q8VG73|Q8VG73_MOUSE	tr|A0A2I2ZCE8|A0A2I2ZCE8_GORGO
OG0000018	tr|Q8VGP1|Q8VGP1_MOUSE	tr|G3RKN4|G3RKN4_GORGO
OG0000018	tr|Q8VGM8|Q8VGM8_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE	tr|A0A2I2YTE9|A0A2I2YTE9_GORGO
OG0000022	sp|P03977|KV3A4_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01674|KV3AM_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE	tr|A0A2I2YV52|A0A2I2YV52_GORGO
OG0000024	tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|A0A140T8J7|A0A140T8J7_MOUSE, tr|Q8VFE3|Q8VFE3_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q7TQW4|Q7TQW4_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE	tr|G3RRU9|G3RRU9_GORGO
OG0000030	tr|Q7TRH7|Q7TRH7_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|E9PUS9|E9PUS9_MOUSE	tr|A0A2I2YEJ5|A0A2I2YEJ5_GORGO
OG0000030	tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q8VF82|Q8VF82_MOUSE, tr|Q8VG45|Q8VG45_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE	tr|A0A2I2Z1H5|A0A2I2Z1H5_GORGO
