Orthogroup	Mus_musculus	Saimiri_boliviensis_boliviensis
OG0000001	sp|Q8VFK7|O1020_MOUSE	tr|A0A2K6V457|A0A2K6V457_SAIBB
OG0000001	tr|Q8VG11|Q8VG11_MOUSE, tr|Q7TQQ3|Q7TQQ3_MOUSE, tr|Q8VG65|Q8VG65_MOUSE, tr|Q8VG66|Q8VG66_MOUSE, tr|Q7TQQ2|Q7TQQ2_MOUSE, tr|Q8VFQ4|Q8VFQ4_MOUSE, tr|Q8VFQ3|Q8VFQ3_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE, tr|A2RT31|A2RT31_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q8VF34|Q8VF34_MOUSE, tr|A0A140LHS9|A0A140LHS9_MOUSE, tr|A0A2I3BR00|A0A2I3BR00_MOUSE, tr|Q8VFV3|Q8VFV3_MOUSE, tr|E9Q9Z6|E9Q9Z6_MOUSE, tr|Q8VF59|Q8VF59_MOUSE, tr|Q7TQR7|Q7TQR7_MOUSE, tr|A0PK57|A0PK57_MOUSE, tr|Q7TQR9|Q7TQR9_MOUSE, tr|Q8VFV8|Q8VFV8_MOUSE, sp|Q8VFV4|O1440_MOUSE, tr|A0A140LHT7|A0A140LHT7_MOUSE, tr|A0A140LHS7|A0A140LHS7_MOUSE, tr|Q8VGU3|Q8VGU3_MOUSE, tr|Q8VFC4|Q8VFC4_MOUSE, sp|Q60894|OLF12_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR43|Q7TR43_MOUSE	tr|A0A2K6UQF8|A0A2K6UQF8_SAIBB
OG0000004	tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE	tr|A0A2K6UMW4|A0A2K6UMW4_SAIBB
OG0000004	tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE	tr|A0A2K6ULB7|A0A2K6ULB7_SAIBB
OG0000004	tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE	tr|A0A2K6U8X2|A0A2K6U8X2_SAIBB
OG0000006	sp|P23275|OLF15_MOUSE	tr|A0A2K6TV71|A0A2K6TV71_SAIBB
OG0000006	sp|Q60890|OLF11_MOUSE	tr|A0A2K6RYV4|A0A2K6RYV4_SAIBB
OG0000006	tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE	tr|A0A2K6SHF1|A0A2K6SHF1_SAIBB
OG0000006	tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A2K6US39|A0A2K6US39_SAIBB
OG0000007	sp|Q7TSH9|ZN184_MOUSE	tr|A0A2K6S2H0|A0A2K6S2H0_SAIBB
OG0000007	sp|P10078|ZFP28_MOUSE	tr|A0A2K6V2C4|A0A2K6V2C4_SAIBB
OG0000007	tr|Q5U406|Q5U406_MOUSE	tr|A0A2K6SG24|A0A2K6SG24_SAIBB
OG0000007	sp|Q3V080|ZN583_MOUSE	tr|A0A2K6UBN4|A0A2K6UBN4_SAIBB, tr|A0A2K6TL97|A0A2K6TL97_SAIBB, tr|A0A2K6STJ8|A0A2K6STJ8_SAIBB
OG0000007	sp|Q60585|ZFP30_MOUSE	tr|A0A2K6V1V3|A0A2K6V1V3_SAIBB
OG0000007	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2K6S7S9|A0A2K6S7S9_SAIBB
OG0000007	sp|P10755|ZFP14_MOUSE	tr|A0A2K6SCC8|A0A2K6SCC8_SAIBB, tr|A0A2K6U721|A0A2K6U721_SAIBB, tr|A0A2K6SR66|A0A2K6SR66_SAIBB, tr|A0A2K6T5I4|A0A2K6T5I4_SAIBB, tr|A0A2K6SWC1|A0A2K6SWC1_SAIBB, tr|A0A2K6S5V4|A0A2K6S5V4_SAIBB
OG0000007	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2K6T9A2|A0A2K6T9A2_SAIBB
OG0000007	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A2K6TMV8|A0A2K6TMV8_SAIBB, tr|A0A2K6V6Z2|A0A2K6V6Z2_SAIBB
OG0000007	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2K6U0R7|A0A2K6U0R7_SAIBB, tr|A0A2K6SUT4|A0A2K6SUT4_SAIBB, tr|A0A2K6SUN7|A0A2K6SUN7_SAIBB, tr|A0A2K6T4X0|A0A2K6T4X0_SAIBB
