Orthogroup	Homo_sapiens	Mus_spicilegus
OG0000000	sp|Q9UN81|LORF1_HUMAN	tr|A0A8C6G7V4|A0A8C6G7V4_MUSSI, tr|A0A8C6G874|A0A8C6G874_MUSSI, tr|A0A8C6GZC9|A0A8C6GZC9_MUSSI, tr|A0A8C6GGH1|A0A8C6GGH1_MUSSI, tr|A0A8C6G6S7|A0A8C6G6S7_MUSSI, tr|A0A8C6HDR1|A0A8C6HDR1_MUSSI, tr|A0A8C6H6C3|A0A8C6H6C3_MUSSI, tr|A0A8C6IH71|A0A8C6IH71_MUSSI, tr|A0A8C6HRU1|A0A8C6HRU1_MUSSI, tr|A0A8C6I3R2|A0A8C6I3R2_MUSSI, tr|A0A8C6H9E7|A0A8C6H9E7_MUSSI, tr|A0A8C6H0I1|A0A8C6H0I1_MUSSI, tr|A0A8C6HUW2|A0A8C6HUW2_MUSSI, tr|A0A8C6G7P9|A0A8C6G7P9_MUSSI, tr|A0A8C6I2I8|A0A8C6I2I8_MUSSI, tr|A0A8C6N4S6|A0A8C6N4S6_MUSSI, tr|A0A8C6HP28|A0A8C6HP28_MUSSI, tr|A0A8C6H5J3|A0A8C6H5J3_MUSSI, tr|A0A8C6I0G3|A0A8C6I0G3_MUSSI, tr|A0A8C6GNY8|A0A8C6GNY8_MUSSI, tr|A0A8C6I159|A0A8C6I159_MUSSI, tr|A0A8C6H760|A0A8C6H760_MUSSI, tr|A0A8C6I5G3|A0A8C6I5G3_MUSSI, tr|A0A8C6GJY5|A0A8C6GJY5_MUSSI, tr|A0A8C6IES9|A0A8C6IES9_MUSSI, tr|A0A8C6HMP8|A0A8C6HMP8_MUSSI, tr|A0A8C6G8C8|A0A8C6G8C8_MUSSI, tr|A0A8C6HT12|A0A8C6HT12_MUSSI, tr|A0A8C6IKF5|A0A8C6IKF5_MUSSI, tr|A0A8C6I0D8|A0A8C6I0D8_MUSSI, tr|A0A8C6IJ70|A0A8C6IJ70_MUSSI, tr|A0A8C6HQR2|A0A8C6HQR2_MUSSI, tr|A0A8C6MVG7|A0A8C6MVG7_MUSSI, tr|A0A8C6HPU9|A0A8C6HPU9_MUSSI, tr|A0A8C6GAP5|A0A8C6GAP5_MUSSI, tr|A0A8C6I6D4|A0A8C6I6D4_MUSSI, tr|A0A8C6GWE2|A0A8C6GWE2_MUSSI, tr|A0A8C6IEZ9|A0A8C6IEZ9_MUSSI, tr|A0A8C6GQ81|A0A8C6GQ81_MUSSI, tr|A0A8C6G4Q8|A0A8C6G4Q8_MUSSI, tr|A0A8C6MY69|A0A8C6MY69_MUSSI, tr|A0A8C6MTN9|A0A8C6MTN9_MUSSI, tr|A0A8C6N467|A0A8C6N467_MUSSI, tr|A0A8C6GDB3|A0A8C6GDB3_MUSSI, tr|A0A8C6IJP3|A0A8C6IJP3_MUSSI, tr|A0A8C6GQH6|A0A8C6GQH6_MUSSI, tr|A0A8C6N1G9|A0A8C6N1G9_MUSSI, tr|A0A8C6IC01|A0A8C6IC01_MUSSI, tr|A0A8C6GHX1|A0A8C6GHX1_MUSSI, tr|A0A8C6HCN8|A0A8C6HCN8_MUSSI, tr|A0A8C6I242|A0A8C6I242_MUSSI, tr|A0A8C6H2F3|A0A8C6H2F3_MUSSI, tr|A0A8C6HZI9|A0A8C6HZI9_MUSSI, tr|A0A8C6MXI8|A0A8C6MXI8_MUSSI, tr|A0A8C6HP36|A0A8C6HP36_MUSSI, tr|A0A8C6I849|A0A8C6I849_MUSSI, tr|A0A8C6GAV3|A0A8C6GAV3_MUSSI, tr|A0A8C6HX64|A0A8C6HX64_MUSSI, tr|A0A8C6HX65|A0A8C6HX65_MUSSI, tr|A0A8C6HVR9|A0A8C6HVR9_MUSSI, tr|A0A8C6H8W1|A0A8C6H8W1_MUSSI, tr|A0A8C6HWK7|A0A8C6HWK7_MUSSI, tr|A0A8C6H9Q8|A0A8C6H9Q8_MUSSI, tr|A0A8C6GCM6|A0A8C6GCM6_MUSSI, tr|A0A8C6I4F8|A0A8C6I4F8_MUSSI, tr|A0A8C6HGS0|A0A8C6HGS0_MUSSI, tr|A0A8C6I5E4|A0A8C6I5E4_MUSSI, tr|A0A8C6GFA2|A0A8C6GFA2_MUSSI, tr|A0A8C6GPL2|A0A8C6GPL2_MUSSI, tr|A0A8C6HY38|A0A8C6HY38_MUSSI, tr|A0A8C6HI16|A0A8C6HI16_MUSSI, tr|A0A8C6GQB3|A0A8C6GQB3_MUSSI, tr|A0A8C6G9D9|A0A8C6G9D9_MUSSI, tr|A0A8C6IFL1|A0A8C6IFL1_MUSSI, tr|A0A8C6GSV1|A0A8C6GSV1_MUSSI, tr|A0A8C6GL38|A0A8C6GL38_MUSSI, tr|A0A8C6G9K2|A0A8C6G9K2_MUSSI, tr|A0A8C6IE10|A0A8C6IE10_MUSSI, tr|A0A8C6G435|A0A8C6G435_MUSSI, tr|A0A8C6G5E1|A0A8C6G5E1_MUSSI, tr|A0A8C6HB33|A0A8C6HB33_MUSSI, tr|A0A8C6I1Y4|A0A8C6I1Y4_MUSSI, tr|A0A8C6MUN0|A0A8C6MUN0_MUSSI, tr|A0A8C6HWL3|A0A8C6HWL3_MUSSI, tr|A0A8C6N167|A0A8C6N167_MUSSI, tr|A0A8C6HIE6|A0A8C6HIE6_MUSSI, tr|A0A8C6IK83|A0A8C6IK83_MUSSI, tr|A0A8C6HWS3|A0A8C6HWS3_MUSSI, tr|A0A8C6GMK9|A0A8C6GMK9_MUSSI, tr|A0A8C6I4Y1|A0A8C6I4Y1_MUSSI, tr|A0A8C6GH53|A0A8C6GH53_MUSSI, tr|A0A8C6HW27|A0A8C6HW27_MUSSI, tr|A0A8C6MPD0|A0A8C6MPD0_MUSSI, tr|A0A8C6HRC6|A0A8C6HRC6_MUSSI, tr|A0A8C6HM66|A0A8C6HM66_MUSSI, tr|A0A8C6HTD9|A0A8C6HTD9_MUSSI, tr|A0A8C6HFJ2|A0A8C6HFJ2_MUSSI, tr|A0A8C6H778|A0A8C6H778_MUSSI, tr|A0A8C6MXF4|A0A8C6MXF4_MUSSI, tr|A0A8C6G5D0|A0A8C6G5D0_MUSSI, tr|A0A8C6GCW3|A0A8C6GCW3_MUSSI, tr|A0A8C6HAM0|A0A8C6HAM0_MUSSI
OG0000001	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A8C6H2N9|A0A8C6H2N9_MUSSI, tr|A0A8C6GNT8|A0A8C6GNT8_MUSSI, tr|A0A8C6GHD1|A0A8C6GHD1_MUSSI, tr|A0A8C6HBH9|A0A8C6HBH9_MUSSI, tr|A0A8C6MNJ8|A0A8C6MNJ8_MUSSI, tr|A0A8C6G484|A0A8C6G484_MUSSI, tr|A0A8C6HAD8|A0A8C6HAD8_MUSSI, tr|A0A8C6GKC8|A0A8C6GKC8_MUSSI, tr|A0A8C6GCX7|A0A8C6GCX7_MUSSI, tr|A0A8C6HUR2|A0A8C6HUR2_MUSSI, tr|A0A8C6HTT2|A0A8C6HTT2_MUSSI, tr|A0A8C6I086|A0A8C6I086_MUSSI, tr|A0A8C6GSI1|A0A8C6GSI1_MUSSI, tr|A0A8C6GIU2|A0A8C6GIU2_MUSSI, tr|A0A8C6G4M3|A0A8C6G4M3_MUSSI, tr|A0A8C6MNL6|A0A8C6MNL6_MUSSI, tr|A0A8C6GB99|A0A8C6GB99_MUSSI, tr|A0A8C6G4U2|A0A8C6G4U2_MUSSI, tr|A0A8C6G830|A0A8C6G830_MUSSI, tr|A0A8C6G5G8|A0A8C6G5G8_MUSSI, tr|A0A8C6GLC1|A0A8C6GLC1_MUSSI, tr|A0A8C6HJX9|A0A8C6HJX9_MUSSI, tr|A0A8C6HEH4|A0A8C6HEH4_MUSSI, tr|A0A8C6GDI0|A0A8C6GDI0_MUSSI, tr|A0A8C6HWH1|A0A8C6HWH1_MUSSI, tr|A0A8C6GT81|A0A8C6GT81_MUSSI, tr|A0A8C6GH58|A0A8C6GH58_MUSSI, tr|A0A8C6MQC1|A0A8C6MQC1_MUSSI, tr|A0A8C6GBH7|A0A8C6GBH7_MUSSI, tr|A0A8C6G594|A0A8C6G594_MUSSI, tr|A0A8C6HUR7|A0A8C6HUR7_MUSSI, tr|A0A8C6GR22|A0A8C6GR22_MUSSI, tr|A0A8C6MQC9|A0A8C6MQC9_MUSSI, tr|A0A8C6HHM2|A0A8C6HHM2_MUSSI, tr|A0A8C6G4K3|A0A8C6G4K3_MUSSI, tr|A0A8C6GE88|A0A8C6GE88_MUSSI, tr|A0A8C6GDC1|A0A8C6GDC1_MUSSI, tr|A0A8C6G5N6|A0A8C6G5N6_MUSSI, tr|A0A8C6HWJ2|A0A8C6HWJ2_MUSSI, tr|A0A8C6HW61|A0A8C6HW61_MUSSI, tr|A0A8C6N2M0|A0A8C6N2M0_MUSSI, tr|A0A8C6HX79|A0A8C6HX79_MUSSI, tr|A0A8C6HX41|A0A8C6HX41_MUSSI, tr|A0A8C6HVE5|A0A8C6HVE5_MUSSI, tr|A0A8C6HXZ4|A0A8C6HXZ4_MUSSI, tr|A0A8C6HX51|A0A8C6HX51_MUSSI, tr|A0A8C6G616|A0A8C6G616_MUSSI, tr|A0A8C6N158|A0A8C6N158_MUSSI, tr|A0A8C6HVW7|A0A8C6HVW7_MUSSI, tr|A0A8C6HWF0|A0A8C6HWF0_MUSSI, tr|A0A8C6HWI9|A0A8C6HWI9_MUSSI, tr|A0A8C6HV78|A0A8C6HV78_MUSSI, tr|A0A8C6GRI6|A0A8C6GRI6_MUSSI, tr|A0A8C6MWH8|A0A8C6MWH8_MUSSI, tr|A0A8C6N2C4|A0A8C6N2C4_MUSSI, tr|A0A8C6HY60|A0A8C6HY60_MUSSI, tr|A0A8C6I654|A0A8C6I654_MUSSI, tr|A0A8C6HY22|A0A8C6HY22_MUSSI, tr|A0A8C6HXV1|A0A8C6HXV1_MUSSI, tr|A0A8C6HUQ7|A0A8C6HUQ7_MUSSI, tr|A0A8C6N357|A0A8C6N357_MUSSI, tr|A0A8C6N5P8|A0A8C6N5P8_MUSSI
OG0000002	sp|Q9H606|PRORY_HUMAN	tr|A0A8C6N520|A0A8C6N520_MUSSI
OG0000002	sp|O00370|LORF2_HUMAN	tr|A0A8C6MZR6|A0A8C6MZR6_MUSSI, tr|A0A8C6H9D9|A0A8C6H9D9_MUSSI, tr|A0A8C6GMB8|A0A8C6GMB8_MUSSI, tr|A0A8C6MQA7|A0A8C6MQA7_MUSSI, tr|A0A8C6MPR8|A0A8C6MPR8_MUSSI, tr|A0A8C6N0Q9|A0A8C6N0Q9_MUSSI, tr|A0A8C6IFY6|A0A8C6IFY6_MUSSI, tr|A0A8C6HPL3|A0A8C6HPL3_MUSSI, tr|A0A8C6H5T2|A0A8C6H5T2_MUSSI, tr|A0A8C6IJA0|A0A8C6IJA0_MUSSI, tr|A0A8C6H9Q7|A0A8C6H9Q7_MUSSI, tr|A0A8C6N402|A0A8C6N402_MUSSI, tr|A0A8C6MP68|A0A8C6MP68_MUSSI, tr|A0A8C6GI97|A0A8C6GI97_MUSSI, tr|A0A8C6HAF2|A0A8C6HAF2_MUSSI, tr|A0A8C6MNU8|A0A8C6MNU8_MUSSI, tr|A0A8C6HR02|A0A8C6HR02_MUSSI, tr|A0A8C6G965|A0A8C6G965_MUSSI, tr|A0A8C6I4E3|A0A8C6I4E3_MUSSI, tr|A0A8C6HE25|A0A8C6HE25_MUSSI, tr|A0A8C6MU17|A0A8C6MU17_MUSSI, tr|A0A8C6HEA6|A0A8C6HEA6_MUSSI, tr|A0A8C6HT77|A0A8C6HT77_MUSSI, tr|A0A8C6HPK5|A0A8C6HPK5_MUSSI, tr|A0A8C6HCV8|A0A8C6HCV8_MUSSI, tr|A0A8C6H7L5|A0A8C6H7L5_MUSSI, tr|A0A8C6IGM3|A0A8C6IGM3_MUSSI, tr|A0A8C6GP38|A0A8C6GP38_MUSSI, tr|A0A8C6HFD1|A0A8C6HFD1_MUSSI, tr|A0A8C6I0D1|A0A8C6I0D1_MUSSI, tr|A0A8C6IGM0|A0A8C6IGM0_MUSSI, tr|A0A8C6GQ14|A0A8C6GQ14_MUSSI, tr|A0A8C6I7Q0|A0A8C6I7Q0_MUSSI, tr|A0A8C6HT71|A0A8C6HT71_MUSSI, tr|A0A8C6HYL1|A0A8C6HYL1_MUSSI, tr|A0A8C6HI28|A0A8C6HI28_MUSSI, tr|A0A8C6GZ91|A0A8C6GZ91_MUSSI, tr|A0A8C6GDA7|A0A8C6GDA7_MUSSI, tr|A0A8C6GX06|A0A8C6GX06_MUSSI, tr|A0A8C6IEV4|A0A8C6IEV4_MUSSI, tr|A0A8C6MT97|A0A8C6MT97_MUSSI, tr|A0A8C6HFA7|A0A8C6HFA7_MUSSI, tr|A0A8C6ICS0|A0A8C6ICS0_MUSSI, tr|A0A8C6HDC6|A0A8C6HDC6_MUSSI, tr|A0A8C6N1P8|A0A8C6N1P8_MUSSI, tr|A0A8C6IIS6|A0A8C6IIS6_MUSSI, tr|A0A8C6HFK4|A0A8C6HFK4_MUSSI, tr|A0A8C6H3H3|A0A8C6H3H3_MUSSI, tr|A0A8C6MS05|A0A8C6MS05_MUSSI, tr|A0A8C6HEE3|A0A8C6HEE3_MUSSI, tr|A0A8C6HZ92|A0A8C6HZ92_MUSSI, tr|A0A8C6I0J5|A0A8C6I0J5_MUSSI, tr|A0A8C6GK65|A0A8C6GK65_MUSSI, tr|A0A8C6MU21|A0A8C6MU21_MUSSI, tr|A0A8C6G923|A0A8C6G923_MUSSI
OG0000004	sp|P17025|ZN182_HUMAN	tr|A0A8C6G8Y5|A0A8C6G8Y5_MUSSI
OG0000004	sp|Q06730|ZN33A_HUMAN, sp|Q06732|ZN33B_HUMAN, sp|Q6ZMW2|ZN782_HUMAN, sp|B1APH4|ZN487_HUMAN, sp|Q9Y2H8|ZN510_HUMAN, sp|Q9HCZ1|ZN334_HUMAN, sp|Q9BY31|ZN717_HUMAN, sp|Q8NDW4|ZN248_HUMAN	tr|A0A8C6GH37|A0A8C6GH37_MUSSI
OG0000004	sp|Q8N184|ZN567_HUMAN, sp|Q96SR6|ZN382_HUMAN	tr|A0A8C6MQP0|A0A8C6MQP0_MUSSI
OG0000004	sp|Q9NYW8|RBAK_HUMAN	tr|A0A8C6IEC2|A0A8C6IEC2_MUSSI
OG0000004	sp|P17014|ZNF12_HUMAN	tr|A0A8C6IG69|A0A8C6IG69_MUSSI
OG0000004	sp|P17030|ZNF25_HUMAN, sp|Q5T5D7|ZN684_HUMAN	tr|A0A8C6HXU7|A0A8C6HXU7_MUSSI
