Orthogroup	Homo_sapiens	Tursiops_truncatus
OG0000000	sp|A6NL26|OR5BL_HUMAN	tr|A0A6J3RSM7|A0A6J3RSM7_TURTR
OG0000000	sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A6J3RSJ9|A0A6J3RSJ9_TURTR
OG0000000	sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGI8|O5AN1_HUMAN	tr|A0A6J3RTB2|A0A6J3RTB2_TURTR
OG0000000	sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NGE7|OR9K2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|P58182|O12D2_HUMAN, sp|Q9UGF7|O12D3_HUMAN, sp|Q8NHC5|O14AG_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|P47881|OR3A1_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47883|OR3A4_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|Q8NHB8|OR5K2_HUMAN	tr|A0A2U4AA08|A0A2U4AA08_TURTR
OG0000000	sp|Q8NGC0|O5AU1_HUMAN	tr|A0A2U4BBY3|A0A2U4BBY3_TURTR
OG0000000	sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN	tr|A0A6J3RT03|A0A6J3RT03_TURTR
OG0000000	sp|Q96RC9|OR8B4_HUMAN	tr|A0A2U4BWK9|A0A2U4BWK9_TURTR
OG0000000	sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN	tr|A0A6J3RSY6|A0A6J3RSY6_TURTR
OG0000000	sp|Q96RB7|OR5MB_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN	tr|A0A2U4C7Y8|A0A2U4C7Y8_TURTR
OG0000002	sp|A0A075B6P5|KV228_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06312|KV401_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|P06315|KV502_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN	tr|A0A6J3PV99|A0A6J3PV99_TURTR
