Orthogroup	Mus_musculus	Eschrichtius_robustus
OG0000002	sp|P50283|CD7_MOUSE, tr|A0A075B5Y8|A0A075B5Y8_MOUSE, tr|A0A075B5M9|A0A075B5M9_MOUSE, tr|A0A075B5M7|A0A075B5M7_MOUSE, tr|A0A075B5M8|A0A075B5M8_MOUSE, tr|A0A075B5L4|A0A075B5L4_MOUSE, sp|P01635|KV5A3_MOUSE, tr|A0A140T8M2|A0A140T8M2_MOUSE, sp|P01636|KV5A4_MOUSE, tr|A0A140T8P6|A0A140T8P6_MOUSE, tr|A0A075B5K9|A0A075B5K9_MOUSE, tr|A0A075B666|A0A075B666_MOUSE, tr|A0A140T8N3|A0A140T8N3_MOUSE, tr|A0A140T8P3|A0A140T8P3_MOUSE, tr|A0A140T8P9|A0A140T8P9_MOUSE, sp|P01637|KV5A5_MOUSE, sp|P01638|KV5A6_MOUSE, tr|A0A075B683|A0A075B683_MOUSE, tr|A0A075B5K7|A0A075B5K7_MOUSE, tr|A0A075B5J7|A0A075B5J7_MOUSE, sp|P01639|KV5A7_MOUSE, tr|A0A075B5K2|A0A075B5K2_MOUSE, sp|P01641|KV5A8_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE, tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE, tr|A0A0G2JET4|A0A0G2JET4_MOUSE, tr|A0A075B6D5|A0A075B6D5_MOUSE, tr|A0A0G2JDU3|A0A0G2JDU3_MOUSE, tr|A0A075B5J9|A0A075B5J9_MOUSE, tr|A0A075B5K3|A0A075B5K3_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01671|KV3AJ_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01674|KV3AM_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01666|KV3AE_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01653|KV5AL_MOUSE, sp|P01650|KV5AH_MOUSE, sp|P01652|KV5AK_MOUSE, sp|P04946|KV5AM_MOUSE, sp|P01643|KV5AA_MOUSE, tr|A0A075B5L1|A0A075B5L1_MOUSE, tr|A0A140T8M1|A0A140T8M1_MOUSE, tr|A0A075B5L0|A0A075B5L0_MOUSE, sp|P01647|KV5AE_MOUSE, sp|P01646|KV5AD_MOUSE, sp|P01645|KV5AC_MOUSE, sp|P01644|KV5AB_MOUSE, sp|P01648|KV5AF_MOUSE, sp|P01649|KV5AG_MOUSE	tr|A0A2F0B5D2|A0A2F0B5D2_ESCRO
OG0000011	tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|Q8VF89|Q8VF89_MOUSE, tr|Q9EPF8|Q9EPF8_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q5NC45|Q5NC45_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|Q8VF37|Q8VF37_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, sp|Q8VGD6|OLF56_MOUSE	tr|A0A2F0BMR2|A0A2F0BMR2_ESCRO
OG0000013	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A2F0BAY4|A0A2F0BAY4_ESCRO
OG0000013	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q8VH00|Q8VH00_MOUSE, tr|Q8VGV6|Q8VGV6_MOUSE, tr|Q7TRU8|Q7TRU8_MOUSE, tr|Q8VGV5|Q8VGV5_MOUSE, tr|Q8VGU9|Q8VGU9_MOUSE, tr|Q7TRP5|Q7TRP5_MOUSE, tr|Q7TRP4|Q7TRP4_MOUSE, tr|Q8VG79|Q8VG79_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE	tr|A0A2F0B768|A0A2F0B768_ESCRO
OG0000026	sp|P56593|CP2AC_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE	tr|A0A2F0B5Z4|A0A2F0B5Z4_ESCRO
OG0000026	sp|P20852|CP2A5_MOUSE, sp|P15392|CP2A4_MOUSE, tr|Q9WV19|Q9WV19_MOUSE, sp|Q9DBX6|CP2S1_MOUSE, tr|E9PWV0|E9PWV0_MOUSE, sp|O55071|CP2BJ_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, sp|P12790|CP2B9_MOUSE, tr|E9Q593|E9Q593_MOUSE, sp|P12791|CP2BA_MOUSE, sp|P33267|CP2F2_MOUSE, sp|Q91W64|CP270_MOUSE, tr|Q569X9|Q569X9_MOUSE, tr|E9PXC3|E9PXC3_MOUSE, sp|P56657|CP240_MOUSE, tr|K7N6C2|K7N6C2_MOUSE, sp|Q91X77|CY250_MOUSE, sp|P56654|CP237_MOUSE, sp|Q6XVG2|CP254_MOUSE, sp|P56656|CP239_MOUSE, sp|P56655|CP238_MOUSE, sp|Q64458|CP2CT_MOUSE, sp|Q9D816|CP255_MOUSE, tr|Q148B1|Q148B1_MOUSE, tr|Q5GLZ0|Q5GLZ0_MOUSE, sp|E9Q5K4|CP2CN_MOUSE, sp|E9Q816|CP2W1_MOUSE, sp|Q05421|CP2E1_MOUSE	tr|A0A2F0BHK3|A0A2F0BHK3_ESCRO
OG0000027	tr|A0A075B5T1|A0A075B5T1_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, sp|P18532|HVM61_MOUSE, sp|P18531|HVM60_MOUSE, sp|P01822|HVM46_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, tr|Q5R1A3|Q5R1A3_MOUSE, sp|P01819|HVM43_MOUSE, sp|P01820|HVM44_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE	tr|A0A2F0B2T1|A0A2F0B2T1_ESCRO
OG0000028	tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, sp|Q8VFX2|O1444_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE	tr|A0A2F0BHD7|A0A2F0BHD7_ESCRO
OG0000030	tr|Q640N4|Q640N4_MOUSE	tr|A0A2F0AZZ3|A0A2F0AZZ3_ESCRO
OG0000030	sp|Q8BQC8|RBAK_MOUSE	tr|A0A2F0B144|A0A2F0B144_ESCRO
