Orthogroup	Homo_sapiens	Prolemur_simus
OG0000000	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A8C9DQN7|A0A8C9DQN7_PROSS
OG0000000	sp|A8MT65|ZN891_HUMAN	tr|A0A8C8ZS94|A0A8C8ZS94_PROSS
OG0000000	sp|Q86TJ5|ZN554_HUMAN	tr|A0A8C9AER0|A0A8C9AER0_PROSS, tr|A0A8C8Z561|A0A8C8Z561_PROSS
OG0000001	tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN	tr|A0A8C8YFW1|A0A8C8YFW1_PROSS, tr|A0A8C9A1M7|A0A8C9A1M7_PROSS, tr|A0A8C8YJF1|A0A8C8YJF1_PROSS, tr|A0A8C8YK08|A0A8C8YK08_PROSS, tr|A0A8C8YYU1|A0A8C8YYU1_PROSS, tr|A0A8C8YKK3|A0A8C8YKK3_PROSS, tr|A0A8C8YNA6|A0A8C8YNA6_PROSS, tr|A0A8C9DK71|A0A8C9DK71_PROSS, tr|A0A8C8ZNA2|A0A8C8ZNA2_PROSS, tr|A0A8C8YMU9|A0A8C8YMU9_PROSS, tr|A0A8C8ZFP2|A0A8C8ZFP2_PROSS, tr|A0A8C8YJP4|A0A8C8YJP4_PROSS, tr|A0A8C8YL01|A0A8C8YL01_PROSS, tr|A0A8C8YJ75|A0A8C8YJ75_PROSS, tr|A0A8C8YCS3|A0A8C8YCS3_PROSS, tr|A0A8C8YFH5|A0A8C8YFH5_PROSS, tr|A0A8C8YIA9|A0A8C8YIA9_PROSS, tr|A0A8C8YEH1|A0A8C8YEH1_PROSS, tr|A0A8C8YK62|A0A8C8YK62_PROSS, tr|A0A8C8YIR5|A0A8C8YIR5_PROSS, tr|A0A8C8YBU4|A0A8C8YBU4_PROSS, tr|A0A8C9DEA7|A0A8C9DEA7_PROSS, tr|A0A8C9DE49|A0A8C9DE49_PROSS, tr|A0A8C9A611|A0A8C9A611_PROSS, tr|A0A8C9DRN5|A0A8C9DRN5_PROSS, tr|A0A8C9DE88|A0A8C9DE88_PROSS, tr|A0A8C8YJC3|A0A8C8YJC3_PROSS, tr|A0A8C8YDQ7|A0A8C8YDQ7_PROSS, tr|A0A8C9ACS5|A0A8C9ACS5_PROSS, tr|A0A8C9A6G0|A0A8C9A6G0_PROSS, tr|A0A8C8YSI0|A0A8C8YSI0_PROSS, tr|A0A8C8YKS7|A0A8C8YKS7_PROSS, tr|A0A8C8YKR6|A0A8C8YKR6_PROSS, tr|A0A8C9DSQ5|A0A8C9DSQ5_PROSS, tr|A0A8C9DEF1|A0A8C9DEF1_PROSS, tr|A0A8C9DK73|A0A8C9DK73_PROSS, tr|A0A8C8YJP5|A0A8C8YJP5_PROSS, tr|A0A8C8YGR6|A0A8C8YGR6_PROSS, tr|A0A8C8YH19|A0A8C8YH19_PROSS, tr|A0A8C9DEB9|A0A8C9DEB9_PROSS, tr|A0A8C8Z2U7|A0A8C8Z2U7_PROSS, tr|A0A8C8YMU0|A0A8C8YMU0_PROSS, tr|A0A8C8YHA5|A0A8C8YHA5_PROSS, tr|A0A8C8YDE8|A0A8C8YDE8_PROSS, tr|A0A8C8YL80|A0A8C8YL80_PROSS, tr|A0A8C8YNE9|A0A8C8YNE9_PROSS, tr|A0A8C8YJQ9|A0A8C8YJQ9_PROSS, tr|A0A8C8YMT3|A0A8C8YMT3_PROSS, tr|A0A8C9DDN8|A0A8C9DDN8_PROSS, tr|A0A8C9A3J8|A0A8C9A3J8_PROSS, tr|A0A8C8YXC1|A0A8C8YXC1_PROSS, tr|A0A8C8YQ08|A0A8C8YQ08_PROSS, tr|A0A8C8YM15|A0A8C8YM15_PROSS, tr|A0A8C8YG75|A0A8C8YG75_PROSS
OG0000003	sp|Q9H344|O51I2_HUMAN	tr|A0A8C9DD37|A0A8C9DD37_PROSS
OG0000003	sp|Q9H343|O51I1_HUMAN	tr|A0A8C8YDI6|A0A8C8YDI6_PROSS
OG0000003	sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN	tr|A0A8C8Z925|A0A8C8Z925_PROSS
OG0000003	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8C8YBH4|A0A8C8YBH4_PROSS, tr|A0A8C8Z1Q4|A0A8C8Z1Q4_PROSS, tr|A0A8C8YHQ6|A0A8C8YHQ6_PROSS
OG0000003	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8C8Z691|A0A8C8Z691_PROSS
OG0000003	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8C8Z1W3|A0A8C8Z1W3_PROSS
