Orthogroup	Homo_sapiens	Balaenoptera_acutorostrata_scammoni
OG0000000	sp|Q8NGL4|OR5DD_HUMAN	tr|A0A452CG84|A0A452CG84_BALAS
OG0000000	sp|Q8WZ84|OR8D1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGM9|OR8D4_HUMAN	tr|A0A452CHW7|A0A452CHW7_BALAS
OG0000000	sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN	tr|A0A452CG36|A0A452CG36_BALAS
OG0000000	sp|O95221|OR5F1_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN	tr|A0A452CG81|A0A452CG81_BALAS
OG0000000	sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGL3|OR5DE_HUMAN	tr|A0A384A289|A0A384A289_BALAS
OG0000002	sp|Q8NGK5|O52M1_HUMAN	tr|A0A452CAJ0|A0A452CAJ0_BALAS
OG0000002	sp|Q8NGK2|O52B4_HUMAN	tr|A0A383ZFF3|A0A383ZFF3_BALAS
OG0000002	sp|P0C646|O52Z1_HUMAN, sp|Q8NGF0|O52B6_HUMAN	tr|A0A452CA21|A0A452CA21_BALAS
OG0000002	sp|Q8NH60|O52J3_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NH55|O52E5_HUMAN	tr|A0A452CAH7|A0A452CAH7_BALAS
OG0000002	sp|Q8NH67|O52I2_HUMAN, sp|Q8NGK6|O52I1_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|Q8NH61|O51F2_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q9H2C8|O51V1_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN	tr|A0A452CAL6|A0A452CAL6_BALAS
