Orthogroup	Homo_sapiens	Peromyscus_maniculatus_bairdii
OG0000003	sp|Q96RC9|OR8B4_HUMAN	tr|A0A6I9MLC0|A0A6I9MLC0_PERMB, tr|A0A6I9MED7|A0A6I9MED7_PERMB, tr|A0A6J0CSH5|A0A6J0CSH5_PERMB, tr|A0A6I9M7P5|A0A6I9M7P5_PERMB, tr|A0A6I9MNE3|A0A6I9MNE3_PERMB, tr|A0A6I9MLX0|A0A6I9MLX0_PERMB, tr|A0A6I9MJQ7|A0A6I9MJQ7_PERMB, tr|A0A6I9MJH0|A0A6I9MJH0_PERMB, tr|A0A6J0CYP1|A0A6J0CYP1_PERMB, tr|A0A6J0CUG1|A0A6J0CUG1_PERMB, tr|A0A6J0CU13|A0A6J0CU13_PERMB, tr|A0A6J0CU94|A0A6J0CU94_PERMB, tr|A0A6J0CW99|A0A6J0CW99_PERMB, tr|A0A6I9MDV4|A0A6I9MDV4_PERMB, tr|A0A6I9MFQ2|A0A6I9MFQ2_PERMB, tr|A0A6I9MB28|A0A6I9MB28_PERMB, tr|A0A6I9MPD3|A0A6I9MPD3_PERMB, tr|A0A6I9M9B9|A0A6I9M9B9_PERMB, tr|A0A6I9MFY8|A0A6I9MFY8_PERMB, tr|A0A6I9MK73|A0A6I9MK73_PERMB, tr|A0A6J0D042|A0A6J0D042_PERMB, tr|A0A6I9MNH6|A0A6I9MNH6_PERMB, tr|A0A6I9MGL6|A0A6I9MGL6_PERMB, tr|A0A6I9MPL4|A0A6I9MPL4_PERMB, tr|A0A6I9M967|A0A6I9M967_PERMB, tr|A0A6I9MDV0|A0A6I9MDV0_PERMB, tr|A0A6I9MHU2|A0A6I9MHU2_PERMB, tr|A0A6I9M752|A0A6I9M752_PERMB, tr|A0A6I9MN09|A0A6I9MN09_PERMB, tr|A0A6I9MHU7|A0A6I9MHU7_PERMB, tr|A0A6I9LY46|A0A6I9LY46_PERMB, tr|A0A6I9MPH6|A0A6I9MPH6_PERMB, tr|A0A6I9MPL5|A0A6I9MPL5_PERMB, tr|A0A6I9MMX0|A0A6I9MMX0_PERMB, tr|A0A6I9M4I1|A0A6I9M4I1_PERMB, tr|A0A6I9MBQ7|A0A6I9MBQ7_PERMB, tr|A0A6I9MJ39|A0A6I9MJ39_PERMB, tr|A0A6I9M962|A0A6I9M962_PERMB, tr|A0A6J0CRH1|A0A6J0CRH1_PERMB, tr|A0A6I9MBI1|A0A6I9MBI1_PERMB, tr|A0A6I9MGV4|A0A6I9MGV4_PERMB, tr|A0A6I9MFT4|A0A6I9MFT4_PERMB, tr|A0A6I9MJ18|A0A6I9MJ18_PERMB, tr|A0A6J0CW91|A0A6J0CW91_PERMB, tr|A0A6I9M4M3|A0A6I9M4M3_PERMB, tr|A0A6I9MHL5|A0A6I9MHL5_PERMB, tr|A0A6I9MF86|A0A6I9MF86_PERMB, tr|A0A6I9M8L7|A0A6I9M8L7_PERMB, tr|A0A6I9MA61|A0A6I9MA61_PERMB, tr|A0A6I9MQL8|A0A6I9MQL8_PERMB, tr|A0A6I9MEA6|A0A6I9MEA6_PERMB, tr|A0A6I9LY43|A0A6I9LY43_PERMB
OG0000008	sp|Q8NA42|ZN383_HUMAN	tr|A0A6J0DJK9|A0A6J0DJK9_PERMB
OG0000008	sp|Q5EBM4|ZN542_HUMAN, sp|A6NDX5|ZN840_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q2M3W8|ZN181_HUMAN, sp|Q9NR11|ZN302_HUMAN, sp|Q9P2J8|ZN624_HUMAN, sp|P52738|ZN140_HUMAN, sp|Q8NB42|ZN527_HUMAN, sp|Q96NI8|ZN570_HUMAN, sp|Q6ECI4|ZN470_HUMAN, sp|Q9BX82|ZN471_HUMAN	tr|A0A6J0CIG6|A0A6J0CIG6_PERMB
OG0000008	sp|Q7Z3V5|ZN571_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q9NQX6|ZN331_HUMAN	tr|A0A6J0CT86|A0A6J0CT86_PERMB
OG0000008	sp|Q96NG8|ZN582_HUMAN, sp|Q969W8|ZN566_HUMAN	tr|A0A6I9LE22|A0A6I9LE22_PERMB
OG0000008	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|Q6PG37|ZN790_HUMAN, sp|Q8TAF7|ZN461_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q9Y2G7|ZFP30_HUMAN, sp|Q8N141|ZFP82_HUMAN, sp|Q9HCL3|ZFP14_HUMAN	tr|A0A6J0DLW1|A0A6J0DLW1_PERMB
OG0000011	sp|Q8N184|ZN567_HUMAN	tr|A0A6J0DLL6|A0A6J0DLL6_PERMB
OG0000011	sp|Q9HCZ1|ZN334_HUMAN	tr|A0A6J0CS12|A0A6J0CS12_PERMB
OG0000011	sp|P17014|ZNF12_HUMAN	tr|A0A6I9LV34|A0A6I9LV34_PERMB
OG0000011	sp|Q9NYW8|RBAK_HUMAN	tr|A0A6J0DV28|A0A6J0DV28_PERMB
