Orthogroup	Homo_sapiens	Vicugna_pacos
OG0000000	sp|A6NMZ5|O4C45_HUMAN	tr|A0A6J3BQ25|A0A6J3BQ25_VICPA
OG0000000	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A6I9IHY9|A0A6I9IHY9_VICPA
OG0000000	sp|Q8NH72|OR4C6_HUMAN	tr|A0A6J3BL16|A0A6J3BL16_VICPA, tr|A0A6I9IS78|A0A6I9IS78_VICPA
OG0000000	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A6I9IHU7|A0A6I9IHU7_VICPA, tr|A0A6I9IJX2|A0A6I9IJX2_VICPA
OG0000000	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A6I9IGD6|A0A6I9IGD6_VICPA, tr|A0A6J0AS96|A0A6J0AS96_VICPA, tr|A0A6J3A9X6|A0A6J3A9X6_VICPA
OG0000000	sp|Q8NH49|OR4X1_HUMAN	tr|A0A6I9IK16|A0A6I9IK16_VICPA
OG0000000	sp|Q8NH73|OR4S2_HUMAN	tr|A0A6I9IHE5|A0A6I9IHE5_VICPA, tr|A0A6I9IP67|A0A6I9IP67_VICPA, tr|A0A6I9IUF6|A0A6I9IUF6_VICPA, tr|A0A6I9IME4|A0A6I9IME4_VICPA
OG0000000	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A6J3BIN9|A0A6J3BIN9_VICPA, tr|A0A6I9IMI7|A0A6I9IMI7_VICPA, tr|A0A6I9IMK0|A0A6I9IMK0_VICPA, tr|A0A6I9IIU8|A0A6I9IIU8_VICPA, tr|A0A6I9IIP2|A0A6I9IIP2_VICPA, tr|A0A6I9IJS8|A0A6I9IJS8_VICPA
OG0000000	sp|Q8NH37|OR4C3_HUMAN	tr|A0A6I9IJW6|A0A6I9IJW6_VICPA, tr|A0A6I9IH88|A0A6I9IH88_VICPA, tr|A0A6I9IMD7|A0A6I9IMD7_VICPA, tr|A0A6J3A629|A0A6J3A629_VICPA, tr|A0A6J0AUC8|A0A6J0AUC8_VICPA, tr|A0A6J0ATC7|A0A6J0ATC7_VICPA
OG0000003	sp|Q8NH43|OR4L1_HUMAN	tr|A0A6I9ISY6|A0A6I9ISY6_VICPA
OG0000003	sp|Q8NH41|OR4KF_HUMAN	tr|A0A6J0B044|A0A6J0B044_VICPA
OG0000003	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A6J0AZQ5|A0A6J0AZQ5_VICPA
OG0000003	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A6I9IP87|A0A6I9IP87_VICPA, tr|A0A6J0B2G1|A0A6J0B2G1_VICPA
OG0000003	sp|Q96R72|OR4K3_HUMAN	tr|A0A6I9IQG8|A0A6I9IQG8_VICPA
OG0000003	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A6J0B403|A0A6J0B403_VICPA, tr|A0A6I9IT71|A0A6I9IT71_VICPA
OG0000003	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A6I9IT48|A0A6I9IT48_VICPA, tr|A0A6I9IQJ1|A0A6I9IQJ1_VICPA, tr|A0A6J0B030|A0A6J0B030_VICPA, tr|A0A6J0B058|A0A6J0B058_VICPA, tr|A0A6I9IP62|A0A6I9IP62_VICPA
OG0000003	sp|Q8NH42|OR4KD_HUMAN	tr|A0A6J0B2D9|A0A6J0B2D9_VICPA, tr|A0A6I9IT05|A0A6I9IT05_VICPA
OG0000004	sp|Q8NGA1|OR1M1_HUMAN	tr|A0A6I9IBJ8|A0A6I9IBJ8_VICPA
OG0000004	sp|Q8NH06|OR1P1_HUMAN	tr|A0A6J0B4J4|A0A6J0B4J4_VICPA
OG0000004	sp|Q8NGS0|OR1N1_HUMAN	tr|A0A6I9I905|A0A6I9I905_VICPA
OG0000005	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A6J0AWZ7|A0A6J0AWZ7_VICPA
OG0000005	sp|Q8N628|OR2C3_HUMAN	tr|A0A6J3A308|A0A6J3A308_VICPA
OG0000005	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A6J2ZZX2|A0A6J2ZZX2_VICPA, tr|A0A6J3A3T5|A0A6J3A3T5_VICPA, tr|A0A6J3A3J7|A0A6J3A3J7_VICPA, tr|A0A6J3A2C7|A0A6J3A2C7_VICPA, tr|A0A6J3A511|A0A6J3A511_VICPA, tr|A0A6J3AG39|A0A6J3AG39_VICPA
