Orthogroup	Homo_sapiens	Dipodomys_ordii
OG0000002	sp|P51786|ZN157_HUMAN	tr|A0A1S3EP92|A0A1S3EP92_DIPOR
OG0000002	sp|Q9BY31|ZN717_HUMAN	tr|A0A1S3GTV6|A0A1S3GTV6_DIPOR, tr|A0A1S3F446|A0A1S3F446_DIPOR, tr|A0A1S3GXM1|A0A1S3GXM1_DIPOR, tr|A0A1S3GVZ3|A0A1S3GVZ3_DIPOR, tr|A0A1S3GSU4|A0A1S3GSU4_DIPOR, tr|A0A1S3FV92|A0A1S3FV92_DIPOR, tr|A0A1S3GR98|A0A1S3GR98_DIPOR, tr|A0A1S3GT28|A0A1S3GT28_DIPOR, tr|A0A1S3GTC9|A0A1S3GTC9_DIPOR, tr|A0A1S3GWH9|A0A1S3GWH9_DIPOR, tr|A0A1S3GR34|A0A1S3GR34_DIPOR, tr|A0A1S3EME7|A0A1S3EME7_DIPOR, tr|A0A1S3GW88|A0A1S3GW88_DIPOR, tr|A0A1S3GYM3|A0A1S3GYM3_DIPOR, tr|A0A1S3GVE5|A0A1S3GVE5_DIPOR, tr|A0A1S3GNS9|A0A1S3GNS9_DIPOR, tr|A0A1S3F658|A0A1S3F658_DIPOR, tr|A0A1S3GPG7|A0A1S3GPG7_DIPOR, tr|A0A1S3FS84|A0A1S3FS84_DIPOR, tr|A0A1S3GTK3|A0A1S3GTK3_DIPOR, tr|A0A1S3GTZ1|A0A1S3GTZ1_DIPOR, tr|A0A1S3GTP8|A0A1S3GTP8_DIPOR, tr|A0A1S3GV53|A0A1S3GV53_DIPOR, tr|A0A1S3GTL7|A0A1S3GTL7_DIPOR, tr|A0A1S3GTM7|A0A1S3GTM7_DIPOR, tr|A0A1S3GUS0|A0A1S3GUS0_DIPOR, tr|A0A1S3GVW7|A0A1S3GVW7_DIPOR, tr|A0A1S3GVM8|A0A1S3GVM8_DIPOR, tr|A0A1S3F5T0|A0A1S3F5T0_DIPOR, tr|A0A1S3GTV1|A0A1S3GTV1_DIPOR, tr|A0A1S3F6G5|A0A1S3F6G5_DIPOR, tr|A0A1S3GT81|A0A1S3GT81_DIPOR, tr|A0A1S3F4K9|A0A1S3F4K9_DIPOR, tr|A0A1S3GSH5|A0A1S3GSH5_DIPOR, tr|A0A1S3GU84|A0A1S3GU84_DIPOR, tr|A0A1S3GS54|A0A1S3GS54_DIPOR, tr|A0A1S3GW19|A0A1S3GW19_DIPOR, tr|A0A1S3GTL2|A0A1S3GTL2_DIPOR, tr|A0A1S3GXQ0|A0A1S3GXQ0_DIPOR, tr|A0A1S3GW10|A0A1S3GW10_DIPOR, tr|A0A1S3GUK6|A0A1S3GUK6_DIPOR, tr|A0A1S3GSY6|A0A1S3GSY6_DIPOR, tr|A0A1S3GKQ4|A0A1S3GKQ4_DIPOR, tr|A0A1S3F588|A0A1S3F588_DIPOR, tr|A0A1S3F5Z7|A0A1S3F5Z7_DIPOR
OG0000002	sp|Q3ZCT1|ZN260_HUMAN	tr|A0A1S3GVD3|A0A1S3GVD3_DIPOR, tr|A0A1S3FZ59|A0A1S3FZ59_DIPOR, tr|A0A1S3FL42|A0A1S3FL42_DIPOR
OG0000003	sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01615|KVD28_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN	tr|A0A1S3GUP2|A0A1S3GUP2_DIPOR
OG0000003	sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P06312|KV401_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN	tr|A0A1S3GT70|A0A1S3GT70_DIPOR
OG0000004	sp|Q96SK3|ZN607_HUMAN	tr|A0A1S3G0U5|A0A1S3G0U5_DIPOR
OG0000004	sp|Q969W8|ZN566_HUMAN	tr|A0A1S3FZD9|A0A1S3FZD9_DIPOR
OG0000004	sp|Q96NG8|ZN582_HUMAN	tr|A0A1S3GMN4|A0A1S3GMN4_DIPOR
OG0000004	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN	tr|A0A1S3FYR2|A0A1S3FYR2_DIPOR
OG0000004	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A1S3FZ88|A0A1S3FZ88_DIPOR
