Orthogroup	Homo_sapiens	Phyllostomus_discolor
OG0000004	sp|A0A0B4J1V0|HV315_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01762|HV311_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01782|HV309_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01763|HV348_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01766|HV313_HUMAN, sp|P01780|HV307_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01767|HV353_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN	tr|A0A7E6D1Q6|A0A7E6D1Q6_9CHIR
OG0000005	sp|A0A0A0MS06|TVB23_HUMAN	tr|A0A7E6CGV3|A0A7E6CGV3_9CHIR
OG0000005	sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A576|TVB31_HUMAN	tr|A0A7E6CJ22|A0A7E6CJ22_9CHIR
OG0000006	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A7E6E0K5|A0A7E6E0K5_9CHIR
OG0000006	sp|A6NGY5|O51F1_HUMAN	tr|A0A6J2LSG1|A0A6J2LSG1_9CHIR, tr|A0A6J2LTP4|A0A6J2LTP4_9CHIR
OG0000006	sp|Q8NH61|O51F2_HUMAN	tr|A0A6J2M4Y7|A0A6J2M4Y7_9CHIR
OG0000006	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A7E6E034|A0A7E6E034_9CHIR, tr|A0A6J2LY16|A0A6J2LY16_9CHIR, tr|A0A6J2LZ08|A0A6J2LZ08_9CHIR, tr|A0A6J2LXI6|A0A6J2LXI6_9CHIR, tr|A0A6J2M4I6|A0A6J2M4I6_9CHIR, tr|A0A6J2M100|A0A6J2M100_9CHIR
OG0000006	sp|Q9H344|O51I2_HUMAN	tr|A0A7E6E180|A0A7E6E180_9CHIR
OG0000006	sp|Q9H343|O51I1_HUMAN	tr|A0A6J2M4L5|A0A6J2M4L5_9CHIR, tr|A0A7E6E039|A0A7E6E039_9CHIR
OG0000006	sp|Q8NH63|O51H1_HUMAN	tr|A0A6J2M2S1|A0A6J2M2S1_9CHIR, tr|A0A7E6E176|A0A7E6E176_9CHIR, tr|A0A6J2LUJ7|A0A6J2LUJ7_9CHIR, tr|A0A6J2M517|A0A6J2M517_9CHIR
