Orthogroup	Mus_musculus	Trichechus_manatus_latirostris
OG0000004	tr|Q8VGW5|Q8VGW5_MOUSE	tr|A0A2Y9G177|A0A2Y9G177_TRIMA
OG0000004	tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE	tr|A0A2Y9FYR3|A0A2Y9FYR3_TRIMA
OG0000004	tr|E9Q542|E9Q542_MOUSE	tr|A0A2Y9DVZ0|A0A2Y9DVZ0_TRIMA
OG0000004	tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A2Y9E9T0|A0A2Y9E9T0_TRIMA
OG0000004	tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|Q8VG26|Q8VG26_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VG79|Q8VG79_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q8VH00|Q8VH00_MOUSE, tr|Q7TRP4|Q7TRP4_MOUSE, tr|Q8VGV6|Q8VGV6_MOUSE, tr|Q8VGV5|Q8VGV5_MOUSE, tr|Q7TRU8|Q7TRU8_MOUSE, tr|Q7TRP5|Q7TRP5_MOUSE, tr|Q8VGU9|Q8VGU9_MOUSE, tr|Q8VGX3|Q8VGX3_MOUSE, tr|Q8VGV0|Q8VGV0_MOUSE, tr|Q3SXH8|Q3SXH8_MOUSE, tr|Q8VGV1|Q8VGV1_MOUSE, tr|Q7TRN8|Q7TRN8_MOUSE, tr|A0A2I3BS13|A0A2I3BS13_MOUSE, tr|A0A2I3BQ57|A0A2I3BQ57_MOUSE, tr|A0A1B0GSI9|A0A1B0GSI9_MOUSE, tr|Q99NH4|Q99NH4_MOUSE, tr|Q7TRU7|Q7TRU7_MOUSE, tr|Q7TRP7|Q7TRP7_MOUSE, tr|Q8VG18|Q8VG18_MOUSE, sp|Q6W049|OL688_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|A0A1L1SVG7|A0A1L1SVG7_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE	tr|A0A2Y9G1K3|A0A2Y9G1K3_TRIMA
OG0000005	tr|Q640N4|Q640N4_MOUSE	tr|A0A2Y9QN71|A0A2Y9QN71_TRIMA
OG0000005	sp|A2A761|ZFP69_MOUSE	tr|A0A2Y9RGP0|A0A2Y9RGP0_TRIMA, tr|A0A2Y9R9J0|A0A2Y9R9J0_TRIMA, tr|A0A2Y9RIV8|A0A2Y9RIV8_TRIMA, tr|A0A2Y9RRX1|A0A2Y9RRX1_TRIMA, tr|A0A2Y9FZK3|A0A2Y9FZK3_TRIMA, tr|A0A2Y9R852|A0A2Y9R852_TRIMA, tr|A0A2Y9RDN1|A0A2Y9RDN1_TRIMA, tr|A0A2Y9RGF2|A0A2Y9RGF2_TRIMA, tr|A0A2Y9QHD9|A0A2Y9QHD9_TRIMA, tr|A0A2Y9EB43|A0A2Y9EB43_TRIMA, tr|A0A2Y9S394|A0A2Y9S394_TRIMA, tr|A0A2Y9RQZ5|A0A2Y9RQZ5_TRIMA, tr|A0A2Y9RL80|A0A2Y9RL80_TRIMA, tr|A0A2Y9QN61|A0A2Y9QN61_TRIMA, tr|A0A2Y9QG12|A0A2Y9QG12_TRIMA, tr|A0A2Y9FXJ7|A0A2Y9FXJ7_TRIMA, tr|A0A2Y9RTC3|A0A2Y9RTC3_TRIMA, tr|A0A2Y9R776|A0A2Y9R776_TRIMA, tr|A0A2Y9R2D7|A0A2Y9R2D7_TRIMA, tr|A0A2Y9RIW8|A0A2Y9RIW8_TRIMA, tr|A0A2Y9RFB6|A0A2Y9RFB6_TRIMA, tr|A0A2Y9R7T1|A0A2Y9R7T1_TRIMA, tr|A0A2Y9RSL4|A0A2Y9RSL4_TRIMA, tr|A0A2Y9QIB7|A0A2Y9QIB7_TRIMA, tr|A0A2Y9DLP4|A0A2Y9DLP4_TRIMA, tr|A0A2Y9RWV3|A0A2Y9RWV3_TRIMA, tr|A0A2Y9E0Y1|A0A2Y9E0Y1_TRIMA, tr|A0A2Y9RPW0|A0A2Y9RPW0_TRIMA, tr|A0A2Y9DDR0|A0A2Y9DDR0_TRIMA, tr|A0A2Y9QUC1|A0A2Y9QUC1_TRIMA, tr|A0A2Y9QIC1|A0A2Y9QIC1_TRIMA, tr|A0A2Y9QQ90|A0A2Y9QQ90_TRIMA, tr|A0A2Y9R675|A0A2Y9R675_TRIMA, tr|A0A2Y9QG76|A0A2Y9QG76_TRIMA, tr|A0A2Y9S116|A0A2Y9S116_TRIMA, tr|A0A2Y9RZ55|A0A2Y9RZ55_TRIMA, tr|A0A2Y9QPA5|A0A2Y9QPA5_TRIMA, tr|A0A2Y9RP71|A0A2Y9RP71_TRIMA, tr|A0A2Y9E686|A0A2Y9E686_TRIMA, tr|A0A2Y9S1R6|A0A2Y9S1R6_TRIMA, tr|A0A2Y9RY07|A0A2Y9RY07_TRIMA, tr|A0A2Y9G411|A0A2Y9G411_TRIMA, tr|A0A2Y9ECW4|A0A2Y9ECW4_TRIMA, tr|A0A2Y9RHR9|A0A2Y9RHR9_TRIMA, tr|A0A2Y9RY34|A0A2Y9RY34_TRIMA, tr|A0A2Y9RX99|A0A2Y9RX99_TRIMA, tr|A0A2Y9QIB0|A0A2Y9QIB0_TRIMA, tr|A0A2Y9RTW7|A0A2Y9RTW7_TRIMA, tr|A0A2Y9RR81|A0A2Y9RR81_TRIMA, tr|A0A2Y9E6B6|A0A2Y9E6B6_TRIMA, tr|A0A2Y9DBT8|A0A2Y9DBT8_TRIMA, tr|A0A2Y9G2R9|A0A2Y9G2R9_TRIMA, tr|A0A2Y9RS85|A0A2Y9RS85_TRIMA, tr|A0A2Y9G0K9|A0A2Y9G0K9_TRIMA, tr|A0A2Y9EDA1|A0A2Y9EDA1_TRIMA, tr|A0A2Y9RRM0|A0A2Y9RRM0_TRIMA, tr|A0A2Y9DTT0|A0A2Y9DTT0_TRIMA, tr|A0A2Y9RT12|A0A2Y9RT12_TRIMA, tr|A0A2Y9FZN8|A0A2Y9FZN8_TRIMA, tr|A0A2Y9R3K1|A0A2Y9R3K1_TRIMA, tr|A0A2Y9QT92|A0A2Y9QT92_TRIMA, tr|A0A2Y9RRI5|A0A2Y9RRI5_TRIMA, tr|A0A2Y9QWN7|A0A2Y9QWN7_TRIMA, tr|A0A2Y9R017|A0A2Y9R017_TRIMA, tr|A0A2Y9DCR3|A0A2Y9DCR3_TRIMA, tr|A0A2Y9QLX2|A0A2Y9QLX2_TRIMA
OG0000010	tr|L7N221|L7N221_MOUSE, tr|K7N674|K7N674_MOUSE, tr|K7N6V1|K7N6V1_MOUSE, tr|E9Q281|E9Q281_MOUSE, tr|E9Q0E7|E9Q0E7_MOUSE, sp|E9Q6I0|V2116_MOUSE, tr|A0A140T8U3|A0A140T8U3_MOUSE, tr|E9PZA6|E9PZA6_MOUSE, tr|E9Q3F5|E9Q3F5_MOUSE, tr|A0A3B2W842|A0A3B2W842_MOUSE, tr|G3XA45|G3XA45_MOUSE, tr|L7N2D8|L7N2D8_MOUSE, tr|K7N702|K7N702_MOUSE, tr|E9PW21|E9PW21_MOUSE, tr|D3Z4N8|D3Z4N8_MOUSE, tr|K7N6T2|K7N6T2_MOUSE, tr|L7N2B3|L7N2B3_MOUSE, tr|D3Z7M3|D3Z7M3_MOUSE, tr|G5E8Z7|G5E8Z7_MOUSE, tr|E9Q067|E9Q067_MOUSE, tr|K7N6U5|K7N6U5_MOUSE, tr|L7N2B7|L7N2B7_MOUSE, tr|G3X931|G3X931_MOUSE, tr|L7N2B2|L7N2B2_MOUSE, tr|L7N203|L7N203_MOUSE, tr|L7N2D4|L7N2D4_MOUSE, tr|L7N2E5|L7N2E5_MOUSE, tr|Q80Z08|Q80Z08_MOUSE, tr|E9PW61|E9PW61_MOUSE, tr|E9Q7U8|E9Q7U8_MOUSE, tr|G3UYA8|G3UYA8_MOUSE, tr|K7N705|K7N705_MOUSE, tr|L7N2E1|L7N2E1_MOUSE, tr|L7N1Z4|L7N1Z4_MOUSE, tr|K7N709|K7N709_MOUSE, tr|K7N5W1|K7N5W1_MOUSE, tr|K7N741|K7N741_MOUSE, tr|F6W043|F6W043_MOUSE, tr|E9Q5C7|E9Q5C7_MOUSE, tr|E9Q5D8|E9Q5D8_MOUSE, tr|F8VQD3|F8VQD3_MOUSE, tr|E9PVI0|E9PVI0_MOUSE, tr|L7N2B5|L7N2B5_MOUSE, tr|L7N215|L7N215_MOUSE, tr|K7N686|K7N686_MOUSE, tr|D3Z6L3|D3Z6L3_MOUSE, tr|O35192|O35192_MOUSE	tr|A0A2Y9R685|A0A2Y9R685_TRIMA
OG0000014	sp|P50716|DAR12_MOUSE, sp|Q64263|DAR10_MOUSE, tr|Q5ERI8|Q5ERI8_MOUSE, sp|P17534|DFAR2_MOUSE, sp|P50715|DFA31_MOUSE, tr|D3YX03|D3YX03_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, tr|Q9D848|Q9D848_MOUSE, sp|P28312|DEFA5_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|K9J724|K9J724_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, sp|P28311|DEFA4_MOUSE, sp|Q45VN2|DFA20_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|Q8C1P2|DFA21_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE, sp|Q5G865|DFA24_MOUSE, sp|P50704|DEFA6_MOUSE, sp|P50714|DFA16_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50709|DFA11_MOUSE, sp|P50708|DFA10_MOUSE, sp|Q5G864|DFA25_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, tr|F2Z403|F2Z403_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|P28309|DEFA2_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P50706|DEFA8_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50712|DFA14_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P50711|DFA13_MOUSE, sp|P28310|DEFA3_MOUSE, tr|L7N231|L7N231_MOUSE, sp|Q3L180|DFA26_MOUSE	tr|A0A2Y9R9Y9|A0A2Y9R9Y9_TRIMA
OG0000016	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A2Y9DUA7|A0A2Y9DUA7_TRIMA
OG0000016	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A2Y9QXR1|A0A2Y9QXR1_TRIMA, tr|A0A2Y9QQ00|A0A2Y9QQ00_TRIMA, tr|A0A2Y9EC28|A0A2Y9EC28_TRIMA
OG0000016	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A2Y9ED56|A0A2Y9ED56_TRIMA, tr|A0A2Y9DJ58|A0A2Y9DJ58_TRIMA, tr|A0A2Y9ECI7|A0A2Y9ECI7_TRIMA, tr|A0A2Y9G246|A0A2Y9G246_TRIMA, tr|A0A2Y9EDB5|A0A2Y9EDB5_TRIMA
OG0000016	tr|Q7TQY0|Q7TQY0_MOUSE	tr|A0A2Y9DIG7|A0A2Y9DIG7_TRIMA, tr|A0A2Y9DI95|A0A2Y9DI95_TRIMA, tr|A0A2Y9QV73|A0A2Y9QV73_TRIMA, tr|A0A2Y9FYR2|A0A2Y9FYR2_TRIMA, tr|A0A2Y9FZN5|A0A2Y9FZN5_TRIMA, tr|A0A2Y9G1X4|A0A2Y9G1X4_TRIMA, tr|A0A2Y9ECF8|A0A2Y9ECF8_TRIMA
OG0000017	tr|Q7TMN8|Q7TMN8_MOUSE	tr|A0A2Y9QI95|A0A2Y9QI95_TRIMA
