Orthogroup	Mus_musculus	Cebus_imitator
OG0000001	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A2K5PNT6|A0A2K5PNT6_CEBIM
OG0000001	tr|Q7TRY0|Q7TRY0_MOUSE, tr|B9EHG2|B9EHG2_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, tr|Q8VGJ8|Q8VGJ8_MOUSE, tr|Q7TQU7|Q7TQU7_MOUSE, tr|Q8VGK0|Q8VGK0_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE, tr|B1ARL3|B1ARL3_MOUSE, tr|Q7TRX0|Q7TRX0_MOUSE, sp|Q8VFM9|OLF24_MOUSE, tr|Q8VFP5|Q8VFP5_MOUSE, tr|Q8VEU7|Q8VEU7_MOUSE, tr|Q8VFE1|Q8VFE1_MOUSE, tr|Q8VFD9|Q8VFD9_MOUSE, tr|Q8VFE4|Q8VFE4_MOUSE, tr|Q8VFA1|Q8VFA1_MOUSE, tr|Q7TRK4|Q7TRK4_MOUSE, tr|Q7TRY4|Q7TRY4_MOUSE, tr|Q8VFP6|Q8VFP6_MOUSE, tr|Q8VFT2|Q8VFT2_MOUSE, tr|A0A140T8Q2|A0A140T8Q2_MOUSE, tr|Q8VFP4|Q8VFP4_MOUSE, tr|Q8VFE6|Q8VFE6_MOUSE, tr|A0A0N4SUP0|A0A0N4SUP0_MOUSE, tr|Q7TRX2|Q7TRX2_MOUSE, tr|Q7TRX1|Q7TRX1_MOUSE, tr|Q7TRY5|Q7TRY5_MOUSE, tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q8VF16|Q8VF16_MOUSE, tr|Q8VGV7|Q8VGV7_MOUSE, tr|Q8VEZ7|Q8VEZ7_MOUSE, tr|Q7TRX4|Q7TRX4_MOUSE, tr|E9Q4M1|E9Q4M1_MOUSE, tr|Q7TRX9|Q7TRX9_MOUSE, sp|Q8VGI1|OLF1_MOUSE, tr|Q8VGT2|Q8VGT2_MOUSE, tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE, tr|Q8VGR5|Q8VGR5_MOUSE, tr|Q8VGR6|Q8VGR6_MOUSE, tr|Q8VGR3|Q8VGR3_MOUSE, tr|Q7TRX6|Q7TRX6_MOUSE, tr|Q7TRX7|Q7TRX7_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE, tr|Q8VGT3|Q8VGT3_MOUSE, tr|Q5SSP0|Q5SSP0_MOUSE, tr|Q8VF79|Q8VF79_MOUSE, tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q8VEZ6|Q8VEZ6_MOUSE, tr|A0A0U1RNF5|A0A0U1RNF5_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VGK4|Q8VGK4_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, tr|Q7TRY6|Q7TRY6_MOUSE, sp|Q60879|OLF3_MOUSE, tr|Q8VFP8|Q8VFP8_MOUSE	tr|A0A2K5PAL6|A0A2K5PAL6_CEBIM
OG0000002	tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|Q7TR16|Q7TR16_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE	tr|A0A2K5R766|A0A2K5R766_CEBIM
OG0000003	tr|G3X9L8|G3X9L8_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|Q8VG65|Q8VG65_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, sp|Q60894|OLF12_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q8VF35|Q8VF35_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE, tr|A2RT31|A2RT31_MOUSE, tr|A0A140LHT7|A0A140LHT7_MOUSE, tr|A0A140LHS7|A0A140LHS7_MOUSE, tr|A0A2I3BR00|A0A2I3BR00_MOUSE, tr|Q8VFV3|Q8VFV3_MOUSE, tr|A0A140LHS9|A0A140LHS9_MOUSE, sp|Q8VFV4|O1440_MOUSE, tr|Q8VFV8|Q8VFV8_MOUSE, tr|A0PK57|A0PK57_MOUSE, tr|Q7TQR7|Q7TQR7_MOUSE, tr|Q7TQR9|Q7TQR9_MOUSE, tr|Q8VF59|Q8VF59_MOUSE, tr|E9Q9Z6|E9Q9Z6_MOUSE	tr|A0A2K5P9C5|A0A2K5P9C5_CEBIM
OG0000005	sp|A2A761|ZFP69_MOUSE	tr|A0A2K5PI98|A0A2K5PI98_CEBIM, tr|A0A2K5SBM5|A0A2K5SBM5_CEBIM, tr|A0A2K5RSQ5|A0A2K5RSQ5_CEBIM
OG0000005	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2K5PED2|A0A2K5PED2_CEBIM
OG0000005	sp|Q8BQC8|RBAK_MOUSE	tr|A0A2K5PUX3|A0A2K5PUX3_CEBIM
OG0000005	sp|B2RXC5|ZN382_MOUSE	tr|A0A2K5SDP3|A0A2K5SDP3_CEBIM, tr|A0A2K5RKV6|A0A2K5RKV6_CEBIM, tr|A0A2K5R3Z6|A0A2K5R3Z6_CEBIM
OG0000005	sp|Q80W31|ZN569_MOUSE	tr|A0A2K5RMN5|A0A2K5RMN5_CEBIM, tr|A0A2K5PCI3|A0A2K5PCI3_CEBIM
OG0000005	sp|E9PYI1|ZN568_MOUSE	tr|A0A2K5PP19|A0A2K5PP19_CEBIM
