Orthogroup	Mus_musculus	Myotis_myotis
OG0000001	sp|P11260|LORF1_MOUSE	tr|A0A7J7TTS3|A0A7J7TTS3_MYOMY, tr|A0A7J7VI68|A0A7J7VI68_MYOMY, tr|A0A7J8AL89|A0A7J8AL89_MYOMY, tr|A0A7J7XHR8|A0A7J7XHR8_MYOMY, tr|A0A7J8AN45|A0A7J8AN45_MYOMY, tr|A0A7J7SR84|A0A7J7SR84_MYOMY, tr|A0A7J7Z5L1|A0A7J7Z5L1_MYOMY, tr|A0A7J7TTQ9|A0A7J7TTQ9_MYOMY, tr|A0A7J7VYW8|A0A7J7VYW8_MYOMY, tr|A0A7J7WHY5|A0A7J7WHY5_MYOMY, tr|A0A7J7Z4Q0|A0A7J7Z4Q0_MYOMY, tr|A0A7J8AM28|A0A7J8AM28_MYOMY, tr|A0A7J7ZXG9|A0A7J7ZXG9_MYOMY, tr|A0A7J7ZY96|A0A7J7ZY96_MYOMY, tr|A0A7J7Z4T5|A0A7J7Z4T5_MYOMY, tr|A0A7J7Z4N3|A0A7J7Z4N3_MYOMY, tr|A0A7J7RG06|A0A7J7RG06_MYOMY, tr|A0A7J7Z518|A0A7J7Z518_MYOMY, tr|A0A7J7Z6M6|A0A7J7Z6M6_MYOMY, tr|A0A7J7U5L8|A0A7J7U5L8_MYOMY, tr|A0A7J7TTT0|A0A7J7TTT0_MYOMY, tr|A0A7J7ZXE6|A0A7J7ZXE6_MYOMY, tr|A0A7J8AMN5|A0A7J8AMN5_MYOMY, tr|A0A7J7SC70|A0A7J7SC70_MYOMY, tr|A0A7J7ZZI4|A0A7J7ZZI4_MYOMY, tr|A0A7J7YEU0|A0A7J7YEU0_MYOMY, tr|A0A7J7ZX06|A0A7J7ZX06_MYOMY, tr|A0A7J7U553|A0A7J7U553_MYOMY, tr|A0A7J7ZYM8|A0A7J7ZYM8_MYOMY, tr|A0A7J7WI32|A0A7J7WI32_MYOMY, tr|A0A7J7WWD3|A0A7J7WWD3_MYOMY, tr|A0A7J8ALJ0|A0A7J8ALJ0_MYOMY, tr|A0A7J7Z4Q1|A0A7J7Z4Q1_MYOMY, tr|A0A7J8AMN9|A0A7J8AMN9_MYOMY, tr|A0A7J7XIU6|A0A7J7XIU6_MYOMY, tr|A0A7J8AMN1|A0A7J8AMN1_MYOMY, tr|A0A7J7YDY7|A0A7J7YDY7_MYOMY, tr|A0A7J7YEE8|A0A7J7YEE8_MYOMY, tr|A0A7J7Y029|A0A7J7Y029_MYOMY, tr|A0A7J7WHK5|A0A7J7WHK5_MYOMY, tr|A0A7J7ZXG2|A0A7J7ZXG2_MYOMY, tr|A0A7J7Z695|A0A7J7Z695_MYOMY, tr|A0A7J7SR27|A0A7J7SR27_MYOMY, tr|A0A7J7WHW3|A0A7J7WHW3_MYOMY, tr|A0A7J7Z4C9|A0A7J7Z4C9_MYOMY, tr|A0A7J7V3V4|A0A7J7V3V4_MYOMY, tr|A0A7J7WHI9|A0A7J7WHI9_MYOMY, tr|A0A7J7ZXS5|A0A7J7ZXS5_MYOMY, tr|A0A7J7WHT2|A0A7J7WHT2_MYOMY, tr|A0A7J7Z506|A0A7J7Z506_MYOMY, tr|A0A7J7UPP6|A0A7J7UPP6_MYOMY, tr|A0A7J7V3S3|A0A7J7V3S3_MYOMY, tr|A0A7J7Z454|A0A7J7Z454_MYOMY, tr|A0A7J7ZY75|A0A7J7ZY75_MYOMY, tr|A0A7J7Z472|A0A7J7Z472_MYOMY, tr|A0A7J7S1S9|A0A7J7S1S9_MYOMY, tr|A0A7J7TTS7|A0A7J7TTS7_MYOMY, tr|A0A7J7QUI9|A0A7J7QUI9_MYOMY, tr|A0A7J7Z643|A0A7J7Z643_MYOMY, tr|A0A7J7WVM7|A0A7J7WVM7_MYOMY, tr|A0A7J7Z575|A0A7J7Z575_MYOMY, tr|A0A7J8AN46|A0A7J8AN46_MYOMY, tr|A0A7J7XHX4|A0A7J7XHX4_MYOMY, tr|A0A7J7TTU5|A0A7J7TTU5_MYOMY, tr|A0A7J7UPT9|A0A7J7UPT9_MYOMY, tr|A0A7J7SBR2|A0A7J7SBR2_MYOMY, tr|A0A7J7YEJ8|A0A7J7YEJ8_MYOMY, tr|A0A7J7XH91|A0A7J7XH91_MYOMY, tr|A0A7J7VIF9|A0A7J7VIF9_MYOMY, tr|A0A7J7VYR3|A0A7J7VYR3_MYOMY, tr|A0A7J8ALM1|A0A7J8ALM1_MYOMY, tr|A0A7J7Z4N0|A0A7J7Z4N0_MYOMY, tr|A0A7J7TIC8|A0A7J7TIC8_MYOMY, tr|A0A7J7Y071|A0A7J7Y071_MYOMY, tr|A0A7J7ZXU1|A0A7J7ZXU1_MYOMY, tr|A0A7J7Z4R2|A0A7J7Z4R2_MYOMY, tr|A0A7J7QZR3|A0A7J7QZR3_MYOMY, tr|A0A7J7YDI3|A0A7J7YDI3_MYOMY, tr|A0A7J7WW79|A0A7J7WW79_MYOMY, tr|A0A7J7YDK9|A0A7J7YDK9_MYOMY, tr|A0A7J7ZXZ4|A0A7J7ZXZ4_MYOMY, tr|A0A7J8AM11|A0A7J8AM11_MYOMY, tr|A0A7J7XHB1|A0A7J7XHB1_MYOMY, tr|A0A7J7Z675|A0A7J7Z675_MYOMY, tr|A0A7J8AMX3|A0A7J8AMX3_MYOMY, tr|A0A7J8AM38|A0A7J8AM38_MYOMY, tr|A0A7J7YE18|A0A7J7YE18_MYOMY, tr|A0A7J7XZP8|A0A7J7XZP8_MYOMY, tr|A0A7J7Z4K2|A0A7J7Z4K2_MYOMY, tr|A0A7J7YEG6|A0A7J7YEG6_MYOMY, tr|A0A7J7Z562|A0A7J7Z562_MYOMY, tr|A0A7J7YER0|A0A7J7YER0_MYOMY, tr|A0A7J7Z4D8|A0A7J7Z4D8_MYOMY, tr|A0A7J7R1A3|A0A7J7R1A3_MYOMY, tr|A0A7J8ALX3|A0A7J8ALX3_MYOMY, tr|A0A7J7YE16|A0A7J7YE16_MYOMY, tr|A0A7J7Z4I2|A0A7J7Z4I2_MYOMY, tr|A0A7J7YE65|A0A7J7YE65_MYOMY, tr|A0A7J7WIE7|A0A7J7WIE7_MYOMY, tr|A0A7J7ZY01|A0A7J7ZY01_MYOMY, tr|A0A7J7XII9|A0A7J7XII9_MYOMY, tr|A0A7J7VYY2|A0A7J7VYY2_MYOMY, tr|A0A7J7UQ18|A0A7J7UQ18_MYOMY, tr|A0A7J7ZYH7|A0A7J7ZYH7_MYOMY, tr|A0A7J7Z568|A0A7J7Z568_MYOMY, tr|A0A7J7TJ13|A0A7J7TJ13_MYOMY, tr|A0A7J7UPF7|A0A7J7UPF7_MYOMY
OG0000007	sp|P01811|HVM41_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01810|HVM40_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01809|HVM39_MOUSE, sp|P01806|HVM36_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE, sp|P01786|HVM17_MOUSE, sp|P84751|HVM63_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, tr|A0A075B5S5|A0A075B5S5_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, sp|P01795|HVM26_MOUSE, sp|P01793|HVM24_MOUSE, sp|P01789|HVM20_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01791|HVM22_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01794|HVM25_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01796|HVM27_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01799|HVM30_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01801|HVM32_MOUSE, sp|P01803|HVM34_MOUSE, sp|P01804|HVM35_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, tr|J3QK03|J3QK03_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, sp|P18530|HVM59_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, sp|P18524|HVM53_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, sp|P18526|HVM55_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE	tr|A0A7J7QSA5|A0A7J7QSA5_MYOMY
OG0000009	tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE	tr|A0A7J7XIN3|A0A7J7XIN3_MYOMY
OG0000009	tr|Q5SZS9|Q5SZS9_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TS30|Q7TS30_MOUSE	tr|A0A7J7XIV9|A0A7J7XIV9_MYOMY
OG0000014	tr|Q7TRM6|Q7TRM6_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE	tr|A0A7J8APL1|A0A7J8APL1_MYOMY
OG0000016	tr|Q9EQA9|Q9EQA9_MOUSE, tr|K7N678|K7N678_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|L7N210|L7N210_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, sp|P34985|OL143_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, sp|Q60882|OL145_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, sp|Q60886|OL147_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE	tr|A0A7J7S2T7|A0A7J7S2T7_MYOMY
OG0000017	tr|L7MTY4|L7MTY4_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|Q8VF37|Q8VF37_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, sp|Q8VGD6|OLF56_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|Q8VF89|Q8VF89_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q9EPF8|Q9EPF8_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE, tr|Q5NC45|Q5NC45_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE	tr|A0A7J7RBU9|A0A7J7RBU9_MYOMY
OG0000020	tr|Q640N4|Q640N4_MOUSE	tr|A0A7J7TVF0|A0A7J7TVF0_MYOMY
OG0000020	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A7J7W1Y3|A0A7J7W1Y3_MYOMY
OG0000020	sp|B2RXC5|ZN382_MOUSE	tr|A0A7J7SE93|A0A7J7SE93_MYOMY, tr|A0A7J7SDZ6|A0A7J7SDZ6_MYOMY
