Orthogroup	Homo_sapiens	Mus_musculus
OG0000004	sp|Q5MCW4|ZN569_HUMAN	sp|Q80W31|ZN569_MOUSE
OG0000004	sp|Q9HCZ1|ZN334_HUMAN	tr|A2A4U6|A2A4U6_MOUSE
OG0000004	sp|Q8N184|ZN567_HUMAN, sp|Q96SR6|ZN382_HUMAN	sp|B2RXC5|ZN382_MOUSE
OG0000004	sp|Q06730|ZN33A_HUMAN, sp|Q06732|ZN33B_HUMAN, sp|Q6ZMW2|ZN782_HUMAN, sp|Q9Y2H8|ZN510_HUMAN, sp|B1APH4|ZN487_HUMAN, sp|Q9BY31|ZN717_HUMAN, sp|Q8NDW4|ZN248_HUMAN	tr|Q640N4|Q640N4_MOUSE
OG0000004	sp|Q9NYW8|RBAK_HUMAN	sp|Q8BQC8|RBAK_MOUSE
OG0000004	sp|P17014|ZNF12_HUMAN	sp|Q7TSI0|ZNF12_MOUSE
OG0000004	sp|Q5T5D7|ZN684_HUMAN, sp|P17030|ZNF25_HUMAN	tr|Q8BIS1|Q8BIS1_MOUSE
OG0000004	sp|Q96PE6|ZIM3_HUMAN	sp|E9PYI1|ZN568_MOUSE
OG0000007	sp|Q8NA42|ZN383_HUMAN	tr|A0A087WRR7|A0A087WRR7_MOUSE
OG0000007	sp|Q969W8|ZN566_HUMAN	tr|Q8VCI1|Q8VCI1_MOUSE
OG0000007	sp|P52738|ZN140_HUMAN, sp|Q2M3W8|ZN181_HUMAN, sp|Q9NR11|ZN302_HUMAN, sp|Q9P2J8|ZN624_HUMAN, sp|Q8NB42|ZN527_HUMAN, sp|Q96NI8|ZN570_HUMAN, sp|Q6ECI4|ZN470_HUMAN, sp|Q9BX82|ZN471_HUMAN	tr|Q5U406|Q5U406_MOUSE
OG0000007	sp|Q14585|ZN345_HUMAN, sp|A6NDX5|ZN840_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q96SK3|ZN607_HUMAN, sp|P17039|ZNF30_HUMAN, sp|Q5EBM4|ZN542_HUMAN, sp|Q8NCK3|ZN485_HUMAN	tr|A0A1D5RMC2|A0A1D5RMC2_MOUSE
OG0000007	sp|Q6PG37|ZN790_HUMAN	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE
OG0000007	sp|Q9Y2G7|ZFP30_HUMAN	sp|Q60585|ZFP30_MOUSE
OG0000007	sp|Q8N141|ZFP82_HUMAN	sp|Q6P9Y7|ZFP82_MOUSE
OG0000007	sp|Q7Z3V5|ZN571_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q8N7M2|ZN283_HUMAN, sp|Q9NQX6|ZN331_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q9HCL3|ZFP14_HUMAN	sp|P10755|ZFP14_MOUSE
OG0000007	sp|A8MQ14|ZN850_HUMAN, sp|Q8N9K5|ZN565_HUMAN, sp|Q96NG8|ZN582_HUMAN	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE
OG0000017	sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN	tr|A0A140T8P3|A0A140T8P3_MOUSE
OG0000017	sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE
