Orthogroup	Mus_musculus	Myotis_brandtii
OG0000002	tr|Q5U406|Q5U406_MOUSE	tr|S7NXU1|S7NXU1_MYOBR
OG0000002	sp|Q61967|ZFP90_MOUSE	tr|S7PZR3|S7PZR3_MYOBR
OG0000002	sp|Q7TSH9|ZN184_MOUSE	tr|S7NKT9|S7NKT9_MYOBR, tr|S7N0J0|S7N0J0_MYOBR
OG0000002	sp|Q80W31|ZN569_MOUSE	tr|S7PZ01|S7PZ01_MYOBR
OG0000002	tr|Q80Y34|Q80Y34_MOUSE	tr|S7N192|S7N192_MYOBR
OG0000002	sp|Q8BQC8|RBAK_MOUSE, sp|Q7TSI0|ZNF12_MOUSE	tr|S7Q557|S7Q557_MYOBR
OG0000002	tr|Q640N4|Q640N4_MOUSE	tr|S7NSY9|S7NSY9_MYOBR, tr|S7MLA7|S7MLA7_MYOBR
OG0000002	tr|Q3TFZ4|Q3TFZ4_MOUSE	tr|S7N8E7|S7N8E7_MYOBR, tr|S7P8U4|S7P8U4_MYOBR, tr|S7MDU3|S7MDU3_MYOBR, tr|S7MKN8|S7MKN8_MYOBR, tr|S7MJ28|S7MJ28_MYOBR, tr|S7NHU5|S7NHU5_MYOBR, tr|S7MZV0|S7MZV0_MYOBR, tr|S7P3F7|S7P3F7_MYOBR, tr|S7QGS4|S7QGS4_MYOBR, tr|S7N544|S7N544_MYOBR, tr|S7NWT6|S7NWT6_MYOBR, tr|S7NFY9|S7NFY9_MYOBR, tr|S7MJ23|S7MJ23_MYOBR, tr|S7MRJ4|S7MRJ4_MYOBR
OG0000002	sp|Q62396|ZFP92_MOUSE	tr|S7N7K8|S7N7K8_MYOBR, tr|S7QFU7|S7QFU7_MYOBR
OG0000002	sp|E9PYI1|ZN568_MOUSE	tr|S7NFL5|S7NFL5_MYOBR, tr|S7PJL3|S7PJL3_MYOBR, tr|S7PJL6|S7PJL6_MYOBR
OG0000006	tr|Q8VDV7|Q8VDV7_MOUSE	tr|S7MVV0|S7MVV0_MYOBR
OG0000006	sp|Q6UJY2|SL9C1_MOUSE	tr|S7N4N9|S7N4N9_MYOBR, tr|S7N7Q9|S7N7Q9_MYOBR, tr|S7Q5F2|S7Q5F2_MYOBR, tr|S7PKA1|S7PKA1_MYOBR, tr|S7NUN7|S7NUN7_MYOBR, tr|S7MCG6|S7MCG6_MYOBR, tr|S7MJW4|S7MJW4_MYOBR, tr|S7NNX0|S7NNX0_MYOBR, tr|S7Q371|S7Q371_MYOBR, tr|S7NDY4|S7NDY4_MYOBR, tr|S7MF64|S7MF64_MYOBR, tr|S7MUL0|S7MUL0_MYOBR, tr|S7MMF6|S7MMF6_MYOBR, tr|S7NQF4|S7NQF4_MYOBR, tr|S7NXP3|S7NXP3_MYOBR, tr|S7P3B7|S7P3B7_MYOBR, tr|S7PMM9|S7PMM9_MYOBR, tr|S7NMU1|S7NMU1_MYOBR, tr|S7MGX8|S7MGX8_MYOBR, tr|S7Q1R4|S7Q1R4_MYOBR, tr|S7NQZ2|S7NQZ2_MYOBR, tr|S7P3L5|S7P3L5_MYOBR, tr|S7MUT3|S7MUT3_MYOBR, tr|S7MQH2|S7MQH2_MYOBR, tr|S7NWZ7|S7NWZ7_MYOBR, tr|S7NQF0|S7NQF0_MYOBR, tr|S7QAS5|S7QAS5_MYOBR, tr|S7MVT7|S7MVT7_MYOBR, tr|S7NHY1|S7NHY1_MYOBR, tr|S7PFZ0|S7PFZ0_MYOBR, tr|S7MG74|S7MG74_MYOBR, tr|S7QB54|S7QB54_MYOBR, tr|S7P1H8|S7P1H8_MYOBR, tr|S7NME6|S7NME6_MYOBR, tr|S7N9G1|S7N9G1_MYOBR, tr|S7NH65|S7NH65_MYOBR, tr|S7N936|S7N936_MYOBR, tr|S7NGG1|S7NGG1_MYOBR, tr|S7MWH0|S7MWH0_MYOBR, tr|S7NF64|S7NF64_MYOBR, tr|S7NNW6|S7NNW6_MYOBR, tr|S7MKN5|S7MKN5_MYOBR, tr|S7MD86|S7MD86_MYOBR, tr|S7NBU4|S7NBU4_MYOBR, tr|S7QGZ0|S7QGZ0_MYOBR, tr|S7PMS1|S7PMS1_MYOBR
OG0000008	tr|Q8VGJ8|Q8VGJ8_MOUSE	tr|S7PWQ2|S7PWQ2_MYOBR
OG0000008	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|S7PYM1|S7PYM1_MYOBR
OG0000008	tr|Q8C0Q5|Q8C0Q5_MOUSE	tr|S7NYE5|S7NYE5_MYOBR
OG0000008	sp|Q9JHB2|OLF19_MOUSE	tr|S7PG74|S7PG74_MYOBR, tr|S7MY08|S7MY08_MYOBR, tr|S7MY92|S7MY92_MYOBR, tr|S7MFQ8|S7MFQ8_MYOBR, tr|S7N1Y9|S7N1Y9_MYOBR, tr|S7PMI6|S7PMI6_MYOBR, tr|S7P541|S7P541_MYOBR, tr|S7P538|S7P538_MYOBR, tr|S7MH46|S7MH46_MYOBR, tr|S7N0Q4|S7N0Q4_MYOBR, tr|S7MPZ7|S7MPZ7_MYOBR, tr|S7NCA2|S7NCA2_MYOBR, tr|S7MUT8|S7MUT8_MYOBR, tr|S7MSM1|S7MSM1_MYOBR, tr|S7NCU7|S7NCU7_MYOBR, tr|S7NI03|S7NI03_MYOBR, tr|S7P3Q6|S7P3Q6_MYOBR, tr|S7ND54|S7ND54_MYOBR, tr|S7Q2I6|S7Q2I6_MYOBR, tr|S7PSY4|S7PSY4_MYOBR, tr|S7PZI9|S7PZI9_MYOBR, tr|S7N9R0|S7N9R0_MYOBR, tr|S7NAD9|S7NAD9_MYOBR, tr|S7NEP0|S7NEP0_MYOBR, tr|S7NAE3|S7NAE3_MYOBR, tr|S7NC76|S7NC76_MYOBR, tr|S7PVV0|S7PVV0_MYOBR, tr|S7MY51|S7MY51_MYOBR, tr|S7N0L2|S7N0L2_MYOBR, tr|S7P888|S7P888_MYOBR, tr|S7P847|S7P847_MYOBR, tr|S7PCS1|S7PCS1_MYOBR, tr|S7NLW9|S7NLW9_MYOBR, tr|S7MPU0|S7MPU0_MYOBR, tr|S7Q5C9|S7Q5C9_MYOBR, tr|S7QBY2|S7QBY2_MYOBR, tr|S7PEF7|S7PEF7_MYOBR, tr|S7PEK5|S7PEK5_MYOBR
OG0000012	tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|Q0VB29|Q0VB29_MOUSE	tr|S7Q7Y4|S7Q7Y4_MYOBR
OG0000012	tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE	tr|S7QE87|S7QE87_MYOBR
OG0000013	sp|O35622|FGF15_MOUSE	tr|S7PF91|S7PF91_MYOBR
OG0000013	sp|P49945|FRIL2_MOUSE, sp|P29391|FRIL1_MOUSE	tr|S7N392|S7N392_MYOBR, tr|S7MVI7|S7MVI7_MYOBR, tr|S7NKU4|S7NKU4_MYOBR, tr|S7Q0H8|S7Q0H8_MYOBR, tr|S7N7A4|S7N7A4_MYOBR, tr|S7PD23|S7PD23_MYOBR, tr|S7P5I0|S7P5I0_MYOBR, tr|S7MR32|S7MR32_MYOBR, tr|S7N6P7|S7N6P7_MYOBR, tr|S7NZN9|S7NZN9_MYOBR, tr|S7PVA5|S7PVA5_MYOBR, tr|S7P612|S7P612_MYOBR, tr|S7NB58|S7NB58_MYOBR, tr|S7PVJ3|S7PVJ3_MYOBR, tr|S7NJX0|S7NJX0_MYOBR, tr|S7N083|S7N083_MYOBR, tr|S7N178|S7N178_MYOBR, tr|S7MST3|S7MST3_MYOBR, tr|S7MGZ4|S7MGZ4_MYOBR, tr|S7N9J7|S7N9J7_MYOBR, tr|S7MCT7|S7MCT7_MYOBR, tr|S7P370|S7P370_MYOBR, tr|S7MSR1|S7MSR1_MYOBR, tr|S7MR31|S7MR31_MYOBR, tr|S7Q6S7|S7Q6S7_MYOBR, tr|S7MRQ1|S7MRQ1_MYOBR, tr|S7MPB6|S7MPB6_MYOBR, tr|S7QDH2|S7QDH2_MYOBR, tr|S7N1U3|S7N1U3_MYOBR, tr|S7MJ32|S7MJ32_MYOBR, tr|S7MES6|S7MES6_MYOBR, tr|S7MX52|S7MX52_MYOBR, tr|S7MIF3|S7MIF3_MYOBR, tr|S7PRQ6|S7PRQ6_MYOBR, tr|S7QCW7|S7QCW7_MYOBR, tr|S7NDD4|S7NDD4_MYOBR, tr|S7PKT5|S7PKT5_MYOBR, tr|S7NF07|S7NF07_MYOBR, tr|S7NL74|S7NL74_MYOBR
OG0000022	sp|A2A9R3|MAGB4_MOUSE	tr|S7N321|S7N321_MYOBR, tr|S7QD23|S7QD23_MYOBR, tr|S7N5X4|S7N5X4_MYOBR, tr|S7N313|S7N313_MYOBR
OG0000022	sp|Q9CWV4|MAGBG_MOUSE	tr|S7N7S3|S7N7S3_MYOBR, tr|S7NPS3|S7NPS3_MYOBR, tr|S7NDZ6|S7NDZ6_MYOBR
OG0000022	tr|Q99PA7|Q99PA7_MOUSE	tr|S7Q7D7|S7Q7D7_MYOBR, tr|S7Q954|S7Q954_MYOBR, tr|S7N4S6|S7N4S6_MYOBR, tr|S7Q302|S7Q302_MYOBR, tr|S7Q9Y4|S7Q9Y4_MYOBR, tr|S7NA73|S7NA73_MYOBR, tr|S7PSP7|S7PSP7_MYOBR, tr|S7N823|S7N823_MYOBR, tr|S7QBD7|S7QBD7_MYOBR, tr|S7MLU0|S7MLU0_MYOBR, tr|S7QH32|S7QH32_MYOBR, tr|S7QGW1|S7QGW1_MYOBR, tr|S7PQF1|S7PQF1_MYOBR, tr|S7PRC2|S7PRC2_MYOBR, tr|S7Q7Y1|S7Q7Y1_MYOBR
OG0000022	tr|G3UW88|G3UW88_MOUSE	tr|S7PQP4|S7PQP4_MYOBR, tr|S7PVX5|S7PVX5_MYOBR, tr|S7Q2L8|S7Q2L8_MYOBR, tr|S7NSI9|S7NSI9_MYOBR
OG0000022	sp|Q8BQR7|MAGBI_MOUSE	tr|S7NF95|S7NF95_MYOBR, tr|S7NF89|S7NF89_MYOBR, tr|S7P8H3|S7P8H3_MYOBR
OG0000025	tr|Q8BFS8|Q8BFS8_MOUSE, sp|Q80YP6|ZIK1_MOUSE	tr|S7ML71|S7ML71_MYOBR, tr|S7PQ19|S7PQ19_MYOBR, tr|S7PB41|S7PB41_MYOBR, tr|S7NL80|S7NL80_MYOBR, tr|S7NWT3|S7NWT3_MYOBR, tr|S7QAU5|S7QAU5_MYOBR, tr|S7MCU4|S7MCU4_MYOBR, tr|S7P431|S7P431_MYOBR, tr|S7PB38|S7PB38_MYOBR, tr|S7MN87|S7MN87_MYOBR, tr|S7NL85|S7NL85_MYOBR, tr|S7NNM8|S7NNM8_MYOBR, tr|S7MBX3|S7MBX3_MYOBR, tr|S7NL13|S7NL13_MYOBR, tr|S7Q4E4|S7Q4E4_MYOBR, tr|S7NNM6|S7NNM6_MYOBR, tr|S7MN63|S7MN63_MYOBR, tr|S7MW34|S7MW34_MYOBR, tr|S7PCQ3|S7PCQ3_MYOBR, tr|S7MMX0|S7MMX0_MYOBR, tr|S7NNY4|S7NNY4_MYOBR, tr|S7Q7Q1|S7Q7Q1_MYOBR, tr|S7MWR1|S7MWR1_MYOBR, tr|S7N7I5|S7N7I5_MYOBR, tr|S7MT63|S7MT63_MYOBR, tr|S7MHP1|S7MHP1_MYOBR, tr|S7P1G7|S7P1G7_MYOBR, tr|S7PAK5|S7PAK5_MYOBR, tr|S7PUC2|S7PUC2_MYOBR, tr|S7QAU8|S7QAU8_MYOBR, tr|S7PU65|S7PU65_MYOBR, tr|S7PMK5|S7PMK5_MYOBR, tr|S7QDA1|S7QDA1_MYOBR
OG0000028	tr|Q91Y09|Q91Y09_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|Q91Y13|PCDA7_MOUSE, sp|O88689|PCDA4_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, sp|Q91Y20|PCDAA_MOUSE	tr|S7NI16|S7NI16_MYOBR
OG0000033	sp|P18527|HVM56_MOUSE, sp|P18528|HVM57_MOUSE	tr|S7MNX0|S7MNX0_MYOBR, tr|S7NUS7|S7NUS7_MYOBR, tr|S7QB66|S7QB66_MYOBR, tr|S7PHP8|S7PHP8_MYOBR, tr|S7QB81|S7QB81_MYOBR, tr|S7Q4A4|S7Q4A4_MYOBR, tr|S7N4L0|S7N4L0_MYOBR, tr|S7NUM1|S7NUM1_MYOBR, tr|S7MQV4|S7MQV4_MYOBR, tr|S7PJN5|S7PJN5_MYOBR, tr|S7MLM9|S7MLM9_MYOBR, tr|S7MLM6|S7MLM6_MYOBR, tr|S7NRB0|S7NRB0_MYOBR, tr|S7MLQ1|S7MLQ1_MYOBR, tr|S7QEW3|S7QEW3_MYOBR, tr|S7N8P1|S7N8P1_MYOBR, tr|S7NRB5|S7NRB5_MYOBR, tr|S7Q697|S7Q697_MYOBR, tr|S7NPR9|S7NPR9_MYOBR, tr|S7MP52|S7MP52_MYOBR, tr|S7PZJ4|S7PZJ4_MYOBR, tr|S7MTL6|S7MTL6_MYOBR, tr|S7P5W4|S7P5W4_MYOBR, tr|S7MHY5|S7MHY5_MYOBR, tr|S7Q8P9|S7Q8P9_MYOBR, tr|S7NPR7|S7NPR7_MYOBR, tr|S7PNY6|S7PNY6_MYOBR, tr|S7NME2|S7NME2_MYOBR, tr|S7NSF8|S7NSF8_MYOBR
