Orthogroup	Mus_musculus	Castor_canadensis
OG0000000	tr|E9Q8V7|E9Q8V7_MOUSE, tr|E9PYW5|E9PYW5_MOUSE, tr|Q9EPS4|Q9EPS4_MOUSE, tr|Q8R2B8|Q8R2B8_MOUSE, tr|Q8R2B9|Q8R2B9_MOUSE, tr|W4VSP5|W4VSP5_MOUSE, tr|A0A494BA35|A0A494BA35_MOUSE, tr|Q9EPT1|Q9EPT1_MOUSE, tr|Q8R2C0|Q8R2C0_MOUSE, tr|G3X9U3|G3X9U3_MOUSE, tr|K7N731|K7N731_MOUSE, tr|Q9EPS9|Q9EPS9_MOUSE, tr|E9Q8I6|E9Q8I6_MOUSE, tr|Q9EPS7|Q9EPS7_MOUSE, tr|L7N275|L7N275_MOUSE, tr|G3UW31|G3UW31_MOUSE, tr|K7N6W9|K7N6W9_MOUSE, tr|K7N6T9|K7N6T9_MOUSE, tr|Q9EPS6|Q9EPS6_MOUSE, tr|G3UW71|G3UW71_MOUSE, tr|E9PXM3|E9PXM3_MOUSE, tr|K7N6B6|K7N6B6_MOUSE, tr|A0A087WR36|A0A087WR36_MOUSE, tr|Q8K3N5|Q8K3N5_MOUSE, tr|L7N2C8|L7N2C8_MOUSE, tr|D3YTW8|D3YTW8_MOUSE, tr|L7N226|L7N226_MOUSE, tr|K7N6B8|K7N6B8_MOUSE, tr|K7N6B7|K7N6B7_MOUSE, tr|K7N6J4|K7N6J4_MOUSE, tr|Q3KNP5|Q3KNP5_MOUSE, tr|Q0P547|Q0P547_MOUSE, tr|L7N293|L7N293_MOUSE, tr|E9Q9N3|E9Q9N3_MOUSE, tr|G3UY48|G3UY48_MOUSE, tr|E9Q069|E9Q069_MOUSE, tr|E9Q8L6|E9Q8L6_MOUSE, tr|L7N2B4|L7N2B4_MOUSE, tr|K9J7G0|K9J7G0_MOUSE, tr|L7N2A6|L7N2A6_MOUSE, tr|E9PUW9|E9PUW9_MOUSE, tr|D3YTY1|D3YTY1_MOUSE, tr|E9PZR7|E9PZR7_MOUSE, tr|D3YTX4|D3YTX4_MOUSE, tr|D3YTY2|D3YTY2_MOUSE, tr|E9PW18|E9PW18_MOUSE, tr|K9J7G4|K9J7G4_MOUSE, tr|L7N273|L7N273_MOUSE, tr|K9J7H2|K9J7H2_MOUSE, tr|Q9EPS5|Q9EPS5_MOUSE, tr|L7N227|L7N227_MOUSE, tr|L7N270|L7N270_MOUSE, tr|E9Q346|E9Q346_MOUSE, tr|K7N6J5|K7N6J5_MOUSE, tr|E9Q4H3|E9Q4H3_MOUSE, tr|E9PWL6|E9PWL6_MOUSE, tr|E9Q365|E9Q365_MOUSE, tr|G3UY92|G3UY92_MOUSE, tr|K9J7G2|K9J7G2_MOUSE, tr|L7N2C9|L7N2C9_MOUSE, tr|K9J7G9|K9J7G9_MOUSE, tr|E9QA94|E9QA94_MOUSE, tr|K9J7F4|K9J7F4_MOUSE, tr|G3UWI8|G3UWI8_MOUSE, tr|D3YZG3|D3YZG3_MOUSE, tr|K9J7G6|K9J7G6_MOUSE, tr|K7N701|K7N701_MOUSE, tr|D3YTX5|D3YTX5_MOUSE, tr|L7N288|L7N288_MOUSE, tr|K7N6X7|K7N6X7_MOUSE, tr|K7N6Y3|K7N6Y3_MOUSE, tr|K7N726|K7N726_MOUSE, tr|K7N6J2|K7N6J2_MOUSE, tr|K7N6J6|K7N6J6_MOUSE, tr|K7N6X3|K7N6X3_MOUSE, tr|K7N6U0|K7N6U0_MOUSE, tr|Q8R2B4|Q8R2B4_MOUSE, tr|Q8R2B6|Q8R2B6_MOUSE, tr|B9EK86|B9EK86_MOUSE	tr|A0A8B7TQC2|A0A8B7TQC2_CASCN
OG0000004	tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE, sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, sp|P18526|HVM55_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, sp|P18524|HVM53_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, sp|P18530|HVM59_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01809|HVM39_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01810|HVM40_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01811|HVM41_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, sp|P01806|HVM36_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01796|HVM27_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01803|HVM34_MOUSE, sp|P01799|HVM30_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01801|HVM32_MOUSE, sp|P01804|HVM35_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, tr|J3QK03|J3QK03_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, sp|P84751|HVM63_MOUSE, sp|P01786|HVM17_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, tr|A0A075B5S5|A0A075B5S5_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE, sp|P01795|HVM26_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, sp|P01794|HVM25_MOUSE, sp|P01793|HVM24_MOUSE, sp|P01789|HVM20_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01791|HVM22_MOUSE	tr|A0A8B7TR45|A0A8B7TR45_CASCN
OG0000007	tr|Q3UVL3|Q3UVL3_MOUSE	tr|A0A8B7W312|A0A8B7W312_CASCN
OG0000007	tr|E9Q4R5|E9Q4R5_MOUSE	tr|A0A8B7VZL0|A0A8B7VZL0_CASCN, tr|A0A8B7UIV1|A0A8B7UIV1_CASCN, tr|A0A8B7UKS0|A0A8B7UKS0_CASCN, tr|A0A8B7UWJ2|A0A8B7UWJ2_CASCN
OG0000007	tr|Q91WM0|Q91WM0_MOUSE	tr|A0A8B7VAE5|A0A8B7VAE5_CASCN, tr|A0A8B7USG0|A0A8B7USG0_CASCN, tr|A0A8B7TKM6|A0A8B7TKM6_CASCN, tr|A0A8B7UTD9|A0A8B7UTD9_CASCN, tr|A0A8B7UV55|A0A8B7UV55_CASCN, tr|A0A8B7TRZ4|A0A8B7TRZ4_CASCN, tr|A0A8B7USE6|A0A8B7USE6_CASCN, tr|A0A8B7VEH6|A0A8B7VEH6_CASCN, tr|A0A8B7TV22|A0A8B7TV22_CASCN, tr|A0A8B7TV39|A0A8B7TV39_CASCN, tr|A0A8B7TPN8|A0A8B7TPN8_CASCN, tr|A0A8B7WK52|A0A8B7WK52_CASCN, tr|A0A8B7TTU7|A0A8B7TTU7_CASCN, tr|A0A8B7TSE1|A0A8B7TSE1_CASCN, tr|A0A8B7TWT3|A0A8B7TWT3_CASCN, tr|A0A8B7TNP2|A0A8B7TNP2_CASCN, tr|A0A8B7UKR5|A0A8B7UKR5_CASCN, tr|A0A8B7UMZ6|A0A8B7UMZ6_CASCN, tr|A0A8B7TJ88|A0A8B7TJ88_CASCN, tr|A0A8B7U062|A0A8B7U062_CASCN, tr|A0A8B7UUX9|A0A8B7UUX9_CASCN, tr|A0A8B7TJZ0|A0A8B7TJZ0_CASCN
OG0000007	tr|Q497V9|Q497V9_MOUSE	tr|A0A8B7TNT6|A0A8B7TNT6_CASCN, tr|A0A8B7UE10|A0A8B7UE10_CASCN
OG0000009	tr|L7N2A4|L7N2A4_MOUSE, tr|L7N1Z9|L7N1Z9_MOUSE, tr|E9Q2J5|E9Q2J5_MOUSE, tr|E9PZK8|E9PZK8_MOUSE, tr|L7N279|L7N279_MOUSE, tr|E9PWW0|E9PWW0_MOUSE, tr|E9PZS9|E9PZS9_MOUSE, tr|E9PZU5|E9PZU5_MOUSE, tr|K7N6Z2|K7N6Z2_MOUSE, tr|E9PZ56|E9PZ56_MOUSE, tr|A0A338P6T0|A0A338P6T0_MOUSE, tr|A0A3Q4L333|A0A3Q4L333_MOUSE, tr|H3BK37|H3BK37_MOUSE, tr|E9PYS0|E9PYS0_MOUSE, tr|K7N747|K7N747_MOUSE, tr|E9PWD5|E9PWD5_MOUSE, tr|E9PY92|E9PY92_MOUSE, tr|E9Q3A5|E9Q3A5_MOUSE, tr|E9QAZ9|E9QAZ9_MOUSE, tr|E9PZJ7|E9PZJ7_MOUSE, tr|K7N789|K7N789_MOUSE, tr|E9Q2U5|E9Q2U5_MOUSE, tr|L7N269|L7N269_MOUSE, tr|E9PUT5|E9PUT5_MOUSE, tr|K7N6V2|K7N6V2_MOUSE, tr|L7N2B8|L7N2B8_MOUSE, tr|A0A3B2WBC8|A0A3B2WBC8_MOUSE, tr|E9Q0M3|E9Q0M3_MOUSE, tr|E9Q0K5|E9Q0K5_MOUSE, tr|K7N712|K7N712_MOUSE, tr|E9PXJ8|E9PXJ8_MOUSE, tr|A0A3Q4EG79|A0A3Q4EG79_MOUSE, tr|A0A3B2WB67|A0A3B2WB67_MOUSE, tr|G3UWA2|G3UWA2_MOUSE, tr|Q80Z09|Q80Z09_MOUSE, tr|E9Q1L0|E9Q1L0_MOUSE, tr|E9Q0G7|E9Q0G7_MOUSE, tr|E9PXI5|E9PXI5_MOUSE, tr|D3YUI0|D3YUI0_MOUSE, sp|Q6TAC4|V2R26_MOUSE, tr|W4VSP2|W4VSP2_MOUSE, tr|L7N2B1|L7N2B1_MOUSE, tr|K7N6Y7|K7N6Y7_MOUSE, tr|E9Q7S8|E9Q7S8_MOUSE, tr|G5E8G4|G5E8G4_MOUSE, tr|D3YUK6|D3YUK6_MOUSE	tr|A0A8B7TQK0|A0A8B7TQK0_CASCN
OG0000013	tr|Q7TPL6|Q7TPL6_MOUSE, tr|Q7M6X5|Q7M6X5_MOUSE, tr|Q4QQP3|Q4QQP3_MOUSE, tr|B8JJX8|B8JJX8_MOUSE, tr|Q91W94|Q91W94_MOUSE, tr|Q80VN4|Q80VN4_MOUSE, tr|Q7M6X3|Q7M6X3_MOUSE, tr|L7N1X4|L7N1X4_MOUSE, sp|Q6P5C7|ZN728_MOUSE, tr|Q8BIN6|Q8BIN6_MOUSE, tr|Q7M6X2|Q7M6X2_MOUSE, tr|Q8BX23|Q8BX23_MOUSE, tr|E9PX85|E9PX85_MOUSE	tr|A0A250XUL9|A0A250XUL9_CASCN, tr|A0A8B7VDN6|A0A8B7VDN6_CASCN, tr|A0A8B7V571|A0A8B7V571_CASCN, tr|A0A8B7U9U7|A0A8B7U9U7_CASCN, tr|A0A8B7W8K1|A0A8B7W8K1_CASCN, tr|A0A8B7WDU2|A0A8B7WDU2_CASCN, tr|A0A8B7WDU5|A0A8B7WDU5_CASCN
OG0000013	sp|Q60585|ZFP30_MOUSE	tr|A0A8B7TJ28|A0A8B7TJ28_CASCN, tr|A0A8B7VZS0|A0A8B7VZS0_CASCN, tr|A0A8B7TMQ6|A0A8B7TMQ6_CASCN
OG0000013	sp|P10755|ZFP14_MOUSE	tr|A0A8B7TS62|A0A8B7TS62_CASCN, tr|A0A8B7UZ95|A0A8B7UZ95_CASCN, tr|A0A8B7WHA6|A0A8B7WHA6_CASCN, tr|A0A8B7WHJ2|A0A8B7WHJ2_CASCN, tr|A0A8B7WCH0|A0A8B7WCH0_CASCN
