Orthogroup	Homo_sapiens	Nomascus_leucogenys
OG0000000	sp|Q8NGG6|OR8BC_HUMAN	tr|G1SC39|G1SC39_NOMLE
OG0000000	sp|A6NL26|OR5BL_HUMAN	tr|A0A2I3FXG1|A0A2I3FXG1_NOMLE
OG0000000	sp|Q96R09|OR5B2_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q96R08|OR5BC_HUMAN	tr|G1SCC6|G1SCC6_NOMLE
OG0000000	sp|Q8NGP9|O5AR1_HUMAN	tr|G1SCB6|G1SCB6_NOMLE
OG0000000	sp|Q8N127|O5AS1_HUMAN	tr|G1SCA3|G1SCA3_NOMLE
OG0000000	sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGK9|OR5DG_HUMAN	tr|A0A2I3HMK0|A0A2I3HMK0_NOMLE
OG0000000	tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGL3|OR5DE_HUMAN	tr|G1SC99|G1SC99_NOMLE
OG0000000	sp|P0C617|O5AL1_HUMAN	tr|A0A2I3HRJ7|A0A2I3HRJ7_NOMLE
OG0000000	sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN	tr|G1SCA7|G1SCA7_NOMLE
OG0000000	sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGP2|OR8J1_HUMAN	tr|A0A2I3HA35|A0A2I3HA35_NOMLE
OG0000001	sp|Q8NGS0|OR1N1_HUMAN	tr|A0A2I3GC94|A0A2I3GC94_NOMLE
OG0000001	sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS3|OR1J1_HUMAN	tr|G1SBF5|G1SBF5_NOMLE
