Orthogroup	Mus_musculus	Capra_hircus
OG0000000	sp|P62996|TRA2B_MOUSE	tr|A0A452F7X4|A0A452F7X4_CAPHI, tr|A0A452F7B6|A0A452F7B6_CAPHI, tr|A0A452F610|A0A452F610_CAPHI, tr|A0A452F9W0|A0A452F9W0_CAPHI, tr|A0A452FA33|A0A452FA33_CAPHI, tr|A0A452DPK8|A0A452DPK8_CAPHI, tr|A0A452E4R3|A0A452E4R3_CAPHI, tr|A0A452E4D5|A0A452E4D5_CAPHI, tr|A0A452DT64|A0A452DT64_CAPHI, tr|A0A452DYB8|A0A452DYB8_CAPHI, tr|A0A452DRE9|A0A452DRE9_CAPHI, tr|A0A452DS69|A0A452DS69_CAPHI, tr|A0A452F7I4|A0A452F7I4_CAPHI, tr|A0A452F696|A0A452F696_CAPHI, tr|A0A452E646|A0A452E646_CAPHI, tr|A0A452DUL7|A0A452DUL7_CAPHI, tr|A0A452FC77|A0A452FC77_CAPHI, tr|A0A452F6D8|A0A452F6D8_CAPHI, tr|A0A452DS81|A0A452DS81_CAPHI, tr|A0A452F3E1|A0A452F3E1_CAPHI, tr|A0A452DLF6|A0A452DLF6_CAPHI, tr|A0A452EAZ7|A0A452EAZ7_CAPHI, tr|A0A452DRZ1|A0A452DRZ1_CAPHI, tr|A0A452FAP4|A0A452FAP4_CAPHI, tr|A0A452E7X7|A0A452E7X7_CAPHI, tr|A0A452DLZ8|A0A452DLZ8_CAPHI, tr|A0A452DZP9|A0A452DZP9_CAPHI, tr|A0A452DRV2|A0A452DRV2_CAPHI, tr|A0A452F7G8|A0A452F7G8_CAPHI, tr|A0A452EML2|A0A452EML2_CAPHI, tr|A0A452DRL7|A0A452DRL7_CAPHI, tr|A0A452DTV4|A0A452DTV4_CAPHI, tr|A0A452FCI5|A0A452FCI5_CAPHI, tr|A0A452F726|A0A452F726_CAPHI, tr|A0A452DR19|A0A452DR19_CAPHI, tr|A0A452E1W8|A0A452E1W8_CAPHI, tr|A0A452FDK0|A0A452FDK0_CAPHI, tr|A0A452F782|A0A452F782_CAPHI, tr|A0A452DV10|A0A452DV10_CAPHI, tr|A0A452DM70|A0A452DM70_CAPHI, tr|A0A452DJM8|A0A452DJM8_CAPHI, tr|A0A452F7G4|A0A452F7G4_CAPHI, tr|A0A452FA50|A0A452FA50_CAPHI, tr|A0A452DZI3|A0A452DZI3_CAPHI, tr|A0A452FB87|A0A452FB87_CAPHI, tr|A0A452DWQ8|A0A452DWQ8_CAPHI, tr|A0A452EAK7|A0A452EAK7_CAPHI, tr|A0A452DSA8|A0A452DSA8_CAPHI, tr|A0A452F7H1|A0A452F7H1_CAPHI, tr|A0A452DNY2|A0A452DNY2_CAPHI, tr|A0A452DWH7|A0A452DWH7_CAPHI, tr|A0A452F7U4|A0A452F7U4_CAPHI, tr|A0A452EBD4|A0A452EBD4_CAPHI, tr|A0A452F9I9|A0A452F9I9_CAPHI, tr|A0A452DRE1|A0A452DRE1_CAPHI, tr|A0A452EMG3|A0A452EMG3_CAPHI, tr|A0A452FZC9|A0A452FZC9_CAPHI, tr|A0A452F811|A0A452F811_CAPHI, tr|A0A452DQ64|A0A452DQ64_CAPHI, tr|A0A452FUL9|A0A452FUL9_CAPHI, tr|A0A452F758|A0A452F758_CAPHI, tr|A0A452DN08|A0A452DN08_CAPHI, tr|A0A452E2J3|A0A452E2J3_CAPHI, tr|A0A452DVZ2|A0A452DVZ2_CAPHI, tr|A0A452FM25|A0A452FM25_CAPHI, tr|A0A452DJN2|A0A452DJN2_CAPHI, tr|A0A452ENX8|A0A452ENX8_CAPHI, tr|A0A452DKK4|A0A452DKK4_CAPHI, tr|A0A452DM32|A0A452DM32_CAPHI, tr|A0A452DKC8|A0A452DKC8_CAPHI, tr|A0A452ELB4|A0A452ELB4_CAPHI, tr|A0A452EJM4|A0A452EJM4_CAPHI, tr|A0A452F8W0|A0A452F8W0_CAPHI, tr|A0A452FA16|A0A452FA16_CAPHI, tr|A0A452DQ01|A0A452DQ01_CAPHI, tr|A0A452FCF7|A0A452FCF7_CAPHI, tr|A0A452F6D7|A0A452F6D7_CAPHI, tr|A0A452DT21|A0A452DT21_CAPHI, tr|A0A452E009|A0A452E009_CAPHI, tr|A0A452F9F2|A0A452F9F2_CAPHI, tr|A0A452F7A3|A0A452F7A3_CAPHI, tr|A0A452DRJ6|A0A452DRJ6_CAPHI, tr|A0A452F8Q5|A0A452F8Q5_CAPHI, tr|A0A452DU74|A0A452DU74_CAPHI, tr|A0A452F802|A0A452F802_CAPHI, tr|A0A452DSA6|A0A452DSA6_CAPHI, tr|A0A452F5B8|A0A452F5B8_CAPHI, tr|A0A452F6N0|A0A452F6N0_CAPHI, tr|A0A452ERB0|A0A452ERB0_CAPHI, tr|A0A452EYS5|A0A452EYS5_CAPHI, tr|A0A452F2D7|A0A452F2D7_CAPHI, tr|A0A452DKF2|A0A452DKF2_CAPHI, tr|A0A452F7T7|A0A452F7T7_CAPHI, tr|A0A452DPB9|A0A452DPB9_CAPHI, tr|A0A452FBT7|A0A452FBT7_CAPHI, tr|A0A452DWK8|A0A452DWK8_CAPHI, tr|A0A452EEZ1|A0A452EEZ1_CAPHI, tr|A0A452F8X1|A0A452F8X1_CAPHI, tr|A0A452E1F4|A0A452E1F4_CAPHI, tr|A0A452F6P0|A0A452F6P0_CAPHI, tr|A0A452E029|A0A452E029_CAPHI
OG0000010	sp|Q9D106|PEPA5_MOUSE	tr|A0A452EUX6|A0A452EUX6_CAPHI, tr|A0A452FYT0|A0A452FYT0_CAPHI, tr|A0A452FGD5|A0A452FGD5_CAPHI, tr|A0A452FYT1|A0A452FYT1_CAPHI, tr|A0A452ESF9|A0A452ESF9_CAPHI, sp|P80935|PAG55_CAPHI, tr|A0A452FH61|A0A452FH61_CAPHI, tr|A0A452F2P7|A0A452F2P7_CAPHI, tr|A0A452G6Z8|A0A452G6Z8_CAPHI, sp|P80933|PAG62_CAPHI, sp|P80934|PAG59_CAPHI, tr|A0A452EX20|A0A452EX20_CAPHI, tr|A0A452EI33|A0A452EI33_CAPHI, tr|A0A452FSB4|A0A452FSB4_CAPHI, tr|A0A452F2G0|A0A452F2G0_CAPHI, tr|Q2KKJ5|Q2KKJ5_CAPHI, tr|A0A452ECW5|A0A452ECW5_CAPHI, tr|A0A452DQS9|A0A452DQS9_CAPHI, tr|A0A452G6J2|A0A452G6J2_CAPHI, tr|A0A452FHS0|A0A452FHS0_CAPHI, tr|A0A452ED28|A0A452ED28_CAPHI, tr|A0A452FCC9|A0A452FCC9_CAPHI, tr|A0A452DNA7|A0A452DNA7_CAPHI, tr|A0A452F010|A0A452F010_CAPHI, tr|A0A452FWJ3|A0A452FWJ3_CAPHI, tr|A0A452F8Q0|A0A452F8Q0_CAPHI, tr|A0A452EKY4|A0A452EKY4_CAPHI, tr|A0A452FT35|A0A452FT35_CAPHI, tr|A0A452ERL4|A0A452ERL4_CAPHI, tr|A0A452ENV3|A0A452ENV3_CAPHI, tr|A0A452G8P0|A0A452G8P0_CAPHI, tr|A0A452EUD2|A0A452EUD2_CAPHI, tr|A0A452FZ74|A0A452FZ74_CAPHI, tr|A0A452FHY3|A0A452FHY3_CAPHI, tr|A0A452ENF7|A0A452ENF7_CAPHI, tr|A0A452EZS2|A0A452EZS2_CAPHI, tr|A0A452ELP1|A0A452ELP1_CAPHI, tr|A0A452FBI2|A0A452FBI2_CAPHI, tr|A0A452G721|A0A452G721_CAPHI
OG0000016	sp|Q3V080|ZN583_MOUSE	tr|A0A452ECM0|A0A452ECM0_CAPHI
OG0000016	tr|Q5U406|Q5U406_MOUSE	tr|A0A452FZQ3|A0A452FZQ3_CAPHI
OG0000016	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A452EC00|A0A452EC00_CAPHI, tr|A0A452EJ93|A0A452EJ93_CAPHI, tr|A0A452F472|A0A452F472_CAPHI, tr|A0A452EAK8|A0A452EAK8_CAPHI, tr|A0A452GAW2|A0A452GAW2_CAPHI, tr|A0A452EVJ1|A0A452EVJ1_CAPHI, tr|A0A452F4R7|A0A452F4R7_CAPHI, tr|A0A452G9M7|A0A452G9M7_CAPHI, tr|A0A452DMJ3|A0A452DMJ3_CAPHI
OG0000016	sp|P10755|ZFP14_MOUSE	tr|A0A452EQQ7|A0A452EQQ7_CAPHI, tr|A0A452F2E4|A0A452F2E4_CAPHI, tr|A0A452G031|A0A452G031_CAPHI, tr|A0A452DMM3|A0A452DMM3_CAPHI, tr|A0A452DRV6|A0A452DRV6_CAPHI, tr|A0A452FI83|A0A452FI83_CAPHI
OG0000017	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A452FVU0|A0A452FVU0_CAPHI
OG0000017	sp|Q8BQC8|RBAK_MOUSE	tr|A0A452G5P2|A0A452G5P2_CAPHI
OG0000017	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A452E6B6|A0A452E6B6_CAPHI
OG0000017	sp|B2RXC5|ZN382_MOUSE	tr|A0A452EPT8|A0A452EPT8_CAPHI, tr|A0A452F1D7|A0A452F1D7_CAPHI
OG0000017	tr|Q640N4|Q640N4_MOUSE	tr|A0A452EVJ9|A0A452EVJ9_CAPHI, tr|A0A452EWV7|A0A452EWV7_CAPHI, tr|A0A452EI12|A0A452EI12_CAPHI, tr|A0A452E5U9|A0A452E5U9_CAPHI
OG0000017	sp|E9PYI1|ZN568_MOUSE	tr|A0A452FIQ1|A0A452FIQ1_CAPHI, tr|A0A452G674|A0A452G674_CAPHI, tr|A0A452FU69|A0A452FU69_CAPHI
OG0000023	tr|Q8VGP1|Q8VGP1_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE	tr|A0A452DMF3|A0A452DMF3_CAPHI
OG0000027	tr|Q8HWA3|Q8HWA3_MOUSE	tr|A0A452DMY1|A0A452DMY1_CAPHI, tr|A0A452FW82|A0A452FW82_CAPHI, tr|A0A452DYY7|A0A452DYY7_CAPHI, tr|A0A452F6N6|A0A452F6N6_CAPHI, tr|A0A452F4E4|A0A452F4E4_CAPHI, tr|A0A452G364|A0A452G364_CAPHI, tr|A0A452FD90|A0A452FD90_CAPHI, tr|A0A452E6U5|A0A452E6U5_CAPHI, tr|A0A452FGN8|A0A452FGN8_CAPHI, tr|A0A452DTB7|A0A452DTB7_CAPHI, tr|A0A452DRD4|A0A452DRD4_CAPHI, tr|A0A452DL69|A0A452DL69_CAPHI, tr|A0A452FF19|A0A452FF19_CAPHI, tr|A0A452DS41|A0A452DS41_CAPHI, tr|A0A452DQ50|A0A452DQ50_CAPHI, tr|A0A452DKQ3|A0A452DKQ3_CAPHI, tr|A0A452DW58|A0A452DW58_CAPHI, tr|A0A452ECL2|A0A452ECL2_CAPHI, tr|A0A452FGY2|A0A452FGY2_CAPHI, tr|A0A452DL77|A0A452DL77_CAPHI, tr|A0A452FSG0|A0A452FSG0_CAPHI, tr|A0A452F4K9|A0A452F4K9_CAPHI, tr|A0A452EJI2|A0A452EJI2_CAPHI, tr|A0A452FDI9|A0A452FDI9_CAPHI, tr|A0A452FKE6|A0A452FKE6_CAPHI, tr|A0A452FK50|A0A452FK50_CAPHI, tr|A0A452EMH1|A0A452EMH1_CAPHI
OG0000028	tr|F8VQ26|F8VQ26_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE	tr|A0A452G1B3|A0A452G1B3_CAPHI
OG0000028	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A452FG98|A0A452FG98_CAPHI
OG0000028	tr|Q8VG28|Q8VG28_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE	tr|A0A452DXA7|A0A452DXA7_CAPHI
OG0000028	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE	tr|A0A452DQL3|A0A452DQL3_CAPHI
OG0000028	tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A452DXA1|A0A452DXA1_CAPHI
OG0000030	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A452DMH6|A0A452DMH6_CAPHI, tr|A0A452DNG7|A0A452DNG7_CAPHI, tr|A0A452EPB7|A0A452EPB7_CAPHI, tr|A0A452E504|A0A452E504_CAPHI, tr|A0A452DYG6|A0A452DYG6_CAPHI, tr|A0A452G5F0|A0A452G5F0_CAPHI, tr|A0A452G3M4|A0A452G3M4_CAPHI, tr|A0A452FNK3|A0A452FNK3_CAPHI, tr|A0A452FUY0|A0A452FUY0_CAPHI, tr|A0A452EVU9|A0A452EVU9_CAPHI, tr|A0A452DMS2|A0A452DMS2_CAPHI, tr|A0A452DVX8|A0A452DVX8_CAPHI, tr|A0A452DU27|A0A452DU27_CAPHI, tr|A0A452E0Z4|A0A452E0Z4_CAPHI, tr|A0A452DWN3|A0A452DWN3_CAPHI, tr|A0A452ELG0|A0A452ELG0_CAPHI, tr|A0A452E1B2|A0A452E1B2_CAPHI, tr|A0A452FD92|A0A452FD92_CAPHI, tr|A0A452G338|A0A452G338_CAPHI, tr|A0A452F7N9|A0A452F7N9_CAPHI, tr|A0A452DWD0|A0A452DWD0_CAPHI, tr|A0A452EVA4|A0A452EVA4_CAPHI, tr|A0A452FKH9|A0A452FKH9_CAPHI, tr|A0A452EFD8|A0A452EFD8_CAPHI, tr|A0A452E8W1|A0A452E8W1_CAPHI, tr|A0A452DNC5|A0A452DNC5_CAPHI
OG0000032	sp|E9Q236|MRP4_MOUSE	tr|A0A452E0S7|A0A452E0S7_CAPHI, tr|A0A452ENG0|A0A452ENG0_CAPHI, tr|A0A452FTA1|A0A452FTA1_CAPHI, tr|A0A452FEI7|A0A452FEI7_CAPHI, tr|A0A452FNI3|A0A452FNI3_CAPHI, tr|A0A452EWP3|A0A452EWP3_CAPHI, tr|A0A452EWL9|A0A452EWL9_CAPHI, tr|A0A452ETF5|A0A452ETF5_CAPHI, tr|A0A452DVR8|A0A452DVR8_CAPHI, tr|A0A452EG50|A0A452EG50_CAPHI, tr|A0A452EV10|A0A452EV10_CAPHI, tr|A0A452F0T3|A0A452F0T3_CAPHI, tr|A0A452EAJ0|A0A452EAJ0_CAPHI, tr|A0A452EPU5|A0A452EPU5_CAPHI, tr|A0A452EET7|A0A452EET7_CAPHI, tr|A0A452E1X9|A0A452E1X9_CAPHI, tr|A0A452DJN4|A0A452DJN4_CAPHI, tr|A0A452EAR3|A0A452EAR3_CAPHI, tr|A0A452DRN9|A0A452DRN9_CAPHI, tr|A0A452EWE1|A0A452EWE1_CAPHI, tr|A0A452DLU3|A0A452DLU3_CAPHI, tr|A0A452DKL4|A0A452DKL4_CAPHI, tr|A0A452FMN9|A0A452FMN9_CAPHI, tr|A0A452E7W5|A0A452E7W5_CAPHI, tr|A0A452DP86|A0A452DP86_CAPHI
